Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,39.925,40.18,39.42,40.18,118100,40.18
2016-10-26,40.585,40.75,39.40,39.70,164700,39.70
2016-10-25,40.755,41.075,40.51,40.51,111100,40.51
2016-10-24,40.745,40.93,40.265,40.745,103500,40.745
2016-10-21,40.40,40.615,39.835,40.51,190200,40.51
2016-10-20,38.795,40.32,38.30,40.17,321300,40.17
2016-10-19,38.50,38.545,38.19,38.425,107400,38.425
2016-10-18,38.60,38.77,38.345,38.45,150500,38.45
2016-10-17,39.225,39.225,38.20,38.47,181500,38.47
2016-10-14,37.415,39.35,37.415,39.18,283100,39.18
2016-10-13,37.70,37.70,36.775,37.24,251700,37.24
2016-10-12,38.23,38.23,37.65,37.84,154300,37.84
2016-10-11,37.75,38.245,37.515,37.91,189600,37.91
2016-10-10,38.00,38.085,37.405,37.715,222000,37.715
2016-10-07,38.18,38.37,37.84,37.90,188500,37.90
2016-10-06,38.50,38.565,38.07,38.33,130400,38.33
2016-10-05,38.63,38.63,38.05,38.145,202900,38.145
2016-10-04,39.11,39.42,38.60,38.76,180300,38.76
2016-10-03,38.68,38.68,38.68,38.68,000,38.68
2016-09-30,39.185,39.185,38.225,38.68,299500,38.68
2016-09-29,39.83,40.17,39.22,39.705,198100,39.705
2016-09-28,39.12,39.65,39.00,39.515,196100,39.515
2016-09-27,39.33,39.33,38.00,38.995,345100,38.995
2016-09-26,38.80,39.40,37.99,39.04,653300,39.04
2016-09-23,38.30,38.33,37.40,37.70,431600,37.70
2016-09-22,39.60,39.745,38.26,38.465,484200,38.465
2016-09-21,40.565,40.76,39.29,39.60,249400,39.60
2016-09-20,41.065,41.065,39.82,40.09,297800,40.09
2016-09-19,41.385,41.605,40.745,41.00,107800,41.00
2016-09-16,41.565,41.73,40.74,41.265,199300,41.265
2016-09-15,41.36,41.735,40.985,41.735,112300,41.735
2016-09-14,41.55,41.55,41.05,41.455,96300,41.455
2016-09-13,42.00,42.195,41.235,41.38,129000,41.38
2016-09-12,41.95,42.105,41.435,41.69,163800,41.69
2016-09-09,42.685,42.915,42.235,42.39,110700,42.39
2016-09-08,42.78,42.875,42.185,42.735,92100,42.735
2016-09-07,42.76,43.08,42.14,42.65,167300,42.65
2016-09-06,42.94,43.05,42.425,42.665,146100,42.665
2016-09-05,43.50,43.50,42.695,42.72,108800,42.72
2016-09-02,42.61,43.275,41.98,43.075,147900,43.075
2016-09-01,41.50,42.90,41.50,42.35,286000,42.35
2016-08-31,42.21,42.355,41.315,41.515,240800,41.515
2016-08-30,42.375,42.81,42.12,42.24,138100,42.24
2016-08-29,42.50,42.665,42.00,42.365,122700,42.365
2016-08-26,43.115,43.115,42.40,42.825,129800,42.825
2016-08-25,43.695,43.695,42.70,43.06,111500,43.06
2016-08-24,43.89,44.29,43.405,43.71,144800,43.71
2016-08-23,43.605,44.495,43.11,44.005,157800,44.005
2016-08-22,43.235,43.78,43.08,43.32,103100,43.32
2016-08-19,43.57,43.57,42.59,43.07,96800,43.07
2016-08-18,42.40,43.67,42.40,43.34,129100,43.34
2016-08-17,42.795,42.87,41.955,42.18,136500,42.18
2016-08-16,43.00,43.205,42.655,42.685,136300,42.685
2016-08-15,43.725,43.81,42.685,43.23,132300,43.23
2016-08-12,43.12,43.75,42.52,43.455,157500,43.455
2016-08-11,45.50,45.645,40.50,43.125,813900,43.125
2016-08-10,43.995,44.755,43.765,44.47,255800,44.47
2016-08-09,42.50,44.215,42.295,44.035,278000,44.035
2016-08-08,41.595,42.47,41.45,42.315,171700,42.315
2016-08-05,40.655,41.61,40.43,41.29,172500,41.29
2016-08-04,40.05,40.475,39.74,40.335,257500,40.335
2016-08-03,40.625,40.625,39.295,39.85,207200,39.85
2016-08-02,41.435,41.435,40.42,40.695,156800,40.695
2016-08-01,42.81,43.165,40.985,41.31,285800,41.31
2016-07-29,42.76,43.185,42.40,42.51,129100,42.51
2016-07-28,43.10,43.165,42.405,42.55,153700,42.55
2016-07-27,42.22,44.035,42.20,42.93,397100,42.93
2016-07-26,41.23,42.195,40.635,42.025,150000,42.025
2016-07-25,41.085,41.42,40.635,41.05,113800,41.05
2016-07-22,40.60,40.91,40.225,40.75,74300,40.75
2016-07-21,41.295,41.30,40.16,40.765,118800,40.765
2016-07-20,41.07,41.335,40.555,41.02,134800,41.02
2016-07-19,40.79,40.84,39.85,40.64,202900,40.64
2016-07-18,40.80,41.315,39.495,40.84,235400,40.84
2016-07-15,41.50,41.735,40.06,40.36,248500,40.36
2016-07-14,42.325,42.50,41.775,41.78,97300,41.78
2016-07-13,42.25,42.80,41.875,42.01,125900,42.01
2016-07-12,42.525,43.12,42.125,42.25,92700,42.25
2016-07-11,42.03,42.58,41.405,42.45,111000,42.45
2016-07-08,40.10,41.875,40.10,41.80,123700,41.80
2016-07-07,39.47,40.545,39.085,40.20,130300,40.20
2016-07-06,39.945,40.165,38.705,39.25,191200,39.25
2016-07-05,40.42,40.435,39.415,40.24,125200,40.24
2016-07-04,41.60,41.715,40.065,40.40,124200,40.40
2016-07-01,41.70,41.84,40.79,41.34,155000,41.34
2016-06-30,41.495,41.745,40.89,41.245,218500,41.245
2016-06-29,41.935,42.095,41.51,41.585,146200,41.585
2016-06-28,41.205,41.55,40.65,41.235,196200,41.235
2016-06-27,43.425,43.425,39.66,40.035,511500,40.035
2016-06-24,40.32,44.50,37.70,43.22,434100,43.22
2016-06-23,45.82,46.60,45.635,46.295,147700,45.595
2016-06-22,46.445,46.48,45.445,45.78,153200,45.088
2016-06-21,46.925,46.99,45.58,46.385,149100,45.684
2016-06-20,45.075,47.12,44.20,46.36,254400,45.659
2016-06-17,43.76,44.67,43.46,43.58,221600,42.921
2016-06-16,43.25,43.51,42.61,43.335,164100,42.68
2016-06-15,44.08,44.23,43.33,43.48,178600,42.823
2016-06-14,44.60,45.095,44.00,44.08,235900,43.413
2016-06-13,44.05,46.195,42.80,45.27,398500,44.585
2016-06-10,47.79,47.79,45.60,46.00,221100,45.304
2016-06-09,48.38,48.44,47.49,47.70,96400,46.979
2016-06-08,48.54,48.885,47.915,48.77,108400,48.033
2016-06-07,47.55,48.915,47.195,48.765,111500,48.028
2016-06-06,47.70,48.095,47.01,47.345,89300,46.629
2016-06-03,48.84,49.13,46.55,47.70,172700,46.979
2016-06-02,48.90,48.985,48.48,48.795,98600,48.057
2016-06-01,48.685,49.045,48.37,48.915,97500,48.175
2016-05-31,48.96,49.055,48.52,48.88,154600,48.141
2016-05-30,49.80,50.11,47.35,49.065,146600,48.323
2016-05-27,49.90,50.38,49.615,49.695,88600,48.944
2016-05-26,49.65,50.12,49.575,50.10,157300,49.342
2016-05-25,49.50,50.12,49.30,49.705,200000,48.953
2016-05-24,49.135,49.45,47.36,49.34,199500,48.594
2016-05-23,48.675,49.50,48.575,49.145,151700,48.402
2016-05-20,47.79,48.905,47.66,48.55,231000,47.816
2016-05-19,47.10,47.80,46.70,47.60,252900,46.88
2016-05-18,47.135,48.00,46.55,47.16,210300,46.447
2016-05-17,47.835,47.95,46.87,47.415,154500,46.698
2016-05-16,47.38,47.38,47.38,47.38,000,46.664
2016-05-13,47.10,47.90,46.105,47.38,374300,46.664
2016-05-12,45.705,48.745,45.255,47.115,726800,46.403
2016-05-11,45.20,45.305,44.93,45.245,418800,44.561
2016-05-10,45.10,45.29,44.61,45.005,238500,44.325
2016-05-09,44.59,45.60,44.335,45.00,236900,44.32
2016-05-06,44.26,44.785,44.045,44.53,139100,43.857
2016-05-05,44.75,44.75,44.03,44.50,155800,43.827
2016-05-04,44.11,44.645,43.41,44.64,275300,43.965
2016-05-03,42.50,44.15,42.20,44.10,388300,43.433
2016-05-02,43.45,43.80,41.60,42.40,516500,41.759
2016-04-29,44.935,45.47,42.865,43.00,770200,42.35
2016-04-28,45.55,45.875,44.30,44.90,568600,44.221
2016-04-27,44.60,45.50,42.50,45.055,561100,44.374
2016-04-26,45.745,45.865,43.90,44.30,630800,43.63
2016-04-25,43.695,45.92,42.51,45.05,783200,44.369
2016-04-22,44.39,47.80,41.36,42.96,2060300,42.31
2016-04-21,54.00,54.06,36.10,44.00,4060200,43.335
2016-04-20,55.00,55.24,53.15,53.60,162400,52.79
2016-04-19,55.69,55.99,54.90,55.25,102600,54.415
2016-04-18,54.01,55.00,53.57,54.75,118400,53.922
2016-04-15,55.80,55.86,54.41,54.77,124400,53.942
2016-04-14,55.99,56.75,55.70,55.82,102100,54.976
2016-04-13,56.00,56.44,55.06,55.67,141300,54.828
2016-04-12,56.22,56.22,55.01,55.31,121500,54.474
2016-04-11,56.47,56.47,55.39,55.77,94300,54.927
2016-04-08,55.45,56.38,54.90,56.06,150400,55.212
2016-04-07,56.69,56.80,55.09,55.46,72700,54.621
2016-04-06,55.36,56.43,54.61,56.43,146000,55.577
2016-04-05,56.92,57.00,54.93,55.48,244500,54.641
2016-04-04,56.99,57.83,56.27,57.57,193400,56.70
2016-04-01,54.90,57.10,54.51,57.03,246900,56.168
2016-03-31,54.17,55.41,53.69,55.25,222700,54.415
2016-03-30,54.56,54.61,53.36,54.10,184300,53.282
2016-03-29,54.67,54.67,53.29,54.00,160700,53.183
2016-03-28,54.00,54.00,54.00,54.00,000,53.183
2016-03-25,54.00,54.00,54.00,54.00,000,53.183
2016-03-24,52.92,54.22,52.67,54.00,176300,53.183
2016-03-23,52.71,53.34,52.32,52.86,141100,52.061
2016-03-22,52.07,54.13,51.42,52.38,271700,51.588
2016-03-21,51.81,53.21,51.20,51.59,144500,50.81
2016-03-18,51.09,51.97,50.51,51.79,254500,51.007
2016-03-17,51.50,51.74,50.61,51.09,119200,50.317
2016-03-16,51.45,51.70,51.13,51.36,196200,50.583
2016-03-15,51.37,51.83,51.03,51.50,122700,50.721
2016-03-14,51.36,52.37,51.34,51.70,192800,50.918
2016-03-11,50.62,51.00,49.68,50.40,340300,49.638
2016-03-10,51.89,52.88,49.53,49.785,241700,49.032
2016-03-09,52.48,53.05,51.91,52.20,167400,51.411
2016-03-08,53.99,54.01,51.71,52.50,303300,51.706
2016-03-07,54.74,54.99,53.95,54.03,144900,53.213
2016-03-04,54.61,55.06,53.95,54.84,153300,54.011
2016-03-03,55.00,55.04,53.86,54.23,136300,53.41
2016-03-02,56.01,56.35,54.45,54.71,212200,53.883
2016-03-01,53.50,55.84,52.97,55.40,267000,54.562
2016-02-29,53.57,53.82,52.63,53.17,246700,52.366
2016-02-26,54.33,54.71,52.92,53.91,143300,53.095
2016-02-25,54.20,54.39,52.77,53.74,182100,52.927
2016-02-24,55.00,55.51,52.71,53.50,208700,52.691
2016-02-23,54.30,54.98,53.50,54.45,338100,53.627
2016-02-22,53.50,53.99,52.10,53.08,276900,52.277
2016-02-19,51.00,52.80,50.95,51.89,291300,51.105
2016-02-18,51.49,52.38,50.57,51.05,231700,50.278
2016-02-17,48.175,50.88,48.175,50.84,205300,50.071
2016-02-16,48.72,48.89,46.615,48.05,233300,47.323
2016-02-15,46.90,48.675,46.90,48.02,166100,47.294
2016-02-12,45.915,46.305,44.65,45.685,283000,44.994
2016-02-11,46.48,46.49,44.82,45.795,328400,45.103
2016-02-10,45.40,47.095,44.305,46.475,330300,45.772
2016-02-09,46.40,46.45,43.695,44.995,710900,44.315
2016-02-08,51.04,51.10,46.60,47.30,520200,46.585
2016-02-05,53.84,54.50,51.04,51.10,248600,50.327
2016-02-04,54.69,55.21,53.49,54.02,221900,53.203
2016-02-03,54.56,54.74,53.53,54.22,216800,53.40
2016-02-02,55.00,55.46,53.94,55.03,199000,54.198
2016-02-01,54.50,55.58,53.95,55.00,257100,54.168
2016-01-29,53.40,54.38,52.49,54.33,228100,53.509
2016-01-28,52.69,53.58,51.71,52.17,231000,51.381
2016-01-27,51.61,52.39,50.94,52.33,169500,51.539
2016-01-26,50.50,52.31,50.36,51.69,213600,50.908
2016-01-25,50.50,51.12,50.20,50.90,137900,50.13
2016-01-22,50.40,51.33,49.81,50.81,273300,50.042
2016-01-21,49.31,50.99,49.05,49.505,269800,48.756
2016-01-20,50.75,50.75,48.70,49.43,294800,48.683
2016-01-19,50.45,51.94,50.18,51.78,290800,50.997
2016-01-18,49.97,50.29,48.105,49.65,203700,48.899
2016-01-15,52.00,52.30,49.495,50.41,300500,49.648
2016-01-14,48.97,53.25,46.69,51.85,1021400,51.066
2016-01-13,52.41,52.77,49.33,49.475,295000,48.727
2016-01-12,51.73,52.95,51.16,51.79,211600,51.007
2016-01-11,52.60,52.73,50.82,51.90,251700,51.115
2016-01-08,53.75,54.32,52.63,52.88,175100,52.08
2016-01-07,53.48,54.05,52.71,53.79,285300,52.977
2016-01-06,55.40,55.75,54.38,55.30,165100,54.464
2016-01-05,56.11,56.33,54.26,55.11,196100,54.277
2016-01-04,57.35,57.65,54.16,55.30,327300,54.464
2016-01-01,57.90,57.90,57.90,57.90,000,57.025
2015-12-31,57.90,57.90,57.90,57.90,000,57.025
2015-12-30,57.52,58.04,56.30,57.90,177500,57.025
2015-12-29,55.14,57.28,55.14,57.28,209600,56.414
2015-12-28,54.96,55.21,54.61,54.95,69300,54.119
2015-12-25,55.07,55.07,55.07,55.07,000,54.237
2015-12-24,55.07,55.07,55.07,55.07,000,54.237
2015-12-23,54.35,55.44,53.88,55.07,132200,54.237
2015-12-22,56.26,56.40,54.00,54.21,209300,53.39
2015-12-21,56.97,57.32,56.01,56.01,167300,55.163
2015-12-18,56.45,57.72,55.80,56.55,584300,55.695
2015-12-17,57.84,58.03,56.09,56.72,263500,55.862
2015-12-16,55.66,56.92,55.55,56.55,270100,55.695
2015-12-15,53.98,55.29,53.14,55.22,254000,54.385
2015-12-14,55.56,55.87,53.51,53.76,193000,52.947
2015-12-11,56.55,56.99,54.71,55.06,194700,54.227
2015-12-10,55.47,57.48,54.26,56.42,289700,55.567
2015-12-09,57.55,57.86,55.58,55.85,207100,55.006
2015-12-08,58.80,59.00,56.65,57.34,247500,56.473
2015-12-07,58.75,59.44,57.80,58.82,368000,57.931
2015-12-04,58.70,59.08,56.62,58.26,432400,57.379
2015-12-03,57.08,59.73,57.05,58.25,557000,57.369
2015-12-02,56.35,57.39,56.30,56.82,382500,55.961
2015-12-01,57.00,57.04,55.91,56.00,338500,55.153
2015-11-30,57.20,57.28,56.16,56.24,279500,55.39
2015-11-27,56.80,57.50,56.56,57.03,247100,56.168
2015-11-26,56.75,57.01,55.95,56.82,196100,55.961
2015-11-25,56.02,56.70,55.97,56.67,212400,55.813
2015-11-24,56.88,56.89,54.64,55.85,399800,55.006
2015-11-23,57.00,57.36,56.57,56.88,293700,56.02
2015-11-20,57.41,57.90,56.45,56.57,513600,55.715
2015-11-19,56.50,57.30,56.02,57.11,769200,56.246
2015-11-18,58.20,58.68,55.55,55.99,2074900,55.143
2015-11-17,62.01,63.58,61.89,63.36,212900,62.402
2015-11-16,60.60,62.73,59.81,61.45,157400,60.521
2015-11-13,62.13,62.50,61.08,61.50,137100,60.57
2015-11-12,62.01,63.70,61.64,62.00,275200,61.063
2015-11-11,63.77,64.49,61.66,61.90,343800,60.964
2015-11-10,60.95,63.75,59.94,63.40,451500,62.441
2015-11-09,57.73,62.06,57.00,61.12,361900,60.196
2015-11-06,57.95,59.82,57.04,57.47,140600,56.601
2015-11-05,57.14,57.88,56.58,57.70,85400,56.828
2015-11-04,57.90,58.10,56.51,56.77,144000,55.912
2015-11-03,59.14,59.27,56.92,57.50,130000,56.631
2015-11-02,57.28,59.50,57.28,58.97,136000,58.078
2015-10-30,58.70,58.70,56.58,57.39,111300,56.522
2015-10-29,55.59,58.84,55.57,58.73,197200,57.842
2015-10-28,55.68,55.84,53.55,55.09,166100,54.257
2015-10-27,55.32,56.33,55.24,55.45,100400,54.612
2015-10-26,56.10,56.34,54.21,55.15,119300,54.316
2015-10-23,53.69,56.42,53.56,55.65,152600,54.809
2015-10-22,53.77,53.77,51.11,53.15,174800,52.346
2015-10-21,53.48,54.50,52.70,53.94,172700,53.124
2015-10-20,52.83,54.63,52.20,53.27,180300,52.465
2015-10-19,50.05,52.92,50.05,52.83,170100,52.031
2015-10-16,49.44,50.27,48.37,49.63,207300,48.88
2015-10-15,47.22,49.22,46.515,49.025,128600,48.284
2015-10-14,49.12,49.12,46.915,46.915,135500,46.206
2015-10-13,48.95,49.63,47.325,49.31,142300,48.564
2015-10-12,47.005,49.115,44.765,48.845,368100,48.106
2015-10-09,50.63,50.63,46.745,47.365,323800,46.649
2015-10-08,50.44,50.80,49.82,50.00,103900,49.244
2015-10-07,51.80,51.80,50.31,50.65,117100,49.884
2015-10-06,51.91,52.36,51.22,51.62,116200,50.839
2015-10-05,52.31,52.37,51.03,51.60,126700,50.82
2015-10-02,52.10,52.36,49.875,51.19,131700,50.416
2015-10-01,53.15,53.33,51.15,51.34,92300,50.564
2015-09-30,53.10,53.67,52.22,52.63,105500,51.834
2015-09-29,49.915,52.22,48.12,51.79,231000,51.007
2015-09-28,53.61,53.61,50.02,50.28,241700,49.52
2015-09-25,52.87,54.19,52.19,53.52,144000,52.711
2015-09-24,52.82,53.36,51.10,51.36,120100,50.583
2015-09-23,52.00,52.95,50.50,52.51,153300,51.716
2015-09-22,54.08,54.11,51.73,51.91,138800,51.125
2015-09-21,52.50,53.95,51.69,53.74,121500,52.927
2015-09-18,53.61,54.02,52.25,52.81,205600,52.011
2015-09-17,54.65,54.73,53.45,53.59,129500,52.78
2015-09-16,54.62,55.84,54.19,54.41,188700,53.587
2015-09-15,53.80,55.07,53.57,54.00,120300,53.183
2015-09-14,54.60,55.07,52.56,53.47,161700,52.662
2015-09-11,55.90,56.00,53.82,54.25,134300,53.43
2015-09-10,56.50,56.51,54.76,55.40,215600,54.562
2015-09-09,58.41,58.63,55.38,55.87,195200,55.025
2015-09-08,55.81,57.68,55.57,56.75,145300,55.892
2015-09-07,55.00,55.94,54.57,55.30,123300,54.464
2015-09-04,53.93,55.05,53.68,54.50,204800,53.676
2015-09-03,52.55,55.73,52.33,55.15,236100,54.316
2015-09-02,49.50,52.08,49.005,51.81,160400,51.027
2015-09-01,51.69,52.42,48.22,49.04,224400,48.298
