Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,46.56,47.355,46.395,46.535,139000,46.535
2016-10-26,46.94,47.64,46.545,46.62,247300,46.62
2016-10-25,47.73,47.98,46.88,46.95,156900,46.95
2016-10-24,48.24,48.40,47.705,47.715,102000,47.715
2016-10-21,48.35,48.565,47.92,48.18,124900,48.18
2016-10-20,48.355,48.585,47.975,48.445,111800,48.445
2016-10-19,48.39,48.75,48.205,48.50,146600,48.50
2016-10-18,47.58,48.685,47.575,48.42,190200,48.42
2016-10-17,47.40,47.88,47.335,47.50,130500,47.50
2016-10-14,47.02,48.085,46.60,47.65,261000,47.65
2016-10-13,48.125,48.50,47.99,48.45,172700,48.45
2016-10-12,48.20,48.775,48.165,48.55,173400,48.55
2016-10-11,49.155,49.235,48.20,48.385,228800,48.385
2016-10-10,49.17,49.80,48.70,49.45,146500,49.45
2016-10-07,49.36,49.705,48.82,49.00,146700,49.00
2016-10-06,50.05,50.19,49.465,49.48,196600,49.48
2016-10-05,49.56,49.86,49.26,49.69,148300,49.69
2016-10-04,49.65,50.81,49.65,50.02,206800,50.02
2016-10-03,49.46,49.46,49.46,49.46,000,49.46
2016-09-30,49.00,49.66,48.66,49.46,235100,49.46
2016-09-29,50.40,50.50,49.325,49.515,227800,49.515
2016-09-28,49.88,50.74,49.865,50.01,166900,50.01
2016-09-27,50.00,50.00,49.445,49.795,151700,49.795
2016-09-26,49.625,50.07,49.485,49.77,164400,49.77
2016-09-23,50.30,50.30,49.85,50.10,120000,50.10
2016-09-22,49.86,50.41,49.86,50.32,118600,50.32
2016-09-21,50.19,50.49,49.685,49.685,150800,49.685
2016-09-20,49.17,50.25,48.985,49.805,247500,49.805
2016-09-19,49.30,49.60,48.975,49.18,136700,49.18
2016-09-16,48.73,49.705,48.65,49.18,241500,49.18
2016-09-15,48.495,48.98,48.11,48.965,222200,48.965
2016-09-14,48.15,49.115,48.005,48.79,289100,48.79
2016-09-13,48.22,48.585,47.57,47.76,185600,47.76
2016-09-12,47.36,48.075,46.94,47.875,240300,47.875
2016-09-09,48.86,49.08,47.845,48.02,189400,48.02
2016-09-08,49.625,50.07,49.00,49.14,140100,49.14
2016-09-07,49.59,50.00,49.49,49.565,144100,49.565
2016-09-06,49.16,49.99,48.845,49.63,301600,49.63
2016-09-05,48.60,49.00,48.23,48.54,144500,48.54
2016-09-02,47.835,48.435,47.72,48.38,178000,48.38
2016-09-01,48.23,48.855,47.635,47.665,201400,47.665
2016-08-31,49.185,49.34,48.135,48.14,222200,48.14
2016-08-30,49.095,49.72,48.77,49.40,333400,49.40
2016-08-29,47.365,48.745,47.125,48.09,274000,48.09
2016-08-26,48.00,48.455,47.73,48.225,206800,47.525
2016-08-25,48.285,48.37,46.615,48.16,328100,47.461
2016-08-24,49.135,49.355,48.585,48.62,204700,47.914
2016-08-23,49.50,49.82,49.16,49.33,152600,48.614
2016-08-22,49.42,49.83,48.62,49.50,218000,48.781
2016-08-19,50.31,50.31,48.715,49.26,188900,48.545
2016-08-18,49.60,51.06,49.485,50.09,308000,49.363
2016-08-17,50.15,50.16,49.145,49.145,169600,48.432
2016-08-16,50.26,50.88,49.89,49.975,260800,49.25
2016-08-15,49.94,50.53,49.84,50.42,217700,49.688
2016-08-12,50.10,50.19,49.805,50.10,191600,49.373
2016-08-11,49.56,50.10,49.42,50.10,255900,49.373
2016-08-10,49.25,49.605,49.11,49.56,217600,48.841
2016-08-09,48.955,49.43,48.505,49.43,284300,48.713
2016-08-08,49.00,49.15,48.555,49.00,194600,48.289
2016-08-05,48.52,48.985,47.60,48.985,194600,48.274
2016-08-04,47.87,49.25,47.655,48.565,385000,47.86
2016-08-03,48.06,48.10,47.36,47.61,212100,46.919
2016-08-02,48.84,49.06,48.10,48.255,211800,47.555
2016-08-01,48.59,49.60,48.20,48.98,495500,48.269
2016-07-29,48.205,48.285,47.62,48.275,238200,47.574
2016-07-28,46.40,49.00,46.385,48.225,536100,47.525
2016-07-27,46.75,47.115,45.92,46.585,268300,45.909
2016-07-26,46.09,46.95,46.085,46.95,240500,46.269
2016-07-25,46.50,46.62,46.045,46.225,127900,45.554
2016-07-22,46.65,46.74,45.905,46.39,155000,45.717
2016-07-21,47.67,47.67,46.425,46.88,201300,46.20
2016-07-20,46.72,47.40,46.575,47.32,293500,46.633
2016-07-19,46.27,46.75,45.935,46.50,202000,45.825
2016-07-18,46.50,46.895,46.195,46.265,174800,45.593
2016-07-15,46.28,46.415,45.865,46.10,172900,45.431
2016-07-14,46.99,46.99,46.17,46.345,185200,45.672
2016-07-13,46.71,46.95,46.51,46.51,331300,45.835
2016-07-12,47.565,47.80,46.89,46.985,267100,46.303
2016-07-11,46.805,47.73,46.335,47.64,203000,46.948
2016-07-08,45.885,46.74,45.805,46.605,147000,45.929
2016-07-07,46.38,46.78,46.02,46.075,178400,45.406
2016-07-06,45.135,46.085,45.13,45.965,255600,45.298
2016-07-05,45.95,46.115,45.09,45.52,186800,44.859
2016-07-04,47.835,48.00,46.00,46.05,253700,45.382
2016-07-01,46.74,47.99,46.43,47.565,316200,46.875
2016-06-30,46.10,47.24,46.00,46.44,440800,45.766
2016-06-29,44.54,46.17,43.875,45.77,440500,45.106
2016-06-28,43.35,44.17,43.18,43.90,425700,43.263
2016-06-27,43.70,44.30,42.105,42.27,313700,41.656
2016-06-24,42.55,44.785,40.35,44.125,448800,43.485
2016-06-23,45.44,46.225,45.20,45.40,379000,44.741
2016-06-22,45.30,45.675,45.02,45.335,235600,44.677
2016-06-21,44.94,45.245,44.64,44.86,241500,44.209
2016-06-20,44.20,45.55,44.165,45.205,378100,44.549
2016-06-17,43.23,44.14,43.205,43.495,484600,42.864
2016-06-16,43.055,43.845,42.665,42.995,481400,42.371
2016-06-15,44.48,45.13,43.33,43.835,598900,43.199
2016-06-14,45.60,45.99,45.17,45.335,426600,44.677
2016-06-13,44.76,46.54,44.175,46.02,634600,45.352
2016-06-10,47.15,47.50,46.265,46.31,265100,45.638
2016-06-09,47.33,48.09,47.05,47.56,340800,46.18
2016-06-08,48.385,48.865,45.11,47.75,957400,46.364
2016-06-07,49.00,49.165,48.30,48.55,399100,47.141
2016-06-06,46.995,49.27,46.95,48.83,600400,47.413
2016-06-03,48.695,48.72,46.22,47.06,578700,45.694
2016-06-02,47.855,48.92,47.82,48.55,299500,47.141
2016-06-01,47.65,48.16,47.215,48.08,366100,46.685
2016-05-31,47.03,48.065,46.235,47.86,482000,46.471
2016-05-30,48.955,49.40,47.335,47.44,439900,46.063
2016-05-27,47.65,49.30,47.65,49.20,563200,47.772
2016-05-26,47.10,48.00,47.10,47.58,525100,46.199
2016-05-25,43.55,48.30,42.91,47.475,1474300,46.097
2016-05-24,44.05,44.45,43.555,43.625,452700,42.359
2016-05-23,44.25,44.87,44.15,44.205,602400,42.922
2016-05-20,43.33,44.235,43.275,44.235,374200,42.951
2016-05-19,43.155,43.495,42.675,43.25,429300,41.995
2016-05-18,41.975,43.195,41.975,43.075,473200,41.825
2016-05-17,41.90,42.235,41.45,42.225,402100,41.00
2016-05-16,41.85,41.85,41.85,41.85,000,40.636
2016-05-13,40.77,41.85,40.77,41.85,490500,40.636
2016-05-12,40.91,41.625,40.75,40.77,521900,39.587
2016-05-11,40.00,41.05,39.87,41.00,474600,39.81
2016-05-10,40.445,40.74,40.035,40.28,443800,39.111
2016-05-09,39.00,40.60,38.91,40.35,595300,39.179
2016-05-06,39.25,40.075,39.25,39.755,225000,38.601
2016-05-05,39.72,39.825,39.11,39.465,299500,38.32
2016-05-04,39.44,40.55,39.28,39.72,785500,38.567
2016-05-03,38.00,40.34,37.965,39.725,1226900,38.572
2016-05-02,37.05,38.14,37.035,37.76,312400,36.664
2016-04-29,37.195,37.35,36.665,37.05,317300,35.975
2016-04-28,36.545,37.365,36.525,37.365,235700,36.281
2016-04-27,36.72,36.945,36.245,36.92,239200,35.849
2016-04-26,37.02,37.23,36.46,36.765,267600,35.698
2016-04-25,36.93,37.04,36.52,36.865,223100,35.795
2016-04-22,36.88,37.11,36.73,36.93,292900,35.858
2016-04-21,36.92,37.15,36.72,36.945,275600,35.873
2016-04-20,37.26,37.41,36.65,36.915,421300,35.844
2016-04-19,37.255,37.525,37.08,37.405,473800,36.32
2016-04-18,36.69,37.41,36.43,37.185,238200,36.106
2016-04-15,37.135,37.40,36.975,37.035,306700,35.96
2016-04-14,37.44,37.68,37.295,37.385,394500,36.30
2016-04-13,37.11,37.495,36.685,37.495,485100,36.407
2016-04-12,36.06,36.38,35.66,36.36,207000,35.305
2016-04-11,36.10,36.435,35.70,36.05,145100,35.004
2016-04-08,35.95,36.40,35.95,36.155,221100,35.106
2016-04-07,36.20,36.61,35.905,36.02,278500,34.975
2016-04-06,35.20,36.205,35.20,36.205,358400,35.154
2016-04-05,35.20,35.46,35.00,35.25,302700,34.227
2016-04-04,34.94,36.025,34.905,35.80,297000,34.761
2016-04-01,34.655,34.85,34.23,34.79,250200,33.78
2016-03-31,34.58,35.00,34.58,34.885,186100,33.873
2016-03-30,34.095,35.005,34.095,34.785,318400,33.776
2016-03-29,33.51,34.06,33.51,34.02,275400,33.033
2016-03-28,33.735,33.735,33.735,33.735,000,32.756
2016-03-25,33.735,33.735,33.735,33.735,000,32.756
2016-03-24,33.765,34.15,33.70,33.735,226600,32.756
2016-03-23,34.71,34.71,33.81,34.08,366100,33.091
2016-03-22,34.10,34.74,33.52,34.74,359300,33.732
2016-03-21,34.02,34.73,34.02,34.145,353300,33.154
2016-03-18,33.45,34.275,33.39,34.275,457400,33.28
2016-03-17,33.58,33.65,32.97,33.65,336200,32.673
2016-03-16,33.405,33.74,33.31,33.50,358100,32.528
2016-03-15,32.85,33.50,32.65,33.50,435000,32.528
2016-03-14,32.43,32.995,32.21,32.945,262400,31.989
2016-03-11,31.97,32.19,31.79,32.125,168100,31.193
2016-03-10,31.56,32.50,31.36,31.475,357800,30.562
2016-03-09,31.255,31.82,31.08,31.52,183300,30.605
2016-03-08,31.315,31.585,30.735,31.30,203400,30.392
2016-03-07,31.46,31.72,31.38,31.575,198500,30.659
2016-03-04,31.255,31.965,31.05,31.56,306300,30.644
2016-03-03,31.435,31.59,31.06,31.24,232900,30.333
2016-03-02,32.52,32.54,31.34,31.52,484400,30.605
2016-03-01,31.445,32.69,31.445,32.435,505400,31.494
2016-02-29,31.61,32.34,30.35,31.33,733300,30.421
2016-02-26,32.05,32.40,31.145,31.88,332700,30.955
2016-02-25,31.95,31.99,31.575,31.77,288300,30.848
2016-02-24,31.95,32.005,31.24,31.50,323800,30.586
2016-02-23,32.09,32.42,31.745,32.025,226100,31.096
2016-02-22,32.235,32.455,32.045,32.25,248700,31.314
2016-02-19,31.68,31.995,31.415,31.93,373500,31.003
2016-02-18,31.50,32.12,31.405,31.755,325200,30.833
2016-02-17,30.82,31.495,30.80,31.40,221700,30.489
2016-02-16,30.81,31.00,30.625,30.775,370200,29.882
2016-02-15,30.45,30.895,30.40,30.815,302100,29.921
2016-02-12,29.255,30.235,29.075,29.865,598300,28.998
2016-02-11,29.075,29.31,28.505,29.00,454700,28.158
2016-02-10,28.64,29.70,28.60,29.28,475600,28.43
2016-02-09,28.65,28.995,28.05,28.79,592400,27.955
2016-02-08,29.855,29.965,28.535,28.665,481900,27.833
2016-02-05,30.80,31.08,29.76,29.87,387700,29.003
2016-02-04,31.75,31.75,30.62,30.925,468700,30.028
2016-02-03,31.48,31.82,30.98,31.43,301900,30.518
2016-02-02,32.03,32.095,31.39,31.71,276100,30.79
2016-02-01,31.86,32.245,31.73,32.045,160100,31.115
2016-01-29,31.93,31.935,31.245,31.795,235600,30.872
2016-01-28,31.755,32.12,31.08,31.455,271600,30.542
2016-01-27,32.53,32.63,32.065,32.29,215800,31.353
2016-01-26,32.48,32.82,32.14,32.66,162000,31.712
2016-01-25,32.86,33.135,32.55,32.91,243500,31.955
2016-01-22,32.28,32.775,32.125,32.535,293900,31.591
2016-01-21,31.305,31.75,30.84,31.565,437800,30.649
2016-01-20,32.38,32.475,31.08,31.17,536900,30.265
2016-01-19,32.975,33.295,32.685,33.125,185100,32.164
2016-01-18,32.615,33.215,32.475,32.485,219400,31.542
2016-01-15,33.505,33.915,32.255,32.81,264500,31.858
2016-01-14,34.30,34.30,32.77,33.485,427500,32.513
2016-01-13,34.95,35.185,34.475,34.61,255100,33.606
2016-01-12,34.35,35.26,34.235,34.585,233400,33.581
2016-01-11,35.00,35.215,34.665,34.665,182700,33.659
2016-01-08,35.65,36.00,35.20,35.20,220800,34.179
2016-01-07,35.315,35.61,34.675,35.47,355600,34.441
2016-01-06,36.815,36.815,36.065,36.325,173700,35.271
2016-01-05,36.865,37.21,36.405,36.865,256300,35.795
2016-01-04,36.715,37.025,36.395,36.61,276000,35.548
2016-01-01,37.34,37.34,37.34,37.34,000,36.256
2015-12-31,37.34,37.34,37.34,37.34,000,36.256
2015-12-30,37.20,37.415,37.01,37.34,133300,36.256
2015-12-29,36.83,37.165,36.78,37.165,234300,36.086
2015-12-28,36.50,36.795,36.18,36.615,187800,35.552
2015-12-25,36.38,36.38,36.38,36.38,000,35.324
2015-12-24,36.38,36.38,36.38,36.38,000,35.324
2015-12-23,35.77,36.455,35.695,36.38,125200,35.324
2015-12-22,35.59,35.995,35.285,35.43,173500,34.402
2015-12-21,35.425,36.06,35.165,35.49,138600,34.46
2015-12-18,36.015,36.13,35.35,35.525,455900,34.494
2015-12-17,36.07,36.495,36.00,36.28,310600,35.227
2015-12-16,35.54,36.225,35.41,35.575,344800,34.543
2015-12-15,33.655,35.335,33.57,35.25,323600,34.227
2015-12-14,33.455,33.81,33.28,33.325,266200,32.358
2015-12-11,34.645,34.645,33.365,33.52,445000,32.547
2015-12-10,34.75,35.43,34.46,34.655,357800,33.649
2015-12-09,35.345,35.60,34.82,34.895,292500,33.882
2015-12-08,36.17,36.30,35.20,35.34,193800,34.314
2015-12-07,35.82,36.835,35.82,36.255,189700,35.203
2015-12-04,35.845,36.04,35.275,35.65,233100,34.615
2015-12-03,36.235,36.845,35.85,35.85,434400,34.81
2015-12-02,35.70,36.305,35.70,36.21,192600,35.159
2015-12-01,36.20,36.36,35.605,35.615,176700,34.581
2015-11-30,36.10,36.20,35.935,36.14,153100,35.091
2015-11-27,36.20,36.20,35.58,35.94,156400,34.897
2015-11-26,35.93,36.175,35.785,36.05,151200,35.004
2015-11-25,35.155,35.95,35.13,35.78,221300,34.742
2015-11-24,35.88,36.01,35.085,35.26,248600,34.237
2015-11-23,35.775,36.31,35.73,36.075,300800,35.028
2015-11-20,35.795,36.13,35.60,35.94,218000,34.897
2015-11-19,35.68,36.475,35.62,35.80,362500,34.761
2015-11-18,34.445,35.60,34.435,35.505,438400,34.475
2015-11-17,33.70,34.555,33.565,34.53,379400,33.528
2015-11-16,32.13,33.355,32.00,33.26,386200,32.295
2015-11-13,33.03,33.22,31.67,32.58,993500,31.635
2015-11-12,35.70,35.745,32.21,33.23,1005900,32.266
2015-11-11,34.545,35.88,34.545,34.985,677700,33.97
2015-11-10,34.30,34.64,34.025,34.42,237400,33.421
2015-11-09,34.73,35.10,34.37,34.425,217700,33.426
2015-11-06,34.45,34.87,34.24,34.73,231400,33.722
2015-11-05,34.48,35.09,34.395,34.52,286700,33.518
2015-11-04,34.80,34.815,34.33,34.44,210800,33.441
2015-11-03,34.70,34.795,34.565,34.70,295300,33.693
2015-11-02,34.30,34.795,34.17,34.72,227600,33.712
2015-10-30,34.645,34.76,34.345,34.62,175300,33.615
2015-10-29,34.985,35.17,34.45,34.585,279800,33.581
2015-10-28,34.315,35.19,34.315,35.015,272800,33.999
2015-10-27,34.15,34.625,34.135,34.255,265400,33.261
2015-10-26,33.96,34.34,33.94,34.225,230900,33.232
2015-10-23,33.28,34.06,33.195,33.91,274400,32.926
2015-10-22,33.39,33.48,33.035,33.06,261200,32.101
2015-10-21,33.295,33.86,33.035,33.39,233400,32.421
2015-10-20,33.50,33.77,33.26,33.335,117200,32.368
2015-10-19,33.545,33.95,33.265,33.49,287600,32.518
2015-10-16,32.70,33.87,32.665,33.72,519900,32.741
2015-10-15,32.025,32.57,31.92,32.41,208500,31.469
2015-10-14,32.13,32.135,31.525,31.88,259800,30.955
2015-10-13,32.78,32.78,32.205,32.40,218100,31.46
2015-10-12,33.77,33.84,32.71,32.895,437100,31.94
2015-10-09,33.35,33.77,33.19,33.755,455200,32.775
2015-10-08,33.065,33.315,32.955,33.095,331900,32.135
2015-10-07,32.90,33.32,32.885,33.20,429200,32.237
2015-10-06,32.38,32.89,32.05,32.80,345300,31.848
2015-10-05,32.285,32.645,32.12,32.30,258400,31.363
2015-10-02,31.965,32.23,31.26,31.795,291900,30.872
2015-10-01,32.415,32.64,31.61,31.765,380900,30.843
2015-09-30,31.815,32.155,31.655,32.00,406500,31.071
2015-09-29,31.485,31.765,31.025,31.37,398400,30.46
2015-09-28,32.21,32.48,31.785,31.96,498100,31.033
2015-09-25,32.625,32.76,32.345,32.395,262500,31.455
2015-09-24,32.635,32.925,31.91,32.15,356700,31.217
2015-09-23,32.405,32.885,32.295,32.675,202700,31.727
2015-09-22,33.245,33.245,32.345,32.435,394400,31.494
2015-09-21,33.00,33.55,32.865,33.335,278400,32.368
2015-09-18,33.305,33.38,32.70,33.05,555400,32.091
2015-09-17,33.49,33.49,33.145,33.305,261700,32.338
2015-09-16,33.335,34.20,33.215,33.415,630200,32.445
2015-09-15,32.08,33.21,32.08,33.055,446000,32.096
2015-09-14,32.785,32.82,32.03,32.135,417800,31.202
2015-09-11,32.50,33.075,32.185,32.79,702800,31.838
2015-09-10,31.29,31.59,31.19,31.285,189800,30.377
2015-09-09,31.84,32.11,31.455,31.515,352200,30.60
2015-09-08,30.79,31.445,30.79,31.30,297000,30.392
2015-09-07,30.68,30.855,30.375,30.53,249900,29.644
2015-09-04,30.69,30.79,30.26,30.39,387200,29.508
2015-09-03,30.67,31.28,30.64,30.995,301600,30.096
2015-09-02,30.23,30.565,30.03,30.41,268500,29.528
2015-09-01,30.20,30.35,29.595,30.10,522700,29.227
2015-08-31,30.685,30.865,30.355,30.69,257100,29.799
2015-08-28,31.04,31.115,30.50,30.84,283900,29.945
2015-08-27,30.69,31.045,30.54,30.95,449500,30.052
2015-08-26,30.17,30.51,29.845,30.015,481400,29.144
2015-08-25,29.93,30.70,29.82,30.345,497700,29.464
2015-08-24,30.07,30.17,28.50,29.71,702900,28.848
2015-08-21,30.895,31.38,30.65,30.68,424600,29.79
2015-08-20,32.245,32.27,31.225,31.32,528700,30.411
2015-08-19,32.91,32.985,32.39,32.405,300900,31.465
2015-08-18,32.925,33.27,32.925,33.06,174600,32.101
2015-08-17,33.34,33.505,32.67,33.04,204600,32.081
2015-08-14,33.245,33.40,32.92,33.22,222300,32.256
2015-08-13,33.75,33.80,33.38,33.44,224200,32.47
2015-08-12,33.70,33.775,32.925,33.34,384600,32.372
2015-08-11,34.405,34.51,33.88,33.97,257600,32.984
2015-08-10,34.115,34.505,33.81,34.44,215500,33.441
2015-08-07,34.595,34.70,33.725,33.945,427100,32.96
2015-08-06,35.22,35.665,34.63,34.68,367000,33.674
2015-08-05,35.15,35.20,34.73,34.845,421500,33.834
2015-08-04,35.365,35.53,35.055,35.085,386700,34.067
2015-08-03,35.00,35.635,34.92,35.34,251800,34.314
2015-07-31,34.65,35.085,34.625,35.035,266700,34.018
2015-07-30,34.90,34.955,34.235,34.695,298400,33.688
2015-07-29,34.315,34.79,34.275,34.79,331200,33.78
2015-07-28,33.805,34.37,33.72,34.165,393500,33.174
2015-07-27,33.285,33.87,33.075,33.68,468400,32.703
2015-07-24,33.505,33.725,33.33,33.40,198000,32.431
2015-07-23,33.095,33.655,32.95,33.50,341800,32.528
2015-07-22,32.60,32.855,32.51,32.79,171500,31.838
2015-07-21,33.175,33.175,32.585,32.675,190300,31.727
2015-07-20,33.195,33.435,33.02,33.15,202800,32.188
2015-07-17,33.30,33.31,32.95,32.98,208100,32.023
2015-07-16,32.31,33.33,32.10,33.185,249200,32.222
2015-07-15,32.635,32.95,32.58,32.845,180300,31.892
2015-07-14,32.865,32.96,32.57,32.705,260600,31.756
2015-07-13,31.985,32.895,31.875,32.795,478000,31.843
2015-07-10,31.26,31.71,31.17,31.64,334900,30.722
