Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,18.60,18.77,18.38,18.62,1557600,18.62
2016-10-26,18.34,18.89,18.34,18.60,1700300,18.60
2016-10-25,18.15,18.48,18.145,18.315,1350400,18.315
2016-10-24,18.10,18.27,18.03,18.035,900400,18.035
2016-10-21,18.28,18.36,17.915,17.995,1561400,17.995
2016-10-20,17.895,18.275,17.875,18.195,1567900,18.195
2016-10-19,17.74,17.845,17.55,17.815,854200,17.815
2016-10-18,17.39,17.845,17.39,17.69,1348600,17.69
2016-10-17,17.44,17.48,17.235,17.345,751900,17.345
2016-10-14,17.155,17.805,17.145,17.39,1987400,17.39
2016-10-13,17.355,17.355,16.855,16.975,1625400,16.975
2016-10-12,17.38,17.545,17.28,17.425,1081900,17.425
2016-10-11,17.10,17.47,17.06,17.30,1026500,17.30
2016-10-10,16.88,17.125,16.765,17.075,1057300,17.075
2016-10-07,17.295,17.375,16.825,16.865,1614500,16.865
2016-10-06,17.21,17.435,17.10,17.34,996500,17.34
2016-10-05,17.045,17.165,16.975,17.12,1107200,17.12
2016-10-04,16.865,17.27,16.85,17.175,1537400,17.175
2016-10-03,16.885,16.885,16.885,16.885,000,16.885
2016-09-30,16.40,16.93,16.27,16.885,1565900,16.885
2016-09-29,16.81,16.905,16.45,16.51,982500,16.51
2016-09-28,16.35,16.795,16.28,16.57,2472500,16.57
2016-09-27,16.705,16.775,15.805,16.055,4236000,16.055
2016-09-26,17.57,17.57,16.57,16.70,4448700,16.70
2016-09-23,17.95,18.095,17.885,17.93,799100,17.93
2016-09-22,17.80,18.09,17.75,17.98,1154400,17.98
2016-09-21,17.585,17.86,17.43,17.62,1532700,17.62
2016-09-20,17.65,17.80,17.48,17.48,1080100,17.48
2016-09-19,17.91,18.005,17.655,17.695,1087700,17.695
2016-09-16,17.88,18.005,17.645,17.805,3035200,17.805
2016-09-15,17.94,18.075,17.76,17.885,1221000,17.885
2016-09-14,18.105,18.12,17.79,17.945,1284100,17.945
2016-09-13,18.21,18.44,18.00,18.03,1170300,18.03
2016-09-12,18.13,18.27,17.79,18.155,2424100,18.155
2016-09-09,18.72,18.935,18.48,18.515,1066000,18.515
2016-09-08,18.84,18.935,18.535,18.80,966300,18.80
2016-09-07,18.67,18.895,18.54,18.805,958700,18.805
2016-09-06,18.865,18.915,18.565,18.565,1352700,18.565
2016-09-05,18.86,19.01,18.70,18.87,1026000,18.87
2016-09-02,18.85,18.90,18.48,18.835,1520900,18.835
2016-09-01,18.805,19.165,18.72,18.77,1468200,18.77
2016-08-31,18.77,19.08,18.585,18.77,2204400,18.77
2016-08-30,18.305,19.255,18.205,18.955,3802100,18.955
2016-08-29,18.25,18.39,18.10,18.225,594000,18.225
2016-08-26,18.09,18.37,17.97,18.30,1101300,18.30
2016-08-25,18.135,18.21,17.94,18.10,1349500,18.10
2016-08-24,17.68,18.35,17.635,18.155,1681300,18.155
2016-08-23,17.735,18.035,17.665,17.80,1415800,17.80
2016-08-22,17.80,17.86,17.48,17.63,1152300,17.63
2016-08-19,17.87,17.915,17.345,17.625,2389400,17.625
2016-08-18,17.82,18.05,17.655,17.81,1426900,17.81
2016-08-17,17.755,17.905,17.625,17.70,1564100,17.70
2016-08-16,17.515,18.135,17.26,17.75,2684000,17.75
2016-08-15,18.21,18.26,17.47,17.665,4423800,17.665
2016-08-12,18.70,18.70,18.05,18.48,2361300,18.48
2016-08-11,18.85,18.96,17.99,18.735,5616300,18.735
2016-08-10,19.795,19.89,19.425,19.85,1489600,19.85
2016-08-09,19.51,19.925,19.51,19.845,1077100,19.845
2016-08-08,19.165,19.855,19.165,19.51,1745000,19.51
2016-08-05,18.525,19.035,18.525,19.02,1659100,19.02
2016-08-04,18.67,18.855,18.435,18.465,1085700,18.465
2016-08-03,18.38,18.69,18.165,18.515,1093600,18.515
2016-08-02,18.34,18.37,18.01,18.345,1641200,18.345
2016-08-01,18.75,18.845,18.30,18.415,1303500,18.415
2016-07-29,18.655,18.745,18.535,18.685,1178400,18.685
2016-07-28,19.295,19.585,18.36,18.68,2686100,18.68
2016-07-27,19.20,19.54,19.07,19.34,976700,19.34
2016-07-26,19.13,19.23,18.71,19.17,1629400,19.17
2016-07-25,19.435,19.56,19.10,19.18,871400,19.18
2016-07-22,19.595,19.64,19.315,19.355,1153700,19.355
2016-07-21,19.705,19.805,19.45,19.59,1212700,19.59
2016-07-20,19.825,19.875,19.36,19.685,1046900,19.685
2016-07-19,19.45,19.83,19.18,19.73,1600400,19.73
2016-07-18,20.15,20.26,19.82,20.13,971400,20.13
2016-07-15,19.945,20.255,19.725,20.155,1375600,20.155
2016-07-14,19.07,20.495,19.01,20.01,3678100,20.01
2016-07-13,18.88,19.29,18.77,18.795,1268900,18.795
2016-07-12,18.555,18.93,18.54,18.815,1109400,18.815
2016-07-11,17.985,18.595,17.95,18.46,1608700,18.46
2016-07-08,17.62,17.95,17.44,17.825,1679100,17.825
2016-07-07,17.75,18.09,17.65,17.84,1048800,17.84
2016-07-06,17.85,18.045,17.385,17.66,1802000,17.66
2016-07-05,18.57,18.59,17.89,17.99,1576200,17.99
2016-07-04,19.10,19.15,18.66,18.695,985800,18.695
2016-07-01,18.50,19.135,18.425,18.955,1520900,18.955
2016-06-30,18.205,18.59,17.905,18.345,2231300,18.345
2016-06-29,18.20,18.255,17.82,18.17,2353400,18.17
2016-06-28,18.66,18.69,17.59,17.86,3912900,17.86
2016-06-27,20.935,21.17,18.245,18.525,5805800,18.525
2016-06-24,20.25,21.235,20.11,21.15,3060600,21.15
2016-06-23,21.19,22.38,21.12,22.235,3278400,22.235
2016-06-22,21.07,21.20,20.865,20.995,1063000,20.995
2016-06-21,21.01,21.17,20.88,21.00,779700,21.00
2016-06-20,20.755,21.19,20.66,21.01,1334400,21.01
2016-06-17,19.995,20.385,19.955,20.23,2469100,20.23
2016-06-16,19.85,19.925,19.56,19.825,1463000,19.825
2016-06-15,20.03,20.19,19.815,19.945,1175800,19.945
