Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,13.81,13.91,13.675,13.765,362700,13.765
2016-10-26,13.81,13.855,13.52,13.78,697600,13.78
2016-10-25,13.95,13.98,13.73,13.785,420600,13.785
2016-10-24,13.88,14.065,13.81,13.90,456800,13.90
2016-10-21,13.82,13.905,13.695,13.785,424100,13.785
2016-10-20,13.785,13.90,13.665,13.84,469300,13.84
2016-10-19,13.665,13.845,13.515,13.695,555700,13.695
2016-10-18,13.435,13.665,13.20,13.615,908800,13.615
2016-10-17,13.525,13.765,13.425,13.475,419400,13.475
2016-10-14,13.645,13.775,13.47,13.51,678400,13.51
2016-10-13,13.79,13.82,13.415,13.62,862700,13.62
2016-10-12,13.89,13.965,13.82,13.895,521500,13.895
2016-10-11,13.99,14.07,13.845,13.87,511500,13.87
2016-10-10,13.90,13.985,13.72,13.945,398400,13.945
2016-10-07,14.05,14.08,13.76,13.805,526200,13.805
2016-10-06,14.275,14.33,14.015,14.175,410000,14.175
2016-10-05,14.015,14.30,13.91,14.205,637200,14.205
2016-10-04,14.075,14.275,13.955,14.085,831800,14.085
2016-09-30,13.725,14.205,13.545,14.08,846800,14.08
2016-09-29,14.025,14.155,13.84,13.885,450100,13.885
2016-09-28,13.78,13.975,13.715,13.76,525200,13.76
2016-09-27,13.795,13.80,13.365,13.69,569000,13.69
2016-09-26,13.755,13.795,13.48,13.70,578400,13.70
2016-09-23,13.95,13.95,13.68,13.795,424700,13.795
2016-09-22,13.795,14.08,13.795,13.925,406100,13.925
2016-09-21,14.10,14.135,13.70,13.70,838600,13.70
2016-09-20,14.015,14.12,13.85,13.86,468500,13.86
2016-09-19,13.88,14.12,13.82,14.07,753700,14.07
2016-09-16,14.35,14.485,13.865,13.865,2364700,13.865
2016-09-15,14.41,14.435,14.09,14.39,425800,14.39
2016-09-14,14.20,14.42,14.005,14.405,536400,14.405
2016-09-13,14.31,14.36,14.105,14.15,396200,14.15
2016-09-12,14.19,14.27,13.90,14.27,659200,14.27
2016-09-09,14.20,14.69,14.20,14.445,781200,14.445
2016-09-08,14.30,14.40,13.975,14.18,572400,14.18
2016-09-07,14.20,14.40,14.10,14.25,614800,14.25
2016-09-06,14.275,14.30,13.985,14.115,523300,14.115
2016-09-05,14.315,14.44,14.175,14.26,376700,14.26
2016-09-02,14.125,14.335,13.97,14.315,392200,14.315
2016-09-01,13.79,14.28,13.71,14.11,936300,14.11
2016-08-31,13.675,13.88,13.555,13.88,1038800,13.88
2016-08-30,13.645,13.75,13.515,13.72,460300,13.72
2016-08-29,13.71,13.79,13.45,13.56,378700,13.56
2016-08-26,13.85,13.905,13.615,13.86,323300,13.86
2016-08-25,13.96,14.03,13.825,13.845,426400,13.845
2016-08-24,13.67,14.155,13.47,14.06,1042000,14.06
2016-08-23,13.565,13.665,13.365,13.51,281000,13.51
2016-08-22,13.85,13.91,13.36,13.545,630800,13.545
2016-08-19,13.69,13.82,13.45,13.785,348600,13.785
2016-08-18,13.635,13.81,13.605,13.695,373900,13.695
2016-08-17,13.97,13.97,13.51,13.54,503100,13.54
2016-08-16,14.135,14.155,13.91,13.955,334600,13.955
2016-08-15,14.14,14.25,14.085,14.15,330600,14.15
2016-08-12,14.17,14.25,14.025,14.07,507500,14.07
2016-08-11,13.91,14.28,13.82,14.245,1302700,14.245
2016-08-10,13.32,13.545,13.19,13.545,517700,13.545
2016-08-09,13.025,13.425,13.00,13.40,670300,13.40
2016-08-08,12.78,13.03,12.78,13.00,361600,13.00
2016-08-05,12.58,12.765,12.47,12.765,366200,12.765
2016-08-04,12.50,12.665,12.365,12.49,541800,12.49
2016-08-03,12.515,12.59,12.265,12.45,513300,12.45
2016-08-02,13.02,13.02,12.47,12.535,747400,12.535
2016-08-01,13.07,13.25,12.82,12.98,421800,12.98
2016-07-29,12.91,13.05,12.805,13.05,753800,13.05
2016-07-28,13.305,13.35,12.83,12.83,685600,12.83
2016-07-27,13.145,13.31,12.90,13.30,736900,13.30
2016-07-26,13.11,13.25,12.88,13.085,626000,13.085
2016-07-25,13.31,13.31,12.97,13.10,565100,13.10
2016-07-22,13.13,13.37,13.035,13.265,466300,13.265
2016-07-21,13.18,13.29,13.00,13.075,656400,13.075
2016-07-20,13.465,13.52,12.85,13.14,1792200,13.14
2016-07-19,13.16,13.55,12.915,13.445,1002500,13.445
2016-07-18,13.01,13.285,12.94,13.14,555900,13.14
2016-07-15,13.105,13.15,12.80,12.91,346100,12.91
2016-07-14,13.045,13.315,13.005,13.12,684300,13.12
2016-07-13,12.85,12.995,12.695,12.92,1090200,12.92
2016-07-12,12.53,12.97,12.44,12.80,773900,12.80
2016-07-11,12.56,12.695,12.115,12.47,543800,12.47
2016-07-08,11.87,12.41,11.79,12.355,862000,12.355
2016-07-07,11.715,12.19,11.715,11.835,863000,11.835
2016-07-06,11.85,11.86,11.27,11.615,981700,11.615
2016-07-05,12.115,12.165,11.74,11.89,683400,11.89
2016-07-04,12.255,12.29,11.705,12.14,846900,12.14
2016-07-01,11.90,12.285,11.71,12.10,1107900,12.10
2016-06-30,11.90,12.095,11.705,11.85,1587800,11.85
2016-06-29,12.35,12.35,11.715,11.825,1450900,11.825
2016-06-28,12.04,12.28,11.56,12.12,1159800,12.12
2016-06-27,13.00,13.02,11.45,11.645,1935200,11.645
2016-06-24,13.05,13.47,12.75,12.93,1703300,12.93
2016-06-23,14.26,14.345,14.005,14.17,342700,14.17
2016-06-22,14.30,14.365,14.00,14.14,376500,14.14
2016-06-21,14.39,14.42,14.19,14.27,427700,14.27
2016-06-20,14.19,14.63,14.14,14.31,805600,14.31
2016-06-17,13.70,13.995,13.52,13.995,3960300,13.995
2016-06-16,13.765,13.995,13.425,13.625,569600,13.625
2016-06-15,13.775,13.975,13.64,13.85,515600,13.85
2016-06-14,13.80,13.80,13.53,13.64,614800,13.64
2016-06-13,13.90,14.06,13.71,13.84,459400,13.84
2016-06-10,14.31,14.315,13.995,14.05,669400,14.05
2016-06-09,14.575,14.575,14.20,14.30,616400,14.30
2016-06-08,14.79,14.79,14.36,14.52,555100,14.52
2016-06-07,14.73,14.88,14.67,14.78,569900,14.78
2016-06-06,14.65,14.70,14.535,14.61,378300,14.61
2016-06-03,14.80,14.80,14.24,14.47,677400,14.47
2016-06-02,14.50,14.735,14.39,14.675,477900,14.675
2016-06-01,14.65,14.75,14.345,14.47,841800,14.47
2016-05-31,14.35,14.675,14.245,14.50,15378000,14.50
2016-05-30,14.405,14.45,14.245,14.335,656900,14.335
2016-05-27,14.55,14.59,14.265,14.295,887100,14.295
2016-05-26,14.75,14.80,14.505,14.60,433100,14.60
2016-05-25,14.855,15.00,14.52,14.66,853300,14.66
2016-05-24,14.25,14.83,14.175,14.80,1294900,14.80
2016-05-23,14.225,14.28,13.99,14.25,641200,14.25
2016-05-20,13.965,14.335,13.90,14.26,820500,14.26
2016-05-19,14.02,14.09,13.72,13.87,633400,13.87
2016-05-18,13.76,14.055,13.705,14.055,740800,14.055
2016-05-17,14.175,14.175,13.60,13.76,956300,13.76
2016-05-13,13.90,14.40,13.77,14.04,2756800,14.04
2016-05-12,13.12,13.80,13.12,13.80,2015200,13.80
2016-05-11,12.94,13.01,12.775,12.985,909900,12.985
2016-05-10,12.98,13.02,12.80,12.96,581200,12.96
2016-05-09,12.83,12.965,12.75,12.86,448100,12.86
2016-05-06,12.85,12.905,12.67,12.73,553100,12.73
2016-05-05,12.855,12.93,12.72,12.87,190500,12.87
2016-05-04,12.815,12.895,12.675,12.76,275800,12.76
2016-05-03,13.075,13.075,12.615,12.715,600600,12.715
2016-05-02,13.275,13.29,12.955,13.065,271500,13.065
2016-04-29,13.30,13.41,13.04,13.10,521400,13.10
2016-04-28,13.37,13.40,13.205,13.34,207600,13.34
2016-04-27,13.43,13.435,13.30,13.41,486400,13.41
2016-04-26,13.39,13.42,13.34,13.39,296100,13.39
2016-04-25,13.40,13.475,13.24,13.30,541500,13.30
2016-04-22,13.605,13.715,13.485,13.67,344900,13.32
2016-04-21,13.59,13.61,13.515,13.565,588100,13.218
2016-04-20,13.57,13.615,13.47,13.50,510300,13.154
2016-04-19,13.52,13.65,13.465,13.59,597300,13.242
2016-04-18,13.35,13.53,13.30,13.50,872900,13.154
2016-04-15,13.625,13.63,13.33,13.37,613300,13.028
2016-04-14,13.765,13.815,13.56,13.625,1050600,13.276
2016-04-13,13.52,13.74,13.42,13.68,1316500,13.33
2016-04-12,13.365,13.445,13.255,13.40,336400,13.057
2016-04-11,13.27,13.375,13.185,13.36,1197000,13.018
2016-04-08,13.075,13.195,13.055,13.15,394400,12.813
2016-04-07,13.12,13.14,12.99,12.99,845700,12.657
2016-04-06,13.00,13.09,12.835,13.06,1341200,12.726
2016-04-05,12.95,13.18,12.80,12.92,9170000,12.589
2016-04-04,14.16,14.16,13.835,13.91,110500,13.554
2016-04-01,14.02,14.175,13.955,14.13,125900,13.768
2016-03-31,14.205,14.205,13.98,14.13,163000,13.768
2016-03-30,14.17,14.28,14.10,14.205,115200,13.841
2016-03-29,14.185,14.225,14.00,14.09,70700,13.729
2016-03-28,14.10,14.10,14.10,14.10,000,13.739
2016-03-25,14.10,14.10,14.10,14.10,000,13.739
2016-03-24,14.12,14.35,14.03,14.10,138400,13.739
2016-03-23,14.35,14.41,14.105,14.25,206000,13.885
2016-03-22,13.95,14.425,13.95,14.335,312400,13.968
2016-03-21,13.80,14.145,13.54,13.90,290100,13.544
2016-03-18,14.02,14.02,13.555,13.705,411800,13.354
2016-03-17,14.60,14.745,13.85,13.98,249000,13.622
2016-03-16,14.60,14.64,14.285,14.405,244100,14.036
2016-03-15,14.95,15.00,14.30,14.43,386200,14.061
2016-03-14,14.40,14.60,14.28,14.50,113600,14.129
2016-03-11,14.315,14.635,14.26,14.36,122800,13.992
2016-03-10,14.40,14.775,14.05,14.095,199100,13.734
2016-03-09,14.345,14.485,14.10,14.33,128300,13.963
2016-03-08,14.44,14.445,14.05,14.22,125100,13.856
2016-03-07,14.73,14.73,14.265,14.54,156100,14.168
2016-03-04,15.295,15.295,14.525,14.64,336000,14.265
2016-03-03,15.10,15.38,14.685,15.10,212700,14.713
2016-03-02,15.205,15.48,14.99,15.045,186500,14.66
2016-03-01,14.28,15.205,14.28,15.205,183300,14.816
2016-02-29,14.00,14.65,13.84,14.41,267600,14.041
2016-02-26,13.775,14.17,13.695,13.975,144400,13.617
2016-02-25,13.76,13.80,13.48,13.655,130200,13.305
2016-02-24,13.89,13.89,13.33,13.755,156100,13.403
2016-02-23,14.00,14.03,13.725,13.81,147300,13.456
2016-02-22,13.92,14.125,13.645,14.125,128500,13.763
2016-02-19,13.83,13.985,13.49,13.80,207800,13.447
2016-02-18,13.65,14.10,13.51,13.955,251200,13.598
2016-02-17,12.75,13.53,12.565,13.49,251000,13.145
2016-02-16,13.01,13.115,12.555,12.73,171800,12.404
2016-02-15,12.71,12.94,12.53,12.91,167600,12.579
2016-02-12,12.65,12.75,12.205,12.25,331600,11.936
2016-02-11,13.035,13.07,12.55,12.625,218700,12.302
2016-02-10,13.10,13.50,12.48,13.15,258400,12.813
2016-02-09,13.30,13.90,12.57,13.00,392300,12.667
2016-02-08,14.015,14.08,13.32,13.41,121600,13.067
2016-02-05,14.23,14.23,13.915,14.075,53300,13.715
2016-02-04,14.555,14.555,13.99,14.215,134200,13.851
2016-02-03,14.34,14.70,14.235,14.43,212800,14.061
2016-02-02,14.255,14.47,13.66,14.47,260900,14.10
2016-02-01,14.745,14.745,14.155,14.155,116300,13.793
2016-01-29,15.165,15.20,14.31,14.62,341700,14.246
2016-01-28,15.64,15.65,14.64,15.11,233600,14.723
2016-01-27,15.10,15.765,15.00,15.64,222300,15.24
2016-01-26,14.625,15.28,14.505,15.215,99700,14.825
2016-01-25,14.98,15.18,14.50,14.70,121100,14.324
2016-01-22,14.77,15.245,14.60,14.93,65000,14.548
2016-01-21,14.40,14.775,14.22,14.58,202700,14.207
2016-01-20,14.305,14.70,14.25,14.36,165100,13.992
2016-01-19,14.40,14.525,14.04,14.45,161000,14.08
2016-01-18,14.00,14.24,13.85,14.04,74000,13.681
2016-01-15,14.58,14.67,13.905,14.00,292400,13.642
2016-01-14,14.79,14.79,13.67,14.33,448100,13.963
2016-01-13,15.61,15.745,14.72,14.72,242500,14.343
2016-01-12,15.25,15.50,15.055,15.395,219100,15.001
2016-01-11,15.165,15.745,15.16,15.245,246800,14.855
2016-01-08,15.095,15.69,15.04,15.155,202800,14.767
2016-01-07,15.12,15.45,14.85,15.125,204800,14.738
2016-01-06,16.00,16.00,15.36,15.70,187200,15.298
2016-01-05,16.055,16.30,15.93,15.935,170300,15.527
2016-01-04,16.00,16.20,15.705,15.93,174300,15.522
2016-01-01,16.25,16.25,16.25,16.25,000,15.834
2015-12-31,16.25,16.25,16.25,16.25,000,15.834
2015-12-30,16.12,16.30,16.12,16.25,128600,15.834
2015-12-29,16.29,16.295,15.98,16.15,80500,15.737
2015-12-28,16.40,16.445,16.215,16.30,64700,15.883
2015-12-25,16.36,16.36,16.36,16.36,000,15.941
2015-12-24,16.36,16.36,16.36,16.36,000,15.941
2015-12-23,16.51,16.57,16.36,16.36,68300,15.941
2015-12-22,16.455,16.585,16.265,16.365,93300,15.946
2015-12-21,16.265,16.635,16.105,16.44,115900,16.019
2015-12-18,16.05,16.245,15.94,16.16,422700,15.746
2015-12-17,16.99,16.99,16.10,16.185,322200,15.771
2015-12-16,16.365,16.50,16.19,16.38,210700,15.961
2015-12-15,16.26,16.535,16.055,16.25,147600,15.834
2015-12-14,16.335,16.36,15.955,16.10,134900,15.688
2015-12-11,16.50,16.74,16.05,16.20,215300,15.785
2015-12-10,16.095,16.42,16.05,16.42,101800,16.00
2015-12-09,16.19,16.33,15.955,16.085,367900,15.673
2015-12-08,16.635,16.635,15.84,16.02,459600,15.61
2015-12-07,16.95,16.95,16.49,16.51,330100,16.087
2015-12-04,16.75,16.825,16.40,16.65,401100,16.224
2015-12-03,17.10,17.465,16.55,16.64,308100,16.214
2015-12-02,16.80,17.13,16.61,17.10,283000,16.662
2015-12-01,16.80,16.80,16.48,16.715,364300,16.287
2015-11-30,16.79,16.81,16.35,16.60,241600,16.175
2015-11-27,16.90,16.94,16.255,16.60,379200,16.175
2015-11-26,16.03,16.77,15.98,16.64,470000,16.214
2015-11-25,15.605,16.02,15.48,15.90,370700,15.493
2015-11-24,15.30,15.58,14.85,15.45,306600,15.054
2015-11-23,15.20,15.305,14.90,15.23,417700,14.84
2015-11-20,14.69,15.285,14.61,15.085,690200,14.699
2015-11-19,13.92,14.69,13.775,14.50,614200,14.129
2015-11-18,13.995,14.02,13.58,13.635,626400,13.286
2015-11-17,13.27,13.625,13.195,13.56,124800,13.213
2015-11-16,13.00,13.27,13.00,13.24,191400,12.901
2015-11-13,12.98,13.185,12.90,13.175,152900,12.838
2015-11-12,12.725,12.975,12.725,12.90,68500,12.57
2015-11-11,12.55,12.79,12.55,12.76,28500,12.433
2015-11-10,12.75,12.75,12.50,12.60,99100,12.277
2015-11-09,12.995,13.135,12.40,12.70,138200,12.375
2015-11-06,13.02,13.16,12.905,12.96,160800,12.628
2015-11-05,13.49,13.49,13.005,13.04,115800,12.706
2015-11-04,13.21,13.43,12.97,13.385,81800,13.042
2015-11-03,13.35,13.42,13.06,13.315,70900,12.974
2015-11-02,13.40,13.49,13.25,13.32,73900,12.979
2015-10-30,13.555,13.555,13.145,13.30,126900,12.959
2015-10-29,13.55,13.555,13.10,13.555,94000,13.208
2015-10-28,13.60,13.60,13.09,13.40,184200,13.057
2015-10-27,13.70,13.70,13.08,13.40,197600,13.057
2015-10-26,13.80,13.80,13.545,13.62,171500,13.271
2015-10-23,12.94,13.89,12.905,13.69,1119300,13.339
2015-10-22,12.38,12.86,12.25,12.86,485000,12.531
2015-10-21,12.115,12.30,12.005,12.295,330000,11.98
2015-10-20,11.995,12.27,11.85,12.00,1078300,11.693
2015-10-19,12.27,12.32,11.80,11.90,1546600,11.595
2015-10-16,12.74,12.75,12.25,12.25,3769800,11.936
2015-10-15,12.94,12.94,12.50,12.55,960400,12.229
2015-10-14,12.95,13.10,12.75,12.79,329600,12.463
2015-10-13,13.18,13.18,12.67,12.91,1664100,12.579
2015-10-12,13.38,13.54,13.11,13.25,1877400,12.911
2015-10-09,13.50,13.75,13.12,13.15,14559200,12.813
