Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,4.904,4.904,4.844,4.866,1973900,4.866
2016-10-26,4.985,5.038,4.859,4.894,3667500,4.894
2016-10-25,4.983,5.037,4.971,4.986,2517300,4.986
2016-10-24,4.885,5.014,4.884,4.949,3263900,4.949
2016-10-21,4.909,4.909,4.834,4.843,2542100,4.843
2016-10-20,4.923,4.923,4.816,4.885,2644800,4.885
2016-10-19,4.932,4.956,4.904,4.931,2826000,4.931
2016-10-18,4.813,4.936,4.796,4.907,3514100,4.907
2016-10-17,4.779,4.80,4.712,4.772,1998500,4.772
2016-10-14,4.678,4.817,4.654,4.785,3718200,4.785
2016-10-13,4.739,4.739,4.60,4.64,4720500,4.64
2016-10-12,4.791,4.827,4.72,4.754,4082800,4.754
2016-10-11,4.919,4.919,4.737,4.78,6500900,4.78
2016-10-10,4.897,4.956,4.887,4.919,2534800,4.919
2016-10-07,4.905,4.957,4.84,4.88,4912300,4.88
2016-10-06,5.03,5.073,4.908,4.92,5519500,4.92
2016-10-05,5.06,5.06,4.973,5.00,4811800,5.00
2016-10-04,5.101,5.153,5.075,5.10,6118900,5.10
2016-10-03,5.109,5.109,5.109,5.109,000,5.109
2016-09-30,5.099,5.142,5.024,5.109,4524900,5.109
2016-09-29,5.31,5.345,5.149,5.176,7394800,5.176
2016-09-28,5.123,5.369,5.123,5.254,12335500,5.254
2016-09-27,5.062,5.13,5.012,5.055,2615700,5.055
2016-09-26,5.091,5.097,4.985,5.004,2708900,5.004
2016-09-23,5.25,5.25,5.078,5.121,3032300,5.121
2016-09-22,5.078,5.251,5.078,5.248,3731700,5.248
2016-09-21,5.105,5.105,5.00,5.019,2679400,5.019
2016-09-20,5.048,5.098,5.026,5.068,1409400,5.068
2016-09-19,5.005,5.073,5.003,5.061,1519900,5.061
2016-09-16,5.029,5.056,4.956,4.98,4358000,4.98
2016-09-15,5.035,5.078,5.00,5.056,4081700,5.056
2016-09-14,5.04,5.114,4.98,5.06,3717700,5.06
2016-09-13,5.16,5.20,4.99,5.02,4166100,5.02
2016-09-12,5.14,5.153,5.091,5.129,3731900,5.129
2016-09-09,5.35,5.35,5.237,5.238,4860700,5.238
2016-09-08,5.24,5.423,5.23,5.409,3859800,5.409
2016-09-07,5.53,5.628,5.216,5.256,3400200,5.256
2016-09-06,5.496,5.569,5.434,5.498,1942700,5.498
2016-09-05,5.55,5.584,5.409,5.49,2876500,5.49
2016-09-02,5.34,5.506,5.288,5.498,3018100,5.498
2016-09-01,5.379,5.418,5.277,5.337,4728400,5.337
2016-08-31,5.80,5.808,5.381,5.391,6487800,5.391
2016-08-30,5.795,5.868,5.761,5.83,2364500,5.83
2016-08-29,5.832,5.832,5.698,5.773,701300,5.773
2016-08-26,5.794,5.883,5.79,5.87,1136600,5.87
2016-08-25,5.856,5.921,5.749,5.795,2497500,5.795
2016-08-24,5.98,5.987,5.85,5.877,5491900,5.877
2016-08-23,6.04,6.10,6.007,6.10,2342700,6.10
2016-08-22,6.047,6.062,5.968,6.02,2061900,6.02
2016-08-19,6.135,6.135,6.00,6.069,2278900,6.069
2016-08-18,6.075,6.161,6.043,6.143,2816000,6.143
2016-08-17,6.05,6.05,5.972,6.019,2468600,6.019
2016-08-16,5.96,6.062,5.96,6.032,3231900,6.032
2016-08-15,5.98,6.007,5.937,5.985,1308200,5.985
2016-08-12,5.95,5.992,5.925,5.96,2554700,5.96
2016-08-11,5.939,5.96,5.89,5.949,2271100,5.949
2016-08-10,5.94,6.012,5.922,5.948,3320400,5.948
2016-08-09,5.902,5.959,5.86,5.934,1424000,5.934
2016-08-08,5.819,5.91,5.815,5.89,4192300,5.89
2016-08-05,5.839,5.844,5.755,5.80,1401200,5.80
2016-08-04,5.668,5.853,5.648,5.811,2875000,5.811
2016-08-02,5.698,5.698,5.554,5.597,2219800,5.597
2016-08-01,5.689,5.732,5.622,5.688,2112500,5.688
2016-07-29,5.62,5.685,5.581,5.679,1392900,5.679
2016-07-28,5.584,5.641,5.568,5.598,1799500,5.598
2016-07-27,5.588,5.639,5.56,5.62,1318600,5.62
2016-07-26,5.49,5.56,5.483,5.538,1564600,5.538
2016-07-25,5.519,5.554,5.47,5.497,1160800,5.497
2016-07-22,5.502,5.519,5.442,5.513,1533400,5.513
2016-07-21,5.485,5.553,5.422,5.527,1860800,5.527
2016-07-20,5.485,5.503,5.442,5.49,1457800,5.49
2016-07-19,5.449,5.47,5.383,5.436,1181600,5.436
2016-07-18,5.468,5.474,5.376,5.45,1095800,5.45
2016-07-15,5.392,5.466,5.326,5.46,1867600,5.46
2016-07-14,5.353,5.43,5.304,5.41,1406800,5.41
2016-07-13,5.345,5.374,5.304,5.316,2158600,5.316
2016-07-12,5.349,5.399,5.315,5.348,1780100,5.348
2016-07-11,5.185,5.358,5.172,5.33,1937400,5.33
2016-07-08,5.042,5.153,4.981,5.144,1875500,5.144
2016-07-07,4.948,5.08,4.948,5.041,1635900,5.041
2016-07-06,4.898,4.92,4.743,4.905,2772000,4.905
2016-07-05,5.074,5.079,4.93,4.951,2768400,4.951
2016-07-04,5.27,5.27,5.104,5.127,1498000,5.127
2016-07-01,5.196,5.243,5.072,5.238,2544700,5.238
2016-06-30,4.962,5.19,4.943,5.158,4103400,5.158
2016-06-29,4.841,4.966,4.834,4.924,2058200,4.924
2016-06-28,4.723,4.872,4.723,4.765,3676800,4.765
2016-06-27,5.05,5.06,4.56,4.619,3927700,4.619
2016-06-24,5.01,5.196,4.86,5.074,4226200,5.074
2016-06-23,5.416,5.50,5.363,5.429,1526800,5.429
2016-06-22,5.304,5.439,5.29,5.398,2357900,5.398
2016-06-21,5.208,5.274,5.196,5.253,1338000,5.253
2016-06-20,5.095,5.224,5.078,5.21,2529000,5.21
2016-06-17,4.946,5.056,4.914,5.036,3795600,5.036
2016-06-16,4.981,4.983,4.861,4.90,3245600,4.90
2016-06-15,4.981,5.048,4.967,4.999,4202100,4.999
2016-06-14,5.15,5.15,4.914,4.93,2971300,4.93
2016-06-13,5.21,5.288,5.146,5.146,2061500,5.146
2016-06-10,5.487,5.51,5.25,5.26,2175800,5.26
2016-06-09,5.503,5.533,5.459,5.49,1889600,5.49
2016-06-08,5.543,5.563,5.472,5.531,1615700,5.531
2016-06-07,5.529,5.611,5.50,5.581,2369600,5.581
2016-06-06,5.355,5.514,5.345,5.514,1795200,5.514
2016-06-03,5.336,5.35,5.292,5.317,1652600,5.317
2016-06-02,5.289,5.351,5.289,5.31,949300,5.31
2016-06-01,5.288,5.359,5.25,5.27,2240800,5.27
2016-05-31,5.377,5.377,5.26,5.28,1638300,5.28
2016-05-30,5.39,5.40,5.306,5.367,1099000,5.367
2016-05-27,5.293,5.385,5.282,5.381,1522400,5.381
2016-05-26,5.249,5.35,5.249,5.289,1123400,5.289
2016-05-25,5.267,5.325,5.23,5.252,1796100,5.252
2016-05-24,5.07,5.25,5.04,5.223,1556800,5.223
2016-05-23,5.01,5.109,4.992,5.105,2311100,5.105
2016-05-20,4.895,5.006,4.895,4.99,1171800,4.99
2016-05-19,4.837,4.913,4.828,4.862,623200,4.862
2016-05-18,4.856,4.914,4.826,4.872,1608400,4.872
2016-05-17,5.023,5.057,4.831,4.89,1563100,4.89
2016-05-16,5.017,5.017,5.017,5.017,000,5.017
2016-05-13,5.09,5.101,5.00,5.017,2831100,5.017
2016-05-12,5.159,5.242,5.107,5.146,1359300,5.146
2016-05-11,5.182,5.206,5.048,5.206,2073700,5.206
2016-05-10,5.203,5.203,5.099,5.199,2042900,5.199
2016-05-09,5.215,5.286,5.137,5.17,1501900,5.17
2016-05-06,5.216,5.218,5.098,5.175,1154300,5.175
2016-05-05,5.179,5.22,5.117,5.203,1135400,5.203
2016-05-04,5.265,5.265,5.111,5.16,2117800,5.16
2016-05-03,5.477,5.477,5.22,5.265,2338300,5.265
2016-05-02,5.483,5.56,5.457,5.521,775900,5.521
2016-04-29,5.495,5.53,5.427,5.46,1366300,5.46
2016-04-28,5.398,5.505,5.36,5.50,1406600,5.50
2016-04-27,5.40,5.42,5.364,5.40,953400,5.40
2016-04-26,5.29,5.352,5.264,5.349,1440700,5.349
2016-04-25,5.231,5.292,5.21,5.249,1287800,5.249
2016-04-22,5.40,5.449,5.221,5.23,1782100,5.23
2016-04-21,5.435,5.51,5.383,5.432,2394600,5.432
2016-04-20,5.51,5.529,5.337,5.444,1177300,5.444
2016-04-19,5.446,5.566,5.446,5.513,1243400,5.513
2016-04-18,5.311,5.481,5.279,5.423,3093000,5.423
2016-04-15,5.47,5.513,5.35,5.365,4646900,5.365
2016-04-14,5.477,5.55,5.42,5.449,10760400,5.449
2016-04-13,5.635,5.681,5.589,5.647,1316100,5.647
2016-04-12,5.614,5.645,5.501,5.575,935900,5.575
2016-04-11,5.565,5.659,5.555,5.59,1119100,5.59
2016-04-08,5.505,5.614,5.505,5.585,689900,5.585
2016-04-07,5.60,5.634,5.448,5.506,2244700,5.506
2016-04-06,5.524,5.626,5.43,5.60,2225500,5.60
2016-04-05,5.74,5.74,5.504,5.535,1421500,5.535
2016-04-04,5.637,5.836,5.592,5.80,1349100,5.80
2016-04-01,5.746,5.746,5.517,5.667,3035800,5.667
2016-03-31,5.667,5.782,5.654,5.765,3635800,5.765
2016-03-30,5.575,5.691,5.575,5.67,4183200,5.67
2016-03-29,5.53,5.538,5.46,5.521,623900,5.521
2016-03-28,5.483,5.483,5.483,5.483,000,5.483
2016-03-25,5.483,5.483,5.483,5.483,000,5.483
2016-03-24,5.488,5.54,5.429,5.483,1984400,5.483
2016-03-23,5.612,5.695,5.505,5.538,1511700,5.538
2016-03-22,5.603,5.623,5.50,5.59,2777200,5.59
2016-03-21,5.595,5.713,5.553,5.654,2637600,5.654
2016-03-18,5.43,5.60,5.402,5.60,31861000,5.60
2016-03-17,5.375,5.465,5.34,5.41,7610600,5.41
2016-03-16,5.278,5.297,5.172,5.219,1465800,5.219
2016-03-15,5.273,5.352,5.159,5.245,1762000,5.245
2016-03-14,5.329,5.341,5.271,5.286,1767900,5.286
2016-03-11,5.352,5.384,5.243,5.37,2180900,5.37
2016-03-10,5.313,5.485,5.22,5.339,4504900,5.339
2016-03-09,5.27,5.341,5.212,5.32,1749300,5.32
2016-03-08,5.25,5.318,5.202,5.24,2072300,5.24
2016-03-07,5.201,5.293,5.201,5.279,2281300,5.279
2016-03-04,5.20,5.21,5.064,5.18,1441800,5.18
2016-03-03,5.255,5.255,5.161,5.199,2062500,5.199
2016-03-02,5.103,5.23,5.05,5.23,2834100,5.23
2016-03-01,4.949,5.128,4.91,5.07,3162000,5.07
2016-02-29,4.70,4.925,4.579,4.92,1989600,4.92
2016-02-26,4.771,4.815,4.701,4.79,3015800,4.79
2016-02-25,4.65,4.788,4.60,4.76,2491400,4.76
2016-02-24,4.711,4.717,4.57,4.65,1519200,4.65
2016-02-23,4.716,4.785,4.657,4.72,784200,4.72
2016-02-22,4.65,4.749,4.638,4.725,1326900,4.725
2016-02-19,4.65,4.65,4.574,4.64,625700,4.64
2016-02-18,4.612,4.72,4.529,4.70,1964200,4.70
2016-02-17,4.492,4.60,4.48,4.58,2482500,4.58
2016-02-16,4.50,4.519,4.424,4.492,1823000,4.492
2016-02-15,4.433,4.454,4.381,4.43,2084000,4.43
2016-02-12,4.422,4.52,4.346,4.346,12281000,4.346
2016-02-11,4.355,4.465,4.136,4.41,6840600,4.41
2016-02-10,4.221,4.462,4.208,4.45,2280900,4.45
2016-02-09,4.205,4.282,4.077,4.25,1237600,4.25
2016-02-08,4.449,4.449,4.187,4.23,640900,4.23
2016-02-05,4.333,4.548,4.287,4.50,853600,4.50
2016-02-04,4.332,4.43,4.284,4.42,614900,4.42
2016-02-03,4.23,4.337,4.172,4.232,1012600,4.232
2016-02-02,4.334,4.339,4.165,4.23,533700,4.23
2016-02-01,4.49,4.49,4.244,4.40,429400,4.40
2016-01-29,4.294,4.47,4.294,4.47,1331600,4.47
2016-01-28,4.14,4.24,4.14,4.205,447500,4.205
2016-01-27,4.057,4.119,4.057,4.10,221200,4.10
2016-01-26,4.05,4.156,3.974,4.139,281400,4.139
2016-01-25,4.28,4.28,4.10,4.175,82500,4.175
2016-01-22,4.04,4.226,4.04,4.143,70900,4.143
2016-01-21,3.796,4.01,3.796,4.00,198400,4.00
2016-01-20,3.85,3.862,3.768,3.80,529500,3.80
2016-01-19,3.905,4.00,3.883,3.91,293800,3.91
2016-01-18,3.921,3.968,3.779,3.87,616000,3.87
2016-01-15,4.09,4.09,3.90,4.04,1790800,4.04
2016-01-14,4.144,4.144,4.01,4.12,1091900,4.12
2016-01-13,4.269,4.275,4.19,4.22,48600,4.22
2016-01-12,4.10,4.24,4.071,4.24,250000,4.24
2016-01-11,4.225,4.277,4.139,4.15,414300,4.15
2016-01-08,4.40,4.435,4.295,4.359,428300,4.359
2016-01-07,4.43,4.43,4.307,4.40,436000,4.40
2016-01-06,4.60,4.65,4.507,4.628,270800,4.628
2016-01-05,4.53,4.632,4.464,4.625,153200,4.625
2016-01-04,4.628,4.628,4.476,4.55,234100,4.55
2016-01-01,4.78,4.78,4.78,4.78,000,4.78
2015-12-31,4.78,4.78,4.78,4.78,000,4.78
2015-12-30,4.749,4.78,4.66,4.78,145000,4.78
2015-12-29,4.701,4.89,4.70,4.80,23400,4.80
2015-12-28,4.80,4.80,4.72,4.795,19800,4.795
2015-12-25,4.722,4.722,4.722,4.722,000,4.722
2015-12-24,4.722,4.722,4.722,4.722,000,4.722
2015-12-23,4.745,4.764,4.722,4.722,12300,4.722
2015-12-22,4.725,4.768,4.70,4.703,96700,4.703
2015-12-21,4.739,4.739,4.62,4.72,179100,4.72
2015-12-18,4.75,4.756,4.567,4.595,338800,4.595
2015-12-17,4.757,4.93,4.57,4.90,330200,4.90
2015-12-16,4.81,4.81,4.716,4.75,84000,4.75
2015-12-15,4.60,4.836,4.557,4.825,493300,4.825
