Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,45.00,45.395,44.61,44.925,110500,44.925
2016-10-26,44.89,45.07,44.545,44.985,149400,44.985
2016-10-25,45.10,45.475,44.98,45.11,83200,45.11
2016-10-24,44.93,45.25,44.78,45.015,123600,45.015
2016-10-21,44.16,44.91,44.16,44.895,155600,44.895
2016-10-20,44.46,44.46,44.075,44.165,130900,44.165
2016-10-19,44.29,44.44,43.98,44.35,130000,44.35
2016-10-18,44.155,44.585,43.68,44.13,150300,44.13
2016-10-17,44.35,44.37,44.005,44.05,132500,44.05
2016-10-14,44.23,44.83,43.95,44.495,157000,44.495
2016-10-13,44.535,44.55,43.71,44.195,155200,44.195
2016-10-12,44.61,44.87,44.60,44.71,131200,44.71
2016-10-11,44.68,45.00,44.505,44.565,105100,44.565
2016-10-10,44.66,44.825,44.41,44.785,91000,44.785
2016-10-07,45.245,45.245,44.555,44.565,83900,44.565
2016-10-06,45.47,45.605,44.98,45.18,76600,45.18
2016-10-05,45.05,45.67,44.895,45.19,119000,45.19
2016-10-04,45.575,45.955,45.12,45.20,168700,45.20
2016-10-03,45.58,45.58,45.58,45.58,000,45.58
2016-09-30,45.10,45.67,44.60,45.58,132100,45.58
2016-09-29,46.00,46.17,45.395,45.455,69700,45.455
2016-09-28,45.17,45.88,45.17,45.785,90800,45.785
2016-09-27,45.23,45.28,44.505,45.065,100400,45.065
2016-09-26,45.85,45.85,45.08,45.16,118300,45.16
2016-09-23,46.53,46.53,45.75,45.78,89200,45.78
2016-09-22,46.555,46.635,46.195,46.405,136500,46.405
2016-09-21,46.79,46.79,46.245,46.39,124100,46.39
2016-09-20,46.38,47.05,46.265,46.50,179400,46.50
2016-09-19,46.43,46.70,46.285,46.575,99700,46.575
2016-09-16,45.98,46.29,45.63,46.20,259100,46.20
2016-09-15,45.40,46.15,45.355,46.055,190500,46.055
2016-09-14,45.295,46.03,45.235,45.725,262400,45.725
2016-09-13,45.15,45.16,44.855,44.975,102900,44.975
2016-09-12,45.05,45.215,44.46,44.815,112200,44.815
2016-09-09,45.55,45.75,45.165,45.32,99500,45.32
2016-09-08,46.22,46.22,45.445,45.645,82500,45.645
2016-09-07,45.76,46.31,45.53,46.21,123600,46.21
2016-09-06,45.49,45.755,45.49,45.64,90500,45.64
2016-09-05,45.805,45.95,45.40,45.64,52000,45.64
2016-09-02,45.36,45.93,45.20,45.93,78500,45.93
2016-09-01,45.73,45.82,45.22,45.33,97500,45.33
2016-08-31,46.65,46.65,45.66,45.66,168000,45.66
2016-08-30,45.595,45.915,45.45,45.85,132300,45.85
2016-08-29,45.735,45.80,45.40,45.52,50600,45.52
2016-08-26,45.65,45.945,45.245,45.915,98900,45.915
2016-08-25,45.75,45.86,45.24,45.665,89100,45.665
2016-08-24,46.235,46.545,45.965,46.04,109000,46.04
2016-08-23,46.175,46.77,46.04,46.425,108100,46.425
2016-08-22,45.99,46.54,45.755,46.055,105300,46.055
2016-08-19,45.805,45.98,45.40,45.93,97000,45.93
2016-08-18,45.60,46.125,45.475,45.93,146700,45.93
2016-08-17,46.255,46.255,45.54,45.54,113600,45.54
2016-08-16,46.945,46.945,46.03,46.07,190600,46.07
2016-08-15,47.54,47.63,47.065,47.095,65200,47.095
2016-08-12,47.435,47.555,47.32,47.38,89100,47.38
2016-08-11,47.605,47.72,47.35,47.47,131800,47.47
2016-08-10,47.03,47.705,47.00,47.385,148300,47.385
2016-08-09,46.945,47.11,46.675,47.11,196400,47.11
2016-08-08,47.10,47.15,46.66,46.825,93400,46.825
2016-08-05,46.375,47.215,46.37,47.00,198700,47.00
2016-08-04,47.00,47.18,45.885,46.205,246300,46.205
2016-08-03,47.60,48.475,47.055,47.16,230300,47.16
2016-08-02,49.28,49.28,48.70,48.835,124000,48.835
2016-08-01,49.195,49.74,49.065,49.30,120100,49.30
2016-07-29,49.265,49.265,48.765,49.01,129800,49.01
