Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,61.80,62.07,61.36,61.77,252100,61.77
2016-10-26,62.32,62.32,61.53,61.69,163900,61.69
2016-10-25,62.58,62.98,62.13,62.29,179700,62.29
2016-10-24,62.82,63.18,62.08,62.38,180900,62.38
2016-10-21,63.11,63.52,62.62,62.71,175400,62.71
2016-10-20,63.79,63.96,62.79,63.20,176000,63.20
2016-10-19,63.28,63.71,63.11,63.55,120000,63.55
2016-10-18,63.23,63.66,63.23,63.48,150200,63.48
2016-10-17,63.48,63.48,62.56,62.97,203800,62.97
2016-10-14,63.42,63.80,63.37,63.50,120600,63.50
2016-10-13,63.00,63.24,62.60,63.18,272700,63.18
2016-10-12,63.55,63.70,63.12,63.20,196300,63.20
2016-10-11,63.90,64.06,63.40,63.54,132200,63.54
2016-10-10,63.80,64.21,63.30,64.11,206600,64.11
2016-10-07,65.00,65.20,63.74,63.88,305200,63.88
2016-10-06,66.39,66.39,64.91,65.00,312200,65.00
2016-10-05,65.47,65.86,64.84,64.95,151400,64.95
2016-10-04,65.21,66.24,65.21,65.86,245800,65.86
2016-10-03,65.23,65.23,65.23,65.23,000,65.23
2016-09-30,64.53,65.34,64.43,65.23,331500,65.23
2016-09-29,66.27,66.47,64.84,64.99,114800,64.99
2016-09-28,65.33,66.10,65.31,65.68,137800,65.68
2016-09-27,65.02,65.02,64.40,64.99,164100,64.99
2016-09-26,65.73,65.73,64.72,64.87,153400,64.87
2016-09-23,65.63,65.82,65.55,65.77,143600,65.77
2016-09-22,65.50,66.20,65.18,65.88,211500,65.88
2016-09-21,65.31,65.56,64.94,64.94,171200,64.94
2016-09-20,64.58,65.35,64.37,64.95,345400,64.95
2016-09-19,64.53,64.90,64.30,64.50,305000,64.50
2016-09-16,64.65,65.05,64.25,64.51,337200,64.51
2016-09-15,64.56,64.75,64.36,64.65,333400,64.65
2016-09-14,64.48,64.96,64.13,64.68,237600,64.68
2016-09-13,64.15,65.28,64.05,64.37,251700,64.37
2016-09-12,65.00,65.27,64.46,65.07,262300,65.07
2016-09-09,66.82,66.82,65.06,65.69,241400,65.69
2016-09-08,67.80,68.13,66.95,66.96,165000,66.96
2016-09-07,67.81,68.08,67.25,67.87,228800,67.87
2016-09-06,67.98,68.13,67.30,67.53,146400,67.53
2016-09-05,67.36,68.04,67.29,67.73,146800,67.73
2016-09-02,67.13,67.39,66.72,67.15,241900,67.15
2016-09-01,66.15,67.15,66.02,66.80,304400,66.80
2016-08-31,66.39,66.53,65.64,66.01,239700,66.01
2016-08-30,67.19,67.73,66.73,66.81,150600,66.81
2016-08-29,66.74,67.15,65.79,67.00,163100,67.00
2016-08-26,66.77,66.96,66.17,66.96,175800,66.96
2016-08-25,66.61,67.28,66.16,66.75,272300,66.75
2016-08-24,66.67,67.04,66.41,66.66,171700,66.66
2016-08-23,67.15,67.56,66.86,66.86,189900,66.86
2016-08-22,67.12,67.60,66.40,67.00,190000,67.00
2016-08-19,67.25,67.41,66.29,67.09,210400,67.09
2016-08-18,67.49,67.69,67.13,67.18,183700,67.18
2016-08-17,67.84,68.03,67.13,67.13,201300,67.13
2016-08-16,67.47,68.03,67.00,67.68,196000,67.68
2016-08-15,67.74,68.25,67.31,67.84,181600,67.84
2016-08-12,69.00,69.00,67.23,67.63,241300,67.63
2016-08-11,67.00,69.32,67.00,68.72,556400,68.72
2016-08-10,65.71,65.96,64.74,65.17,181300,65.17
2016-08-09,64.36,65.65,64.32,65.65,156500,65.65
2016-08-08,64.00,64.39,63.74,64.39,154200,64.39
2016-08-05,63.13,63.83,63.13,63.83,134200,63.83
2016-08-04,63.27,63.27,62.31,63.13,123300,63.13
2016-08-03,63.16,63.21,62.78,62.92,143900,62.92
2016-08-02,63.72,63.74,63.10,63.10,127500,63.10
2016-08-01,63.14,63.86,62.71,63.66,177900,63.66
2016-07-29,63.21,63.47,62.34,63.04,259100,63.04
2016-07-28,63.18,63.63,63.13,63.23,160700,63.23
2016-07-27,63.87,63.87,63.12,63.28,177200,63.28
2016-07-26,63.96,64.28,63.77,63.94,139400,63.94
2016-07-25,63.80,64.15,63.62,64.00,169300,64.00
2016-07-22,63.44,63.97,63.07,63.80,220300,63.80
2016-07-21,63.93,63.99,63.00,63.35,231000,63.35
2016-07-20,63.70,64.02,63.17,63.74,122200,63.74
2016-07-19,63.84,63.85,62.91,63.42,145700,63.42
2016-07-18,62.85,65.08,62.66,63.96,328700,63.96
2016-07-15,62.35,62.69,62.07,62.69,133400,62.69
2016-07-14,62.90,62.90,61.89,62.55,202900,62.55
2016-07-13,62.22,62.58,61.93,62.39,222900,62.39
2016-07-12,62.01,62.13,61.65,62.12,218800,62.12
2016-07-11,61.41,62.10,61.23,62.05,193200,62.05
2016-07-08,60.20,60.87,59.97,60.84,239500,60.84
2016-07-07,61.05,61.40,59.97,60.31,357100,60.31
2016-07-06,60.63,61.69,60.51,60.82,290100,60.82
2016-07-05,61.40,61.76,60.78,61.25,202300,61.25
2016-07-04,61.77,62.18,61.44,61.75,203300,61.75
2016-07-01,61.34,62.30,60.87,61.65,256600,61.65
2016-06-30,59.68,61.18,59.29,61.15,464800,61.15
