Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,29.855,30.445,29.50,30.055,208300,30.055
2016-10-26,30.41,30.44,29.535,29.865,148900,29.865
2016-10-25,30.82,31.58,30.385,30.565,276500,30.565
2016-10-24,30.26,31.035,30.26,30.615,156800,30.615
2016-10-21,29.67,30.285,29.67,30.195,218400,30.195
2016-10-20,29.42,30.10,29.365,29.695,258200,29.695
2016-10-19,29.50,29.675,28.60,29.375,536300,29.375
2016-10-18,30.17,30.605,30.17,30.385,230900,30.385
2016-10-17,30.52,30.805,29.90,29.985,251500,29.985
2016-10-14,30.45,31.135,30.45,30.555,181100,30.555
2016-10-13,31.02,31.02,30.20,30.23,266900,30.23
2016-10-12,31.215,31.655,31.075,31.295,172100,31.295
2016-10-11,32.205,32.205,31.14,31.14,310000,31.14
2016-10-10,31.045,32.65,31.045,32.27,411000,32.27
2016-10-07,29.95,31.40,29.835,30.915,665200,30.915
2016-10-06,29.66,29.86,29.45,29.515,126700,29.515
2016-10-05,29.27,29.75,29.00,29.695,128000,29.695
2016-10-04,29.015,29.745,29.015,29.52,303600,29.52
2016-10-03,29.165,29.165,29.165,29.165,000,29.165
2016-09-30,28.875,29.35,28.61,29.165,190100,29.165
2016-09-29,29.265,29.70,29.135,29.395,230200,29.395
2016-09-28,28.70,29.26,28.70,28.865,142700,28.865
2016-09-27,29.05,29.215,28.275,28.58,124200,28.58
2016-09-26,28.80,29.045,28.58,28.91,186500,28.91
2016-09-23,28.85,29.48,28.55,29.105,264900,29.105
2016-09-22,28.325,29.20,28.325,28.905,343300,28.905
2016-09-21,27.975,28.22,27.76,28.145,117900,28.145
2016-09-20,27.985,28.34,27.45,27.76,147400,27.76
2016-09-19,27.26,28.045,27.26,28.025,138900,28.025
2016-09-16,27.635,27.635,26.78,27.145,221300,27.145
2016-09-15,27.105,27.62,26.96,27.61,181900,27.61
2016-09-14,27.345,27.885,27.145,27.235,224000,27.235
2016-09-13,27.995,28.17,27.28,27.31,162400,27.31
2016-09-12,28.07,28.155,27.44,27.885,309300,27.885
2016-09-09,28.83,29.105,28.485,28.54,120400,28.54
2016-09-08,29.195,29.23,28.595,28.87,146100,28.87
2016-09-07,28.80,29.255,28.75,29.255,117500,29.255
2016-09-06,28.99,29.28,28.60,28.665,108000,28.665
2016-09-05,28.335,29.115,28.335,28.785,217500,28.785
2016-09-02,27.65,28.60,27.31,28.255,218300,28.255
2016-09-01,27.54,28.145,27.235,27.435,266600,27.435
2016-08-31,27.98,28.005,27.23,27.275,269900,27.275
2016-08-30,28.54,28.57,27.98,27.98,179000,27.98
2016-08-29,28.445,28.52,27.96,28.40,85900,28.40
2016-08-26,28.405,28.87,28.235,28.795,144500,28.795
2016-08-25,28.60,28.60,28.065,28.38,132600,28.38
2016-08-24,29.06,29.325,28.59,28.765,192600,28.765
2016-08-23,28.695,29.465,28.695,29.165,194800,29.165
2016-08-22,29.00,29.46,28.525,28.57,236000,28.57
2016-08-19,29.625,29.955,28.79,29.13,373400,29.13
2016-08-18,28.255,30.72,28.255,29.795,929700,29.795
2016-08-17,28.555,28.555,27.865,28.05,153300,28.05
2016-08-16,27.995,28.825,27.995,28.45,262400,28.45
2016-08-15,27.75,28.255,27.32,28.09,204000,28.09
2016-08-12,27.92,28.29,27.79,27.845,184100,27.845
2016-08-11,27.63,28.05,27.33,28.05,353600,28.05
2016-08-10,29.50,29.50,27.865,27.955,921600,27.955
2016-08-09,29.175,30.12,29.05,29.93,335600,29.93
2016-08-08,29.02,29.78,29.02,29.58,244300,29.58
2016-08-05,28.65,29.18,28.495,29.07,298900,29.07
2016-08-04,27.60,28.485,27.595,27.92,338100,27.92
2016-08-03,26.755,27.795,26.53,27.53,311600,27.53
2016-08-02,27.64,27.68,26.405,26.74,218500,26.74
2016-08-01,28.15,28.385,27.58,27.845,176200,27.845
2016-07-29,27.92,28.105,27.68,27.90,288500,27.90
2016-07-28,27.38,28.295,27.26,27.855,356000,27.855
2016-07-27,27.15,28.07,27.15,27.585,196800,27.585
2016-07-26,26.84,27.225,26.50,27.13,179900,27.13
2016-07-25,26.765,27.345,26.665,26.925,197600,26.925
2016-07-22,26.19,27.165,26.19,26.77,255800,26.77
2016-07-21,26.50,26.82,26.075,26.195,235100,26.195
2016-07-20,26.35,26.69,25.665,26.365,184700,26.365
2016-07-19,26.59,26.665,26.07,26.365,162000,26.365
2016-07-18,27.095,27.29,26.465,26.865,184100,26.865
2016-07-15,26.98,27.23,26.61,27.195,217100,27.195
2016-07-14,26.85,27.40,26.72,27.065,293000,27.065
2016-07-13,25.935,27.24,25.935,26.63,503100,26.63
2016-07-12,25.39,26.195,25.155,25.925,388800,25.925
2016-07-11,24.51,25.475,24.51,25.385,255200,25.385
2016-07-08,23.43,24.38,23.275,24.26,210700,24.26
2016-07-07,23.31,24.20,23.31,23.405,221000,23.405
2016-07-06,22.905,23.52,22.50,23.025,230300,23.025
2016-07-05,23.955,23.955,22.85,22.965,289300,22.965
2016-07-04,25.035,25.16,24.055,24.11,203800,24.11
2016-07-01,23.85,25.03,23.67,24.89,334300,24.89
2016-06-30,23.39,23.805,22.715,23.685,290300,23.685
2016-06-29,23.50,23.53,22.835,23.34,320400,23.34
2016-06-28,23.94,25.035,22.83,23.145,1011200,23.145
2016-06-27,26.415,26.415,24.185,24.385,267700,24.385
2016-06-24,24.65,26.32,24.37,25.895,470100,25.895
2016-06-23,26.30,27.505,26.30,27.38,204300,27.38
2016-06-22,26.695,26.89,26.04,26.155,191000,26.155
2016-06-21,26.90,27.09,26.40,26.47,135700,26.47
2016-06-20,26.81,27.005,26.47,26.92,156900,26.92
2016-06-17,25.335,26.305,25.275,26.185,279400,26.185
2016-06-16,25.525,26.225,24.93,25.135,295700,25.135
2016-06-15,25.75,25.97,25.425,25.795,197300,25.795
2016-06-14,25.915,26.195,25.47,25.48,251200,25.48
2016-06-13,26.90,26.96,26.10,26.305,335400,26.305
2016-06-10,28.405,28.565,27.27,27.27,206900,27.27
2016-06-09,28.57,28.765,28.285,28.50,161100,28.50
2016-06-08,28.845,29.27,28.48,28.595,201300,28.595
2016-06-07,28.795,29.32,28.71,29.04,186200,29.04
2016-06-06,28.455,29.135,28.455,28.73,173800,28.73
2016-06-03,28.60,29.06,28.315,28.44,264900,28.44
2016-06-02,27.68,28.60,27.645,28.555,274600,28.555
2016-06-01,28.80,28.935,27.71,27.86,501700,27.61
2016-05-31,28.11,29.16,27.72,28.69,663700,28.433
2016-05-30,27.20,27.245,26.62,26.795,101900,26.555
