Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,23.445,23.745,23.26,23.575,252900,23.575
2016-10-26,23.865,23.905,23.30,23.43,442900,23.43
2016-10-25,23.80,24.01,23.77,23.875,379300,23.875
2016-10-24,23.72,23.99,23.72,23.815,246300,23.815
2016-10-21,23.85,24.08,23.74,23.755,233100,23.755
2016-10-20,24.00,24.06,23.74,23.89,273500,23.89
2016-10-19,23.52,24.04,23.135,23.94,661400,23.94
2016-10-18,24.14,24.14,23.315,23.67,1347300,23.67
2016-10-17,25.28,25.49,25.18,25.245,318700,25.245
2016-10-14,24.77,25.935,24.75,25.45,952900,25.45
2016-10-13,24.40,24.935,24.15,24.68,337600,24.68
2016-10-12,24.55,24.59,24.31,24.31,378600,24.31
2016-10-11,24.76,24.775,24.535,24.55,168300,24.55
2016-10-10,24.45,24.84,24.375,24.725,205400,24.725
2016-10-07,24.705,24.815,24.465,24.465,290700,24.465
2016-10-06,24.89,24.895,24.665,24.735,195200,24.735
2016-10-05,24.635,24.97,24.56,24.815,329700,24.815
2016-10-04,24.80,25.15,24.655,24.765,361800,24.765
2016-10-03,24.735,24.735,24.735,24.735,000,24.735
2016-09-30,24.17,24.785,23.965,24.735,392000,24.735
2016-09-29,24.36,24.72,24.36,24.425,313600,24.425
2016-09-28,24.05,24.485,24.00,24.275,342800,24.275
2016-09-27,24.055,24.08,23.615,23.89,297100,23.89
2016-09-26,23.65,24.22,23.535,24.14,386400,24.14
2016-09-23,23.62,23.95,23.62,23.725,362200,23.725
2016-09-22,23.975,25.15,22.675,23.70,1171400,23.70
2016-09-21,23.87,24.145,23.84,23.84,315600,23.84
2016-09-20,23.73,24.03,23.55,23.80,491800,23.80
2016-09-19,23.37,24.21,23.345,24.14,692700,24.14
2016-09-16,22.855,23.205,22.815,23.135,651900,23.135
2016-09-15,22.75,23.025,22.67,22.95,530100,22.95
2016-09-14,22.755,22.85,22.60,22.605,293500,22.605
2016-09-13,22.515,22.74,22.505,22.59,317400,22.59
2016-09-12,22.365,22.41,22.125,22.31,532500,22.31
2016-09-09,23.30,23.30,22.525,22.76,357200,22.76
2016-09-08,23.50,23.50,23.02,23.235,337000,23.235
2016-09-07,23.42,23.69,23.195,23.44,406200,23.44
2016-09-06,23.455,23.60,23.27,23.305,260600,23.305
2016-09-05,23.39,23.53,23.275,23.475,228800,23.475
2016-09-02,23.265,23.465,23.09,23.28,368300,23.28
2016-09-01,23.595,23.75,23.085,23.165,348300,23.165
2016-08-31,23.27,23.645,23.27,23.41,324100,23.41
2016-08-30,23.50,23.65,23.24,23.25,374600,23.25
2016-08-29,22.765,23.46,22.765,23.335,324200,23.335
2016-08-26,22.66,23.00,22.645,22.92,295400,22.92
2016-08-25,22.25,22.955,22.25,22.755,500300,22.755
2016-08-24,22.77,22.92,22.055,22.41,586700,22.41
2016-08-23,22.35,23.135,22.345,23.00,617900,23.00
2016-08-22,22.455,22.58,21.335,22.405,1117200,22.405
2016-08-19,23.90,24.04,23.66,23.765,264200,23.765
2016-08-18,23.80,24.085,23.685,23.905,331000,23.905
2016-08-17,23.80,24.045,23.635,23.635,335300,23.635
2016-08-16,23.75,24.06,23.685,23.875,328600,23.875
2016-08-15,23.645,24.315,23.645,23.91,425400,23.91
2016-08-12,23.64,23.82,22.63,23.685,685400,23.685
2016-08-11,23.65,24.24,23.60,24.065,549500,24.065
2016-08-10,23.665,23.75,23.57,23.655,285900,23.655
2016-08-09,23.62,23.80,23.50,23.755,356400,23.755
2016-08-08,23.49,23.675,23.39,23.57,381200,23.57
2016-08-05,22.96,23.73,22.94,23.545,572000,23.545
2016-08-04,22.85,22.99,22.51,22.86,390000,22.86
2016-08-03,22.70,22.99,22.55,22.775,609500,22.775
2016-08-02,22.49,22.635,22.13,22.215,327900,22.215
2016-08-01,22.48,22.54,22.13,22.465,608300,22.465
2016-07-29,22.30,22.38,22.005,22.37,498400,22.37
2016-07-28,22.09,22.47,21.98,22.315,407500,22.315
2016-07-27,21.93,22.095,21.74,22.045,412200,22.045
2016-07-26,21.995,22.08,21.735,21.83,416400,21.83
2016-07-25,21.91,22.16,21.88,21.985,380900,21.985
2016-07-22,21.695,21.93,21.54,21.86,312400,21.86
2016-07-21,21.71,21.80,21.345,21.70,372300,21.70
2016-07-20,21.42,21.97,21.40,21.705,410400,21.705
2016-07-19,21.34,21.51,21.105,21.40,300600,21.40
2016-07-18,21.44,21.67,21.33,21.465,254600,21.465
2016-07-15,21.28,21.58,21.045,21.475,477600,21.475
2016-07-14,21.80,22.18,21.675,21.70,855700,21.40
2016-07-13,22.33,22.40,21.44,21.62,946800,21.321
2016-07-12,22.17,22.665,22.07,22.325,687500,22.016
2016-07-11,21.99,22.36,21.965,22.20,691300,21.893
2016-07-08,21.15,21.805,21.15,21.765,684500,21.464
2016-07-07,19.96,21.96,19.96,21.19,1502400,20.897
2016-07-06,19.54,19.76,19.355,19.655,440900,19.383
2016-07-05,19.71,19.78,19.315,19.70,384300,19.428
2016-07-04,19.855,19.94,19.63,19.765,327700,19.492
2016-07-01,19.865,19.93,19.57,19.85,487300,19.576
2016-06-30,19.39,19.825,19.30,19.775,618200,19.502
2016-06-29,19.065,19.49,18.98,19.395,580600,19.127
2016-06-28,18.75,19.035,18.67,19.00,441400,18.737
2016-06-27,18.92,19.07,18.415,18.43,772900,18.175
2016-06-24,17.485,19.08,17.15,18.895,836900,18.634
2016-06-23,18.785,19.095,18.745,19.03,432400,18.767
2016-06-22,18.86,18.88,18.445,18.725,360900,18.466
2016-06-21,18.31,18.87,18.30,18.705,514100,18.446
2016-06-20,17.935,18.40,17.935,18.185,439700,17.934
2016-06-17,17.685,17.875,17.63,17.765,543500,17.519
2016-06-16,17.39,17.72,17.39,17.615,470900,17.371
2016-06-15,17.60,17.91,17.59,17.61,574700,17.367
2016-06-14,17.40,17.65,17.39,17.54,331700,17.298
2016-06-13,17.20,17.89,17.02,17.62,591000,17.376
2016-06-10,18.00,18.05,17.73,17.85,387600,17.603
2016-06-09,18.095,18.165,18.015,18.04,240900,17.791
2016-06-08,18.12,18.215,18.05,18.195,222500,17.943
2016-06-07,17.955,18.195,17.955,18.125,341200,17.874
2016-06-06,17.68,18.095,17.63,17.95,229700,17.702
2016-06-03,17.85,17.88,17.615,17.685,231000,17.441
2016-06-02,17.62,17.83,17.315,17.78,310300,17.534
2016-06-01,17.675,17.755,17.45,17.625,387400,17.381
2016-05-31,17.715,17.75,17.45,17.615,420000,17.371
2016-05-30,17.445,17.60,17.40,17.585,127800,17.342
2016-05-27,17.41,17.50,17.25,17.47,285700,17.228
2016-05-26,17.295,17.525,17.09,17.475,317800,17.233
2016-05-25,16.92,17.335,16.86,17.225,668400,16.987
2016-05-24,16.43,16.88,16.40,16.835,313900,16.602
2016-05-23,16.14,16.72,16.135,16.535,564100,16.306
2016-05-20,15.685,16.36,15.655,16.235,532100,16.011
2016-05-19,15.60,15.75,15.11,15.555,627200,15.34
2016-05-18,15.42,15.695,15.23,15.695,314700,15.478
2016-05-17,15.80,15.80,15.46,15.495,262900,15.281
2016-05-16,15.73,15.73,15.73,15.73,000,15.513
2016-05-13,15.84,15.925,15.68,15.73,292400,15.513
2016-05-12,15.65,15.94,15.54,15.86,387800,15.641
2016-05-11,15.75,15.80,15.405,15.70,250100,15.483
