Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,12.265,12.38,12.04,12.10,279100,12.10
2016-10-26,12.435,12.435,12.205,12.295,273100,12.295
2016-10-25,12.345,12.47,12.32,12.44,332600,12.44
2016-10-24,12.365,12.37,12.275,12.345,321700,12.345
2016-10-21,12.23,12.29,12.15,12.275,249400,12.275
2016-10-20,12.13,12.225,12.105,12.185,184600,12.185
2016-10-19,12.19,12.19,12.07,12.145,230900,12.145
2016-10-18,12.05,12.205,12.05,12.17,186800,12.17
2016-10-17,12.04,12.12,11.99,12.00,322000,12.00
2016-10-14,12.185,12.205,12.04,12.095,367200,12.095
2016-10-13,11.90,12.10,11.90,12.095,313900,12.095
2016-10-12,11.97,12.02,11.91,11.935,337000,11.935
2016-10-11,12.13,12.15,11.95,11.95,231600,11.95
2016-10-10,11.965,12.08,11.965,12.055,241100,12.055
2016-10-07,11.98,12.06,11.905,11.95,374500,11.95
2016-10-06,12.285,12.30,11.955,11.955,480300,11.955
2016-10-05,12.47,12.47,12.22,12.26,466400,12.26
2016-10-04,12.97,12.97,12.51,12.51,508300,12.51
2016-10-03,12.945,12.945,12.945,12.945,000,12.945
2016-09-30,12.90,12.975,12.80,12.945,353900,12.945
2016-09-29,13.095,13.175,12.935,12.95,242500,12.95
2016-09-28,12.98,13.05,12.935,13.025,440800,13.025
2016-09-27,12.97,13.015,12.795,12.98,357000,12.98
2016-09-26,13.00,13.04,12.88,12.94,226900,12.94
2016-09-23,13.07,13.09,12.99,13.02,262400,13.02
2016-09-22,12.895,13.12,12.83,13.12,419200,13.12
2016-09-21,13.00,13.00,12.735,12.775,252500,12.775
2016-09-20,12.80,13.06,12.80,12.94,217000,12.94
2016-09-19,12.97,13.03,12.775,12.82,294000,12.82
2016-09-16,12.775,12.87,12.725,12.85,987400,12.85
2016-09-15,12.855,12.87,12.71,12.775,312900,12.775
2016-09-14,12.85,12.91,12.795,12.85,283000,12.85
2016-09-13,12.755,12.85,12.73,12.73,275500,12.73
2016-09-12,12.70,12.78,12.53,12.735,449000,12.735
2016-09-09,13.065,13.085,12.765,12.825,545600,12.825
2016-09-08,13.165,13.23,13.065,13.08,297100,13.08
2016-09-07,13.06,13.15,13.055,13.145,246600,13.145
2016-09-06,12.98,13.10,12.95,13.085,380500,13.085
2016-09-05,12.90,13.035,12.85,12.92,484500,12.92
2016-09-02,12.87,12.965,12.84,12.96,493700,12.96
2016-09-01,12.87,12.935,12.785,12.81,291600,12.81
2016-08-31,12.88,12.95,12.855,12.895,394700,12.895
2016-08-30,12.985,13.00,12.905,12.905,316800,12.905
2016-08-29,12.87,12.96,12.79,12.96,283700,12.96
2016-08-26,12.865,12.95,12.845,12.91,324100,12.91
2016-08-25,12.895,12.915,12.82,12.86,249900,12.86
