Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,28.47,28.56,28.275,28.40,99700,28.40
2016-10-26,28.50,28.765,28.24,28.395,104600,28.395
2016-10-25,28.70,28.805,28.545,28.57,138600,28.57
2016-10-24,28.06,28.60,28.06,28.49,117000,28.49
2016-10-21,28.06,28.25,27.945,27.98,79300,27.98
2016-10-20,27.90,28.015,27.71,27.975,102700,27.975
2016-10-19,27.68,27.90,27.485,27.84,115800,27.84
2016-10-18,27.47,27.70,27.36,27.70,110200,27.70
2016-10-17,27.425,27.53,27.255,27.30,67000,27.30
2016-10-14,27.15,27.50,27.015,27.41,34300,27.41
2016-10-13,27.22,27.22,26.90,27.08,71800,27.08
2016-10-12,27.31,27.545,27.205,27.445,68000,27.445
2016-10-11,27.43,27.475,27.16,27.285,69500,27.285
2016-10-10,27.165,27.44,26.99,27.40,91100,27.40
2016-10-07,27.27,27.345,26.895,27.075,94000,27.075
2016-10-06,27.46,27.585,27.25,27.345,45900,27.345
2016-10-05,27.13,27.59,26.77,27.425,103500,27.425
2016-10-04,27.195,27.365,27.125,27.19,99300,27.19
2016-10-03,27.145,27.145,27.145,27.145,000,27.145
2016-09-30,26.80,27.22,26.345,27.145,175300,27.145
2016-09-29,27.35,27.385,26.975,27.065,76800,27.065
2016-09-28,27.245,27.36,27.05,27.15,85400,27.15
2016-09-27,27.515,27.515,26.86,27.085,108400,27.085
2016-09-26,27.68,27.68,27.04,27.25,99700,27.25
2016-09-23,27.655,27.86,27.50,27.755,197000,27.755
2016-09-22,27.35,27.825,27.28,27.745,178900,27.745
2016-09-21,27.11,27.42,26.98,27.145,153600,27.145
2016-09-20,26.47,27.05,26.35,26.915,131600,26.915
2016-09-19,26.605,26.64,26.35,26.47,75700,26.47
2016-09-16,26.535,26.695,26.225,26.30,102900,26.30
2016-09-15,26.30,26.545,26.21,26.51,117200,26.51
2016-09-14,26.605,26.605,26.20,26.30,160100,26.30
2016-09-13,26.695,26.875,26.36,26.42,96000,26.42
2016-09-12,26.65,26.66,26.33,26.52,182600,26.52
2016-09-09,26.97,27.13,26.77,26.815,109600,26.815
2016-09-08,26.80,26.96,26.505,26.875,109400,26.875
2016-09-07,26.80,26.855,26.55,26.74,73100,26.74
2016-09-06,26.885,26.915,26.58,26.695,105200,26.695
2016-09-05,26.59,26.75,26.49,26.705,117200,26.705
2016-09-02,26.28,26.595,26.16,26.55,128500,26.55
2016-09-01,26.38,26.49,26.03,26.25,120600,26.25
2016-08-31,26.00,26.415,25.92,26.20,213600,26.20
2016-08-30,25.995,26.08,25.88,25.94,213600,25.94
2016-08-29,25.765,25.955,25.675,25.83,79100,25.83
2016-08-26,25.80,25.93,25.715,25.865,87700,25.865
2016-08-25,25.99,26.00,25.735,25.775,151900,25.775
2016-08-24,26.30,26.30,25.84,25.955,213000,25.955
2016-08-23,26.10,26.27,25.895,26.245,144400,26.245
2016-08-22,26.00,26.27,25.80,25.88,130700,25.88
2016-08-19,26.12,26.12,25.635,25.89,136000,25.89
2016-08-18,25.91,26.09,25.85,26.005,106500,26.005
2016-08-17,26.02,26.17,25.76,25.79,196900,25.79
2016-08-16,26.545,26.545,26.02,26.14,239300,26.14
2016-08-15,26.725,26.81,26.325,26.635,266500,26.635
2016-08-12,27.28,27.565,26.26,26.585,494500,26.585
2016-08-11,27.645,27.77,27.47,27.65,109800,27.65
2016-08-10,27.60,27.73,27.45,27.65,128100,27.65
2016-08-09,27.345,27.775,27.17,27.74,122700,27.74
2016-08-08,26.785,27.36,26.785,27.21,117600,27.21
2016-08-05,26.325,26.815,26.21,26.795,153700,26.795
2016-08-04,26.95,26.95,25.95,26.19,306800,26.19
