Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,82.39,82.39,79.29,80.89,201300,80.89
2016-10-26,82.00,82.02,79.83,80.29,257200,80.29
2016-10-25,82.57,83.69,82.12,82.28,148500,82.28
2016-10-24,82.64,83.52,81.99,82.35,177700,82.35
2016-10-21,83.10,83.81,83.00,83.14,77300,83.14
2016-10-20,83.94,84.14,82.78,83.25,163700,83.25
2016-10-19,82.48,83.94,81.93,83.58,195800,83.58
2016-10-18,81.75,82.47,81.46,82.32,223900,82.32
2016-10-17,79.10,81.16,78.79,81.00,220400,81.00
2016-10-14,78.49,79.35,78.11,79.10,130700,79.10
2016-10-13,78.97,79.02,78.14,78.90,108200,78.90
2016-10-12,78.75,80.08,78.31,79.61,208600,79.61
2016-10-11,77.60,79.97,77.10,78.64,197000,78.64
2016-10-10,76.48,77.31,75.80,77.30,81100,77.30
2016-10-07,77.62,77.78,76.12,76.20,113400,76.20
2016-10-06,78.62,78.91,77.62,77.97,196600,77.97
2016-10-05,76.70,78.77,76.49,78.24,223400,78.24
2016-10-04,75.59,77.22,75.34,76.69,171900,76.69
2016-10-03,75.00,75.00,75.00,75.00,000,75.00
2016-09-30,73.17,75.19,73.05,75.00,162200,75.00
2016-09-29,74.78,76.17,73.85,74.09,191600,74.09
2016-09-28,73.41,74.36,73.25,73.84,107900,73.84
2016-09-27,72.76,72.96,72.22,72.96,195900,72.96
2016-09-26,71.57,72.91,70.90,72.75,176800,72.75
2016-09-23,71.50,72.40,70.63,71.50,266200,71.50
2016-09-22,73.64,73.71,72.58,73.01,222000,73.01
2016-09-21,73.53,74.40,72.55,73.00,221900,73.00
2016-09-20,74.61,75.49,73.11,73.18,172800,73.18
2016-09-19,74.20,75.00,73.28,74.48,184800,74.48
2016-09-16,75.73,76.22,74.64,75.19,155000,75.19
2016-09-15,75.70,76.62,75.29,75.63,104400,75.63
2016-09-14,78.36,78.36,75.54,75.54,205000,75.54
2016-09-13,78.14,79.27,77.40,78.10,160200,78.10
2016-09-12,78.10,78.15,76.98,77.62,157200,77.62
2016-09-09,81.00,81.01,78.78,79.00,128600,79.00
2016-09-08,81.10,82.82,79.70,80.83,207900,80.83
2016-09-07,85.00,85.00,80.88,81.08,187200,81.08
2016-09-06,85.20,85.45,84.42,84.50,45500,84.50
2016-09-05,84.70,85.39,84.49,84.91,62400,84.91
2016-09-02,83.87,84.31,82.90,84.11,79500,84.11
2016-09-01,83.90,84.70,83.00,83.28,100800,83.28
2016-08-31,86.51,86.81,82.82,83.34,204000,83.34
2016-08-30,85.07,87.56,84.72,86.34,196500,86.34
2016-08-29,83.80,83.96,82.59,83.50,42300,83.50
2016-08-26,83.48,84.11,83.14,83.95,39800,83.95
2016-08-25,84.22,84.72,83.45,83.72,90000,83.72
2016-08-24,83.71,85.40,82.81,84.44,95500,84.44
2016-08-23,84.28,84.80,83.59,83.99,89400,83.99
2016-08-22,83.50,84.58,82.26,83.74,96400,83.74
2016-08-19,83.00,83.46,82.58,83.35,85500,83.35
2016-08-18,81.93,83.39,81.71,83.06,116500,83.06
2016-08-17,82.29,82.37,80.21,81.21,73600,81.21
2016-08-16,81.08,82.27,80.77,81.83,53700,81.83
2016-08-15,82.21,82.87,81.44,81.50,74700,81.50
2016-08-12,82.74,82.92,82.02,82.31,49900,82.31
2016-08-11,81.63,83.00,81.22,82.50,63600,82.50
2016-08-10,82.60,82.81,80.77,81.50,121600,81.50
2016-08-09,81.57,83.47,81.57,83.10,55200,83.10
2016-08-08,81.50,82.74,81.50,81.73,77800,81.73
2016-08-05,79.55,81.41,79.52,81.21,71300,81.21
2016-08-04,81.00,81.11,79.42,79.65,168600,79.65
2016-08-03,81.66,81.66,79.87,80.48,114600,80.48
2016-08-02,81.20,81.65,79.94,81.40,129000,81.40
2016-08-01,83.60,83.99,80.88,81.65,125100,81.65
2016-07-29,82.60,83.48,82.20,83.31,170700,83.31
2016-07-28,87.90,87.90,82.10,83.61,235500,83.61
2016-07-27,86.84,87.90,86.57,87.49,80800,87.49
2016-07-26,86.23,86.90,86.00,86.69,74500,86.69
2016-07-25,86.08,86.79,85.92,86.35,46700,86.35
2016-07-22,85.72,86.64,85.38,86.19,64600,86.19
2016-07-21,85.90,86.32,84.64,85.75,82000,85.75
2016-07-20,86.51,86.73,85.25,85.74,91000,85.74
2016-07-19,84.49,86.36,84.41,86.13,121900,86.13
2016-07-18,82.38,86.34,81.35,85.08,234400,85.08
2016-07-15,82.41,83.20,81.76,82.56,53600,82.56
2016-07-14,81.60,84.95,80.86,83.15,258000,83.15
2016-07-13,82.00,83.93,82.00,82.97,109500,82.97
2016-07-12,80.82,82.90,80.82,82.55,62300,82.55
2016-07-11,79.12,81.34,78.85,81.00,74200,81.00
2016-07-08,76.80,78.26,76.11,78.07,68500,78.07
2016-07-07,75.94,77.62,75.84,76.77,70700,76.77
2016-07-06,76.55,77.00,75.08,75.75,76600,75.75
2016-07-05,78.51,78.70,76.90,77.52,40600,77.52
2016-07-04,80.40,80.51,78.88,79.00,53600,79.00
2016-07-01,78.71,80.37,77.88,80.03,79200,80.03
2016-06-30,77.99,79.02,77.08,78.46,69600,78.46
2016-06-29,76.34,78.23,76.04,77.92,103400,77.92
2016-06-28,76.50,77.16,75.70,75.92,101700,75.92
2016-06-27,80.55,80.55,72.10,74.86,218900,74.86
2016-06-24,78.00,83.00,78.00,80.64,240500,80.64
2016-06-23,84.00,86.79,83.86,85.88,134700,85.88
2016-06-22,84.00,85.08,83.78,84.00,68000,84.00
2016-06-21,82.81,84.69,82.78,84.40,103200,84.40
2016-06-20,81.60,83.81,81.50,83.10,124800,83.10
2016-06-17,80.21,81.50,79.78,79.78,165000,79.78
2016-06-16,81.37,81.60,79.45,80.27,126300,80.27
2016-06-15,80.50,82.32,80.30,82.00,160500,82.00
2016-06-14,79.90,80.56,78.00,78.57,366200,78.57
2016-06-13,81.20,82.58,80.81,82.22,116900,82.22
2016-06-10,83.36,83.66,82.54,82.70,103600,82.70
2016-06-09,83.30,84.45,81.78,83.66,141100,83.66
2016-06-08,85.88,86.88,83.83,84.02,111300,84.02
2016-06-07,84.26,85.81,84.26,85.37,71600,85.37
2016-06-06,83.54,84.73,83.46,84.32,49200,84.32
2016-06-03,84.63,85.48,83.35,83.80,69200,83.80
2016-06-02,83.76,86.20,83.76,84.80,131800,84.80
2016-06-01,84.10,84.64,83.83,84.25,77500,84.25
2016-05-31,84.10,84.40,83.52,84.40,65700,84.40
2016-05-30,84.21,84.35,83.56,84.05,33200,84.05
2016-05-27,83.08,84.30,82.53,83.91,79900,83.91
2016-05-26,84.17,84.26,83.10,83.20,59800,83.20
2016-05-25,84.08,84.25,83.23,83.51,73200,83.51
2016-05-24,82.61,84.16,81.91,83.93,89400,83.93
2016-05-23,84.00,84.25,81.53,82.51,111300,82.51
2016-05-20,84.45,85.05,84.22,84.99,93100,82.99
2016-05-19,84.09,84.25,82.91,84.00,76900,82.023
2016-05-18,83.40,84.86,82.76,84.52,88700,82.531
2016-05-17,83.40,84.74,82.65,83.77,158700,81.799
2016-05-16,83.05,83.05,83.05,83.05,000,81.096
2016-05-13,80.21,83.93,79.33,83.05,182500,81.096
2016-05-12,82.79,82.79,80.03,80.41,124900,78.518
2016-05-11,82.43,83.20,81.97,82.99,132900,81.037
2016-05-10,82.64,83.24,81.78,82.21,110300,80.275
2016-05-09,84.04,84.49,82.20,82.36,69000,80.422
2016-05-06,83.10,84.72,82.56,83.95,81000,81.974
2016-05-05,83.54,84.44,83.03,83.61,64900,81.642
2016-05-04,84.37,84.47,82.91,83.20,88700,81.242
2016-05-03,84.25,84.44,82.26,84.10,139300,82.121
2016-05-02,84.44,84.46,82.90,83.49,60500,81.525
2016-04-29,84.96,86.47,83.58,83.73,188400,81.76
2016-04-28,81.49,84.49,80.71,84.01,245700,82.033
2016-04-27,79.71,80.89,78.94,79.99,103000,78.108
2016-04-26,79.89,80.27,78.85,79.34,87800,77.473
2016-04-25,80.45,81.19,79.25,79.70,83400,77.824
2016-04-22,79.23,80.82,79.23,80.20,66400,78.313
2016-04-21,80.50,80.90,79.20,79.71,82100,77.834
2016-04-20,79.74,80.47,78.93,80.34,89100,78.449
2016-04-19,77.88,79.93,77.19,79.60,134400,77.727
2016-04-18,77.35,77.91,76.22,77.43,117200,75.608
2016-04-15,78.80,79.48,77.23,77.87,120900,76.038
2016-04-14,78.50,81.44,78.35,79.24,189000,77.375
2016-04-13,77.72,77.89,77.08,77.60,123800,75.774
2016-04-12,76.79,77.62,75.87,76.97,102500,75.159
2016-04-11,76.87,78.38,76.43,76.79,77100,74.983
2016-04-08,73.43,77.26,73.43,76.80,134400,74.993
2016-04-07,73.00,74.65,72.74,73.03,78800,71.311
2016-04-06,73.23,73.31,72.54,73.00,119800,71.282
2016-04-05,75.30,75.58,73.34,73.37,62300,71.643
2016-04-04,76.44,77.14,75.60,75.92,44900,74.133
2016-04-01,76.39,77.98,75.89,76.48,61000,74.68
2016-03-31,77.62,77.70,76.60,77.34,79900,75.52
2016-03-30,74.95,78.81,74.58,77.90,122800,76.067
2016-03-29,74.64,75.29,73.97,74.57,76800,72.815
2016-03-28,73.90,73.90,73.90,73.90,000,72.161
2016-03-25,73.90,73.90,73.90,73.90,000,72.161
2016-03-24,75.35,75.35,73.21,73.90,127400,72.161
2016-03-23,76.72,78.64,75.01,75.53,111600,73.753
2016-03-22,73.94,76.29,73.58,76.11,107500,74.319
2016-03-21,75.20,76.18,73.12,74.37,171100,72.62
2016-03-18,77.80,78.12,76.36,77.60,117200,75.774
2016-03-17,78.00,78.60,76.22,77.26,176200,75.442
2016-03-16,76.47,77.46,75.73,75.81,107800,74.026
2016-03-15,77.74,77.80,76.23,76.60,105000,74.797
2016-03-14,76.67,78.42,76.67,78.02,87200,76.184
2016-03-11,75.53,76.50,74.93,76.05,83800,74.26
2016-03-10,76.38,78.00,74.48,74.48,153000,72.727
2016-03-09,75.00,75.99,73.73,75.81,127100,74.026
2016-03-08,78.38,78.41,75.22,75.37,208200,73.596
2016-03-07,78.20,78.93,77.62,78.68,97300,76.828
2016-03-04,77.53,78.99,77.30,78.63,147200,76.78
2016-03-03,75.34,77.90,75.27,77.41,106800,75.588
2016-03-02,74.99,75.92,74.07,75.31,133300,73.538
2016-03-01,73.06,74.95,73.01,74.90,71100,73.137
2016-02-29,73.10,73.75,72.17,73.49,85000,71.761
2016-02-26,70.31,74.59,70.31,73.34,200500,71.614
2016-02-25,69.99,70.27,68.95,70.00,107700,68.353
2016-02-24,69.64,69.66,67.78,68.52,149300,66.908
2016-02-23,68.61,69.97,67.93,69.30,149800,67.669
2016-02-22,67.96,69.31,67.79,68.85,84100,67.23
2016-02-19,67.64,69.34,66.62,67.74,207900,66.146
2016-02-18,65.69,68.47,65.32,68.00,165400,66.40
2016-02-17,61.63,66.49,61.50,65.82,175200,64.271
2016-02-16,62.14,62.38,60.10,61.40,92400,59.955
2016-02-15,60.90,61.88,60.46,61.73,145400,60.277
2016-02-12,60.00,60.00,58.30,59.59,180300,58.188
2016-02-11,61.00,61.00,58.73,58.73,133500,57.348
2016-02-10,61.30,62.32,60.11,61.55,130700,60.102
2016-02-09,60.70,61.69,59.63,60.37,216200,58.949
2016-02-08,60.65,61.84,59.28,59.91,171800,58.50
2016-02-05,61.00,61.66,59.93,60.65,169100,59.223
2016-02-04,61.00,61.00,58.20,60.15,214800,58.735
2016-02-03,60.82,61.68,59.29,60.42,323900,58.998
2016-02-02,66.39,67.00,59.08,60.00,706100,58.588
2016-02-01,67.49,67.49,64.40,64.75,122500,63.226
2016-01-29,66.10,67.06,64.87,67.06,110900,65.482
2016-01-28,65.22,66.50,64.15,65.38,86400,63.841
2016-01-27,65.59,65.77,64.06,65.24,113700,63.705
2016-01-26,65.00,66.87,63.84,66.30,115300,64.74
2016-01-25,68.14,68.30,65.55,65.81,86900,64.261
2016-01-22,68.05,68.58,67.13,67.80,80500,66.205
2016-01-21,64.69,66.63,63.95,66.35,119800,64.789
2016-01-20,64.80,65.09,63.65,64.26,117700,62.748
2016-01-19,66.42,66.99,65.17,65.76,116300,64.213
2016-01-18,65.90,67.13,64.67,65.20,97700,63.666
2016-01-15,69.85,70.33,65.00,65.83,166600,64.281
2016-01-14,69.00,70.38,67.91,69.65,109200,68.011
2016-01-13,70.30,71.88,70.00,70.45,80600,68.792
2016-01-12,67.52,70.42,67.20,69.37,88800,67.738
2016-01-11,69.30,70.22,67.85,67.91,108600,66.312
2016-01-08,71.50,72.29,69.24,69.27,125500,67.64
2016-01-07,70.40,72.59,68.89,71.50,211700,69.817
2016-01-06,75.54,75.54,71.84,72.47,126500,70.765
2016-01-05,75.96,76.49,74.60,75.47,69800,73.694
2016-01-04,75.50,76.33,74.40,75.61,144500,73.831
2016-01-01,77.52,77.52,77.52,77.52,000,75.696
2015-12-31,77.52,77.52,77.52,77.52,000,75.696
2015-12-30,79.00,79.00,77.52,77.52,29800,75.696
2015-12-29,77.90,78.92,77.79,78.85,45400,76.994
2015-12-28,78.68,78.68,77.03,77.61,46700,75.784
2015-12-25,78.22,78.22,78.22,78.22,000,76.379
2015-12-24,78.22,78.22,78.22,78.22,000,76.379
2015-12-23,77.04,78.48,76.75,78.22,57700,76.379
2015-12-22,76.95,77.51,75.69,76.01,105100,74.221
2015-12-21,78.17,79.62,76.38,76.38,95800,74.583
2015-12-18,78.34,79.20,77.82,78.40,143700,76.555
2015-12-17,77.30,79.29,76.78,79.11,239500,77.248
2015-12-16,74.40,75.95,73.90,75.35,126800,73.577
2015-12-15,73.49,75.13,73.07,73.87,128000,72.132
2015-12-14,74.06,75.44,72.88,73.07,99100,71.351
2015-12-11,77.00,77.00,73.12,73.85,125400,72.112
2015-12-10,76.60,77.72,76.05,76.94,92500,75.129
2015-12-09,78.02,78.36,75.97,76.64,127200,74.836
2015-12-08,79.41,79.46,77.30,77.61,97900,75.784
2015-12-07,79.35,80.41,78.73,80.03,121000,78.147
2015-12-04,80.54,80.75,78.25,78.38,154900,76.536
2015-12-03,84.00,84.60,80.01,80.01,195800,78.127
2015-12-02,84.20,84.89,83.79,83.91,88100,81.935
2015-12-01,85.26,85.64,84.22,84.22,113900,82.238
2015-11-30,84.57,85.49,83.78,85.09,81400,83.088
2015-11-27,84.64,84.64,83.76,84.22,84400,82.238
2015-11-26,83.87,85.22,83.50,84.54,137200,82.551
2015-11-25,82.53,83.99,81.96,83.27,116200,81.31
2015-11-24,82.85,82.85,81.07,82.05,129100,80.119
2015-11-23,82.78,83.21,81.68,82.75,132200,80.803
2015-11-20,83.10,84.19,82.23,82.86,111800,80.91
2015-11-19,82.48,83.88,82.38,82.54,105600,80.598
2015-11-18,82.50,83.03,81.66,82.25,145200,80.314
2015-11-17,82.40,83.56,82.25,83.14,78600,81.184
2015-11-16,80.00,82.96,79.12,81.47,105800,79.553
2015-11-13,81.82,82.28,80.88,81.25,71700,79.338
2015-11-12,82.77,83.20,80.85,81.36,101100,79.445
2015-11-11,81.66,83.91,81.66,82.89,118800,80.939
