Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,39.895,40.495,39.315,40.35,391100,40.35
2016-10-26,40.22,40.35,39.095,39.82,371800,39.82
2016-10-25,40.16,40.565,39.99,40.225,438900,40.225
2016-10-24,39.785,40.345,39.615,39.98,434300,39.98
2016-10-21,40.40,40.42,39.345,39.61,508200,39.61
2016-10-20,40.21,41.115,39.76,40.345,935100,40.345
2016-10-19,38.25,40.11,37.555,39.905,1463500,39.905
2016-10-18,37.30,37.49,36.945,37.30,578700,37.30
2016-10-17,37.76,37.825,37.05,37.21,392000,37.21
2016-10-14,37.315,37.955,37.085,37.60,385200,37.60
2016-10-13,37.35,37.395,36.695,37.08,551300,37.08
2016-10-12,37.65,38.00,37.43,37.595,375200,37.595
2016-10-11,37.03,38.185,37.03,37.61,461800,37.61
2016-10-10,37.02,37.20,36.77,37.10,422100,37.10
2016-10-07,37.50,37.54,36.58,36.97,994600,36.97
2016-10-06,38.11,38.59,37.865,38.31,516000,38.31
2016-10-05,37.70,38.11,37.23,37.96,405000,37.96
2016-10-04,37.155,38.40,37.155,37.90,781000,37.90
2016-10-03,37.15,37.15,37.15,37.15,000,37.15
2016-09-30,36.00,37.245,35.505,37.15,468100,37.15
2016-09-29,36.76,36.76,36.195,36.50,336800,36.50
2016-09-28,36.735,37.30,36.09,36.345,472800,36.345
2016-09-27,37.00,37.035,36.06,36.40,435300,36.40
2016-09-26,37.105,37.105,36.64,36.74,294500,36.74
2016-09-23,37.00,37.615,36.83,37.295,395600,37.295
2016-09-22,36.71,37.825,36.67,36.99,407100,36.99
2016-09-21,36.62,36.62,36.035,36.485,403700,36.485
2016-09-20,36.39,36.59,36.05,36.385,439200,36.385
2016-09-19,35.545,35.66,35.14,35.425,185500,35.425
2016-09-16,35.02,35.485,34.94,35.19,774200,35.19
2016-09-15,35.055,35.105,34.655,35.00,355800,35.00
2016-09-14,35.35,35.485,34.855,35.245,425100,35.245
2016-09-13,35.30,35.59,34.96,35.165,279600,35.165
2016-09-12,35.00,35.22,34.50,35.155,351600,35.155
2016-09-09,36.15,36.18,35.55,35.695,357000,35.695
2016-09-08,36.60,36.60,35.79,36.21,592400,36.21
2016-09-07,35.555,36.61,35.435,36.515,598100,36.515
2016-09-06,34.745,35.50,34.695,35.345,382400,35.345
2016-09-05,35.395,35.425,34.885,35.03,185600,35.03
2016-09-02,34.845,35.19,34.365,35.09,376000,35.09
2016-09-01,34.27,35.12,34.19,34.685,311700,34.685
2016-08-31,34.705,34.705,34.20,34.285,417700,34.285
2016-08-30,34.205,34.675,34.19,34.60,630000,34.60
2016-08-29,34.54,34.54,33.80,34.00,377100,34.00
2016-08-26,34.375,34.775,34.21,34.68,767500,34.68
2016-08-25,35.12,35.12,34.345,34.37,624600,34.37
2016-08-24,35.40,35.75,35.215,35.32,817600,35.32
2016-08-23,35.33,35.76,35.25,35.375,566500,35.375
2016-08-22,35.805,35.89,35.10,35.33,335400,35.33
2016-08-19,35.71,35.75,35.21,35.69,686500,35.69
2016-08-18,35.54,35.80,35.435,35.71,646200,35.71
2016-08-17,36.34,36.46,35.30,35.30,942000,35.30
2016-08-16,37.00,37.25,36.235,36.30,803200,36.30
2016-08-15,36.92,37.65,36.92,37.25,649000,37.25
2016-08-12,35.975,36.945,35.895,36.74,827100,36.74
2016-08-11,34.395,35.94,34.30,35.94,1018900,35.94
