Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,71.80,73.66,71.80,73.47,12300,73.47
2016-10-26,71.80,72.36,71.48,72.00,6900,72.00
2016-10-25,71.10,71.99,70.72,71.65,5500,71.65
2016-10-24,71.00,71.22,70.66,71.20,11400,71.20
2016-10-21,69.53,71.22,68.58,71.00,10800,71.00
2016-10-20,69.99,69.99,67.57,69.62,9300,69.62
2016-10-19,68.48,70.00,68.39,70.00,7900,70.00
2016-10-18,68.47,68.47,67.25,68.43,3700,68.43
2016-10-17,68.20,68.86,67.51,67.51,7000,67.51
2016-10-14,67.48,68.80,66.47,68.01,8800,68.01
2016-10-13,67.00,67.48,66.24,67.20,7200,67.20
2016-10-12,66.10,67.26,65.60,67.26,10300,67.26
2016-10-11,64.83,65.94,64.00,64.30,7100,64.30
2016-10-10,64.00,64.39,63.35,64.32,5800,64.32
2016-10-07,65.90,65.90,63.77,64.00,4400,64.00
2016-10-06,65.95,65.95,64.62,65.51,3800,65.51
2016-10-05,65.50,65.50,64.34,65.40,2100,65.40
2016-10-04,63.85,64.95,63.85,64.95,3700,64.95
2016-10-03,63.76,63.76,63.76,63.76,000,63.76
2016-09-30,64.20,64.22,63.32,63.76,6700,63.76
2016-09-29,64.00,64.85,63.75,64.20,12500,64.20
2016-09-28,63.32,64.40,63.32,64.09,2600,64.09
2016-09-27,63.50,64.32,63.50,63.65,6000,63.65
2016-09-26,63.93,64.37,63.51,63.80,2500,63.80
2016-09-23,65.05,65.11,63.54,64.00,6800,64.00
2016-09-22,64.31,65.09,63.95,65.09,8600,65.09
2016-09-21,64.44,64.44,62.60,64.35,8300,64.35
2016-09-20,64.01,64.50,63.00,63.71,9300,63.71
2016-09-19,63.17,63.99,62.64,63.50,5700,63.50
2016-09-16,62.48,62.68,61.67,62.60,2100,62.60
2016-09-15,61.49,62.28,61.49,62.10,4100,62.10
2016-09-14,61.65,62.95,61.65,62.32,3700,62.32
2016-09-13,61.41,62.53,61.41,62.03,2600,62.03
2016-09-12,63.50,64.34,61.33,61.33,23500,61.33
2016-09-09,63.90,64.50,63.43,63.46,3400,63.46
2016-09-08,65.50,65.50,63.64,64.50,6000,64.50
2016-09-07,63.50,64.96,63.05,64.96,4300,64.96
2016-09-06,64.49,64.84,63.46,63.46,7700,63.46
2016-09-05,65.50,65.50,63.85,64.04,6500,64.04
2016-09-02,65.06,65.34,64.54,64.66,1800,64.66
2016-09-01,65.50,65.50,63.97,64.70,1800,64.70
2016-08-31,66.38,66.59,65.00,65.50,5700,65.50
2016-08-30,66.47,66.69,65.50,65.86,6400,65.86
2016-08-29,66.80,66.80,65.43,65.75,2300,65.75
2016-08-26,66.00,66.80,65.31,66.80,2900,66.80
2016-08-25,65.85,66.48,65.46,65.46,4100,65.46
2016-08-24,65.84,66.51,65.84,65.84,1500,65.84
2016-08-23,65.32,67.28,65.32,65.84,5600,65.84
2016-08-22,66.65,67.30,65.31,65.77,5000,65.77
2016-08-19,67.20,67.20,65.41,66.50,5500,66.50
2016-08-18,67.30,67.40,66.26,66.50,6000,66.50
2016-08-17,67.90,68.49,64.64,66.69,7900,66.69
2016-08-16,68.80,68.80,66.83,67.91,6900,67.91
2016-08-15,68.88,68.88,67.62,68.88,4900,68.88
2016-08-12,68.58,68.76,67.64,68.76,4300,68.76
2016-08-11,68.50,68.88,68.00,68.80,4400,68.80
2016-08-10,68.22,68.81,66.86,68.81,16600,68.81
2016-08-09,66.90,68.33,66.09,68.12,6300,68.12
2016-08-08,67.20,67.20,65.40,66.19,4400,66.19
2016-08-05,66.70,67.33,66.05,66.60,5700,66.60
2016-08-04,64.70,66.09,64.70,65.71,5400,65.71
2016-08-03,65.65,65.65,63.51,65.13,4400,65.13
2016-08-02,66.03,66.78,65.35,66.32,2400,66.32
2016-08-01,67.50,68.57,64.80,67.16,13600,67.16
