Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,34.635,35.05,34.01,34.165,100400,34.165
2016-10-26,35.945,35.95,34.50,34.61,32000,34.61
2016-10-25,35.98,36.075,35.805,35.92,25900,35.92
2016-10-24,35.775,35.965,35.405,35.825,44300,35.825
2016-10-21,35.55,35.59,35.275,35.47,39000,35.47
2016-10-20,35.49,35.55,35.20,35.425,36000,35.425
2016-10-19,35.02,35.415,35.00,35.415,43400,35.415
2016-10-18,34.67,35.315,34.515,35.055,51500,35.055
2016-10-17,34.40,34.55,34.15,34.355,49700,34.355
2016-10-14,34.50,34.50,34.09,34.39,44000,34.39
2016-10-13,34.00,34.37,33.63,34.37,52500,34.37
2016-10-12,33.30,34.10,33.08,34.00,103100,34.00
2016-10-11,32.80,33.395,32.79,33.30,77400,33.30
2016-10-10,31.60,33.10,31.50,33.00,112900,33.00
2016-10-07,32.97,33.375,32.76,33.115,46000,33.115
2016-10-06,33.20,33.35,32.62,33.095,78800,33.095
2016-10-05,34.30,34.325,32.815,33.10,128100,33.10
2016-10-04,35.10,35.345,34.51,34.66,90300,34.66
2016-10-03,35.60,35.60,35.60,35.60,000,35.60
2016-09-30,35.45,35.60,34.86,35.60,152800,35.60
2016-09-29,36.50,36.615,35.85,35.97,131000,35.97
2016-09-28,37.295,37.295,36.52,36.75,44500,36.75
2016-09-27,36.605,37.275,36.38,37.245,44500,37.245
2016-09-26,36.11,36.50,35.81,36.50,41500,36.50
2016-09-23,36.145,36.335,35.90,36.10,35200,36.10
2016-09-22,35.50,36.445,35.44,36.045,65600,36.045
2016-09-21,36.55,36.55,35.205,35.75,50800,35.75
2016-09-20,36.275,36.79,36.275,36.28,46300,36.28
2016-09-19,36.80,36.85,36.21,36.40,56100,36.40
2016-09-16,36.965,37.00,36.605,36.895,53900,36.895
2016-09-15,36.45,36.89,36.265,36.89,95900,36.89
2016-09-14,36.50,36.585,35.74,36.30,322200,36.30
2016-09-13,37.00,38.875,37.00,37.80,104800,37.80
2016-09-12,36.955,37.25,36.50,36.95,60000,36.95
2016-09-09,39.00,39.00,37.045,37.14,52600,37.14
2016-09-08,39.05,39.14,38.70,38.70,29600,38.70
2016-09-07,38.70,39.26,38.60,39.00,41800,39.00
2016-09-06,38.865,39.07,38.34,38.54,47800,38.54
2016-09-05,39.305,39.40,38.60,38.88,23800,38.88
2016-09-02,38.96,39.45,38.875,39.165,44100,39.165
2016-09-01,39.26,39.495,38.915,38.93,16100,38.93
2016-08-31,39.105,39.35,38.825,39.33,45900,39.33
2016-08-30,39.26,39.59,38.90,39.035,28000,39.035
2016-08-29,39.43,39.43,38.765,39.12,40300,39.12
2016-08-26,39.415,39.415,38.84,39.035,31600,39.035
2016-08-25,39.84,40.08,38.97,39.14,53800,39.14
2016-08-24,40.19,40.19,39.105,39.56,54100,39.56
2016-08-23,39.66,40.115,39.485,39.78,68300,39.78
2016-08-22,39.50,39.50,39.00,39.20,26900,39.20
2016-08-19,38.75,39.60,38.515,39.40,38900,39.40
2016-08-18,38.85,39.685,38.475,38.50,33600,38.50
2016-08-17,39.00,39.00,37.615,38.25,53600,38.25
2016-08-16,39.55,39.55,38.64,39.055,37500,39.055
2016-08-15,39.45,39.645,38.98,38.985,19100,38.985
2016-08-12,39.215,39.71,38.80,39.135,40800,39.135
2016-08-11,38.70,38.83,38.505,38.83,30200,38.83
2016-08-10,39.29,39.29,38.35,38.50,39100,38.50
2016-08-09,37.45,38.955,37.45,38.955,43400,38.955
2016-08-08,37.59,37.925,37.41,37.615,39400,37.615
2016-08-05,36.20,37.33,36.20,37.33,32100,37.33
2016-08-04,35.835,36.455,35.635,36.01,30800,36.01
2016-08-03,37.085,37.085,35.89,36.00,15000,36.00
2016-08-02,36.91,37.13,36.40,36.77,23600,36.77
2016-08-01,36.665,37.165,36.57,36.775,30500,36.775
2016-07-29,36.065,36.465,35.64,36.425,41800,36.425
2016-07-28,35.295,36.465,35.00,35.755,42700,35.755
2016-07-27,36.275,36.275,35.52,35.60,34600,35.60
2016-07-26,36.35,36.65,35.785,35.87,38000,35.87
2016-07-25,35.345,36.37,35.345,36.11,38800,36.11
