Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,13.775,13.775,13.37,13.475,86500,13.475
2016-10-26,14.005,14.04,13.68,13.81,82800,13.81
2016-10-25,14.25,14.25,14.06,14.105,26500,14.105
2016-10-24,14.125,14.21,14.08,14.125,52800,14.125
2016-10-21,13.75,14.30,13.745,14.205,142400,14.205
2016-10-20,13.725,13.755,13.615,13.735,36800,13.735
2016-10-19,13.895,13.895,13.675,13.68,47500,13.68
2016-10-18,13.86,13.88,13.71,13.845,25200,13.845
2016-10-17,13.945,13.99,13.70,13.71,32200,13.71
2016-10-14,14.05,14.05,13.75,13.85,45400,13.85
2016-10-13,13.90,13.92,13.625,13.92,63800,13.92
2016-10-12,13.98,14.13,13.87,13.905,53700,13.905
2016-10-11,13.70,14.075,13.695,13.985,84100,13.985
2016-10-10,13.705,13.81,13.60,13.745,70400,13.745
2016-10-07,13.50,13.715,13.38,13.645,46200,13.645
2016-10-06,13.46,13.575,13.28,13.48,102300,13.48
2016-10-05,13.92,13.92,13.40,13.50,120500,13.50
2016-10-04,14.015,14.235,13.895,13.915,45000,13.915
2016-10-03,14.175,14.175,14.175,14.175,000,14.175
2016-09-30,14.015,14.295,13.755,14.175,65400,14.175
2016-09-29,14.375,14.40,14.185,14.27,32700,14.27
2016-09-28,13.995,14.25,13.895,14.17,40800,14.17
2016-09-27,14.30,14.32,13.89,13.89,49400,13.89
2016-09-26,14.25,14.33,14.045,14.30,51000,14.30
2016-09-23,14.395,14.495,14.30,14.385,70200,14.385
2016-09-22,14.14,14.57,14.065,14.435,95100,14.435
2016-09-21,13.925,14.15,13.925,14.10,113000,14.10
2016-09-20,14.20,14.20,13.845,14.055,81400,14.055
2016-09-19,14.20,14.21,14.115,14.13,63100,14.13
2016-09-16,14.00,14.17,14.00,14.11,57500,14.11
2016-09-15,13.93,14.145,13.85,14.01,43600,14.01
2016-09-14,13.95,13.995,13.815,13.935,55600,13.935
2016-09-13,13.98,14.06,13.76,13.87,42600,13.87
2016-09-12,13.895,13.97,13.525,13.94,122700,13.94
2016-09-09,14.475,14.54,14.06,14.10,93700,14.10
2016-09-08,14.21,14.55,14.14,14.50,127200,14.50
2016-09-07,14.255,14.285,14.10,14.165,73700,14.165
