Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,99.11,100.20,97.91,98.60,18500,98.60
2016-10-26,97.75,99.55,97.51,99.50,15800,99.50
2016-10-25,99.50,99.50,98.07,98.20,8100,98.20
2016-10-24,97.29,100.50,96.40,99.00,26700,99.00
2016-10-21,96.80,97.20,96.39,96.69,11200,96.69
2016-10-20,97.10,97.18,96.46,96.85,12000,96.85
2016-10-19,98.10,98.10,96.72,96.76,7700,96.76
2016-10-18,97.00,98.36,96.61,98.00,10900,98.00
2016-10-17,97.99,97.99,95.91,96.44,10200,96.44
2016-10-14,96.50,97.66,96.26,97.54,8000,97.54
2016-10-13,96.50,96.75,96.00,96.45,14300,96.45
2016-10-12,98.05,98.29,96.87,97.16,7500,97.16
2016-10-11,97.50,98.86,97.20,97.41,9600,97.41
2016-10-10,97.90,98.46,97.31,98.15,6000,98.15
2016-10-07,99.71,99.95,97.42,97.80,13700,97.80
2016-10-06,100.40,100.45,99.28,99.65,19800,99.65
2016-10-05,98.87,100.20,98.77,100.15,7900,100.15
2016-10-04,97.50,101.00,97.50,99.30,16800,99.30
2016-10-03,97.01,97.01,97.01,97.01,000,97.01
2016-09-30,98.59,98.59,94.90,97.01,19100,97.01
2016-09-29,97.80,98.60,96.68,97.00,7400,97.00
2016-09-28,97.00,99.00,96.62,97.13,14800,97.13
2016-09-27,97.97,97.97,94.85,96.55,16200,96.55
2016-09-26,99.24,99.50,97.00,97.90,18400,97.90
2016-09-23,100.00,100.00,99.32,99.67,20500,99.67
2016-09-22,100.00,100.30,99.68,100.00,22700,100.00
2016-09-21,100.50,102.05,99.32,99.91,21800,99.91
2016-09-20,100.60,101.10,99.66,100.75,10000,100.75
2016-09-19,96.06,100.60,96.06,100.20,14500,100.20
2016-09-16,96.57,97.38,96.13,96.69,12300,96.69
2016-09-15,97.05,97.51,96.31,96.50,11600,96.50
2016-09-14,97.85,99.00,97.22,97.22,17100,97.22
2016-09-13,98.78,99.75,97.09,97.28,10000,97.28
2016-09-12,99.01,99.01,97.01,98.28,14500,98.28
2016-09-09,101.00,101.95,100.15,100.55,7300,100.55
2016-09-08,101.05,101.95,99.80,100.75,10700,100.75
2016-09-07,100.00,101.60,100.00,101.60,11600,101.60
2016-09-06,100.70,100.90,100.05,100.45,21800,100.45
2016-09-05,100.90,101.00,100.10,100.25,7600,100.25
2016-09-02,99.87,100.75,98.70,100.45,12500,100.45
2016-09-01,99.00,100.95,98.93,99.33,18500,99.33
2016-08-31,99.20,100.35,98.38,98.67,19300,98.67
2016-08-30,99.40,99.80,99.10,99.15,7500,99.15
2016-08-29,99.60,99.60,97.41,99.16,9400,99.16
2016-08-26,97.16,99.25,96.90,99.05,25500,99.05
2016-08-25,98.25,98.40,96.50,97.54,16500,97.54
2016-08-24,98.99,99.46,98.29,98.74,8000,98.74
2016-08-23,98.50,99.50,98.50,99.05,14600,99.05
2016-08-22,96.30,99.28,96.00,98.44,29600,98.44
2016-08-19,97.30,97.31,95.91,96.30,10500,96.30
2016-08-18,96.99,97.50,96.43,97.25,16100,97.25
2016-08-17,95.69,96.59,94.70,96.28,25500,96.28
2016-08-16,96.52,96.90,94.56,95.13,24000,95.13
2016-08-15,98.30,98.49,96.13,97.01,23700,97.01
2016-08-12,99.00,99.10,97.32,97.94,15100,97.94
2016-08-11,100.20,100.85,98.62,99.00,25500,99.00
2016-08-10,94.92,100.95,94.71,100.95,30600,100.95
2016-08-09,96.07,96.12,93.59,95.03,29100,95.03
2016-08-08,94.17,96.61,93.66,95.74,21300,95.74
2016-08-05,93.00,93.79,92.75,93.52,22100,93.52
2016-08-04,92.20,93.20,92.15,92.60,24900,92.60
2016-08-03,92.33,92.33,90.98,92.15,21400,92.15
2016-08-02,97.67,97.67,91.80,92.50,33000,92.50
2016-08-01,98.00,98.60,97.17,98.05,24100,98.05
2016-07-29,97.85,98.34,96.89,97.77,19500,97.77
2016-07-28,96.83,97.97,96.22,97.76,17800,97.76
2016-07-27,95.00,96.69,94.92,96.66,17100,96.66
2016-07-26,93.13,94.98,92.14,94.51,22100,94.51
2016-07-25,92.50,93.61,92.08,93.29,18300,93.29
2016-07-22,94.15,94.80,91.93,92.51,25800,92.51
2016-07-21,93.77,94.81,92.51,94.17,16100,94.17
2016-07-20,93.42,93.42,91.55,93.37,36400,93.37
2016-07-19,94.47,94.84,92.81,93.00,17600,93.00
2016-07-18,92.57,94.71,92.57,94.62,21700,94.62
2016-07-15,92.11,92.94,91.54,92.54,12800,92.54
2016-07-14,92.00,92.79,91.37,92.75,15900,92.75
2016-07-13,91.22,92.08,90.10,91.65,34100,91.65
2016-07-12,87.92,91.53,87.50,91.18,44900,91.18
2016-07-11,87.13,87.98,85.29,86.85,31600,86.85
2016-07-08,84.85,86.45,83.40,86.27,29700,86.27
2016-07-07,84.02,85.76,83.70,84.74,31500,84.74
2016-07-06,85.44,85.78,82.80,83.79,31100,83.79
2016-07-05,86.41,86.71,84.90,85.65,32600,85.65
2016-07-04,88.24,88.60,86.42,86.50,28400,86.50
2016-07-01,88.68,88.90,87.13,87.98,28600,87.98
2016-06-30,87.05,88.00,86.81,88.00,19800,88.00
2016-06-29,87.10,87.46,86.10,87.00,40000,87.00
2016-06-28,86.61,87.50,85.10,86.50,46600,86.50
2016-06-27,89.67,89.80,85.00,85.00,60200,85.00
2016-06-24,89.90,92.31,84.22,89.80,47400,89.80
2016-06-23,95.50,95.50,93.35,94.79,29300,94.79
2016-06-22,98.30,98.30,93.47,94.53,41900,94.53
2016-06-21,97.60,98.55,96.15,97.73,17700,97.73
2016-06-20,101.95,101.95,95.61,97.69,11400,97.69
2016-06-17,93.50,93.90,92.80,93.25,20500,93.25
2016-06-16,93.05,93.81,92.05,92.50,26600,92.50
2016-06-15,94.33,94.50,92.97,93.67,22100,93.67
2016-06-14,93.77,93.83,91.55,93.28,34200,93.28
2016-06-13,96.25,96.35,93.25,93.79,43700,93.79
2016-06-10,99.29,99.29,96.85,97.04,39800,97.04
2016-06-09,100.45,101.00,99.15,99.74,13600,99.74
2016-06-08,101.60,101.65,100.70,101.00,6500,101.00
2016-06-07,102.00,102.40,101.25,101.60,13500,101.60
2016-06-06,100.20,100.40,99.50,100.00,12700,100.00
2016-06-03,98.35,102.00,98.35,99.40,40200,99.40
2016-06-02,98.81,99.49,98.38,98.51,14800,98.51
2016-06-01,98.33,98.86,98.06,98.70,12600,98.70
2016-05-31,98.37,98.75,98.05,98.34,31900,98.34
2016-05-30,98.48,98.50,98.05,98.45,20400,98.45
2016-05-27,97.00,98.08,95.93,98.08,28600,98.08
2016-05-26,97.44,97.50,95.96,96.79,45600,96.79
2016-05-25,96.43,97.15,94.60,96.69,100600,96.69
2016-05-24,98.00,98.50,97.54,98.15,23800,98.15
2016-05-23,99.00,99.17,97.30,97.89,21200,97.89
2016-05-20,97.00,99.67,96.71,99.28,21400,99.28
2016-05-19,97.50,97.65,95.67,96.55,24800,96.55
2016-05-18,97.80,98.87,97.49,97.83,14800,97.83
2016-05-17,98.50,99.56,97.30,97.74,11700,97.74
2016-05-16,98.60,98.60,98.60,98.60,000,98.60
2016-05-13,99.48,99.48,96.97,98.60,14500,98.60
2016-05-12,100.70,100.90,97.87,98.20,13300,98.20
2016-05-11,98.80,103.00,98.80,101.35,26900,101.35
2016-05-10,98.50,99.37,97.43,99.12,17400,99.12
2016-05-09,98.49,99.03,97.22,97.76,9900,97.76
2016-05-06,98.84,98.85,96.27,98.00,34900,98.00
2016-05-05,97.42,98.36,97.10,98.36,9100,98.36
2016-05-04,96.50,98.08,95.86,97.55,40900,97.55
2016-05-03,101.25,101.60,93.76,97.20,105500,97.20
2016-05-02,100.90,101.85,100.85,101.85,15500,101.85
2016-04-29,104.00,104.35,100.65,100.85,22100,100.85
2016-04-28,104.30,104.95,103.05,104.60,11400,104.60
2016-04-27,103.25,104.30,103.05,104.30,9700,104.30
2016-04-26,104.50,104.75,103.20,103.80,10400,103.80
2016-04-25,103.50,104.00,103.05,103.40,11300,103.40
2016-04-22,103.05,103.65,103.00,103.05,15700,103.05
2016-04-21,103.70,104.00,102.45,103.25,18300,103.25
2016-04-20,103.20,104.00,103.05,103.45,22900,103.45
2016-04-19,102.50,103.45,101.50,103.20,26300,103.20
2016-04-18,99.45,102.35,98.89,101.95,17700,101.95
2016-04-15,101.05,101.40,99.28,100.00,15600,100.00
2016-04-14,101.45,102.50,100.75,101.50,17100,101.50
2016-04-13,100.00,102.00,99.99,101.00,8300,101.00
2016-04-12,99.33,99.64,97.65,99.64,10200,99.64
2016-04-11,98.45,100.20,97.81,99.80,13500,99.80
2016-04-08,96.45,98.77,96.45,98.39,11600,98.39
2016-04-07,97.20,97.58,95.50,96.41,8500,96.41
2016-04-06,96.89,96.89,95.30,96.49,22800,96.49
2016-04-05,99.30,99.52,95.80,96.31,18200,96.31
2016-04-04,101.05,102.85,99.47,99.97,16400,99.97
2016-04-01,100.75,101.70,99.80,101.70,35400,101.70
2016-03-31,102.00,102.00,100.25,100.85,9200,100.85
2016-03-30,99.90,102.95,99.77,101.85,26200,101.85
2016-03-29,98.65,99.65,97.36,98.67,17800,98.67
2016-03-28,98.58,98.58,98.58,98.58,000,98.58
2016-03-25,98.58,98.58,98.58,98.58,000,98.58
2016-03-24,99.00,99.26,96.16,98.58,27900,98.58
2016-03-23,100.95,101.60,98.73,99.24,22700,99.24
2016-03-22,101.00,101.60,98.73,100.05,24200,100.05
2016-03-21,101.45,104.85,100.95,101.40,41200,101.40
2016-03-18,98.60,101.95,98.00,101.10,24600,101.10
2016-03-17,101.00,101.55,98.05,98.54,9100,98.54
2016-03-16,100.45,100.55,98.92,99.61,8400,99.61
2016-03-15,100.95,100.95,99.33,99.72,5400,99.72
2016-03-14,101.55,102.35,100.70,101.25,13200,101.25
2016-03-11,99.06,99.80,97.66,99.50,10200,99.50
2016-03-10,99.34,101.60,96.50,96.50,20600,96.50
2016-03-09,98.55,99.25,96.81,98.88,22500,98.88
2016-03-08,102.25,102.25,98.00,98.55,25000,98.55
2016-03-07,101.70,102.85,101.70,102.05,17200,102.05
2016-03-04,101.85,102.35,101.00,101.45,16200,101.45
2016-03-03,99.97,101.10,99.14,100.50,17200,100.50
2016-03-02,99.78,100.35,97.98,98.94,24500,98.94
2016-03-01,94.53,98.50,94.16,98.28,17800,98.28
2016-02-29,95.00,95.01,93.20,94.54,37900,94.54
2016-02-26,94.43,95.30,93.69,94.84,30800,94.84
2016-02-25,93.76,94.61,92.90,93.45,23900,93.45
2016-02-24,96.01,96.47,92.75,93.25,30000,93.25
2016-02-23,99.50,99.50,96.15,96.35,22400,96.35
2016-02-22,99.95,100.65,98.44,99.01,10900,99.01
2016-02-19,98.30,99.40,97.26,98.08,18900,98.08
2016-02-18,101.00,101.35,98.57,99.12,34100,99.12
2016-02-17,99.03,102.00,98.20,101.50,29800,99.05
2016-02-16,101.00,101.55,96.27,97.77,29100,95.41
2016-02-15,99.50,102.60,98.00,98.20,35300,95.83
2016-02-12,94.14,95.24,92.61,95.17,26600,92.873
2016-02-11,96.50,96.50,91.80,92.50,42800,90.267
2016-02-10,93.99,96.51,91.56,96.26,37200,93.936
2016-02-09,93.76,94.06,90.13,92.76,35800,90.521
2016-02-08,99.45,99.45,93.75,93.75,32600,91.487
2016-02-05,96.50,100.10,96.00,99.14,28700,96.747
2016-02-04,97.72,98.22,94.31,96.76,28600,94.424
