Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,12.30,12.635,12.27,12.535,19900,12.535
2016-10-26,12.38,12.47,12.30,12.30,5300,12.30
2016-10-25,12.31,12.395,12.215,12.35,20300,12.35
2016-10-24,12.515,12.74,12.275,12.31,45400,12.31
2016-10-21,12.30,12.715,12.25,12.625,48500,12.625
2016-10-20,12.34,12.345,12.225,12.295,36400,12.295
2016-10-19,12.345,12.505,12.30,12.34,10500,12.34
2016-10-18,12.41,12.535,12.395,12.40,7700,12.40
2016-10-17,12.525,12.525,12.32,12.365,24100,12.365
2016-10-14,12.595,12.67,12.53,12.56,14100,12.56
2016-10-13,12.66,12.735,12.55,12.575,14200,12.575
2016-10-12,12.725,12.78,12.60,12.70,19400,12.70
2016-10-11,12.70,12.705,12.61,12.70,11100,12.70
2016-10-10,12.80,12.80,12.60,12.64,58400,12.64
2016-10-07,12.80,12.93,12.70,12.83,65300,12.83
2016-10-06,12.675,12.87,12.59,12.80,45500,12.80
2016-10-05,12.635,12.79,12.605,12.79,14100,12.79
2016-10-04,12.90,12.90,12.55,12.70,40500,12.70
2016-10-03,12.82,12.82,12.82,12.82,000,12.82
2016-09-30,12.995,12.995,12.80,12.82,17000,12.82
2016-09-29,13.01,13.19,12.845,13.015,28800,13.015
2016-09-28,13.045,13.09,12.885,13.05,18300,13.05
2016-09-27,13.025,13.06,12.835,12.905,12000,12.905
2016-09-26,12.97,13.04,12.78,13.00,18900,13.00
2016-09-23,13.15,13.15,12.98,13.00,14700,13.00
2016-09-22,12.92,13.10,12.735,13.10,25700,13.10
2016-09-21,13.115,13.115,12.71,12.875,45200,12.875
2016-09-20,13.05,13.195,13.02,13.10,24800,13.10
2016-09-19,12.95,13.11,12.925,12.985,15400,12.985
2016-09-16,13.135,13.175,13.015,13.08,34100,13.08
2016-09-15,12.865,13.065,12.80,13.065,29400,13.065
2016-09-14,12.90,13.02,12.79,12.79,13700,12.79
2016-09-13,12.90,13.06,12.90,12.985,16500,12.985
2016-09-12,12.995,13.12,12.85,12.87,84300,12.87
2016-09-09,13.00,13.165,13.00,13.035,35800,13.035
2016-09-08,13.10,13.15,13.00,13.01,39700,13.01
2016-09-07,13.135,13.14,13.00,13.085,22200,13.085
2016-09-06,12.86,13.165,12.86,13.01,47900,13.01
2016-09-05,13.005,13.10,12.73,12.91,46900,12.91
2016-09-02,13.05,13.16,12.975,12.98,50400,12.98
2016-09-01,13.11,13.22,13.03,13.085,52100,13.085
2016-08-31,13.215,13.235,13.11,13.15,17500,13.15
2016-08-30,13.11,13.15,13.035,13.15,39300,13.15
2016-08-29,13.13,13.21,13.07,13.115,27600,13.115
2016-08-26,13.215,13.275,13.10,13.22,21800,13.22
2016-08-25,13.33,13.335,13.145,13.19,24400,13.19
2016-08-24,13.40,13.40,13.335,13.395,19400,13.395
2016-08-23,13.435,13.44,13.32,13.39,58400,13.39
2016-08-22,13.41,13.475,13.21,13.34,40500,13.34
2016-08-19,13.40,13.535,13.33,13.37,19800,13.37
2016-08-18,13.43,13.54,13.265,13.45,48400,13.45
2016-08-17,13.42,13.535,13.30,13.40,33700,13.40
2016-08-16,13.36,13.565,13.36,13.38,52100,13.38
2016-08-15,13.515,13.64,13.335,13.35,45600,13.35
2016-08-12,13.14,13.595,13.105,13.51,43900,13.51
2016-08-11,13.10,13.75,12.85,13.125,124600,13.125
2016-08-10,13.325,13.35,12.875,13.10,30100,13.10
2016-08-09,13.32,13.355,13.07,13.295,47200,13.295
2016-08-08,13.00,13.475,13.00,13.375,30400,13.375
2016-08-05,13.05,13.155,12.855,13.015,46400,13.015
2016-08-04,12.88,13.335,12.72,13.00,139200,13.00
2016-08-03,13.425,13.695,13.14,13.615,20600,13.615
2016-08-02,13.695,13.695,13.11,13.23,29700,13.23
2016-08-01,13.895,13.895,13.45,13.63,26400,13.63
2016-07-29,13.635,13.73,13.555,13.635,14700,13.635
2016-07-28,13.70,13.70,13.35,13.625,27900,13.625
2016-07-27,13.64,13.67,13.40,13.625,29400,13.625
2016-07-26,13.50,13.67,13.50,13.555,14400,13.555
2016-07-25,13.575,13.67,13.40,13.45,19900,13.45
2016-07-22,13.50,13.70,13.50,13.675,18500,13.675
2016-07-21,13.83,13.83,13.59,13.615,31000,13.615
2016-07-20,13.74,13.79,13.565,13.725,31100,13.725
2016-07-19,13.74,13.78,13.56,13.625,16400,13.625
2016-07-18,13.75,13.79,13.66,13.70,38100,13.70
2016-07-15,13.935,13.95,13.67,13.74,25100,13.74
2016-07-14,13.80,14.00,13.655,13.95,192000,13.95
2016-07-13,13.635,13.75,13.575,13.65,29500,13.65
2016-07-12,13.79,13.85,13.55,13.63,74400,13.63
2016-07-11,13.80,13.80,13.555,13.74,46800,13.74
2016-07-08,13.61,13.78,13.55,13.66,17100,13.66
2016-07-07,13.455,13.78,13.425,13.685,24000,13.685
2016-07-06,13.30,13.41,13.15,13.375,36400,13.375
