Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,26.57,26.605,26.11,26.25,8300,26.25
2016-10-26,26.44,26.57,26.34,26.57,3600,26.57
2016-10-25,26.25,26.50,26.01,26.25,20200,26.25
2016-10-24,26.65,26.71,26.00,26.26,10600,26.26
2016-10-21,26.90,26.90,26.505,26.65,49700,26.65
2016-10-20,26.685,27.00,26.62,26.89,17400,26.89
2016-10-19,26.60,26.78,26.43,26.75,50500,26.75
2016-10-18,26.36,26.60,26.35,26.56,23200,26.56
2016-10-17,26.44,26.44,26.35,26.38,5700,26.38
2016-10-14,26.28,26.405,26.26,26.355,6300,26.355
2016-10-13,26.15,26.50,26.115,26.255,33700,26.255
2016-10-12,26.08,26.295,26.08,26.20,5000,26.20
2016-10-11,26.06,26.16,26.05,26.08,14100,26.08
2016-10-10,26.05,26.25,26.02,26.04,28200,26.04
2016-10-07,26.06,26.20,26.00,26.05,44900,26.05
2016-10-06,26.00,26.27,26.00,26.05,22700,26.05
2016-10-05,25.86,26.465,25.86,26.115,74400,26.115
2016-10-04,25.95,26.295,25.91,26.00,17500,26.00
2016-10-03,26.02,26.02,26.02,26.02,000,26.02
2016-09-30,26.00,26.39,25.90,26.02,14200,26.02
2016-09-29,25.995,26.17,25.865,26.00,30900,26.00
2016-09-28,25.995,26.05,25.80,26.05,22500,26.05
2016-09-27,26.025,26.025,25.75,26.02,9200,26.02
2016-09-26,26.04,26.04,25.765,25.975,7500,25.975
2016-09-23,25.74,26.03,25.74,25.94,17100,25.94
2016-09-22,26.00,26.00,25.75,25.805,7000,25.805
2016-09-21,26.00,26.05,25.725,25.74,14200,25.74
2016-09-20,25.88,26.20,25.86,26.00,23800,26.00
2016-09-19,26.00,26.05,25.80,26.05,28900,26.05
2016-09-16,26.20,26.23,25.875,26.05,97800,26.05
2016-09-15,25.61,26.42,25.61,25.90,92800,25.90
2016-09-14,25.47,26.46,25.355,25.86,205400,25.86
2016-09-13,22.35,22.495,21.505,21.735,8700,21.735
2016-09-12,21.365,22.155,21.30,22.00,11400,22.00
2016-09-09,22.25,22.72,22.25,22.30,2700,22.30
2016-09-08,22.36,22.595,22.055,22.25,11500,22.25
2016-09-07,22.27,22.78,22.175,22.65,23900,22.65
2016-09-06,22.47,22.47,22.115,22.315,9100,22.315
2016-09-05,22.49,22.615,22.00,22.30,3700,22.30
2016-09-02,21.555,22.30,21.33,22.20,10700,22.20
2016-09-01,21.29,21.80,21.23,21.77,9700,21.77
2016-08-31,21.20,21.22,20.695,21.22,26300,21.22
2016-08-30,21.205,21.37,21.015,21.165,9000,21.165
2016-08-29,21.015,21.20,21.00,21.00,6500,21.00
2016-08-26,20.73,21.215,20.73,21.215,2600,21.215
2016-08-25,21.06,21.235,20.60,20.905,10800,20.905
2016-08-24,21.195,21.30,21.05,21.05,900,21.05
2016-08-23,21.015,21.26,21.00,21.26,7900,21.26
2016-08-22,21.30,21.30,20.32,21.00,17500,21.00
2016-08-19,21.265,21.34,20.93,21.00,2200,21.00
2016-08-18,20.65,21.225,20.65,21.025,6000,21.025
2016-08-17,20.885,21.045,20.61,20.61,6800,20.61
2016-08-16,21.26,21.26,20.575,20.60,13900,20.60
2016-08-15,21.50,21.63,20.93,21.40,8000,21.40
2016-08-12,20.90,21.275,20.75,20.97,10600,20.97
2016-08-11,20.70,20.88,20.55,20.85,14900,20.85
2016-08-10,21.60,21.60,20.605,20.70,22700,20.70
2016-08-09,21.20,21.48,21.055,21.325,14400,21.325
2016-08-08,22.12,22.12,20.82,20.82,9000,20.82
2016-08-05,21.94,22.08,21.70,21.70,10000,21.70
2016-08-04,21.79,21.925,21.695,21.90,2900,21.90
2016-08-03,22.10,22.42,21.17,21.46,10100,21.46
2016-08-02,22.44,22.44,22.005,22.10,11900,22.10
2016-08-01,21.50,22.19,21.50,22.19,10400,22.19
2016-07-29,21.43,21.695,21.005,21.64,12900,21.64
2016-07-28,21.665,21.96,21.43,21.65,6500,21.65
