Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,5.825,5.887,5.81,5.86,304400,5.80
2016-10-26,5.77,5.87,5.77,5.82,262200,5.76041
2016-10-25,5.78,5.86,5.78,5.816,340300,5.75645
2016-10-24,5.766,5.829,5.705,5.78,297300,5.72082
2016-10-21,5.68,5.836,5.666,5.771,482200,5.71191
2016-10-20,5.682,5.718,5.608,5.669,451900,5.61096
2016-10-19,5.70,5.76,5.601,5.668,623500,5.60997
2016-10-18,5.28,5.586,5.28,5.50,592900,5.44369
2016-10-17,5.279,5.324,5.251,5.296,245500,5.24177
2016-10-14,5.209,5.341,5.193,5.316,356400,5.26157
2016-10-13,5.15,5.20,5.12,5.173,242300,5.12003
2016-10-12,5.10,5.18,5.10,5.151,243500,5.09826
2016-10-11,4.99,5.156,4.986,5.088,442200,5.0359
2016-10-10,4.974,5.00,4.96,4.991,309400,4.9399
2016-10-07,4.965,5.00,4.965,4.968,220000,4.91713
2016-10-06,4.98,5.00,4.951,4.999,285400,4.94782
2016-10-05,4.949,5.00,4.924,4.98,339900,4.92901
2016-10-04,4.76,5.00,4.61,4.964,836700,4.91317
2016-10-03,4.852,4.852,4.852,4.852,000,4.80232
2016-09-30,4.81,4.91,4.81,4.852,339400,4.80232
2016-09-29,4.75,4.875,4.723,4.82,354500,4.77065
2016-09-28,4.62,4.805,4.61,4.75,353800,4.70137
2016-09-27,4.596,4.63,4.535,4.60,253600,4.5529
2016-09-26,4.60,4.62,4.565,4.565,99200,4.51826
2016-09-23,4.54,4.644,4.51,4.606,330600,4.55884
2016-09-22,4.47,4.54,4.459,4.51,240900,4.46382
2016-09-21,4.432,4.50,4.41,4.444,282600,4.3985
2016-09-20,4.437,4.437,4.37,4.37,57600,4.32526
2016-09-19,4.36,4.435,4.34,4.408,211900,4.36287
2016-09-16,4.365,4.365,4.322,4.35,48200,4.30546
2016-09-15,4.34,4.37,4.314,4.329,161400,4.28468
2016-09-14,4.29,4.361,4.27,4.27,211700,4.22628
2016-09-13,4.279,4.296,4.244,4.291,65400,4.24706
2016-09-12,4.14,4.269,4.113,4.269,161500,4.22529
2016-09-09,4.312,4.34,4.204,4.204,207600,4.16096
2016-09-08,4.34,4.367,4.282,4.30,113100,4.25597
2016-09-07,4.29,4.345,4.29,4.326,107100,4.28171
2016-09-06,4.25,4.324,4.248,4.311,80000,4.26686
2016-09-05,4.251,4.286,4.249,4.28,85800,4.23618
2016-09-02,4.23,4.257,4.166,4.257,219100,4.21341
2016-09-01,4.268,4.268,4.161,4.20,123800,4.157
2016-08-31,4.227,4.271,4.186,4.23,112500,4.18669
2016-08-30,4.165,4.21,4.165,4.197,160900,4.15403
2016-08-29,4.31,4.31,4.128,4.16,271400,4.11741
2016-08-26,4.346,4.35,4.275,4.275,127100,4.23123
2016-08-25,4.37,4.389,4.33,4.33,64800,4.28567
2016-08-24,4.291,4.473,4.252,4.391,419800,4.34604
2016-08-23,4.19,4.342,4.152,4.315,270500,4.27082
2016-08-22,4.189,4.22,4.133,4.141,169000,4.0986
2016-08-19,4.004,4.219,4.004,4.158,347600,4.11543
2016-08-18,4.02,4.05,4.00,4.00,75400,3.95904
2016-08-17,4.02,4.05,4.02,4.028,39000,3.98676
2016-08-16,4.003,4.068,4.003,4.012,61300,3.97092
2016-08-15,4.036,4.069,4.01,4.01,74400,3.96894
2016-08-12,4.00,4.072,4.00,4.07,116800,4.02833
2016-08-11,4.02,4.071,3.96,4.019,192400,3.97785
2016-08-10,4.041,4.05,4.001,4.035,61900,3.99369
2016-08-09,4.01,4.042,3.983,3.986,91300,3.94519
2016-08-08,3.95,4.056,3.95,4.003,61300,3.96201
2016-08-05,4.00,4.03,3.969,4.021,80900,3.97983
2016-08-04,3.93,4.098,3.93,3.987,239300,3.94618
2016-08-03,3.93,3.968,3.91,3.928,74300,3.88778
2016-08-02,3.98,4.00,3.94,3.94,65700,3.89966
2016-08-01,3.967,4.004,3.931,3.99,103000,3.94915
2016-07-29,3.99,4.00,3.932,3.947,113700,3.90659
2016-07-28,4.019,4.019,3.999,4.00,62200,3.95904
2016-07-27,3.991,4.01,3.975,4.003,39100,3.96201
2016-07-26,4.019,4.019,3.97,3.971,70000,3.93034
2016-07-25,3.99,4.003,3.95,3.99,103800,3.94915
2016-07-22,3.979,4.029,3.926,4.029,166400,3.98775
2016-07-21,3.92,3.97,3.92,3.957,122800,3.91648
2016-07-20,3.92,3.99,3.92,3.92,78700,3.87986
2016-07-19,3.924,4.00,3.90,3.955,63900,3.91451
2016-07-18,4.027,4.03,3.912,3.934,72000,3.89372
2016-07-15,4.01,4.019,3.938,4.00,165800,3.95904
2016-07-14,3.96,3.976,3.92,3.972,71900,3.93133
2016-07-13,3.938,3.974,3.928,3.934,43900,3.89372
2016-07-12,4.032,4.032,3.936,3.936,42200,3.8957
2016-07-11,3.993,3.997,3.914,3.955,54700,3.91451
2016-07-08,3.92,3.973,3.887,3.94,94600,3.89966
2016-07-07,3.959,3.959,3.88,3.91,70900,3.86997
2016-07-06,3.90,3.944,3.85,3.881,127500,3.84126
2016-07-05,4.035,4.039,3.906,3.91,86800,3.86997
2016-07-04,4.09,4.10,4.002,4.03,90200,3.98874
2016-07-01,4.075,4.104,4.031,4.08,151200,4.03823
2016-06-30,3.987,4.047,3.93,4.025,166700,3.98379
2016-06-29,3.91,3.966,3.88,3.96,208100,3.91945
2016-06-28,3.781,3.86,3.781,3.822,130800,3.78287
2016-06-27,3.925,3.929,3.739,3.739,234600,3.70072
2016-06-24,3.787,3.921,3.703,3.916,481100,3.8759
2016-06-23,3.97,4.017,3.97,3.975,135900,3.9343
2016-06-22,4.04,4.04,3.96,3.96,155000,3.91945
2016-06-21,4.099,4.099,3.986,4.011,173300,3.96993
2016-06-20,4.077,4.12,4.036,4.06,177900,4.01843
2016-06-17,3.999,4.034,3.97,3.978,406600,3.93727
2016-06-16,4.093,4.093,3.95,3.95,371700,3.90956
2016-06-15,4.103,4.172,4.103,4.131,180700,4.0887
2016-06-14,4.15,4.19,4.089,4.089,159000,4.04713
2016-06-13,4.22,4.28,4.12,4.17,327400,4.1273
2016-06-10,4.50,4.50,4.326,4.35,270000,4.30546
2016-06-09,4.45,4.49,4.391,4.48,346100,4.43413
2016-06-08,4.40,4.44,4.38,4.412,166200,4.36683
2016-06-07,4.342,4.444,4.342,4.444,107700,4.3985
2016-06-06,4.42,4.449,4.314,4.343,242800,4.29853
2016-06-03,4.316,4.469,4.316,4.437,558300,4.39157
2016-06-02,4.20,4.377,4.199,4.335,390200,4.29061
2016-06-01,4.16,4.258,4.149,4.18,452800,4.1372
2016-05-31,4.192,4.204,4.157,4.162,187700,4.11939
2016-05-30,4.229,4.229,4.19,4.192,144600,4.14908
2016-05-27,4.125,4.25,4.125,4.183,416100,4.14017
2016-05-26,4.103,4.20,4.10,4.107,227600,4.06495
2016-05-25,4.025,4.107,4.025,4.06,271700,4.01843
2016-05-24,3.994,4.05,3.994,4.05,116600,4.00853
2016-05-23,3.985,4.029,3.985,3.986,95300,3.94519
2016-05-20,4.018,4.028,3.975,3.985,110800,3.9442
2016-05-19,4.007,4.03,3.973,3.973,53100,3.93232
2016-05-18,3.986,4.03,3.986,4.007,68600,3.96597
2016-05-17,4.015,4.03,3.985,4.03,106000,3.98874
2016-05-16,3.996,3.996,3.996,3.996,000,3.95509
2016-05-13,3.997,4.025,3.97,3.996,73300,3.95509
2016-05-12,3.963,3.997,3.963,3.975,151200,3.9343
2016-05-11,4.00,4.00,3.97,4.00,64300,3.95904
2016-05-10,3.97,4.02,3.968,3.997,111900,3.95608
2016-05-09,4.00,4.00,3.95,3.993,41800,3.95212
2016-05-06,3.96,4.03,3.96,3.969,68100,3.92836
2016-05-05,4.00,4.034,3.978,4.027,54900,3.98577
2016-05-04,3.976,4.01,3.955,3.981,61500,3.94024
2016-05-03,3.933,4.045,3.925,3.983,150000,3.94222
2016-05-02,3.914,3.96,3.914,3.923,53700,3.88283
2016-04-29,3.96,3.96,3.92,3.922,54400,3.88184
2016-04-28,3.902,3.967,3.902,3.921,55300,3.88085
2016-04-27,3.958,3.958,3.901,3.922,53500,3.88184
2016-04-26,3.931,3.97,3.89,3.919,133900,3.87887
2016-04-25,3.915,3.957,3.913,3.949,44000,3.90857
2016-04-22,3.955,3.966,3.92,3.92,93000,3.87986
2016-04-21,4.011,4.011,3.951,3.951,75400,3.91055
2016-04-20,4.02,4.02,3.975,4.00,45100,3.95904
2016-04-19,4.02,4.03,3.969,4.004,80400,3.963
2016-04-18,3.92,4.00,3.92,3.99,95900,3.94915
2016-04-15,3.97,4.025,3.953,3.968,175700,3.92737
2016-04-14,4.098,4.098,4.032,4.09,120400,4.04812
2016-04-13,4.099,4.104,4.049,4.059,89200,4.01744
2016-04-12,4.03,4.112,4.03,4.041,65400,3.99962
2016-04-11,4.069,4.069,4.011,4.03,45200,3.98874
2016-04-08,4.06,4.11,4.023,4.085,226300,4.04317
2016-04-07,4.03,4.071,4.021,4.055,163700,4.01348
2016-04-06,4.04,4.045,3.976,4.023,63800,3.98181
2016-04-05,4.029,4.029,3.98,4.01,74300,3.96894
2016-04-04,4.002,4.052,4.001,4.03,108600,3.98874
2016-04-01,4.00,4.01,3.96,3.992,60900,3.95113
2016-03-31,3.98,4.021,3.98,4.02,65300,3.97884
2016-03-30,4.034,4.034,3.976,4.008,99600,3.96696
2016-03-29,4.00,4.027,3.96,3.995,71000,3.9541
2016-03-28,4.013,4.013,4.013,4.013,000,3.97191
2016-03-25,4.013,4.013,4.013,4.013,000,3.97191
2016-03-24,4.00,4.021,3.981,4.013,54600,3.97191
2016-03-23,3.992,4.038,3.991,4.001,98800,3.96003
2016-03-22,4.001,4.029,3.952,3.952,204400,3.91154
2016-03-21,4.02,4.04,3.993,4.029,104100,3.98775
2016-03-18,4.015,4.05,4.00,4.025,124900,3.98379
2016-03-17,4.006,4.015,3.981,4.001,120700,3.96003
2016-03-16,3.968,4.013,3.93,4.00,219600,3.95904
2016-03-15,3.908,3.969,3.908,3.909,36200,3.86898
2016-03-14,3.956,3.97,3.916,3.968,132000,3.92737
2016-03-11,3.92,3.959,3.882,3.95,78900,3.90956
2016-03-10,3.916,3.941,3.838,3.871,64200,3.83137
2016-03-09,3.93,3.939,3.891,3.916,37700,3.8759
2016-03-08,3.90,3.914,3.86,3.90,82800,3.86007
2016-03-07,3.877,3.94,3.877,3.884,56600,3.84423
2016-03-04,3.872,3.936,3.872,3.92,172600,3.87986
2016-03-03,3.944,3.944,3.888,3.92,48700,3.87986
2016-03-02,3.899,3.916,3.861,3.916,325000,3.8759
2016-03-01,3.93,4.00,3.855,3.88,323300,3.84027
2016-02-29,3.911,3.958,3.85,3.931,177900,3.89075
2016-02-26,3.935,4.00,3.91,3.91,90500,3.86997
2016-02-25,3.945,3.97,3.91,3.95,83300,3.90956
2016-02-24,3.931,3.965,3.878,3.878,65800,3.83829
2016-02-23,3.88,3.964,3.88,3.938,95300,3.89768
2016-02-22,3.912,3.988,3.908,3.95,85100,3.90956
2016-02-19,3.91,4.019,3.853,3.92,178400,3.87986
2016-02-18,3.808,3.93,3.808,3.873,108300,3.83334
2016-02-17,3.775,3.88,3.775,3.83,71000,3.79078
2016-02-16,3.757,3.80,3.71,3.754,48300,3.71556
2016-02-15,3.74,3.797,3.72,3.737,57300,3.69874
2016-02-12,3.672,3.717,3.642,3.696,54600,3.65816
2016-02-11,3.775,3.775,3.602,3.609,73600,3.57205
2016-02-10,3.669,3.754,3.636,3.721,74100,3.6829
2016-02-09,3.64,3.688,3.56,3.643,121800,3.6057
2016-02-08,3.888,3.888,3.657,3.67,189900,3.63242
2016-02-05,3.79,3.867,3.79,3.842,31300,3.80266
2016-02-04,3.831,3.88,3.791,3.827,76500,3.78782
2016-02-03,3.939,3.939,3.827,3.841,50700,3.80167
2016-02-02,3.876,3.90,3.818,3.90,61900,3.86007
2016-02-01,3.94,3.96,3.877,3.91,72600,3.86997
2016-01-29,3.967,3.967,3.902,3.934,94400,3.89372
2016-01-28,3.914,3.969,3.90,3.91,76700,3.86997
2016-01-27,3.90,3.96,3.887,3.914,57900,3.87393
2016-01-26,3.90,3.901,3.834,3.90,58800,3.86007
2016-01-25,3.918,3.97,3.88,3.928,171900,3.88778
2016-01-22,3.83,3.876,3.774,3.872,131400,3.83236
2016-01-21,3.655,3.74,3.605,3.74,130600,3.70171
2016-01-20,3.75,3.75,3.615,3.65,296800,3.61263
2016-01-19,3.705,3.851,3.66,3.80,444300,3.76109
2016-01-18,3.815,3.817,3.557,3.61,360100,3.57304
2016-01-15,3.979,3.994,3.738,3.775,406900,3.73635
2016-01-14,4.00,4.018,3.942,4.018,145800,3.97686
2016-01-13,4.068,4.088,4.02,4.02,167100,3.97884
2016-01-12,4.04,4.06,4.008,4.054,196800,4.01249
2016-01-11,3.952,4.014,3.952,4.011,89200,3.96993
2016-01-08,3.955,4.039,3.955,4.00,111700,3.95904
2016-01-07,4.02,4.051,3.947,4.023,180500,3.98181
2016-01-06,4.02,4.09,4.015,4.069,222700,4.02734
2016-01-05,3.98,4.047,3.977,4.046,107200,4.00457
2016-01-04,4.00,4.009,3.964,3.978,108600,3.93727
2016-01-01,4.013,4.013,4.013,4.013,000,3.97191
2015-12-31,4.013,4.013,4.013,4.013,000,3.97191
2015-12-30,4.00,4.05,4.00,4.013,108300,3.97191
2015-12-29,4.02,4.04,3.974,4.024,170200,3.9828
2015-12-28,4.00,4.008,3.967,4.008,62400,3.96696
2015-12-25,3.952,3.952,3.952,3.952,000,3.91154
2015-12-24,3.952,3.952,3.952,3.952,000,3.91154
2015-12-23,3.965,4.001,3.95,3.952,90700,3.91154
2015-12-22,3.99,4.02,3.966,3.967,59700,3.92638
2015-12-21,3.939,3.998,3.936,3.995,120100,3.9541
