Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,30.85,30.85,30.135,30.695,9400,30.695
2016-10-26,30.50,30.62,30.10,30.575,11400,30.575
2016-10-25,30.825,30.825,30.25,30.28,11400,30.28
2016-10-24,30.335,30.69,30.105,30.49,15100,30.49
2016-10-21,30.70,30.70,29.905,29.97,22000,29.97
2016-10-20,30.745,30.905,30.365,30.575,16200,30.575
2016-10-19,30.225,31.00,30.09,30.715,14000,30.715
2016-10-18,30.49,30.95,30.40,30.40,37100,30.40
2016-10-17,30.44,30.70,30.245,30.40,37600,30.40
2016-10-14,29.40,30.43,29.25,30.145,21700,30.145
2016-10-13,29.75,29.75,29.135,29.40,13800,29.40
2016-10-12,30.065,30.065,29.635,29.895,5200,29.895
2016-10-11,29.78,30.105,29.51,29.74,17700,29.74
2016-10-10,29.395,29.94,29.235,29.515,18200,29.515
2016-10-07,29.415,29.55,29.00,29.13,19700,29.13
2016-10-06,29.45,29.50,29.285,29.49,12200,29.49
2016-10-05,29.305,29.50,29.01,29.255,9100,29.255
2016-10-04,28.70,29.34,28.70,29.055,15200,29.055
2016-10-03,28.93,28.93,28.93,28.93,000,28.93
2016-09-30,28.64,29.39,28.305,28.93,13600,28.93
2016-09-29,29.82,30.25,28.39,28.56,52900,28.56
2016-09-28,29.695,30.00,29.61,29.75,13300,29.75
2016-09-27,29.815,29.89,29.11,29.60,7600,29.60
2016-09-26,30.08,30.10,29.80,30.01,13400,30.01
2016-09-23,29.90,30.405,29.80,29.91,8300,29.91
2016-09-22,29.71,30.49,29.71,30.21,10100,30.21
2016-09-21,29.79,30.33,29.79,29.95,8100,29.95
2016-09-20,30.39,30.39,29.80,29.895,6100,29.895
2016-09-19,29.745,30.485,29.46,30.20,32100,30.20
2016-09-16,29.295,29.74,29.295,29.53,14200,29.53
2016-09-15,29.185,29.78,29.185,29.475,13000,29.475
2016-09-14,29.35,29.74,29.215,29.25,11900,29.25
2016-09-13,29.30,29.675,29.29,29.48,6400,29.48
2016-09-12,29.50,29.80,29.09,29.44,14100,29.44
2016-09-09,30.065,30.525,29.60,30.165,27900,30.165
2016-09-08,29.925,30.30,29.815,30.04,8900,30.04
2016-09-07,29.80,30.455,29.80,30.135,7700,30.135
2016-09-06,30.555,30.665,29.91,29.95,11100,29.95
2016-09-05,30.15,30.715,29.835,30.315,25100,30.315
2016-09-02,29.80,30.25,29.80,30.195,18700,30.195
2016-09-01,29.945,30.47,29.90,29.935,12400,29.935
2016-08-31,30.015,30.25,29.625,29.71,23900,29.71
2016-08-30,30.385,30.565,30.18,30.225,4500,30.225
2016-08-29,30.465,30.60,29.845,30.345,10600,30.345
2016-08-26,30.35,30.35,29.845,30.20,9200,30.20
2016-08-25,30.45,30.62,29.785,30.015,18900,30.015
2016-08-24,30.69,30.855,30.45,30.645,23600,30.645
2016-08-23,30.115,30.58,30.065,30.53,17200,30.53
2016-08-22,30.15,30.55,29.92,30.23,16400,30.23
2016-08-19,30.00,30.24,29.50,30.005,16200,30.005
2016-08-18,29.715,30.225,29.71,29.90,10900,29.90
2016-08-17,30.45,30.45,29.64,29.87,10100,29.87
2016-08-16,29.90,30.485,29.825,30.065,37100,30.065
2016-08-15,29.67,30.00,29.65,29.99,9400,29.99
2016-08-12,29.50,29.97,29.50,29.785,20400,29.785
2016-08-11,29.61,30.00,29.40,29.795,13000,29.795
2016-08-10,29.385,29.665,29.135,29.285,16100,29.285
2016-08-09,29.08,29.555,29.04,29.135,16600,29.135
2016-08-08,28.99,29.40,28.99,29.235,16400,29.235
2016-08-05,28.805,29.36,28.805,29.30,7800,29.30
2016-08-04,28.58,29.36,28.105,29.095,33300,29.095
2016-08-03,28.51,28.63,28.33,28.63,27900,28.63
2016-08-02,28.05,28.67,28.05,28.375,20400,28.375
2016-08-01,28.60,28.745,28.345,28.345,11300,28.345
2016-07-29,28.495,28.59,27.90,28.30,22100,28.30
2016-07-28,29.40,29.40,28.07,28.60,21800,28.60
2016-07-27,28.035,29.54,28.00,29.195,23000,29.195
2016-07-26,28.20,28.48,28.20,28.295,7600,28.295
2016-07-25,28.25,28.51,28.19,28.19,9900,28.19
2016-07-22,28.66,28.66,28.255,28.44,6700,28.44
2016-07-21,28.445,28.715,28.36,28.595,11200,28.595
2016-07-20,28.80,28.80,28.335,28.44,14700,28.44
2016-07-19,28.95,29.155,28.43,28.80,22200,28.80
2016-07-18,29.49,29.63,28.905,28.995,16200,28.995
2016-07-15,28.98,29.555,28.825,29.45,16400,29.45
2016-07-14,29.43,29.43,28.79,28.98,10500,28.98
2016-07-13,29.24,29.665,29.105,29.105,33500,29.105
2016-07-12,27.75,29.235,27.75,28.92,37000,28.92
2016-07-11,27.53,28.185,27.53,28.075,9700,28.075
2016-07-08,27.65,27.995,27.39,27.625,12100,27.625
2016-07-07,27.00,27.755,27.00,27.475,19700,27.475
2016-07-06,26.85,27.025,26.50,26.975,28200,26.975
2016-07-05,27.10,27.175,26.88,26.975,17300,26.975
2016-07-04,27.20,27.27,27.10,27.265,11500,27.265
2016-07-01,26.725,27.27,26.725,27.13,15900,27.13
2016-06-30,26.615,27.155,26.115,26.955,30100,26.955
2016-06-29,26.00,26.355,25.95,26.33,19400,26.33
2016-06-28,26.66,26.66,25.62,25.62,34300,25.62
2016-06-27,27.40,27.40,25.78,25.80,32800,25.80
2016-06-24,26.14,27.475,26.03,27.045,73700,27.045
2016-06-23,27.47,27.505,27.145,27.355,16900,27.355
2016-06-22,27.75,27.75,27.07,27.175,27800,27.175
2016-06-21,27.48,27.49,27.235,27.30,21800,27.30
2016-06-20,26.65,27.375,26.64,27.25,32000,27.25
2016-06-17,27.04,27.065,26.035,26.035,82800,26.035
2016-06-16,27.13,27.155,26.40,26.40,35200,26.40
2016-06-15,27.57,27.57,27.115,27.135,46600,27.135
2016-06-14,26.95,27.30,26.66,27.135,34000,27.135
2016-06-13,28.60,28.60,26.60,26.77,62200,26.77
2016-06-10,28.90,28.975,28.455,28.735,11700,28.735
2016-06-09,29.545,29.565,28.50,28.95,38200,28.95
2016-06-08,29.975,29.975,29.18,29.33,34300,29.33
2016-06-07,30.51,30.75,29.855,30.26,44800,29.41
2016-06-06,30.845,30.98,30.575,30.695,18500,29.833
2016-06-03,30.50,30.565,30.19,30.50,57500,29.643
2016-06-02,30.50,30.58,30.45,30.51,39100,29.653
2016-06-01,30.66,30.66,30.405,30.50,19600,29.643
2016-05-31,30.50,30.55,30.39,30.50,23700,29.643
2016-05-30,30.80,30.80,30.30,30.50,9800,29.643
2016-05-27,30.35,30.69,30.35,30.69,20700,29.828
