Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,6.555,6.61,6.479,6.50,213300,6.50
2016-10-26,6.68,6.68,6.51,6.55,197500,6.55
2016-10-25,6.772,6.81,6.635,6.703,166700,6.703
2016-10-24,6.884,6.92,6.739,6.83,147700,6.83
2016-10-21,6.80,6.89,6.80,6.86,192800,6.86
2016-10-20,6.90,6.90,6.705,6.84,330800,6.84
2016-10-19,6.983,7.00,6.844,7.00,126400,7.00
2016-10-18,7.00,7.049,6.95,7.049,58600,7.049
2016-10-17,7.05,7.05,6.99,7.009,53400,7.009
2016-10-14,7.015,7.05,6.99,7.02,83200,7.02
2016-10-13,6.95,7.029,6.84,7.029,164800,7.029
2016-10-12,6.696,7.10,6.67,6.94,396800,6.94
2016-10-11,6.65,6.70,6.558,6.67,90200,6.67
2016-10-10,6.789,6.789,6.481,6.618,85300,6.618
2016-10-07,6.72,6.785,6.72,6.746,14900,6.746
2016-10-06,6.703,6.788,6.703,6.756,42200,6.756
2016-10-05,6.79,6.80,6.60,6.80,84300,6.80
2016-10-04,6.67,6.77,6.60,6.77,126900,6.77
2016-10-03,6.608,6.608,6.608,6.608,000,6.608
2016-09-30,6.70,6.70,6.548,6.608,45200,6.608
2016-09-29,6.659,6.77,6.625,6.72,95600,6.72
2016-09-28,6.60,6.615,6.42,6.559,77600,6.559
2016-09-27,6.49,6.54,6.42,6.54,35500,6.54
2016-09-26,6.42,6.485,6.418,6.445,77500,6.445
2016-09-23,6.39,6.42,6.318,6.41,46500,6.41
2016-09-22,6.30,6.385,6.18,6.344,104700,6.344
2016-09-21,6.18,6.243,6.16,6.22,35500,6.22
2016-09-20,6.24,6.25,6.168,6.222,42400,6.222
2016-09-19,6.22,6.23,6.188,6.21,20200,6.21
2016-09-16,6.15,6.229,6.138,6.22,85700,6.22
2016-09-15,6.25,6.334,6.10,6.129,132400,6.129
2016-09-14,6.465,6.465,6.21,6.24,67600,6.24
2016-09-13,6.321,6.45,6.321,6.365,64800,6.365
2016-09-12,6.50,6.60,6.269,6.315,98300,6.315
2016-09-09,6.68,6.719,6.50,6.50,99900,6.50
2016-09-08,6.76,6.77,6.671,6.70,108700,6.70
2016-09-07,6.76,6.785,6.73,6.73,61900,6.73
2016-09-06,6.71,6.83,6.674,6.725,142300,6.725
2016-09-05,6.64,6.73,6.601,6.69,172600,6.69
2016-09-02,6.49,6.699,6.48,6.59,201700,6.59
2016-09-01,6.33,6.45,6.33,6.43,186300,6.43
2016-08-31,6.30,6.374,6.299,6.372,198200,6.372
2016-08-30,6.24,6.295,6.20,6.29,138700,6.29
2016-08-29,6.20,6.22,6.152,6.21,59700,6.21
2016-08-26,6.15,6.22,6.144,6.18,59100,6.18
2016-08-25,6.183,6.194,6.14,6.14,35100,6.14
2016-08-24,6.18,6.208,6.12,6.184,45800,6.184
2016-08-23,6.165,6.17,6.085,6.164,26600,6.164
2016-08-22,6.09,6.16,6.04,6.16,18900,6.16
2016-08-19,6.135,6.15,6.05,6.09,18700,6.09
2016-08-18,6.07,6.135,6.07,6.134,47600,6.134
2016-08-17,6.30,6.30,6.021,6.068,58700,6.068
2016-08-16,6.366,6.366,6.225,6.225,79400,6.225
2016-08-15,6.449,6.449,6.30,6.361,75400,6.361
2016-08-12,6.401,6.625,6.34,6.351,64400,6.351
2016-08-11,6.28,6.433,6.168,6.399,121000,6.399
2016-08-10,6.102,6.40,5.986,6.234,147000,6.234
2016-08-09,6.015,6.15,6.015,6.127,26900,6.127
2016-08-08,6.108,6.108,6.015,6.093,12500,6.093
