Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,9.365,9.365,9.20,9.315,31100,9.315
2016-10-26,9.29,9.396,9.276,9.365,17600,9.365
2016-10-25,9.26,9.40,9.26,9.28,20000,9.28
2016-10-24,9.38,9.399,9.265,9.30,10600,9.30
2016-10-21,9.18,9.40,9.18,9.40,23900,9.40
2016-10-20,9.205,9.26,9.20,9.214,9700,9.214
2016-10-19,9.204,9.24,9.20,9.239,5100,9.239
2016-10-18,9.24,9.24,9.20,9.24,15100,9.24
2016-10-17,9.26,9.26,9.20,9.20,4300,9.20
2016-10-14,9.25,9.25,9.20,9.237,5700,9.237
2016-10-13,9.227,9.279,9.18,9.20,20800,9.20
2016-10-12,9.23,9.32,9.228,9.252,7900,9.252
2016-10-11,9.28,9.337,9.235,9.235,5500,9.235
2016-10-10,9.205,9.35,9.20,9.285,15100,9.285
2016-10-07,9.20,9.276,9.20,9.20,16800,9.20
2016-10-06,9.24,9.282,9.168,9.282,21000,9.282
2016-10-05,9.20,9.263,9.084,9.263,24200,9.263
2016-10-04,9.20,9.243,9.123,9.243,13700,9.243
2016-10-03,9.10,9.10,9.10,9.10,000,9.10
2016-09-30,9.25,9.33,9.07,9.10,24600,9.10
2016-09-29,9.497,9.497,9.251,9.251,7800,9.251
2016-09-28,9.45,9.50,9.25,9.25,17400,9.25
2016-09-27,9.27,9.476,9.253,9.318,19600,9.318
2016-09-26,9.20,9.32,9.20,9.20,9200,9.20
2016-09-23,9.41,9.41,9.20,9.264,11200,9.264
2016-09-22,9.29,9.48,9.272,9.407,12900,9.407
2016-09-21,9.22,9.42,9.20,9.399,11200,9.399
2016-09-20,9.22,9.30,9.215,9.23,3100,9.23
2016-09-19,9.45,9.567,9.20,9.268,11900,9.268
2016-09-16,9.245,9.605,9.185,9.605,113100,9.605
2016-09-15,9.245,9.245,9.20,9.20,35600,9.20
2016-09-14,9.22,9.245,9.20,9.20,23000,9.20
2016-09-13,9.20,9.24,9.20,9.20,14900,9.20
2016-09-12,9.274,9.28,9.17,9.20,25900,9.20
2016-09-09,9.34,9.44,9.175,9.18,13000,9.18
2016-09-08,9.38,9.471,9.34,9.40,12600,9.40
2016-09-07,9.375,9.42,9.33,9.352,9400,9.352
2016-09-06,9.42,9.488,9.30,9.375,18600,9.375
2016-09-05,9.38,9.42,9.265,9.42,12300,9.42
2016-09-02,9.37,9.419,9.301,9.365,8700,9.365
2016-09-01,9.30,9.399,9.30,9.35,8500,9.35
2016-08-31,9.30,9.411,9.30,9.30,11900,9.30
2016-08-30,9.295,9.36,9.15,9.34,18500,9.34
2016-08-29,9.12,9.322,9.10,9.226,11700,9.226
2016-08-26,9.206,9.26,9.12,9.12,23500,9.12
2016-08-25,9.35,9.47,9.233,9.233,22200,9.233
2016-08-24,9.488,9.488,9.29,9.35,10900,9.35
2016-08-23,9.33,9.484,9.29,9.48,19100,9.48
2016-08-22,9.25,9.30,9.183,9.299,18000,9.299
2016-08-19,9.18,9.248,9.158,9.195,15200,9.195
2016-08-18,9.175,9.248,9.175,9.175,4300,9.175
2016-08-17,9.295,9.295,9.172,9.208,9800,9.208
2016-08-16,9.183,9.30,9.18,9.27,10400,9.27
2016-08-15,9.30,9.30,9.12,9.30,20400,9.30
2016-08-12,9.20,9.295,9.20,9.295,7000,9.295
2016-08-11,9.20,9.30,9.15,9.299,14500,9.299
2016-08-10,9.15,9.28,9.15,9.28,6900,9.28
2016-08-09,9.15,9.267,9.15,9.249,20400,9.249
2016-08-08,9.17,9.24,9.101,9.24,17500,9.24
2016-08-05,9.189,9.20,9.10,9.20,7600,9.20
2016-08-04,9.125,9.20,9.125,9.187,5900,9.187
2016-08-03,9.09,9.30,9.08,9.19,23400,9.19
2016-08-02,9.175,9.20,9.08,9.10,17900,9.10
2016-08-01,9.20,9.299,9.164,9.24,15500,9.24
2016-07-29,9.20,9.299,9.192,9.272,25300,9.272
2016-07-28,9.204,9.30,9.20,9.30,12800,9.30
2016-07-27,9.37,9.37,9.25,9.30,20300,9.30
2016-07-26,9.205,9.369,9.172,9.364,34600,9.364
2016-07-25,9.14,9.19,9.101,9.19,12700,9.19
2016-07-22,9.10,9.157,9.031,9.057,10200,9.057
2016-07-21,9.179,9.179,9.025,9.035,15500,9.035
2016-07-20,9.20,9.20,9.06,9.06,7700,9.06
2016-07-19,9.202,9.289,9.044,9.05,16700,9.05
2016-07-18,9.269,9.269,9.10,9.202,11900,9.202
2016-07-15,9.27,9.27,9.075,9.15,9300,9.15
2016-07-14,9.075,9.23,9.075,9.12,17200,9.12
2016-07-13,9.25,9.25,9.085,9.085,11000,9.085
2016-07-12,9.20,9.21,9.075,9.21,7400,9.21
2016-07-11,9.21,9.251,9.075,9.102,14400,9.102
2016-07-08,9.05,9.20,9.026,9.128,9300,9.128
2016-07-07,9.155,9.208,9.03,9.05,14400,9.05
2016-07-06,9.10,9.124,8.959,9.118,32400,9.118
2016-07-05,9.21,9.222,9.025,9.025,17000,9.025
2016-07-04,9.265,9.315,9.13,9.181,29400,9.181
2016-07-01,9.30,9.35,9.16,9.188,40200,9.188
2016-06-30,9.274,9.428,9.10,9.16,17900,9.16
2016-06-29,9.076,9.30,9.076,9.187,15700,9.187
2016-06-28,9.10,9.30,9.10,9.156,24000,9.156
2016-06-27,9.175,9.253,9.00,9.001,39500,9.001
2016-06-24,8.53,9.40,8.51,9.275,59100,9.275
2016-06-23,9.125,9.251,9.125,9.251,22200,9.251
2016-06-22,8.924,9.109,8.893,9.10,41500,9.10
2016-06-21,9.025,9.074,8.921,8.924,15200,8.924
2016-06-20,8.95,9.06,8.921,8.934,29300,8.934
2016-06-17,8.89,9.08,8.75,8.839,47100,8.839
2016-06-16,8.99,8.993,8.75,8.75,46800,8.75
2016-06-15,9.095,9.095,8.964,9.01,30300,9.01
2016-06-14,9.22,9.22,8.91,9.00,93400,9.00
2016-06-13,9.40,9.434,9.253,9.253,35500,9.253
2016-06-10,9.633,9.669,9.359,9.447,26300,9.447
2016-06-09,9.63,9.69,9.53,9.677,45700,9.677
2016-06-08,9.55,9.60,9.52,9.53,14800,9.53
2016-06-07,9.65,9.66,9.54,9.54,23900,9.54
2016-06-06,9.79,9.875,9.615,9.647,17700,9.647
2016-06-03,9.90,9.98,9.825,9.90,11100,9.90
2016-06-02,9.825,9.90,9.728,9.88,13600,9.88
2016-06-01,9.857,9.95,9.80,9.917,10800,9.917
2016-05-31,9.87,9.98,9.87,9.93,37000,9.93
2016-05-30,9.89,9.938,9.788,9.91,27300,9.91
2016-05-27,9.60,9.87,9.60,9.701,50500,9.701
2016-05-26,9.70,9.70,9.54,9.698,14500,9.698
2016-05-25,9.50,9.66,9.50,9.60,81400,9.60
2016-05-24,9.41,9.574,9.40,9.57,21200,9.57
2016-05-23,9.53,9.53,9.41,9.45,9000,9.45
2016-05-20,9.64,9.677,9.421,9.421,18000,9.421
2016-05-19,9.46,9.687,9.411,9.687,27000,9.687
2016-05-18,9.63,9.739,9.31,9.45,28500,9.45
2016-05-17,9.92,9.92,9.625,9.64,23300,9.64
2016-05-16,9.90,9.90,9.90,9.90,000,9.90
2016-05-13,9.88,9.90,9.612,9.90,35000,9.90
2016-05-12,10.05,10.075,9.85,10.035,54700,9.635
2016-05-11,10.05,10.12,9.984,10.04,24300,9.64
2016-05-10,10.05,10.10,9.929,9.929,14100,9.533
2016-05-09,9.93,10.00,9.91,9.945,12500,9.549
2016-05-06,9.901,10.06,9.88,9.88,23700,9.486
2016-05-05,9.97,9.98,9.90,9.90,5700,9.505
2016-05-04,9.92,9.962,9.827,9.961,19300,9.564
2016-05-03,9.925,9.999,9.90,9.90,12200,9.505
2016-05-02,9.95,10.00,9.927,10.00,5800,9.601
2016-04-29,10.02,10.02,9.901,9.93,24000,9.534
2016-04-28,10.02,10.025,9.87,10.00,23500,9.601
2016-04-27,10.03,10.09,9.96,9.96,25700,9.563
2016-04-26,9.98,10.05,9.89,9.957,19700,9.56
2016-04-25,10.05,10.05,9.90,9.907,16400,9.512
2016-04-22,9.95,10.02,9.85,10.00,50000,9.601
2016-04-21,10.00,10.03,9.85,9.85,23900,9.457
2016-04-20,10.00,10.00,9.92,9.92,11700,9.525
2016-04-19,10.00,10.00,9.89,9.92,10000,9.525
2016-04-18,9.95,9.95,9.85,9.85,11800,9.457
2016-04-15,9.881,10.00,9.81,9.95,9800,9.553
2016-04-14,9.98,10.00,9.897,9.90,9300,9.505
2016-04-13,9.80,10.00,9.727,9.82,22500,9.429
2016-04-12,9.71,9.789,9.71,9.741,15200,9.353
2016-04-11,9.75,9.80,9.65,9.80,22400,9.409
