Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,90.00,90.00,84.52,85.44,45600,85.44
2016-10-26,90.32,90.32,88.67,89.40,14700,89.40
2016-10-25,88.00,90.81,88.00,90.55,57500,90.55
2016-10-24,88.96,89.33,87.80,87.80,19700,87.80
2016-10-21,89.15,89.15,88.48,88.82,13700,88.82
2016-10-20,89.10,89.10,88.43,89.07,18500,89.07
2016-10-19,89.30,89.30,88.66,89.01,24900,89.01
2016-10-18,88.30,89.41,88.24,89.20,23800,89.20
2016-10-17,88.05,88.56,87.45,88.46,19700,88.46
2016-10-14,87.00,89.30,86.98,89.03,28700,89.03
2016-10-13,86.20,86.94,86.00,86.78,19500,86.78
2016-10-12,86.86,87.20,86.19,86.80,24500,86.80
2016-10-11,87.16,87.16,86.02,86.60,22500,86.60
2016-10-10,86.18,87.32,85.68,87.03,37600,87.03
2016-10-07,85.76,86.30,84.92,84.92,25400,84.92
2016-10-06,84.27,85.85,83.80,85.71,40500,85.71
2016-10-05,83.86,84.20,83.17,84.04,30200,84.04
2016-10-04,80.00,84.31,79.66,84.31,29200,84.31
2016-10-03,80.00,80.00,80.00,80.00,000,80.00
2016-09-30,80.92,81.66,77.18,80.00,58600,80.00
2016-09-29,84.15,84.26,83.48,84.26,23200,84.26
2016-09-28,82.50,84.15,82.49,84.14,13500,84.14
2016-09-27,82.50,83.00,81.56,82.14,24300,82.14
2016-09-26,82.77,83.40,81.81,82.60,18700,82.60
2016-09-23,83.70,83.70,82.39,82.72,26500,82.72
2016-09-22,81.88,83.74,81.19,83.74,27300,83.74
2016-09-21,80.83,81.84,79.68,81.50,23600,81.50
2016-09-20,79.74,80.28,79.04,80.27,17200,80.27
2016-09-19,78.50,79.95,78.50,79.95,23800,79.95
2016-09-16,78.61,78.77,77.61,78.57,17800,78.57
2016-09-15,78.00,79.46,78.00,78.68,16600,78.68
2016-09-14,76.86,78.45,76.72,78.15,24400,78.15
2016-09-13,77.30,77.49,76.07,76.35,23400,76.35
2016-09-12,76.96,77.54,75.60,76.82,26900,76.82
2016-09-09,79.38,79.38,76.20,76.49,21000,76.49
2016-09-08,79.70,80.07,78.94,79.37,18200,79.37
2016-09-07,76.16,79.66,75.88,79.50,33100,79.50
2016-09-06,75.00,75.65,73.81,75.50,66800,75.50
2016-09-05,75.49,75.49,74.47,74.66,14800,74.66
2016-09-02,74.94,75.20,74.50,74.93,12500,74.93
2016-09-01,74.70,74.90,74.20,74.55,16900,74.55
2016-08-31,75.37,76.19,74.27,74.45,21000,74.45
2016-08-30,74.77,76.46,74.77,75.34,10300,75.34
2016-08-29,75.49,75.49,74.48,75.30,7900,75.30
2016-08-26,75.79,75.79,74.85,75.14,8900,75.14
2016-08-25,75.22,75.75,75.00,75.65,8600,75.65
2016-08-24,75.12,75.80,75.05,75.45,15700,75.45
2016-08-23,76.10,76.43,74.96,75.50,18800,75.50
2016-08-22,74.46,76.25,74.30,76.10,12200,76.10
2016-08-19,76.09,76.09,74.10,74.55,11600,74.55
2016-08-18,73.04,76.19,73.04,75.99,19300,75.99
2016-08-17,76.13,76.13,72.46,72.70,18800,72.70
2016-08-16,75.37,76.23,74.19,76.13,27600,76.13
2016-08-15,74.75,77.19,74.13,76.09,34100,76.09
2016-08-12,73.50,74.70,73.17,74.60,15800,74.60
2016-08-11,72.80,73.50,72.21,73.48,14500,73.48
2016-08-10,72.60,72.75,72.06,72.40,12400,72.40
2016-08-09,71.63,72.60,71.50,72.60,16900,72.60
2016-08-08,71.20,72.00,70.74,71.40,9800,71.40
2016-08-05,70.36,71.59,70.36,71.30,18300,71.30
2016-08-04,70.99,70.99,70.00,70.00,9000,70.00
2016-08-03,70.12,71.09,70.12,70.73,11400,70.73
2016-08-02,71.94,71.94,70.12,70.60,14900,70.60
2016-08-01,71.30,71.79,70.16,71.35,20600,71.35
2016-07-29,69.50,70.75,69.30,70.71,11800,70.71
2016-07-28,70.99,70.99,68.29,69.40,12100,69.40
2016-07-27,71.40,71.65,70.11,70.80,15400,70.80
2016-07-26,69.90,71.64,69.64,71.40,33600,71.40
2016-07-25,68.20,70.04,68.20,69.70,29600,69.70
2016-07-22,69.00,69.00,68.01,68.20,15000,68.20
2016-07-21,68.98,69.00,68.01,68.80,19400,68.80
2016-07-20,67.76,69.00,67.31,68.90,31000,68.90
2016-07-19,67.00,67.58,65.84,67.53,60800,67.53
2016-07-18,66.40,66.97,65.91,66.69,32600,66.69
2016-07-15,66.93,66.93,65.61,66.20,12200,66.20
2016-07-14,66.10,67.41,65.97,66.70,19300,66.70
2016-07-13,66.28,66.28,65.51,65.60,12600,65.60
2016-07-12,66.57,66.57,65.74,65.98,18700,65.98
2016-07-11,66.48,67.00,66.07,66.30,11600,66.30
2016-07-08,64.13,66.45,64.13,65.71,12600,65.71
2016-07-07,64.29,65.14,63.94,64.64,14300,64.64
2016-07-06,63.85,64.86,63.60,63.74,18800,63.74
2016-07-05,64.69,65.00,63.59,63.92,16900,63.92
2016-07-04,65.43,66.25,64.50,64.50,11300,64.50
2016-07-01,65.34,65.91,64.91,65.76,18200,65.76
2016-06-30,63.50,65.72,63.25,65.61,25500,65.61
2016-06-29,62.53,63.37,62.41,63.14,18800,63.14
2016-06-28,62.00,62.44,61.81,62.01,18800,62.01
2016-06-27,62.00,62.63,61.05,61.05,14400,61.05
2016-06-24,60.50,63.67,57.05,62.52,33100,62.52
2016-06-23,64.90,65.40,64.70,65.28,20800,65.28
2016-06-22,64.18,65.00,64.13,64.90,32600,64.90
2016-06-21,64.67,65.00,64.21,64.59,11300,64.59
2016-06-20,64.00,64.80,63.80,64.57,28500,64.57
2016-06-17,61.00,63.60,61.00,63.36,26200,63.36
2016-06-16,59.36,60.98,59.26,60.59,26200,60.59
2016-06-15,59.54,60.90,59.45,60.19,19600,60.19
2016-06-14,60.00,60.32,59.83,59.97,13900,59.97
2016-06-13,61.48,61.99,60.50,60.50,15400,60.50
2016-06-10,61.90,62.71,61.65,62.02,21000,62.02
2016-06-09,61.28,62.91,61.28,62.26,26600,62.26
2016-06-08,61.58,61.65,61.36,61.55,32400,61.55
2016-06-07,60.03,61.60,60.03,61.48,24100,61.48
2016-06-06,60.60,60.99,60.41,60.80,11900,60.80
2016-06-03,61.00,61.00,60.25,60.32,14300,60.32
2016-06-02,60.02,61.19,59.80,60.50,32800,60.50
2016-06-01,60.86,61.22,60.00,61.22,39100,59.62
2016-05-31,60.28,61.00,60.19,60.33,16500,58.753
2016-05-30,61.04,61.10,59.20,60.57,13200,58.987
2016-05-27,60.44,60.93,59.91,60.93,17400,59.338
2016-05-26,60.40,60.93,60.06,60.43,10700,58.851
2016-05-25,61.00,61.00,60.53,60.75,12500,59.162
2016-05-24,60.49,60.90,60.24,60.75,15100,59.162
2016-05-23,60.22,60.69,59.74,60.50,14400,58.919
2016-05-20,59.60,60.90,59.54,60.00,25800,58.432
2016-05-19,58.99,59.50,57.70,59.50,26100,57.945
2016-05-18,56.52,58.95,56.39,58.89,40500,57.351
2016-05-17,56.17,56.67,55.34,55.48,8700,54.03
2016-05-16,56.57,56.57,56.57,56.57,000,55.092
2016-05-13,56.26,56.59,56.14,56.57,5800,55.092
2016-05-12,56.55,56.92,56.28,56.60,7900,55.121
2016-05-11,54.84,56.50,54.80,56.50,13600,55.023
2016-05-10,54.00,54.83,53.91,54.75,16500,53.319
2016-05-09,54.30,54.30,53.85,54.02,10600,52.608
2016-05-06,54.14,54.32,53.88,53.88,9300,52.472
2016-05-05,54.08,54.63,54.08,54.30,8600,52.881
2016-05-04,54.25,54.58,53.87,54.07,15000,52.657
2016-05-03,54.96,55.38,54.50,54.71,7900,53.28
2016-05-02,55.78,55.81,54.25,55.04,16700,53.602
2016-04-29,57.10,57.10,55.04,55.04,23100,53.602
2016-04-28,57.15,57.64,56.52,57.60,6800,56.095
2016-04-27,56.50,57.84,56.16,57.60,11000,56.095
2016-04-26,56.49,56.70,56.12,56.20,8000,54.731
2016-04-25,57.18,57.18,56.00,56.00,10500,54.536
2016-04-22,57.00,57.07,56.44,56.80,13600,55.316
2016-04-21,57.00,57.55,56.64,56.78,19800,55.296
2016-04-20,58.60,58.84,56.67,57.05,32400,55.559
2016-04-19,59.60,59.60,58.20,58.20,14900,56.679
2016-04-18,59.80,59.80,58.98,59.20,11500,57.653
2016-04-15,59.70,59.70,59.08,59.39,10100,57.838
2016-04-14,59.78,59.84,59.48,59.56,5100,58.003
2016-04-13,59.79,59.80,59.05,59.75,10400,58.188
2016-04-12,59.44,59.73,58.56,59.40,14800,57.848
2016-04-11,58.60,59.64,58.60,59.40,13300,57.848
2016-04-08,58.60,58.90,58.37,58.80,19100,57.263
2016-04-07,58.53,58.80,58.13,58.64,12800,57.107
2016-04-06,57.98,58.85,57.98,58.48,26900,56.952
2016-04-05,57.68,58.53,56.54,58.47,23700,56.942
2016-04-04,57.59,57.87,57.17,57.38,18000,55.88
2016-04-01,57.75,58.07,56.85,57.85,18700,56.338
2016-03-31,56.56,57.80,56.21,57.80,13700,56.289
2016-03-30,55.70,57.03,55.70,56.60,34300,55.121
2016-03-29,56.10,56.50,54.98,55.50,22600,54.049
2016-03-28,56.41,56.41,56.41,56.41,000,54.936
2016-03-25,56.41,56.41,56.41,56.41,000,54.936
2016-03-24,54.90,56.87,54.80,56.41,22300,54.936
2016-03-23,54.80,54.90,54.15,54.90,12600,53.465
2016-03-22,54.30,55.49,53.56,54.59,18400,53.163
2016-03-21,54.40,54.74,54.11,54.20,4100,52.783
2016-03-18,54.00,54.84,54.00,54.50,8400,53.076
2016-03-17,54.18,54.65,53.31,54.32,5200,52.90
2016-03-16,53.60,54.09,53.60,53.95,5700,52.54
2016-03-15,53.90,54.20,53.83,54.04,4900,52.628
2016-03-14,54.11,54.59,54.04,54.29,14300,52.871
2016-03-11,53.20,54.26,53.08,54.00,11100,52.589
2016-03-10,53.30,54.21,52.50,52.77,9200,51.391
2016-03-09,52.95,53.75,52.79,53.36,8600,51.965
2016-03-08,53.02,53.24,51.79,52.77,14100,51.391
2016-03-07,54.50,54.50,53.20,53.40,7000,52.004
2016-03-04,52.52,54.80,52.52,54.50,11900,53.076
2016-03-03,53.07,53.55,52.19,52.91,11300,51.527
2016-03-02,53.89,54.40,52.28,52.65,13900,51.274
2016-03-01,51.94,53.76,51.88,53.76,7100,52.355
2016-02-29,50.35,51.90,49.945,51.88,23000,50.524
2016-02-26,49.91,50.20,49.475,50.17,22600,48.859
2016-02-25,50.01,50.30,49.405,49.515,13200,48.221
2016-02-24,50.42,50.42,49.645,50.10,17200,48.791
2016-02-23,50.20,50.21,49.655,50.00,20100,48.693
2016-02-22,49.00,49.70,48.78,49.60,26100,48.304
2016-02-19,50.29,50.29,48.70,48.70,4600,47.427
2016-02-18,50.29,50.30,49.75,49.75,6700,48.45
2016-02-17,49.205,50.16,49.105,49.855,5800,48.552
2016-02-16,50.13,50.23,48.655,48.93,8200,47.651
2016-02-15,49.07,50.09,49.07,49.55,18200,48.255
2016-02-12,47.10,48.75,47.10,48.515,9900,47.247
2016-02-11,47.565,48.15,46.86,47.395,16300,46.156
2016-02-10,47.34,49.245,46.82,47.985,12000,46.731
2016-02-09,47.41,47.825,46.80,47.11,20800,45.879
2016-02-08,49.345,49.44,47.425,47.425,8800,46.186
2016-02-05,49.00,49.86,48.965,49.325,5500,48.036
2016-02-04,49.00,49.24,48.695,48.93,4500,47.651
2016-02-03,48.815,49.095,48.57,48.725,6900,47.452
2016-02-02,49.01,49.235,48.63,48.90,3100,47.622
2016-02-01,49.22,49.31,48.725,49.31,8100,48.021
2016-01-29,49.00,49.205,48.23,48.875,9700,47.598
2016-01-28,48.10,49.795,47.405,48.495,16200,47.228
2016-01-27,48.20,48.20,47.10,47.70,14200,46.453
2016-01-26,48.12,48.425,47.82,47.82,6000,46.57
2016-01-25,49.03,49.875,48.375,48.51,5800,47.242
2016-01-22,48.29,50.27,47.995,49.65,7900,48.352
2016-01-21,47.81,48.445,47.485,47.615,12000,46.371
2016-01-20,49.19,49.19,47.795,47.80,6500,46.551
2016-01-19,47.15,49.645,46.805,49.355,12700,48.065
2016-01-18,48.00,48.00,46.80,47.205,9700,45.971
2016-01-15,49.065,49.31,45.99,47.80,13800,46.551
2016-01-14,49.20,49.60,49.01,49.31,6600,48.021
2016-01-13,49.80,50.20,49.105,49.60,6800,48.304
2016-01-12,49.52,49.98,48.945,49.845,3400,48.542
2016-01-11,50.08,50.70,48.525,49.11,14200,47.826
2016-01-08,50.03,52.83,50.03,50.68,9200,49.355
2016-01-07,51.52,52.03,49.05,50.38,32400,49.063
2016-01-06,52.64,53.20,51.81,53.18,10900,51.79
2016-01-05,53.70,53.84,51.89,52.93,7700,51.547
2016-01-04,53.92,54.37,53.27,53.62,9100,52.219
2016-01-01,54.61,54.61,54.61,54.61,000,53.183
2015-12-31,54.61,54.61,54.61,54.61,000,53.183
2015-12-30,55.09,55.12,54.29,54.61,5500,53.183
2015-12-29,54.25,55.72,54.00,54.97,10600,53.533
2015-12-28,54.00,54.00,53.27,53.97,3300,52.559
2015-12-25,53.46,53.46,53.46,53.46,000,52.063
2015-12-24,53.46,53.46,53.46,53.46,000,52.063
2015-12-23,54.40,54.40,53.28,53.46,11300,52.063
2015-12-22,54.65,54.65,54.06,54.15,5700,52.735
2015-12-21,54.40,55.05,54.40,54.60,3800,53.173
2015-12-18,54.58,55.21,54.31,55.02,4400,53.582
2015-12-17,55.03,55.95,54.55,55.04,7200,53.602
2015-12-16,54.50,55.79,54.03,55.48,9000,54.03
2015-12-15,53.28,54.50,53.28,54.50,6300,53.076
2015-12-14,54.50,54.64,53.33,53.74,9600,52.335
2015-12-11,54.50,54.50,53.11,53.94,9500,52.53
2015-12-10,56.30,56.30,53.51,53.73,13200,52.326
2015-12-09,54.97,56.75,54.25,56.39,11800,54.916
2015-12-08,56.54,56.54,54.36,54.91,12700,53.475
2015-12-07,56.49,56.61,55.73,56.06,22900,54.595
2015-12-04,53.81,56.30,53.75,56.30,17800,54.829
2015-12-03,55.70,55.70,53.64,53.97,13200,52.559
2015-12-02,54.52,55.79,54.52,55.27,17300,53.826
2015-12-01,53.99,54.97,53.50,54.97,23400,53.533
2015-11-30,53.94,54.16,53.56,53.56,8500,52.16
2015-11-27,53.20,54.44,52.88,53.41,17400,52.014
2015-11-26,53.82,54.09,53.12,53.12,6800,51.732
2015-11-25,52.76,54.20,52.74,53.80,13500,52.394
2015-11-24,55.20,55.20,51.75,52.22,16300,50.855
2015-11-23,55.00,55.70,54.23,54.51,16700,53.085
2015-11-20,54.87,54.89,53.90,54.87,17800,53.436
2015-11-19,53.90,54.89,53.90,54.63,13900,53.202
2015-11-18,54.50,54.84,53.98,54.24,8400,52.822
2015-11-17,53.80,54.62,53.75,54.30,11700,52.881
2015-11-16,54.45,54.45,53.25,53.60,10400,52.199
2015-11-13,54.50,54.98,53.87,54.45,11100,53.027
2015-11-12,55.61,56.11,53.93,54.29,6700,52.871
2015-11-11,56.07,56.53,54.80,55.43,12400,53.981
2015-11-10,56.73,56.80,54.58,55.21,15800,53.767
2015-11-09,56.50,57.36,56.27,57.36,9600,55.861
2015-11-06,55.50,57.06,55.50,56.90,8300,55.413
2015-11-05,55.26,55.97,55.10,55.82,11200,54.361
2015-11-04,55.00,55.90,55.00,55.57,5300,54.118
2015-11-03,57.00,57.05,54.95,54.95,11500,53.514
2015-11-02,55.09,57.18,54.81,56.52,16500,55.043
2015-10-30,54.71,54.98,54.30,54.64,3400,53.212
2015-10-29,54.59,55.00,54.27,54.51,6700,53.085
2015-10-28,54.39,54.78,54.27,54.65,3900,53.222
2015-10-27,53.95,54.55,53.75,54.27,14300,52.852
2015-10-26,54.00,54.23,53.77,54.00,5800,52.589
2015-10-23,53.30,53.90,53.13,53.79,6700,52.384
2015-10-22,53.85,53.85,53.05,53.35,3400,51.956
