Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,30.70,31.20,30.53,30.53,16400,30.53
2016-10-26,30.70,30.965,30.525,30.60,8800,30.60
2016-10-25,30.95,30.95,30.70,30.70,10900,30.70
2016-10-24,30.95,30.95,30.70,30.70,12300,30.70
2016-10-21,30.70,30.93,30.505,30.80,12900,30.80
2016-10-20,30.715,30.885,30.36,30.61,9500,30.61
2016-10-18,30.20,30.65,30.20,30.50,19600,30.50
2016-10-17,29.945,30.99,29.405,30.25,56200,30.25
2016-10-14,29.385,29.915,29.385,29.68,000,29.68
2016-10-13,29.965,30.005,29.235,29.59,13700,29.59
2016-10-12,29.80,30.145,29.80,29.92,12300,29.92
2016-10-11,30.245,30.40,29.80,29.80,16800,29.80
2016-10-10,29.80,30.14,29.80,30.00,4700,30.00
2016-10-07,30.48,30.565,29.615,29.875,21800,29.875
2016-10-06,30.20,30.27,30.005,30.23,8400,30.23
2016-10-05,30.47,30.72,29.58,30.255,22200,30.255
2016-10-04,30.00,30.515,29.925,30.38,17000,30.38
2016-10-03,29.57,29.57,29.57,29.57,000,29.57
2016-09-30,29.70,30.00,29.57,29.57,20600,29.57
2016-09-29,30.30,30.375,29.99,30.20,22000,30.20
2016-09-28,29.60,30.20,29.60,30.00,16100,30.00
2016-09-27,30.145,30.15,29.69,29.69,11000,29.69
2016-09-26,30.58,30.58,30.00,30.00,20100,30.00
2016-09-23,30.38,30.50,30.16,30.305,19100,30.305
2016-09-22,30.50,30.50,30.00,30.225,11400,30.225
2016-09-20,21.947,21.947,21.947,21.947,000,21.947
2016-09-19,21.9232,21.9232,21.9232,21.9232,000,21.9232
2016-09-16,21.9611,21.9611,21.9611,21.9611,000,21.9611
2016-09-15,21.8088,21.8088,21.8088,21.8088,000,21.8088
2016-09-14,21.8015,21.8015,21.8015,21.8015,000,21.8015
2016-09-13,29.50,29.875,29.49,29.64,4400,29.64
2016-09-12,29.375,29.58,29.195,29.30,22300,29.30
2016-09-09,21.8696,21.8696,21.8696,21.8696,000,21.8696
2016-09-08,21.8025,21.8025,21.8025,21.8025,000,21.8025
2016-09-07,29.685,30.09,29.675,30.09,5900,30.09
2016-09-06,21.8183,21.8183,21.8183,21.8183,000,21.8183
2016-09-05,21.9943,21.9943,21.9943,21.9943,000,21.9943
2016-09-02,21.9621,21.9621,21.9621,21.9621,000,21.9621
2016-09-01,29.98,30.08,29.50,29.50,12700,29.50
2016-08-31,22.0095,22.0095,22.0095,22.0095,000,22.0095
2016-08-30,21.9829,21.9829,21.9829,21.9829,000,21.9829
2016-08-29,21.9535,21.9535,21.9535,21.9535,000,21.9535
2016-08-26,21.7413,21.7413,21.7413,21.7413,000,21.7413
2016-08-25,21.7383,21.7383,21.7383,21.7383,000,21.7383
2016-08-24,21.7997,21.7997,21.7997,21.7997,000,21.7997
2016-08-23,21.6654,21.6654,21.6654,21.6654,000,21.6654
2016-08-22,21.6505,21.6505,21.6505,21.6505,000,21.6505
2016-08-19,21.6599,21.6599,21.6599,21.6599,000,21.6599
2016-08-18,21.7504,21.7504,21.7504,21.7504,000,21.7504
2016-08-17,21.7504,21.7504,21.7504,21.7504,000,21.7504
2016-08-16,21.779,21.779,21.779,21.779,000,21.779
2016-08-15,21.8961,21.8961,21.8961,21.8961,000,21.8961
2016-08-12,21.9308,21.9308,21.9308,21.9308,000,21.9308
2016-08-11,28.70,29.00,28.49,29.00,10700,29.00
2016-08-10,21.9612,21.9612,21.9612,21.9612,000,21.9612
2016-08-09,22.058,22.058,22.058,22.058,000,22.058
2016-08-08,22.13,22.13,22.13,22.13,000,22.13
2016-08-05,22.1375,22.1375,22.1375,22.1375,000,22.1375
2016-08-04,22.0077,22.0077,22.0077,22.0077,000,22.0077
2016-08-03,21.9421,21.9421,21.9421,21.9421,000,21.9421
2016-08-02,21.9449,21.9449,21.9449,21.9449,000,21.9449
2016-08-01,21.9449,21.9449,21.9449,21.9449,000,21.9449
2016-07-29,21.9242,21.9242,21.9242,21.9242,000,21.9242
2016-07-28,22.1126,22.1126,22.1126,22.1126,000,22.1126
2016-07-27,22.2945,22.2945,22.2945,22.2945,000,22.2945
2016-07-26,27.025,27.385,26.845,27.04,6900,27.04
2016-07-25,27.34,27.42,27.11,27.42,4300,27.42
2016-07-22,27.48,27.48,27.225,27.34,7600,27.34
2016-07-21,27.345,27.35,27.16,27.35,8300,27.35
2016-07-20,22.2556,22.2556,22.2556,22.2556,000,22.2556
2016-07-19,22.2518,22.2518,22.2518,22.2518,000,22.2518
2016-07-18,22.1472,22.1472,22.1472,22.1472,000,22.1472
2016-07-15,22.1376,22.1376,22.1376,22.1376,000,22.1376
2016-07-14,22.0725,22.0725,22.0725,22.0725,000,22.0725
2016-07-13,22.0744,22.0744,22.0744,22.0744,000,22.0744
2016-07-12,22.1394,22.1394,22.1394,22.1394,000,22.1394
2016-07-11,22.185,22.185,22.185,22.185,000,22.185
2016-07-08,22.2071,22.2071,22.2071,22.2071,000,22.2071
2016-07-07,22.1337,22.1337,22.1337,22.1337,000,22.1337
2016-07-06,22.1357,22.1357,22.1357,22.1357,000,22.1357
2016-07-05,26.99,26.99,26.00,26.00,13500,26.00
2016-07-04,22.0095,22.0095,22.0095,22.0095,000,22.0095
2016-07-01,22.0198,22.0198,22.0198,22.0198,000,22.0198
2016-06-30,22.0629,22.0629,22.0629,22.0629,000,22.0629
2016-06-29,22.0754,22.0754,22.0754,22.0754,000,22.0754
2016-06-28,22.1763,22.1763,22.1763,22.1763,000,22.1763
2016-06-27,22.321,22.321,22.321,22.321,000,22.321
2016-06-24,22.0512,22.0512,22.0512,22.0512,000,22.0512
2016-06-23,21.6122,21.6122,21.6122,21.6122,000,21.6122
2016-06-22,21.7383,21.7383,21.7383,21.7383,000,21.7383
2016-06-21,21.7586,21.7586,21.7586,21.7586,000,21.7586
2016-06-20,21.637,21.637,21.637,21.637,000,21.637
2016-06-17,21.8006,21.8006,21.8006,21.8006,000,21.8006
2016-06-16,21.9923,21.9923,21.9923,21.9923,000,21.9923
2016-06-15,21.8258,21.8258,21.8258,21.8258,000,21.8258
2016-06-14,21.8726,21.8726,21.8726,21.8726,000,21.8726
2016-06-13,27.30,27.41,26.585,26.67,16600,26.67
2016-06-10,21.7096,21.7096,21.7096,21.7096,000,21.7096
2016-06-09,21.6579,21.6579,21.6579,21.6579,000,21.6579
2016-06-08,21.5337,21.5337,21.5337,21.5337,000,21.5337
2016-06-07,21.605,21.605,21.605,21.605,000,21.605
2016-06-06,21.5828,21.5828,21.5828,21.5828,000,21.5828
2016-06-03,21.6452,21.6452,21.6452,21.6452,000,21.6452
2016-06-02,21.9668,21.9668,21.9668,21.9668,000,21.9668
2016-06-01,28.01,28.185,27.80,28.03,6000,28.03
2016-05-31,22.0189,22.0189,22.0189,22.0189,000,22.0189
2016-05-30,22.0085,22.0085,22.0085,22.0085,000,22.0085
2016-05-27,22.0209,22.0209,22.0209,22.0209,000,22.0209
2016-05-26,21.9204,21.9204,21.9204,21.9204,000,21.9204
2016-05-25,26.80,27.09,26.74,27.085,14400,27.085
2016-05-24,21.9658,21.9658,21.9658,21.9658,000,21.9658
2016-05-23,21.8366,21.8366,21.8366,21.8366,000,21.8366
2016-05-20,21.867,21.867,21.867,21.867,000,21.867
2016-05-19,21.8818,21.8818,21.8818,21.8818,000,21.8818
2016-05-18,21.7427,21.7427,21.7427,21.7427,000,21.7427
2016-05-17,21.6387,21.6387,21.6387,21.6387,000,21.6387
2016-05-13,26.495,26.71,26.135,26.515,18900,26.515
2016-05-12,21.5149,21.5149,21.5149,21.5149,000,21.5149
2016-05-11,21.4622,21.4622,21.4622,21.4622,000,21.4622
2016-05-10,21.53,21.53,21.53,21.53,000,21.53
2016-05-09,21.5256,21.5256,21.5256,21.5256,000,21.5256
2016-05-06,21.4804,21.4804,21.4804,21.4804,000,21.4804
2016-05-05,21.3554,21.3554,21.3554,21.3554,000,21.3554
2016-05-04,21.3109,21.3109,21.3109,21.3109,000,21.3109
2016-05-03,21.3109,21.3109,21.3109,21.3109,000,21.3109
2016-05-02,21.3182,21.3182,21.3182,21.3182,000,21.3182
2016-04-29,21.4256,21.4256,21.4256,21.4256,000,21.4256
2016-04-28,21.6773,21.6773,21.6773,21.6773,000,21.6773
2016-04-27,25.76,26.125,25.505,26.11,11000,26.11
2016-04-26,21.6911,21.6911,21.6911,21.6911,000,21.6911
2016-04-25,21.7633,21.7633,21.7633,21.7633,000,21.7633
2016-04-22,21.8155,21.8155,21.8155,21.8155,000,21.8155
2016-04-21,21.7244,21.7244,21.7244,21.7244,000,21.7244
2016-04-20,21.6433,21.6433,21.6433,21.6433,000,21.6433
2016-04-19,21.5666,21.5666,21.5666,21.5666,000,21.5666
2016-04-18,21.6526,21.6526,21.6526,21.6526,000,21.6526
2016-04-15,21.7096,21.7096,21.7096,21.7096,000,21.7096
2016-04-14,21.7734,21.7734,21.7734,21.7734,000,21.7734
2016-04-13,21.7355,21.7355,21.7355,21.7355,000,21.7355
2016-04-12,21.5665,21.5665,21.5665,21.5665,000,21.5665
2016-04-11,21.4444,21.4444,21.4444,21.4444,000,21.4444
2016-04-08,21.5085,21.5085,21.5085,21.5085,000,21.5085
2016-04-07,21.5547,21.5547,21.5547,21.5547,000,21.5547
2016-04-06,21.5683,21.5683,21.5683,21.5683,000,21.5683
2016-04-05,21.5664,21.5664,21.5664,21.5664,000,21.5664
