Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,4.57,4.57,4.492,4.50,234500,4.50
2016-10-26,4.50,4.568,4.439,4.559,237100,4.559
2016-10-25,4.57,4.57,4.439,4.49,313900,4.49
2016-10-24,4.52,4.60,4.52,4.567,240800,4.567
2016-10-21,4.476,4.578,4.476,4.54,151500,4.54
2016-10-20,4.504,4.527,4.43,4.501,284600,4.501
2016-10-19,4.547,4.547,4.42,4.466,236600,4.466
2016-10-18,4.56,4.597,4.522,4.56,189600,4.56
2016-10-17,4.527,4.56,4.487,4.539,192900,4.539
2016-10-14,4.511,4.549,4.461,4.53,185000,4.53
2016-10-13,4.464,4.521,4.437,4.488,264700,4.488
2016-10-12,4.508,4.53,4.498,4.501,144400,4.501
2016-10-11,4.517,4.544,4.496,4.501,149000,4.501
2016-10-10,4.50,4.544,4.50,4.52,123400,4.52
2016-10-07,4.457,4.526,4.429,4.50,210600,4.50
2016-10-06,4.563,4.60,4.46,4.478,297300,4.478
2016-10-05,4.455,4.57,4.455,4.568,275100,4.568
2016-10-04,4.378,4.51,4.375,4.48,376000,4.48
2016-10-03,4.491,4.491,4.491,4.491,000,4.491
2016-09-30,4.372,4.506,4.343,4.491,434600,4.491
2016-09-29,4.42,4.47,4.385,4.45,427600,4.45
2016-09-28,4.20,4.448,4.17,4.405,706500,4.405
2016-09-27,4.183,4.227,4.14,4.167,434100,4.167
2016-09-26,4.187,4.232,4.162,4.20,359300,4.20
2016-09-23,4.18,4.249,4.153,4.22,471000,4.22
2016-09-22,4.046,4.236,4.046,4.174,416700,4.174
2016-09-21,3.988,4.091,3.945,4.045,423000,4.045
2016-09-20,3.98,3.99,3.94,3.94,162600,3.94
2016-09-19,3.93,4.019,3.93,3.99,126400,3.99
2016-09-16,3.948,3.951,3.878,3.951,300500,3.951
2016-09-15,3.85,3.951,3.833,3.916,380000,3.916
2016-09-14,3.949,4.002,3.80,3.80,382900,3.80
2016-09-13,3.996,4.04,3.976,4.002,255200,4.002
2016-09-12,3.98,4.025,3.92,4.00,179000,4.00
2016-09-09,4.045,4.048,3.986,4.00,194300,4.00
2016-09-08,4.029,4.054,4.01,4.044,241300,4.044
2016-09-07,4.047,4.047,3.979,4.029,111400,4.029
2016-09-06,4.05,4.054,4.001,4.01,127800,4.01
2016-09-05,4.00,4.057,3.999,4.046,156300,4.046
2016-09-02,4.01,4.01,3.85,4.01,404500,4.01
2016-09-01,4.01,4.029,3.961,3.997,344400,3.997
2016-08-31,4.03,4.056,3.99,4.001,159300,4.001
2016-08-30,4.08,4.119,4.022,4.039,173800,4.039
2016-08-29,4.061,4.085,4.009,4.062,112000,4.062
2016-08-26,4.038,4.085,4.00,4.085,140400,4.085
2016-08-25,4.046,4.057,3.991,4.03,152400,4.03
2016-08-24,4.10,4.116,4.028,4.056,118500,4.056
2016-08-23,4.04,4.081,4.02,4.079,124200,4.079
2016-08-22,3.962,4.10,3.962,4.033,297900,4.033
2016-08-19,4.043,4.072,3.93,3.971,212100,3.971
2016-08-18,4.00,4.065,4.00,4.05,172500,4.05
2016-08-17,4.133,4.133,3.941,3.961,214200,3.961
2016-08-16,4.02,4.137,4.011,4.118,223100,4.118
2016-08-15,4.245,4.29,4.019,4.041,461300,4.041
2016-08-12,4.295,4.306,4.222,4.251,134300,4.251
2016-08-11,4.30,4.313,4.233,4.31,221700,4.31
2016-08-10,4.213,4.362,4.168,4.31,501100,4.31
2016-08-09,4.18,4.239,4.08,4.22,457200,4.22
