Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,8.895,8.929,8.669,8.822,253200,8.822
2016-10-26,9.145,9.168,8.801,8.976,126000,8.976
2016-10-25,9.16,9.25,9.113,9.165,148700,9.165
2016-10-24,9.09,9.22,9.056,9.13,184500,9.13
2016-10-21,8.95,9.12,8.925,9.119,194400,9.119
2016-10-20,8.82,9.01,8.769,8.91,209600,8.91
2016-10-19,8.80,8.80,8.701,8.75,99000,8.75
2016-10-18,8.765,8.80,8.693,8.784,53300,8.784
2016-10-17,8.78,8.78,8.61,8.68,110100,8.68
2016-10-14,8.71,8.841,8.669,8.781,103600,8.781
2016-10-13,8.60,8.711,8.511,8.71,93600,8.71
2016-10-12,8.707,8.707,8.527,8.569,103600,8.569
2016-10-11,8.616,8.739,8.611,8.611,89000,8.611
2016-10-10,8.70,8.70,8.62,8.69,76600,8.69
2016-10-07,8.65,8.65,8.569,8.61,134300,8.61
2016-10-06,8.61,8.676,8.557,8.62,129300,8.62
2016-10-05,8.937,8.937,8.605,8.62,126200,8.62
2016-10-04,8.963,8.964,8.806,8.862,134900,8.862
2016-10-03,8.98,8.98,8.98,8.98,000,8.98
2016-09-30,8.90,9.017,8.849,8.98,236100,8.98
2016-09-29,8.85,9.198,8.832,9.03,256800,9.03
2016-09-28,8.85,8.883,8.78,8.84,60900,8.84
2016-09-27,8.897,8.897,8.746,8.828,70800,8.828
2016-09-26,8.90,8.928,8.82,8.821,129000,8.821
2016-09-23,8.85,8.991,8.847,8.95,183800,8.95
2016-09-22,8.99,8.99,8.851,8.851,159400,8.851
2016-09-21,8.99,9.027,8.905,8.94,80100,8.94
2016-09-20,9.043,9.043,8.95,8.98,108400,8.98
2016-09-19,8.81,9.036,8.81,8.994,98300,8.994
2016-09-16,8.71,8.80,8.602,8.763,522100,8.763
2016-09-15,8.76,8.804,8.653,8.728,89000,8.728
2016-09-14,8.794,8.869,8.78,8.82,74500,8.82
2016-09-13,8.881,8.91,8.78,8.80,66900,8.80
2016-09-12,8.899,8.899,8.751,8.805,94100,8.805
2016-09-09,9.02,9.02,8.90,8.937,105400,8.937
2016-09-08,8.90,9.05,8.90,8.97,129200,8.97
2016-09-07,8.831,8.95,8.73,8.933,150000,8.933
2016-09-06,8.93,8.98,8.874,8.887,94900,8.887
2016-09-05,8.912,8.98,8.857,8.87,48300,8.87
2016-09-02,8.80,8.923,8.786,8.90,92600,8.90
2016-09-01,8.786,8.829,8.736,8.77,64400,8.77
2016-08-31,8.81,8.827,8.70,8.70,35600,8.70
2016-08-30,8.71,8.78,8.69,8.78,102700,8.78
2016-08-29,8.697,8.71,8.629,8.70,80300,8.70
2016-08-26,8.78,8.80,8.663,8.663,145200,8.663
2016-08-25,8.729,8.78,8.673,8.762,70400,8.762
2016-08-24,8.679,8.734,8.623,8.734,129100,8.734
2016-08-23,8.61,8.661,8.586,8.66,54300,8.66
2016-08-22,8.628,8.69,8.573,8.61,95400,8.61
2016-08-19,8.52,8.579,8.499,8.56,36700,8.56
2016-08-18,8.40,8.589,8.40,8.51,65800,8.51
2016-08-17,8.563,8.575,8.45,8.45,60000,8.45
2016-08-16,8.62,8.65,8.551,8.575,71200,8.575
2016-08-15,8.62,8.672,8.62,8.62,46000,8.62
2016-08-12,8.60,8.609,8.552,8.60,74200,8.60
2016-08-11,8.631,8.644,8.60,8.625,91300,8.625
2016-08-10,8.73,8.73,8.61,8.63,73900,8.63
2016-08-09,8.633,8.684,8.602,8.679,62600,8.679
2016-08-08,8.625,8.68,8.596,8.63,29200,8.63
2016-08-05,8.581,8.702,8.581,8.70,61000,8.70
2016-08-04,8.58,8.692,8.471,8.677,60900,8.677
2016-08-03,8.587,8.68,8.559,8.619,73900,8.619
2016-08-02,8.655,8.687,8.54,8.543,47700,8.543
2016-08-01,8.70,8.797,8.659,8.72,74500,8.72
2016-07-29,8.695,8.737,8.65,8.714,113200,8.714
2016-07-28,8.60,8.695,8.566,8.655,68700,8.655
2016-07-27,8.58,8.598,8.502,8.59,57200,8.59
2016-07-26,8.65,8.653,8.504,8.54,74000,8.54
2016-07-25,8.551,8.643,8.54,8.625,65400,8.625
2016-07-22,8.374,8.60,8.345,8.55,166300,8.55
2016-07-21,8.41,8.41,8.31,8.35,78600,8.35
2016-07-20,8.40,8.41,8.349,8.392,40500,8.392
2016-07-19,8.373,8.42,8.337,8.40,42000,8.40
2016-07-18,8.378,8.406,8.291,8.358,73300,8.358
2016-07-15,8.31,8.386,8.29,8.306,87600,8.306
2016-07-14,8.299,8.43,8.299,8.382,78500,8.382
2016-07-13,8.417,8.42,8.309,8.371,42500,8.371
2016-07-12,8.164,8.442,8.164,8.36,236200,8.36
2016-07-11,8.15,8.341,8.115,8.235,131100,8.235
2016-07-08,7.95,8.10,7.95,8.10,55000,8.10
2016-07-07,8.02,8.114,7.923,8.00,117100,8.00
2016-07-06,8.104,8.136,7.979,8.00,207000,8.00
2016-07-05,8.634,8.641,8.44,8.446,204900,8.076
2016-07-04,8.60,8.631,8.556,8.599,109200,8.222
2016-07-01,8.57,8.58,8.512,8.57,68800,8.195
2016-06-30,8.57,8.649,8.444,8.513,116000,8.14
2016-06-29,8.33,8.543,8.324,8.515,103200,8.142
2016-06-28,8.31,8.31,8.164,8.228,83600,7.868
2016-06-27,8.30,8.34,8.05,8.087,174100,7.733
2016-06-24,7.97,8.263,7.956,8.244,169400,7.883
2016-06-23,8.258,8.386,8.236,8.30,109200,7.936
2016-06-22,8.33,8.33,8.218,8.226,95800,7.866
2016-06-21,8.37,8.37,8.259,8.28,45800,7.917
2016-06-20,8.19,8.35,8.19,8.35,110700,7.984
2016-06-17,7.98,8.125,7.98,8.092,90600,7.738
2016-06-16,8.09,8.109,7.97,7.97,226600,7.621
2016-06-15,8.19,8.19,8.086,8.147,81900,7.79
2016-06-14,8.248,8.248,8.046,8.10,123400,7.745
2016-06-13,8.306,8.306,8.17,8.208,71200,7.848
2016-06-10,8.62,8.62,8.35,8.36,67000,7.994
2016-06-09,8.55,8.609,8.499,8.609,94000,8.232
2016-06-08,8.52,8.58,8.506,8.553,89400,8.178
2016-06-07,8.54,8.578,8.537,8.55,106200,8.175
2016-06-06,8.467,8.52,8.411,8.50,64200,8.128
2016-06-03,8.60,8.612,8.453,8.52,81500,8.147
2016-06-02,8.63,8.70,8.572,8.599,40700,8.222
2016-06-01,8.699,8.71,8.584,8.66,54000,8.281
2016-05-31,8.709,8.71,8.60,8.649,87200,8.27
2016-05-30,8.70,8.749,8.63,8.71,60200,8.328
2016-05-27,8.50,8.79,8.47,8.70,196800,8.319
2016-05-26,8.44,8.495,8.415,8.495,50400,8.123
2016-05-25,8.34,8.44,8.337,8.41,64200,8.042
2016-05-24,8.295,8.335,8.275,8.327,56500,7.962
2016-05-23,8.27,8.312,8.25,8.295,90900,7.932
2016-05-20,8.254,8.29,8.224,8.29,39300,7.927
2016-05-19,8.246,8.264,8.155,8.184,58800,7.825
2016-05-18,8.19,8.30,8.155,8.239,50500,7.878
2016-05-17,8.226,8.28,8.155,8.199,60200,7.84
2016-05-16,8.226,8.226,8.226,8.226,000,7.866
2016-05-13,8.142,8.226,8.082,8.226,56400,7.866
2016-05-12,8.075,8.174,7.92,8.12,186000,7.764
2016-05-11,8.20,8.20,7.96,7.97,40800,7.621
2016-05-10,8.10,8.23,8.10,8.13,54200,7.774
2016-05-09,7.96,8.178,7.945,8.044,51500,7.692
2016-05-06,7.90,7.994,7.88,7.925,30100,7.578
2016-05-05,7.812,7.899,7.812,7.899,12900,7.553
2016-05-04,7.863,7.926,7.79,7.848,69900,7.504
2016-05-03,8.003,8.019,7.84,7.888,86700,7.542
2016-05-02,8.117,8.133,8.037,8.06,7400,7.707
2016-04-29,8.05,8.123,7.98,8.048,100200,7.695
2016-04-28,8.15,8.199,8.066,8.066,44400,7.713
2016-04-27,8.12,8.169,8.088,8.136,76600,7.78
2016-04-26,8.002,8.121,8.002,8.121,55500,7.765
2016-04-25,7.95,8.043,7.945,8.017,40100,7.666
2016-04-22,8.10,8.10,7.93,7.983,86000,7.633
2016-04-21,8.227,8.227,8.036,8.036,41800,7.684
2016-04-20,8.097,8.174,8.052,8.17,77300,7.812
2016-04-19,7.979,8.197,7.979,8.06,143200,7.707
2016-04-18,8.105,8.105,7.974,8.013,71700,7.662
2016-04-15,8.17,8.18,8.051,8.085,56800,7.731
2016-04-14,8.16,8.22,8.074,8.165,117500,7.807
