Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,14.80,15.30,14.75,14.85,31200,14.85
2016-10-26,14.50,14.81,14.01,14.81,42200,14.81
2016-10-25,14.63,14.67,14.235,14.435,46500,14.435
2016-10-24,14.67,14.99,14.60,14.63,26400,14.63
2016-10-21,14.68,14.98,14.60,14.67,14800,14.67
2016-10-20,14.72,15.00,14.605,14.655,26100,14.655
2016-10-19,15.15,15.15,14.60,14.75,46500,14.75
2016-10-18,15.81,15.81,15.02,15.06,49500,15.06
2016-10-17,15.72,15.96,15.60,15.60,23300,15.60
2016-10-14,15.80,16.20,15.63,15.715,33700,15.715
2016-10-13,16.25,16.345,14.50,15.15,56200,15.15
2016-10-12,16.30,16.40,16.10,16.10,15200,16.10
2016-10-11,16.40,16.47,16.01,16.145,23700,16.145
2016-10-10,16.765,17.08,16.155,16.35,32700,16.35
2016-10-07,17.04,17.15,16.76,16.995,49900,16.995
2016-10-06,17.40,17.40,17.04,17.205,6900,17.205
2016-10-05,17.605,17.66,17.025,17.40,27600,17.40
2016-10-04,17.87,18.00,17.55,17.55,17600,17.55
2016-10-03,17.90,17.90,17.90,17.90,000,17.90
2016-09-30,18.20,18.205,17.74,17.90,9400,17.90
2016-09-29,18.10,18.195,18.10,18.15,9000,18.15
2016-09-28,18.02,18.25,18.02,18.10,20900,18.10
2016-09-27,18.445,18.45,18.02,18.02,6400,18.02
2016-09-26,18.64,18.64,18.06,18.06,9100,18.06
2016-09-23,18.75,18.75,18.50,18.50,4100,18.50
2016-09-22,18.66,18.75,18.52,18.66,11700,18.66
2016-09-21,18.20,18.69,18.20,18.47,7300,18.47
2016-09-20,18.55,18.55,18.25,18.25,1400,18.25
2016-09-19,18.54,18.54,18.31,18.465,3500,18.465
2016-09-16,18.115,18.54,18.00,18.54,22300,18.54
2016-09-15,18.30,18.305,18.00,18.00,25700,18.00
2016-09-14,18.40,18.495,18.20,18.25,16200,18.25
2016-09-13,18.245,18.535,18.01,18.40,33400,18.40
2016-09-12,18.66,18.66,17.91,18.25,15000,18.25
2016-09-09,18.40,18.66,18.05,18.60,27200,18.60
2016-09-08,19.115,19.20,18.49,18.505,46100,18.505
2016-09-07,19.80,19.80,17.90,18.90,239800,18.90
2016-09-06,21.75,21.875,21.28,21.50,3600,21.50
2016-09-05,21.90,22.21,21.20,21.65,14400,21.65
