Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,31.155,31.435,31.00,31.20,44100,31.20
2016-10-26,31.28,31.69,31.04,31.155,106400,31.155
2016-10-25,31.20,31.315,31.00,31.30,56700,31.30
2016-10-24,31.30,31.31,30.93,31.155,72000,31.155
2016-10-21,30.50,31.335,30.375,31.15,76900,31.15
2016-10-20,30.155,30.485,29.87,30.385,78400,30.385
2016-10-19,29.31,30.22,29.31,29.99,61100,29.99
2016-10-18,29.345,29.80,29.315,29.445,56600,29.445
2016-10-17,29.945,30.02,29.24,29.355,60700,29.355
2016-10-14,30.625,30.73,29.78,30.085,117500,30.085
2016-10-13,30.62,30.62,30.095,30.325,39500,30.325
2016-10-12,30.92,31.025,30.40,30.78,29700,30.78
2016-10-11,30.81,31.29,30.63,30.85,51300,30.85
2016-10-10,31.295,31.375,30.605,30.69,64900,30.69
2016-10-07,32.40,32.40,31.20,31.20,120800,31.20
2016-10-06,31.25,31.695,30.89,31.50,110600,31.50
2016-10-05,30.45,31.175,30.365,31.175,85900,31.175
2016-10-04,29.80,30.80,29.69,30.48,106900,30.48
2016-10-03,30.00,30.00,30.00,30.00,000,30.00
2016-09-30,30.10,30.10,29.25,30.00,168200,30.00
2016-09-29,30.02,30.80,29.94,30.34,70400,30.34
2016-09-28,30.015,30.42,29.625,29.985,53000,29.985
2016-09-27,30.60,30.60,29.82,30.00,78400,30.00
2016-09-26,31.61,31.61,30.29,30.45,61200,30.45
2016-09-23,31.50,31.965,30.81,31.50,297300,31.50
2016-09-22,33.43,33.545,32.795,32.855,15200,32.855
2016-09-21,33.35,33.955,33.30,33.40,10600,33.40
2016-09-20,33.35,33.715,32.63,33.485,20500,33.485
2016-09-19,32.25,34.065,32.11,33.48,32800,33.48
2016-09-16,32.645,33.975,32.35,32.35,42200,32.35
2016-09-15,33.15,33.23,32.61,32.78,37600,32.78
2016-09-14,33.405,33.55,32.56,33.375,13500,33.375
2016-09-13,33.77,34.12,33.385,33.54,17100,33.54
2016-09-12,33.545,34.12,33.33,33.86,24300,33.86
2016-09-09,33.015,33.60,33.015,33.59,14200,33.59
2016-09-08,33.66,33.66,33.01,33.60,9100,33.60
2016-09-07,33.755,33.84,33.44,33.60,17500,33.60
2016-09-06,33.66,33.88,33.43,33.88,15800,33.88
2016-09-05,33.85,33.85,33.36,33.44,11900,33.44
2016-09-02,33.88,33.88,33.235,33.40,14500,33.40
2016-09-01,33.275,33.86,33.275,33.49,10200,33.49
2016-08-31,33.905,34.00,33.225,33.45,22400,33.45
2016-08-30,34.66,34.66,33.755,33.785,13700,33.785
2016-08-29,34.00,34.325,33.80,34.325,7200,34.325
2016-08-26,33.395,34.27,33.10,34.00,15000,34.00
2016-08-25,33.25,33.605,32.92,33.185,26100,33.185
2016-08-24,33.56,33.685,33.03,33.15,24200,33.15
2016-08-23,34.355,34.355,33.37,33.37,14400,33.37
2016-08-22,33.98,34.39,33.40,33.905,23400,33.905
2016-08-19,34.70,34.80,33.755,34.00,24500,34.00
2016-08-18,34.655,34.92,34.235,34.595,23700,34.595
2016-08-17,34.51,34.515,33.84,34.275,39000,34.275
2016-08-16,34.75,34.85,33.575,34.00,57700,34.00
2016-08-15,34.67,35.495,34.03,34.48,32800,34.48
2016-08-12,37.00,37.00,34.315,34.78,102300,34.78
2016-08-11,40.80,40.80,36.305,36.55,68300,36.55
2016-08-10,39.00,41.00,38.50,41.00,27000,41.00
2016-08-09,37.89,38.80,37.79,38.80,20300,38.80
2016-08-08,37.33,37.72,36.24,37.50,28600,37.50
2016-08-05,37.295,37.32,36.45,37.275,15700,37.275
2016-08-04,36.42,37.125,36.365,36.70,18800,36.70
2016-08-02,36.20,36.67,36.03,36.59,11800,36.59
2016-08-01,37.25,37.25,36.26,36.505,10900,36.505
2016-07-29,37.20,37.595,36.445,36.80,25100,36.80
2016-07-28,36.895,37.375,36.84,37.32,14500,37.32
2016-07-27,35.67,36.60,35.67,36.535,20700,36.535
2016-07-26,36.00,36.43,35.62,35.62,24100,35.62
2016-07-25,36.00,36.495,35.90,36.06,10700,36.06
2016-07-22,36.10,36.235,35.63,36.035,24000,36.035
2016-07-21,36.035,36.11,35.685,35.795,52000,35.795
2016-07-20,34.52,36.06,34.52,35.80,36300,35.80
2016-07-19,34.26,34.415,33.915,34.35,24200,34.35
2016-07-18,33.32,34.005,33.23,33.80,21500,33.80
2016-07-15,33.645,33.685,33.43,33.50,10000,33.50
2016-07-14,33.90,33.90,33.30,33.40,13000,33.40
2016-07-13,33.88,33.88,33.365,33.365,19700,33.365
2016-07-12,33.745,34.255,33.51,33.575,14800,33.575
2016-07-11,34.13,34.325,32.935,33.355,47800,33.355
2016-07-08,33.00,33.795,32.335,33.70,33500,33.70
2016-07-07,33.05,33.775,32.98,32.98,29300,32.98
2016-07-06,34.59,34.59,33.00,33.00,38800,33.00
2016-07-05,34.34,34.34,33.885,34.02,14600,34.02
2016-07-04,34.695,34.695,34.10,34.21,26800,34.21
2016-07-01,34.405,34.575,33.565,34.20,29500,34.20
2016-06-30,34.515,34.805,33.005,33.355,35000,33.355
2016-06-29,33.51,34.98,33.51,34.735,32700,34.735
2016-06-28,35.00,35.00,33.655,33.655,33100,33.655
2016-06-27,36.45,36.45,34.075,34.075,78800,34.075
2016-06-24,34.00,36.905,33.95,36.09,55700,36.09
2016-06-23,36.20,36.545,35.81,36.35,11300,36.35
2016-06-22,36.00,36.25,35.67,35.81,9300,35.81
2016-06-21,36.20,36.305,35.775,36.00,47100,36.00
2016-06-20,33.64,36.425,33.64,36.425,22900,36.425
2016-06-17,32.42,33.88,32.42,33.45,41100,33.45
2016-06-16,33.555,33.695,32.525,32.69,42800,32.69
2016-06-15,33.405,34.39,33.405,34.32,14100,34.32
2016-06-14,34.37,34.59,33.375,33.53,35900,33.53
2016-06-13,36.00,36.155,34.80,34.80,16000,34.80
2016-06-10,37.60,37.60,36.01,36.30,33300,36.30
2016-06-09,38.15,38.15,36.915,37.50,48400,37.50
2016-06-08,37.60,38.235,37.475,38.00,38900,38.00
2016-06-07,36.575,37.935,36.255,37.75,34700,37.75
2016-06-06,35.385,36.015,35.055,36.00,7600,36.00
2016-06-03,35.50,35.795,34.98,34.98,14200,34.98
2016-06-02,34.10,35.265,33.94,35.25,39300,35.25
2016-06-01,34.53,34.755,33.64,34.39,29300,34.39
2016-05-31,33.90,34.37,33.865,34.195,11900,34.195
2016-05-30,34.30,34.62,33.945,34.00,9700,34.00
2016-05-27,34.60,35.085,34.065,34.645,13800,34.645
2016-05-26,35.785,35.88,34.605,34.80,17000,34.80
2016-05-25,34.95,36.80,34.885,35.48,42300,35.48
2016-05-24,33.615,34.79,33.555,34.79,31400,34.79
2016-05-23,33.675,34.035,33.225,33.52,8600,33.52
2016-05-20,33.70,33.70,33.33,33.355,9500,33.355
2016-05-19,33.60,33.83,33.29,33.50,9900,33.50
2016-05-18,33.945,33.945,33.425,33.48,13600,33.48
2016-05-17,33.905,33.97,33.55,33.655,14100,33.655
2016-05-16,33.385,33.385,33.385,33.385,000,33.385
2016-05-13,34.005,34.005,32.81,33.385,25800,33.385
2016-05-12,33.115,33.635,32.475,33.635,43600,33.635
2016-05-11,32.90,33.49,32.465,33.20,8600,33.20
2016-05-10,32.205,33.235,32.205,33.07,10300,33.07
2016-05-09,31.85,32.765,31.695,31.975,17200,31.975
2016-05-06,31.56,32.06,31.52,31.52,3100,31.52
2016-05-05,31.75,31.99,31.70,31.80,4100,31.80
2016-05-04,32.00,32.00,31.50,31.50,11600,31.50
2016-05-03,31.815,31.995,31.70,31.85,30300,31.85
2016-05-02,32.45,32.45,31.63,31.63,13100,31.63
2016-04-29,32.29,32.29,31.78,32.015,5200,32.015
2016-04-28,31.63,32.025,31.51,32.025,5100,32.025
2016-04-27,32.385,32.39,31.50,31.50,19800,31.50
