Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,31.00,31.275,30.81,31.07,17800,31.07
2016-10-26,30.75,31.39,30.46,31.20,37600,31.20
2016-10-25,30.75,30.75,30.45,30.66,6300,30.66
2016-10-24,30.90,30.90,30.48,30.50,4400,30.50
2016-10-21,30.25,30.895,30.035,30.675,16700,30.675
2016-10-20,29.96,30.15,29.60,30.15,30900,30.15
2016-10-19,30.50,30.74,29.33,29.885,25900,29.885
2016-10-18,30.61,30.92,30.485,30.555,4800,30.555
2016-10-17,30.65,30.91,30.355,30.895,9100,30.895
2016-10-14,30.335,30.92,30.31,30.92,9400,30.92
2016-10-13,30.20,30.57,30.05,30.065,13400,30.065
2016-10-12,30.10,30.70,30.10,30.415,2900,30.415
2016-10-11,30.20,30.66,30.065,30.19,22600,30.19
2016-10-10,30.84,30.855,29.785,30.42,30400,30.42
2016-10-07,31.175,31.175,30.70,30.85,5800,30.85
2016-10-06,31.24,31.38,30.72,30.91,10200,30.91
2016-10-05,31.00,31.50,30.90,31.12,16700,31.12
2016-10-04,31.28,31.93,31.00,31.10,38100,31.10
2016-10-03,31.015,31.015,31.015,31.015,000,31.015
2016-09-30,30.595,31.22,30.24,31.015,19000,31.015
2016-09-29,30.27,30.585,30.05,30.32,13100,30.32
2016-09-28,29.50,30.25,29.50,30.01,11900,30.01
2016-09-27,30.16,30.16,29.53,29.56,9400,29.56
2016-09-26,30.19,30.19,29.71,29.99,11300,29.99
2016-09-23,30.08,30.155,29.855,30.005,3800,30.005
2016-09-22,29.745,30.395,29.655,30.19,17700,30.19
2016-09-21,29.925,29.925,29.50,29.715,4700,29.715
2016-09-20,29.54,29.97,29.34,29.70,12800,29.70
2016-09-19,29.38,29.48,29.17,29.29,14200,29.29
2016-09-16,29.40,29.40,28.905,29.13,14900,29.13
2016-09-15,29.16,29.485,28.905,29.27,11600,29.27
2016-09-14,28.70,29.20,28.70,29.10,6400,29.10
2016-09-13,29.00,29.29,28.665,28.91,21300,28.91
2016-09-12,29.095,29.325,28.54,29.18,15300,29.18
2016-09-09,30.10,30.10,29.365,29.365,12100,29.365
2016-09-08,29.69,30.155,29.50,30.00,27100,30.00
2016-09-07,29.495,29.69,29.325,29.50,24000,29.50
2016-09-06,29.40,29.40,29.10,29.30,20000,29.30
2016-09-05,29.30,29.35,28.88,29.265,16100,29.265
2016-09-02,28.90,29.30,28.90,29.285,16800,29.285
2016-09-01,29.02,29.18,28.87,29.095,26400,29.095
2016-08-31,28.85,29.16,28.85,29.15,24400,29.15
2016-08-30,29.495,29.495,28.745,29.00,42400,29.00
2016-08-29,28.875,29.55,28.685,29.545,53300,29.545
2016-08-26,29.12,29.20,27.565,29.145,151300,29.145
2016-08-25,29.45,29.80,28.25,29.11,273100,29.11
2016-08-24,27.735,27.735,27.325,27.50,45400,27.50
2016-08-23,26.605,27.695,26.605,27.53,27400,27.53
2016-08-22,26.61,26.84,26.585,26.65,38600,26.65
2016-08-19,27.40,27.40,26.50,26.65,63200,26.65
2016-08-18,27.45,27.55,27.245,27.245,17600,27.245
2016-08-17,27.50,27.60,27.25,27.45,17100,27.45
2016-08-16,27.885,27.885,27.075,27.30,21900,27.30
2016-08-15,27.83,28.10,27.45,27.69,31100,27.69
2016-08-12,27.68,27.97,27.40,27.97,45700,27.97
2016-08-11,27.845,28.03,27.20,27.70,33600,27.70
2016-08-10,28.65,28.665,27.75,28.10,42900,28.10
2016-08-09,29.00,29.00,28.49,28.70,23900,28.70
2016-08-08,28.50,28.97,28.22,28.85,50700,28.85
2016-08-05,29.255,30.47,27.55,28.465,368000,28.465
2016-08-04,35.10,35.10,34.915,35.10,4900,35.10
2016-08-03,34.95,35.095,34.71,35.06,11700,35.06
2016-08-02,35.80,35.80,34.44,34.755,46100,34.755
2016-08-01,34.30,36.15,34.155,35.50,14700,35.50
2016-07-29,33.80,34.44,33.635,34.29,17700,34.29
2016-07-28,33.845,34.435,33.70,33.87,18200,33.87
2016-07-27,33.295,34.16,33.20,34.16,11500,34.16
2016-07-26,34.00,34.015,33.29,33.495,13100,33.495
2016-07-25,34.715,34.765,34.125,34.15,7800,34.15
2016-07-22,34.80,34.94,34.74,34.925,2000,34.925
2016-07-21,34.755,35.075,34.75,34.85,2800,34.85
2016-07-20,35.025,35.25,34.86,34.86,3600,34.86
2016-07-19,34.85,35.025,34.655,35.02,2500,35.02
2016-07-18,35.68,35.72,34.98,35.005,6500,35.005
