Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,160.85,163.15,159.75,160.15,9600,160.15
2016-10-26,163.95,163.95,159.90,161.75,15000,161.75
2016-10-25,163.10,165.50,162.50,163.05,6200,163.05
2016-10-24,163.50,166.60,163.50,164.25,7800,164.25
2016-10-21,163.00,165.30,162.80,164.50,9900,164.50
2016-10-20,163.25,163.85,162.15,163.00,14800,163.00
2016-10-19,162.85,165.00,161.70,163.90,7800,163.90
2016-10-18,165.45,167.25,162.85,163.00,12000,163.00
2016-10-17,164.50,165.80,163.65,165.70,11600,165.70
2016-10-14,164.15,166.55,164.00,164.65,5300,164.65
2016-10-13,162.85,165.75,161.90,164.00,11000,164.00
2016-10-12,163.80,164.60,161.50,162.65,16600,162.65
2016-10-11,168.00,168.00,163.05,163.40,7300,163.40
2016-10-10,167.95,168.50,165.35,166.75,7100,166.75
2016-10-07,164.35,167.15,164.00,166.20,15800,166.20
2016-10-06,171.10,171.20,163.85,164.35,25000,164.35
2016-10-05,172.80,174.00,169.00,170.05,37000,170.05
2016-10-04,171.50,176.60,171.50,175.75,15100,175.75
2016-10-03,171.25,171.25,171.25,171.25,000,171.25
2016-09-30,169.65,172.35,168.00,171.25,11400,171.25
2016-09-29,173.10,173.80,171.05,171.05,7200,171.05
2016-09-28,172.90,175.70,171.50,172.75,6500,172.75
2016-09-27,172.80,173.55,172.75,173.55,4700,173.55
2016-09-26,175.00,175.00,171.55,173.40,4900,173.40
2016-09-23,176.30,176.70,174.85,175.00,6300,175.00
2016-09-22,174.20,177.20,174.20,176.30,7000,176.30
2016-09-21,175.50,175.50,173.50,174.50,5800,174.50
2016-09-20,173.80,174.85,172.80,174.35,8200,174.35
2016-09-19,174.45,174.45,172.50,173.60,5300,173.60
2016-09-16,170.10,173.15,170.10,173.15,14200,173.15
2016-09-15,169.15,170.60,168.25,170.50,3200,170.50
2016-09-14,170.30,171.00,169.55,169.55,4300,169.55
2016-09-13,171.20,171.20,168.35,169.25,6800,169.25
2016-09-12,167.50,170.40,165.20,169.30,10200,169.30
2016-09-09,172.50,174.10,169.10,169.85,7600,169.85
2016-09-08,175.00,175.00,171.55,173.55,6400,173.55
2016-09-07,177.60,177.60,174.15,175.15,4500,175.15
2016-09-06,174.10,181.00,172.50,176.60,21900,176.60
2016-09-05,174.55,174.55,171.45,172.80,13500,172.80
2016-09-02,175.35,175.35,171.55,171.65,15400,171.65
2016-09-01,173.00,174.00,172.10,173.70,5600,173.70
2016-08-31,170.00,175.00,170.00,173.70,11100,173.70
2016-08-30,173.40,176.80,169.80,170.45,10200,170.45
2016-08-29,172.90,175.90,169.00,174.95,6400,174.95
2016-08-26,173.30,174.75,173.10,174.50,3400,174.50
2016-08-25,175.00,175.35,173.20,175.00,9300,175.00
2016-08-24,174.70,175.55,174.20,175.55,6700,175.55
2016-08-23,173.00,175.25,173.00,174.90,4500,174.90
2016-08-22,176.00,176.60,173.35,174.25,5900,174.25
2016-08-19,174.75,175.20,173.30,174.90,5300,174.90
2016-08-18,175.25,176.45,173.85,174.75,7800,174.75
2016-08-17,175.15,175.90,172.50,173.85,6800,173.85
2016-08-16,178.00,178.00,175.50,175.50,8500,175.50
2016-08-15,180.05,180.10,176.85,177.40,4100,177.40
2016-08-12,177.55,179.80,176.40,179.10,7000,179.10
2016-08-11,180.40,180.40,177.80,179.00,8700,179.00
2016-08-10,180.00,180.75,177.75,178.75,9800,178.75
2016-08-09,177.55,180.95,175.85,180.35,21100,180.35
2016-08-08,176.15,176.50,174.25,175.50,14600,175.50
2016-08-05,170.50,173.95,170.50,173.90,8700,173.90
2016-08-04,170.00,171.80,169.20,171.50,11300,171.50
2016-08-03,171.85,173.05,169.60,169.70,10400,169.70
2016-08-02,173.75,175.80,171.65,174.35,13200,174.35
2016-08-01,176.00,177.65,173.00,174.15,7800,174.15
2016-07-29,172.80,175.85,171.80,175.00,20000,175.00
2016-07-28,170.00,173.85,166.70,173.60,40400,173.60
2016-07-27,159.15,162.30,159.00,162.00,10100,162.00
2016-07-26,159.35,160.20,158.40,159.40,9500,159.40
2016-07-25,159.00,162.05,158.65,161.30,8500,161.30
2016-07-22,159.50,159.85,158.35,159.60,9900,159.60
2016-07-21,160.95,161.60,159.75,159.75,17500,159.75
2016-07-20,160.00,162.60,159.45,161.00,16400,161.00
2016-07-19,157.45,160.40,155.80,159.60,13500,159.60
2016-07-18,160.90,160.90,156.45,157.05,11100,157.05
2016-07-15,157.00,157.50,154.65,157.25,12100,157.25
2016-07-14,157.45,158.75,155.30,157.40,10800,157.40
2016-07-13,157.75,159.80,152.45,156.80,53600,156.80
2016-07-12,159.00,160.10,155.75,157.50,14300,157.50
2016-07-11,157.20,159.40,157.05,158.50,20800,158.50
2016-07-08,153.20,155.75,152.10,155.10,22500,155.10
2016-07-07,152.00,155.35,152.00,154.00,17800,154.00
2016-07-06,155.70,155.70,149.00,151.20,26500,151.20
2016-07-05,156.20,156.80,153.55,155.90,15700,155.90
2016-07-04,155.00,157.25,152.55,155.60,19700,155.60
2016-07-01,157.35,158.75,156.30,157.00,29100,157.00
2016-06-30,160.75,160.75,154.70,157.00,23800,157.00
2016-06-29,159.50,161.25,157.90,160.00,16100,160.00
2016-06-28,160.75,160.75,154.85,156.95,19200,156.95
2016-06-27,162.35,163.80,157.60,157.85,22400,157.85
2016-06-24,158.00,165.25,157.00,164.00,24400,164.00
2016-06-23,165.70,166.95,165.00,165.75,7700,165.75
2016-06-22,165.95,166.15,164.90,165.00,6900,165.00
2016-06-21,166.00,166.85,163.10,165.00,10700,165.00
2016-06-20,163.40,167.75,163.25,166.40,15100,166.40
2016-06-17,162.05,163.45,161.00,162.60,10000,162.60
2016-06-16,160.40,161.05,158.35,159.90,19200,159.90
2016-06-15,160.05,164.05,160.05,162.90,14500,162.90
2016-06-14,163.25,163.25,158.05,160.80,16300,160.80
2016-06-13,164.40,165.10,160.15,163.65,24600,163.65
2016-06-10,172.20,172.30,166.45,167.20,12600,167.20
2016-06-09,175.00,175.00,172.10,173.00,9900,173.00
2016-06-08,173.50,175.75,173.50,175.40,8700,175.40
2016-06-07,175.65,176.75,174.25,174.85,8200,174.85
2016-06-06,177.10,177.20,174.55,174.75,11800,174.75
2016-06-03,178.00,178.65,175.80,176.80,13000,176.80
2016-06-02,181.10,181.10,177.00,178.00,14600,178.00
2016-06-01,180.50,180.85,178.15,179.50,9200,179.50
2016-05-31,180.60,181.20,178.70,180.55,12600,180.55
2016-05-30,180.90,182.55,179.50,180.25,5400,180.25
2016-05-27,184.40,184.70,180.65,180.90,19800,180.90
2016-05-26,179.85,185.35,178.60,184.30,25600,184.30
2016-05-25,174.00,179.95,173.85,178.45,29400,178.45
2016-05-24,172.20,173.95,169.55,173.15,9800,173.15
2016-05-23,171.75,172.30,170.60,171.90,8900,171.90
2016-05-20,170.35,173.50,169.30,172.60,18000,172.60
2016-05-19,169.20,171.20,167.80,168.75,17800,168.75
2016-05-18,170.00,171.45,169.20,169.50,11300,169.50
2016-05-17,175.00,175.65,170.90,171.05,9800,171.05
2016-05-16,171.85,171.85,171.85,171.85,000,171.85
2016-05-13,172.70,172.85,171.15,171.85,5300,171.85
2016-05-12,173.15,173.75,170.70,172.00,12200,172.00
2016-05-11,174.70,174.70,171.55,171.95,6800,171.95
2016-05-10,175.50,175.95,172.55,173.50,8400,173.50
2016-05-09,175.40,175.95,173.75,174.70,5900,174.70
2016-05-06,174.05,176.45,173.35,173.35,10500,173.35
2016-05-05,171.45,175.20,170.30,174.15,15000,174.15
2016-05-04,167.50,175.00,167.50,171.25,17500,171.25
