Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,52.63,53.68,51.86,52.34,57000,52.34
2016-10-26,53.17,53.21,51.84,53.00,34000,53.00
2016-10-25,53.70,53.91,53.05,53.21,46900,53.21
2016-10-24,52.74,54.48,52.21,53.38,62200,53.38
2016-10-21,53.25,53.45,52.23,52.64,29200,52.64
2016-10-20,52.00,53.80,51.69,53.30,59700,53.30
2016-10-19,53.44,53.46,51.45,51.94,42900,51.94
2016-10-18,51.78,53.79,51.73,53.67,48000,53.67
2016-10-17,52.10,52.73,51.16,51.82,70500,51.82
2016-10-14,50.60,52.84,50.35,52.18,77700,52.18
2016-10-13,51.86,52.12,50.95,51.02,78900,51.02
2016-10-12,52.09,53.27,51.55,51.87,107100,51.87
2016-10-11,54.80,55.26,53.43,53.76,64600,53.76
2016-10-10,55.17,55.45,54.27,54.90,39000,54.90
2016-10-07,54.35,55.76,53.90,54.84,69700,54.84
2016-10-06,55.67,55.69,54.19,54.38,52700,54.38
2016-10-05,54.17,55.94,53.00,55.73,84900,55.73
2016-10-04,54.10,54.94,52.81,54.50,56000,54.50
2016-10-03,53.93,53.93,53.93,53.93,000,53.93
2016-09-30,52.99,54.21,52.18,53.93,42800,53.93
2016-09-29,54.75,54.75,53.08,53.30,34100,53.30
2016-09-28,51.83,54.77,51.83,54.36,134800,54.36
2016-09-27,53.21,53.21,50.60,51.60,85500,51.60
2016-09-26,52.88,53.30,52.26,52.81,64400,52.81
2016-09-23,53.70,53.70,52.77,53.25,66000,53.25
2016-09-22,53.50,55.10,53.41,53.52,113300,53.52
2016-09-21,53.50,53.85,52.65,53.10,73700,53.10
2016-09-20,53.81,54.23,53.07,53.30,49300,53.30
2016-09-19,52.71,54.23,52.64,54.05,90900,54.05
2016-09-16,54.84,55.50,52.12,52.47,113500,52.47
2016-09-15,56.35,56.60,54.07,54.90,122300,54.90
2016-09-14,54.10,56.98,54.10,56.25,91600,56.25
2016-09-13,53.70,54.66,53.17,54.15,109500,54.15
2016-09-12,52.20,53.53,51.63,53.23,116900,53.23
2016-09-09,54.89,55.50,53.53,53.69,70500,53.69
2016-09-08,57.05,57.46,54.32,54.87,105300,54.87
2016-09-07,55.55,57.30,55.55,56.65,98600,56.65
2016-09-06,54.80,56.31,54.45,55.20,88000,55.20
2016-09-05,54.91,55.20,53.73,54.60,61700,54.60
2016-09-02,54.21,54.65,51.66,54.50,99400,54.50
2016-09-01,52.38,54.48,52.34,53.81,104800,53.81
2016-08-31,51.57,52.49,50.77,52.00,136200,52.00
2016-08-30,49.79,51.87,49.58,51.55,115900,51.55
2016-08-29,49.80,49.80,48.70,49.735,62600,49.735
2016-08-26,49.00,50.05,48.955,49.97,127700,49.97
2016-08-25,48.25,48.965,47.08,48.84,113400,48.84
2016-08-24,47.175,48.50,47.085,48.28,115200,48.28
2016-08-23,48.00,48.155,46.845,47.515,73900,47.515
2016-08-22,47.85,48.975,46.67,47.70,75400,47.70
2016-08-19,48.87,48.895,47.005,47.50,55800,47.50
2016-08-18,48.58,49.00,47.885,48.53,67100,48.53
2016-08-17,48.42,48.93,47.24,47.99,106600,47.99
2016-08-16,46.50,48.995,46.055,48.21,121900,48.21
2016-08-15,49.33,49.33,46.545,46.80,117800,46.80
2016-08-12,49.825,50.05,47.585,49.45,101800,49.45
2016-08-11,49.50,50.57,49.11,49.88,123700,49.88
2016-08-10,48.10,49.495,48.10,49.20,207400,49.20
2016-08-09,46.80,47.75,46.34,47.75,113300,47.75
2016-08-08,46.50,47.00,45.90,46.95,108400,46.95
2016-08-05,45.85,46.445,45.78,46.205,76900,46.205
2016-08-04,45.39,46.04,44.91,45.55,133500,45.55
2016-08-03,43.93,45.185,43.62,45.05,109400,45.05
2016-08-02,44.30,44.40,43.205,44.01,95900,44.01
2016-08-01,43.32,44.77,43.20,44.30,138900,44.30
2016-07-29,41.60,43.305,41.525,43.00,122900,43.00
2016-07-28,41.60,42.235,41.26,41.34,79900,41.34
2016-07-27,40.99,41.80,40.99,41.635,28700,41.635
2016-07-26,40.20,41.055,40.065,40.80,53700,40.80
2016-07-25,41.22,41.29,39.81,40.09,52900,40.09
2016-07-22,39.955,41.07,39.715,41.00,100600,41.00
2016-07-21,40.51,40.875,40.055,40.25,50100,40.25
2016-07-20,39.79,40.65,39.305,40.295,60900,40.295
2016-07-19,38.76,39.68,38.50,39.50,118000,39.50
2016-07-18,38.15,38.965,38.15,38.85,34500,38.85
2016-07-15,38.20,38.785,37.625,38.13,79500,38.13
2016-07-14,37.415,38.735,37.385,38.52,56200,38.52
2016-07-13,38.00,38.18,36.665,37.14,103100,37.14
2016-07-12,35.50,37.99,35.50,37.95,106900,37.95
2016-07-11,34.30,35.80,34.30,35.37,181600,35.37
2016-07-08,34.15,34.745,33.725,34.48,102100,34.48
2016-07-07,33.25,34.595,33.25,33.90,85200,33.90
2016-07-06,33.765,34.355,32.595,33.17,99000,33.17
2016-07-05,35.015,35.51,34.00,34.015,55300,34.015
2016-07-04,36.98,37.355,35.09,35.125,99900,35.125
2016-07-01,36.71,37.105,36.035,36.64,67900,36.64
2016-06-30,35.36,36.685,35.20,36.20,99400,36.20
2016-06-29,37.50,37.50,35.06,35.365,115600,35.365
2016-06-28,36.65,37.225,36.00,36.205,77800,36.205
2016-06-27,40.995,41.00,35.86,36.00,135100,36.00
2016-06-24,39.95,41.35,37.475,40.79,131700,40.79
2016-06-23,41.50,41.925,41.10,41.33,88600,41.33
2016-06-22,41.935,42.20,41.08,41.41,46600,41.41
2016-06-21,42.29,42.29,41.535,41.68,60400,41.68
2016-06-20,41.16,43.12,41.00,42.565,139400,42.565
2016-06-17,39.00,40.99,38.82,40.685,107100,40.685
2016-06-16,38.465,39.52,38.055,38.70,82600,38.70
2016-06-15,38.57,39.955,38.35,38.725,111500,38.725
2016-06-14,37.495,38.845,37.185,38.435,94500,38.435
2016-06-13,39.05,39.91,38.155,38.19,101400,38.19
2016-06-10,40.585,40.665,39.805,39.985,63600,39.985
2016-06-09,41.20,41.415,40.25,40.66,58400,40.66
2016-06-08,39.485,41.705,39.34,41.07,135000,41.07
2016-06-07,39.45,39.90,39.28,39.755,96900,39.755
2016-06-06,38.36,39.885,38.36,39.37,86600,39.37
2016-06-03,39.32,39.36,38.23,38.415,70900,38.415
2016-06-02,37.40,39.905,37.40,39.10,150900,39.10
2016-06-01,36.91,37.75,36.90,37.325,58100,37.325
2016-05-31,36.465,37.425,35.925,37.15,75600,37.15
2016-05-30,35.975,37.105,35.975,36.66,53000,36.66
2016-05-27,35.965,36.40,35.465,36.22,53400,36.22
2016-05-26,35.89,36.645,35.63,36.21,51600,36.21
2016-05-25,35.695,35.98,35.435,35.80,46700,35.80
2016-05-24,34.87,35.69,34.775,35.34,69100,35.34
2016-05-23,34.90,35.33,34.085,34.655,52200,34.655
2016-05-20,34.00,34.90,34.00,34.90,46200,34.90
2016-05-19,33.69,34.43,33.21,33.89,81000,33.89
2016-05-18,32.56,34.03,32.30,33.90,127900,33.90
2016-05-17,32.29,33.215,32.00,32.415,91700,32.415
2016-05-16,32.095,32.095,32.095,32.095,000,32.095
2016-05-13,31.50,32.235,31.30,32.095,50000,32.095
2016-05-12,32.135,32.25,31.305,31.34,30200,31.34
2016-05-11,33.92,33.92,32.69,32.69,50900,31.94
2016-05-10,32.045,33.83,32.045,33.72,69200,32.946
2016-05-09,34.315,34.315,31.60,32.015,109100,31.28
2016-05-06,32.35,32.815,32.155,32.375,51800,31.632
2016-05-05,32.29,32.71,32.065,32.31,26800,31.569
2016-05-04,32.20,32.77,32.03,32.30,65500,31.559
2016-05-03,33.30,33.385,31.975,32.30,53100,31.559
2016-05-02,34.00,34.00,33.045,33.59,24700,32.819
2016-04-29,35.165,35.49,33.575,33.80,93500,33.025
2016-04-28,35.33,35.50,34.53,35.15,58400,34.344
2016-04-27,35.635,35.98,35.155,35.27,82000,34.461
2016-04-26,35.20,35.995,35.065,35.375,104500,34.563
2016-04-25,34.255,35.23,34.015,34.99,85400,34.187
2016-04-22,34.73,34.75,33.72,34.06,49700,33.279
2016-04-21,36.10,36.415,34.155,34.685,70300,33.889
2016-04-20,35.95,36.50,35.705,36.07,43900,35.242
