Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,11.705,11.705,11.535,11.595,22300,11.595
2016-10-26,11.53,11.855,11.52,11.815,27400,11.815
2016-10-25,11.795,11.92,11.59,11.635,42800,11.635
2016-10-24,11.83,11.99,11.705,11.74,36100,11.74
2016-10-21,11.52,12.00,11.52,11.91,49300,11.91
2016-10-20,11.59,11.67,11.495,11.57,35500,11.57
2016-10-19,11.57,11.665,11.475,11.52,28800,11.52
2016-10-18,11.385,11.685,11.385,11.625,44900,11.625
2016-10-17,11.395,11.625,11.39,11.485,30200,11.485
2016-10-14,11.355,11.465,11.25,11.385,32000,11.385
2016-10-13,11.365,11.445,11.195,11.25,28900,11.25
2016-10-12,11.435,11.63,11.37,11.395,47800,11.395
2016-10-11,11.495,11.63,11.355,11.525,42000,11.525
2016-10-10,11.065,11.485,11.065,11.44,24100,11.44
2016-10-07,11.20,11.295,11.10,11.15,50400,11.15
2016-10-06,11.51,11.535,11.15,11.20,45000,11.20
2016-10-05,11.45,11.54,11.39,11.43,25500,11.43
2016-10-04,11.285,11.60,11.275,11.515,25700,11.515
2016-10-03,11.365,11.365,11.365,11.365,000,11.365
2016-09-30,11.26,11.385,11.195,11.365,43700,11.365
2016-09-29,11.315,11.37,11.23,11.285,25000,11.285
2016-09-28,11.395,11.585,11.25,11.26,41800,11.26
2016-09-27,11.57,11.605,11.13,11.35,78300,11.35
2016-09-26,11.59,11.605,11.445,11.535,48900,11.535
2016-09-23,11.375,11.69,11.375,11.685,40500,11.685
2016-09-22,11.68,11.94,11.35,11.365,87700,11.365
2016-09-21,11.595,11.85,11.54,11.565,57800,11.565
2016-09-20,11.455,11.595,11.455,11.55,24900,11.55
2016-09-19,11.75,11.765,11.49,11.505,73400,11.505
2016-09-16,11.985,12.035,11.60,11.69,64000,11.69
2016-09-15,11.435,12.00,11.435,11.985,71700,11.985
2016-09-14,12.05,12.35,11.315,11.48,148300,11.48
2016-09-13,12.10,12.255,11.455,11.455,83700,11.455
2016-09-12,12.30,12.315,11.815,12.035,35500,12.035
2016-09-09,12.50,12.785,12.37,12.37,83500,12.37
2016-09-08,11.815,12.50,11.78,12.38,109900,12.38
2016-09-07,11.80,12.025,11.80,11.85,34600,11.85
2016-09-06,11.86,12.00,11.71,11.77,38200,11.77
2016-09-05,12.06,12.14,11.805,11.93,64800,11.93
2016-09-02,11.50,12.10,11.425,11.94,105100,11.94
2016-09-01,11.455,11.61,11.32,11.45,82500,11.45
2016-08-31,10.97,11.535,10.92,11.415,126800,11.415
2016-08-30,11.025,11.15,10.935,10.97,20000,10.97
2016-08-29,10.965,11.03,10.895,10.99,11700,10.99
2016-08-26,11.03,11.065,10.90,11.00,15300,11.00
2016-08-25,10.98,11.065,10.86,10.935,39200,10.935
2016-08-24,11.04,11.35,10.995,11.06,61900,11.06
2016-08-23,10.93,11.105,10.895,10.91,23000,10.91
2016-08-22,11.085,11.21,10.825,10.90,61200,10.90
2016-08-19,11.295,11.295,10.965,11.015,25300,11.015
2016-08-18,11.20,11.45,11.16,11.245,35700,11.245
2016-08-17,11.27,11.32,11.00,11.16,26800,11.16
2016-08-16,11.185,11.40,11.155,11.28,55400,11.28
2016-08-15,11.30,11.38,11.14,11.24,19600,11.24
2016-08-12,11.10,11.36,11.10,11.30,62400,11.30
2016-08-11,11.00,11.155,10.94,11.095,35400,11.095
2016-08-10,10.85,10.99,10.815,10.965,58500,10.965
2016-08-09,10.725,10.995,10.725,10.90,40000,10.90
2016-08-08,10.80,10.965,10.77,10.805,25600,10.805
2016-08-05,10.625,10.83,10.625,10.805,33000,10.805
2016-08-04,10.545,10.745,10.515,10.585,43900,10.585
2016-08-03,10.585,10.63,10.45,10.455,39200,10.455
2016-08-02,10.89,10.985,10.48,10.55,49000,10.55
2016-08-01,10.95,11.02,10.825,10.87,47300,10.87
2016-07-29,10.55,10.95,10.51,10.895,100600,10.895
2016-07-28,10.48,10.715,10.48,10.55,48900,10.55
2016-07-27,10.59,10.605,10.44,10.50,76500,10.50
2016-07-26,10.625,10.625,10.425,10.465,21000,10.465
2016-07-25,10.695,10.74,10.46,10.56,89600,10.56
2016-07-22,10.46,10.715,10.46,10.655,31500,10.655
2016-07-21,10.71,10.89,10.505,10.52,44000,10.52
2016-07-20,10.36,10.69,10.295,10.60,35500,10.60
2016-07-19,10.68,10.69,10.20,10.475,82900,10.475
2016-07-18,10.87,11.11,10.625,10.625,78300,10.625
2016-07-15,10.75,11.00,10.70,11.00,32100,11.00
2016-07-14,11.005,11.135,10.88,10.88,53600,10.88
2016-07-13,10.915,11.11,10.865,10.975,31900,10.975
2016-07-12,10.72,11.15,10.72,10.785,55300,10.785
2016-07-11,10.475,10.88,10.475,10.70,48900,10.70
2016-07-08,10.195,10.605,10.195,10.455,42400,10.455
2016-07-07,10.21,10.435,10.145,10.185,36300,10.185
2016-07-06,10.23,10.305,10.055,10.14,46900,10.14
2016-07-05,10.50,10.53,10.14,10.285,48400,10.285
2016-07-04,10.805,10.85,10.50,10.505,37200,10.505
2016-07-01,10.60,10.78,10.415,10.735,55800,10.735
2016-06-30,10.38,10.62,10.26,10.49,48900,10.49
2016-06-29,10.30,10.575,10.25,10.38,50900,10.38
2016-06-28,10.275,10.455,10.16,10.205,66800,10.205
2016-06-27,10.705,10.825,10.15,10.15,128100,10.15
2016-06-24,10.40,10.95,10.19,10.745,118200,10.745
2016-06-23,10.695,10.97,10.645,10.965,147800,10.965
2016-06-22,10.865,10.93,10.60,10.68,94100,10.68
2016-06-21,10.875,11.15,10.72,10.72,84900,10.72
2016-06-20,10.79,11.145,10.78,10.91,103400,10.91
2016-06-17,10.73,10.865,10.46,10.58,209900,10.58
2016-06-16,10.50,10.66,10.28,10.45,207100,10.45
2016-06-15,10.615,10.735,10.20,10.60,236200,10.60
2016-06-14,11.20,11.81,10.525,10.75,217800,10.75
2016-06-13,11.50,11.545,11.13,11.345,140000,11.345
2016-06-10,12.01,12.04,11.495,11.61,72500,11.61
2016-06-09,12.565,12.565,12.045,12.08,53100,12.08
2016-06-08,12.035,12.71,12.035,12.57,86900,12.57
2016-06-07,12.06,12.435,12.06,12.205,58100,12.205
2016-06-06,11.99,12.26,11.96,12.015,46100,12.015
2016-06-03,11.90,12.255,11.77,12.185,90600,12.185
2016-06-02,11.60,11.96,11.60,11.81,63000,11.81
2016-06-01,11.845,11.975,11.49,11.66,57400,11.66
2016-05-31,12.06,12.145,11.75,11.795,61100,11.795
