Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,9.25,9.251,8.988,9.011,199400,9.011
2016-10-26,9.363,9.363,9.162,9.20,98500,9.20
2016-10-25,9.40,9.405,9.316,9.35,120400,9.35
2016-10-24,9.323,9.389,9.313,9.387,158000,9.387
2016-10-21,9.30,9.316,9.231,9.25,79700,9.25
2016-10-20,9.241,9.32,9.16,9.27,122800,9.27
2016-10-19,9.255,9.255,9.156,9.20,88800,9.20
2016-10-18,9.117,9.289,9.117,9.239,98100,9.239
2016-10-17,9.195,9.195,9.10,9.107,83000,9.107
2016-10-14,9.129,9.199,9.109,9.177,49400,9.177
2016-10-13,9.00,9.111,8.98,9.098,120700,9.098
2016-10-12,9.085,9.108,9.014,9.04,102000,9.04
2016-10-11,9.01,9.169,9.01,9.11,161200,9.11
2016-10-10,9.098,9.101,8.992,9.015,325700,9.015
2016-10-07,9.12,9.12,8.917,9.00,391900,9.00
2016-10-06,9.286,9.29,9.05,9.05,227800,9.05
2016-10-05,9.42,9.43,9.198,9.198,283200,9.198
2016-10-04,9.48,9.48,9.42,9.43,172100,9.43
2016-10-03,9.417,9.417,9.417,9.417,000,9.417
2016-09-30,9.40,9.448,9.36,9.417,154000,9.417
2016-09-29,9.47,9.48,9.38,9.40,163300,9.40
2016-09-28,9.459,9.49,9.40,9.42,106400,9.42
2016-09-27,9.45,9.50,9.42,9.42,245600,9.42
2016-09-26,9.435,9.469,9.15,9.415,285300,9.415
2016-09-23,9.456,9.49,9.437,9.46,253700,9.46
2016-09-22,9.49,9.50,9.421,9.445,582600,9.445
2016-09-21,9.494,9.497,9.46,9.497,151500,9.497
2016-09-20,9.483,9.504,9.451,9.485,234200,9.485
2016-09-19,9.51,9.529,9.451,9.485,149600,9.485
2016-09-16,9.467,9.578,9.461,9.48,198700,9.48
2016-09-15,9.51,9.54,9.455,9.48,146800,9.48
2016-09-14,9.67,9.67,9.48,9.48,279700,9.48
2016-09-13,9.86,9.867,9.517,9.619,328800,9.619
2016-09-12,10.15,10.15,9.40,9.933,569500,9.933
2016-09-09,10.46,10.465,10.26,10.26,124200,10.26
2016-09-08,10.58,10.625,10.45,10.495,51400,10.495
2016-09-07,10.58,10.615,10.53,10.585,34500,10.585
2016-09-06,10.48,10.58,10.46,10.57,76700,10.57
2016-09-05,10.45,10.54,10.425,10.45,48800,10.45
2016-09-02,10.39,10.53,10.23,10.525,135900,10.525
2016-09-01,10.53,10.535,10.325,10.36,91000,10.36
2016-08-31,10.60,10.635,10.465,10.555,144400,10.555
2016-08-30,10.635,10.65,10.55,10.63,54000,10.63
2016-08-29,10.55,10.625,10.50,10.55,31300,10.55
2016-08-26,10.67,10.67,10.50,10.50,61400,10.50
2016-08-25,10.63,10.74,10.63,10.63,80200,10.63
2016-08-24,10.70,10.77,10.675,10.715,85200,10.715
2016-08-23,10.70,10.80,10.70,10.715,34100,10.715
2016-08-22,10.75,10.75,10.64,10.75,50300,10.75
2016-08-19,10.725,10.76,10.66,10.755,94400,10.755
2016-08-18,10.70,10.80,10.625,10.655,111800,10.655
2016-08-17,10.615,10.71,10.48,10.70,112300,10.70
2016-08-16,10.655,10.655,10.52,10.565,54500,10.565
2016-08-15,10.555,10.725,10.55,10.615,44900,10.615
2016-08-12,10.66,10.66,10.55,10.61,45900,10.61
2016-08-11,10.65,10.65,10.48,10.59,68200,10.59
2016-08-10,10.51,10.65,10.48,10.65,79500,10.65
2016-08-09,10.55,10.55,10.475,10.535,62100,10.535
