Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,63.60,64.60,63.60,64.60,6600,64.60
2016-10-26,64.48,64.49,63.56,64.30,5500,64.30
2016-10-25,63.82,64.19,63.51,64.19,2500,64.19
2016-10-24,63.70,63.90,63.31,63.90,5700,63.90
2016-10-21,62.69,63.47,62.49,62.94,1400,62.94
2016-10-20,62.05,62.70,61.76,62.70,6300,62.70
2016-10-19,62.30,62.66,61.71,61.95,4100,61.95
2016-10-18,60.56,62.61,60.52,61.95,8900,61.95
2016-10-17,60.99,61.48,60.80,60.80,8500,60.80
2016-10-14,60.79,61.00,60.65,60.65,3000,60.65
2016-10-13,60.99,61.00,60.53,61.00,2800,61.00
2016-10-12,61.00,61.08,60.78,61.00,2400,61.00
2016-10-11,61.30,61.30,60.72,61.09,2100,61.09
2016-10-10,61.45,61.45,60.75,61.00,3600,61.00
2016-10-07,61.10,61.47,60.75,61.47,2100,61.47
2016-10-06,61.40,61.45,60.68,61.14,1800,61.14
2016-10-05,61.45,61.45,61.28,61.45,1000,61.45
2016-10-04,61.50,61.50,60.98,61.00,4700,61.00
2016-10-03,61.21,61.21,61.21,61.21,000,61.21
2016-09-30,60.39,61.21,60.25,61.21,7700,61.21
2016-09-29,60.14,61.00,60.14,60.50,6700,60.50
2016-09-28,60.50,60.50,59.86,59.86,2200,59.86
2016-09-27,59.85,60.44,59.85,60.36,1400,60.36
2016-09-26,59.99,60.49,59.80,60.00,5300,60.00
2016-09-23,60.26,60.85,59.96,59.96,3500,59.96
2016-09-22,60.22,60.73,59.93,60.49,2700,60.49
2016-09-21,60.00,60.74,59.89,60.50,6400,60.50
2016-09-20,59.90,60.35,59.87,60.00,3100,60.00
2016-09-19,60.84,61.00,60.01,60.01,5200,60.01
2016-09-16,60.23,60.23,59.90,60.10,4800,60.10
2016-09-15,59.90,60.48,59.90,60.00,10600,60.00
2016-09-14,59.80,60.50,59.80,59.90,9200,59.90
2016-09-13,60.84,60.84,59.70,59.70,2200,59.70
2016-09-12,61.20,61.25,60.01,60.10,7400,60.10
2016-09-09,61.51,62.12,61.50,61.50,1900,61.50
2016-09-08,61.20,62.16,61.20,61.70,2600,61.70
2016-09-07,61.17,61.66,60.30,61.66,5700,61.66
2016-09-06,61.20,61.66,60.69,60.91,8300,60.91
2016-09-05,61.63,61.75,61.00,61.10,2700,61.10
2016-09-02,62.65,62.65,61.58,62.28,2000,62.28
2016-09-01,62.10,62.84,61.50,61.50,3200,61.50
2016-08-31,62.80,62.92,62.11,62.11,3400,62.11
2016-08-30,61.64,62.80,61.64,62.39,900,62.39
2016-08-29,62.03,62.34,61.74,62.32,900,62.32
2016-08-26,62.47,62.47,61.52,62.03,1000,62.03
2016-08-25,62.38,62.38,61.53,62.18,900,62.18
2016-08-24,62.92,62.97,61.51,61.56,9000,61.56
2016-08-23,62.00,62.90,61.88,62.30,5000,62.30
2016-08-22,61.80,63.38,61.80,61.92,23000,61.92
2016-08-19,61.59,62.00,61.47,61.63,2600,61.63
2016-08-18,60.69,61.50,60.66,61.42,4000,61.42
2016-08-17,60.58,60.96,60.55,60.55,2800,60.55
2016-08-16,60.65,61.00,60.56,60.56,1800,60.56
2016-08-15,61.06,61.06,60.26,60.49,2900,60.49
2016-08-12,61.02,61.35,60.75,60.92,1500,60.92
2016-08-11,60.10,61.50,59.93,61.50,5300,61.50
2016-08-10,60.60,60.60,59.83,60.60,2300,60.60
2016-08-09,60.07,60.58,60.04,60.58,1900,60.58
2016-08-08,60.20,60.48,60.02,60.21,2000,60.21
2016-08-05,59.60,60.44,59.60,60.44,1600,60.44
2016-08-04,59.48,60.19,59.48,59.70,2100,59.70
2016-08-03,59.56,60.05,59.40,59.42,2700,59.42
2016-08-02,60.50,60.68,59.50,59.51,4100,59.51
2016-08-01,60.70,61.15,60.50,60.75,1500,60.75
2016-07-29,60.45,61.23,60.40,60.70,6400,60.70
2016-07-28,60.44,61.34,60.44,60.61,3800,60.61
2016-07-27,59.90,61.35,59.54,60.58,11700,60.58
2016-07-26,59.10,59.90,58.75,59.89,5100,59.89
2016-07-25,59.60,59.81,59.01,59.30,3800,59.30
2016-07-22,59.50,59.77,59.19,59.20,2100,59.20
