Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,2.208,2.246,2.205,2.246,834800,2.246
2016-10-26,2.191,2.235,2.161,2.235,835600,2.235
2016-10-25,2.20,2.228,2.19,2.201,689200,2.201
2016-10-24,2.213,2.224,2.191,2.204,851900,2.204
2016-10-21,2.207,2.238,2.188,2.20,1347700,2.20
2016-10-20,2.237,2.241,2.192,2.20,1343300,2.20
2016-10-19,2.23,2.237,2.208,2.237,477800,2.237
2016-10-18,2.195,2.24,2.195,2.226,876100,2.226
2016-10-17,2.195,2.207,2.173,2.194,449100,2.194
2016-10-14,2.151,2.214,2.151,2.20,764500,2.20
2016-10-13,2.198,2.198,2.14,2.151,792000,2.151
2016-10-12,2.196,2.23,2.181,2.203,750000,2.203
2016-10-11,2.196,2.214,2.176,2.189,748200,2.189
2016-10-10,2.189,2.209,2.162,2.19,530700,2.19
2016-10-07,2.196,2.219,2.177,2.181,527400,2.181
2016-10-06,2.199,2.226,2.17,2.216,1158000,2.216
2016-10-05,2.198,2.198,2.16,2.195,792600,2.195
2016-10-04,2.134,2.20,2.134,2.198,1145500,2.198
2016-10-03,2.153,2.153,2.153,2.153,000,2.153
2016-09-30,2.126,2.158,2.091,2.153,1457400,2.153
2016-09-29,2.162,2.23,2.134,2.147,1352700,2.147
2016-09-28,2.07,2.147,2.07,2.145,865100,2.145
2016-09-27,2.13,2.13,2.054,2.083,833900,2.083
2016-09-26,2.115,2.12,2.075,2.115,1218800,2.115
2016-09-23,2.176,2.176,2.111,2.115,721000,2.115
2016-09-22,2.169,2.187,2.144,2.173,847900,2.173
2016-09-21,2.138,2.161,2.122,2.147,857000,2.147
2016-09-20,2.131,2.131,2.103,2.11,641200,2.11
2016-09-19,2.131,2.134,2.112,2.127,382300,2.127
2016-09-16,2.143,2.149,2.09,2.122,779300,2.122
2016-09-15,2.133,2.14,2.08,2.139,1529000,2.139
2016-09-14,2.144,2.144,2.113,2.131,901100,2.131
2016-09-13,2.161,2.169,2.126,2.129,679300,2.129
2016-09-12,2.18,2.181,2.103,2.163,1961400,2.163
2016-09-09,2.22,2.22,2.18,2.189,833100,2.189
2016-09-08,2.273,2.273,2.202,2.224,1336500,2.224
2016-09-07,2.299,2.299,2.254,2.267,835800,2.267
2016-09-06,2.281,2.292,2.254,2.28,1133500,2.28
2016-09-05,2.198,2.281,2.177,2.266,2230600,2.266
2016-09-02,2.17,2.183,2.145,2.169,1641100,2.169
2016-09-01,2.18,2.189,2.157,2.18,1108300,2.18
2016-08-31,2.21,2.21,2.165,2.182,1273900,2.182
2016-08-30,2.20,2.21,2.184,2.197,1034600,2.197
2016-08-29,2.187,2.193,2.156,2.185,827700,2.185
2016-08-26,2.166,2.19,2.147,2.19,1046900,2.19
2016-08-25,2.177,2.177,2.121,2.16,1819200,2.16
2016-08-24,2.177,2.19,2.153,2.179,1048100,2.179
2016-08-23,2.221,2.221,2.166,2.18,1544800,2.18
2016-08-22,2.203,2.215,2.175,2.198,1348700,2.198
2016-08-19,2.256,2.256,2.19,2.218,1754100,2.218
2016-08-18,2.249,2.268,2.231,2.246,1787100,2.246
2016-08-17,2.269,2.269,2.195,2.213,2500200,2.213
2016-08-16,2.31,2.317,2.257,2.257,2172800,2.257
2016-08-15,2.38,2.38,2.285,2.31,2131700,2.31
2016-08-12,2.423,2.426,2.36,2.36,2749600,2.36
2016-08-11,2.458,2.458,2.392,2.419,3806900,2.419
2016-08-10,2.535,2.535,2.368,2.45,6990400,2.45
2016-08-09,2.609,2.64,2.585,2.619,1597100,2.619
2016-08-08,2.541,2.616,2.541,2.601,1063100,2.601
2016-08-05,2.525,2.55,2.505,2.545,855900,2.545
2016-08-04,2.498,2.542,2.473,2.516,967300,2.516
2016-08-03,2.489,2.52,2.455,2.489,807600,2.489
2016-08-02,2.525,2.543,2.479,2.494,1045600,2.494
2016-08-01,2.59,2.612,2.53,2.53,1216700,2.53
2016-07-29,2.558,2.573,2.537,2.572,995600,2.572
2016-07-28,2.574,2.63,2.542,2.55,914600,2.55
2016-07-27,2.587,2.613,2.576,2.59,1053900,2.59
2016-07-26,2.616,2.626,2.565,2.57,1010900,2.57
2016-07-25,2.589,2.669,2.56,2.626,1830800,2.626
2016-07-22,2.541,2.60,2.461,2.593,1732900,2.593
2016-07-21,2.599,2.599,2.528,2.532,720000,2.532
2016-07-20,2.566,2.599,2.565,2.591,1297300,2.591
2016-07-19,2.495,2.565,2.464,2.56,1081700,2.56
2016-07-18,2.539,2.564,2.46,2.494,1201700,2.494
2016-07-15,2.504,2.559,2.48,2.542,1528900,2.542
2016-07-14,2.543,2.543,2.481,2.50,1074800,2.50
2016-07-13,2.48,2.554,2.473,2.51,2132600,2.51
2016-07-12,2.441,2.534,2.441,2.478,1365000,2.478
2016-07-11,2.418,2.454,2.392,2.439,799000,2.439
2016-07-08,2.38,2.391,2.337,2.38,535900,2.38
2016-07-07,2.314,2.41,2.314,2.377,839700,2.377
2016-07-06,2.31,2.368,2.263,2.295,1313000,2.295
2016-07-05,2.39,2.395,2.32,2.32,894600,2.32
2016-07-04,2.47,2.477,2.41,2.41,718200,2.41
2016-07-01,2.49,2.50,2.421,2.457,706400,2.457
2016-06-30,2.423,2.511,2.403,2.481,1665200,2.481
2016-06-29,2.399,2.448,2.353,2.42,1372000,2.42
2016-06-28,2.30,2.375,2.30,2.359,1516100,2.359
2016-06-27,2.42,2.468,2.227,2.232,2272900,2.232
2016-06-24,2.26,2.48,2.11,2.452,3412600,2.452
2016-06-23,2.55,2.593,2.549,2.589,1708700,2.589
2016-06-22,2.537,2.58,2.531,2.531,1020600,2.531
2016-06-21,2.56,2.577,2.515,2.53,1109200,2.53
2016-06-20,2.50,2.559,2.49,2.544,1405100,2.544
2016-06-17,2.40,2.489,2.398,2.452,1436100,2.452
2016-06-16,2.37,2.462,2.345,2.379,2546300,2.379
2016-06-15,2.451,2.505,2.41,2.43,2409300,2.43
2016-06-14,2.485,2.519,2.46,2.47,2037100,2.47
2016-06-13,2.515,2.566,2.466,2.534,2417900,2.534
2016-06-10,2.605,2.605,2.512,2.59,3157500,2.59
2016-06-09,2.65,2.674,2.613,2.62,2018700,2.62
2016-06-08,2.65,2.686,2.602,2.652,1728800,2.652
2016-06-07,2.61,2.675,2.607,2.675,1695900,2.675
2016-06-06,2.591,2.613,2.567,2.611,1227300,2.611
2016-06-03,2.61,2.635,2.518,2.566,1666800,2.566
2016-06-02,2.56,2.609,2.554,2.60,1759000,2.60
2016-06-01,2.619,2.619,2.426,2.55,4082800,2.55
2016-05-31,2.59,2.622,2.545,2.609,2228600,2.609
2016-05-30,2.496,2.589,2.476,2.579,2362000,2.579
2016-05-27,2.45,2.49,2.433,2.46,1469000,2.46
2016-05-26,2.45,2.496,2.444,2.463,960400,2.463
2016-05-25,2.42,2.45,2.395,2.446,1197100,2.446
2016-05-24,2.37,2.42,2.37,2.41,1194600,2.41
2016-05-23,2.376,2.38,2.336,2.369,838100,2.369
2016-05-20,2.346,2.378,2.331,2.359,1235800,2.359
2016-05-19,2.295,2.359,2.28,2.344,1742800,2.344
2016-05-18,2.219,2.333,2.21,2.315,2089100,2.315
2016-05-17,2.263,2.27,2.222,2.24,781800,2.24
2016-05-16,2.241,2.241,2.241,2.241,000,2.241
2016-05-13,2.277,2.277,2.23,2.241,1081500,2.241
2016-05-12,2.251,2.31,2.212,2.26,2611800,2.26
2016-05-11,2.269,2.332,2.25,2.275,3314500,2.275
2016-05-10,2.067,2.254,2.037,2.253,5737400,2.253
2016-05-09,2.02,2.034,1.978,1.991,1025800,1.991
2016-05-06,1.974,1.999,1.945,1.998,651200,1.998
2016-05-05,1.97,1.98,1.943,1.974,439200,1.974
2016-05-04,1.916,1.958,1.891,1.957,1158700,1.957
2016-05-03,1.982,1.982,1.899,1.90,1635200,1.90
2016-05-02,1.99,2.00,1.946,1.967,1100000,1.967
2016-04-29,1.935,2.04,1.915,1.968,3000400,1.968
2016-04-28,1.925,1.925,1.871,1.913,1816500,1.913
