Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,14.55,14.79,14.55,14.65,21100,14.65
2016-10-26,14.64,14.80,14.565,14.725,22200,14.725
2016-10-25,14.555,14.675,14.525,14.65,7300,14.65
2016-10-24,14.41,14.775,14.37,14.64,11400,14.64
2016-10-21,14.52,14.62,14.385,14.48,16000,14.48
2016-10-20,14.445,14.52,14.38,14.52,9500,14.52
2016-10-19,14.585,14.80,14.37,14.48,16200,14.48
2016-10-18,14.41,14.745,14.30,14.715,29400,14.715
2016-10-17,14.20,14.50,14.20,14.47,13800,14.47
2016-10-14,14.30,14.38,14.19,14.38,17300,14.38
2016-10-13,14.23,14.38,14.05,14.29,43000,14.29
2016-10-12,13.925,14.22,13.81,14.17,13100,14.17
2016-10-11,13.65,13.96,13.65,13.745,9300,13.745
2016-10-10,13.65,13.95,13.65,13.79,13200,13.79
2016-10-07,13.795,13.89,13.655,13.72,10900,13.72
2016-10-06,13.955,13.955,13.705,13.80,11100,13.80
2016-10-05,13.825,13.975,13.755,13.955,16700,13.955
2016-10-04,13.65,13.94,13.545,13.77,52400,13.77
2016-10-03,13.535,13.535,13.535,13.535,000,13.535
2016-09-30,13.85,13.885,13.51,13.535,50500,13.535
2016-09-29,14.23,14.23,13.955,14.02,22900,14.02
2016-09-28,13.85,14.225,13.85,14.12,12100,14.12
2016-09-27,13.885,13.885,13.75,13.85,3300,13.85
2016-09-26,14.15,14.15,13.855,13.915,11600,13.915
2016-09-23,13.90,14.30,13.90,13.92,10000,13.92
2016-09-22,14.00,14.22,13.95,14.155,9400,14.155
2016-09-21,13.88,13.99,13.78,13.91,23300,13.91
2016-09-20,14.05,14.13,13.83,13.83,19000,13.83
2016-09-19,14.02,14.15,13.995,14.095,15500,14.095
2016-09-16,13.75,13.93,13.75,13.865,24500,13.865
2016-09-15,14.00,14.00,13.635,13.83,44900,13.83
2016-09-14,14.25,14.25,13.92,13.97,13700,13.97
2016-09-13,14.18,14.33,14.10,14.11,32000,14.11
2016-09-12,14.00,14.48,13.86,14.025,47300,14.025
2016-09-09,14.70,14.70,14.34,14.385,17200,14.385
2016-09-08,14.70,14.74,14.48,14.56,19700,14.56
2016-09-07,14.80,14.80,14.595,14.70,13900,14.70
2016-09-06,14.47,14.80,14.47,14.765,13700,14.765
2016-09-05,14.41,14.74,14.41,14.645,13700,14.645
2016-09-02,14.30,14.435,14.215,14.435,11300,14.435
2016-09-01,14.48,14.48,14.325,14.435,20100,14.435
2016-08-31,14.30,14.455,14.30,14.415,24900,14.415
2016-08-30,14.74,14.74,14.355,14.355,19700,14.355
2016-08-29,14.75,14.75,14.405,14.48,5600,14.48
2016-08-26,14.57,14.795,14.45,14.68,10200,14.68
2016-08-25,14.61,14.665,14.50,14.545,16200,14.545
2016-08-24,14.365,14.755,14.365,14.61,10900,14.61
