Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,18.175,18.28,18.025,18.20,4900,18.20
2016-10-26,18.205,18.245,17.95,18.15,11400,18.15
2016-10-25,18.00,18.42,18.00,18.30,16100,18.30
2016-10-24,18.38,18.38,17.80,17.97,11100,17.97
2016-10-21,18.22,18.345,18.12,18.22,10300,18.22
2016-10-20,17.655,18.25,17.655,18.25,8800,18.25
2016-10-19,17.59,17.82,17.375,17.65,7000,17.65
2016-10-18,18.00,18.05,17.495,17.75,7400,17.75
2016-10-17,18.04,18.04,17.665,17.99,4000,17.99
2016-10-14,17.99,18.12,17.755,18.025,16600,18.025
2016-10-13,17.925,18.00,17.725,17.90,25200,17.90
2016-10-12,18.00,18.25,17.945,18.09,2600,18.09
2016-10-11,18.23,18.33,17.995,18.07,9700,18.07
2016-10-10,18.10,18.315,17.96,18.065,8700,18.065
2016-10-07,18.51,18.51,18.10,18.19,6000,18.19
2016-10-06,18.665,18.665,18.34,18.34,21600,18.34
2016-10-05,18.135,18.625,17.88,18.44,16300,18.44
2016-10-04,18.32,18.435,17.865,18.30,69300,18.30
2016-10-03,18.29,18.29,18.29,18.29,000,18.29
2016-09-30,17.30,18.315,17.185,18.29,47700,18.29
2016-09-29,18.785,18.785,17.30,18.175,60800,18.175
2016-09-28,18.95,19.185,18.805,18.96,25000,18.96
2016-09-27,18.915,18.915,18.265,18.87,13800,18.87
2016-09-26,19.20,19.20,18.395,19.05,26300,19.05
2016-09-23,19.00,19.64,18.955,19.405,40100,19.405
2016-09-22,18.70,19.00,18.68,18.95,8600,18.95
2016-09-21,18.82,18.82,18.51,18.51,2200,18.51
2016-09-20,18.505,18.77,18.505,18.58,9200,18.58
2016-09-19,18.50,18.655,18.38,18.50,17400,18.50
2016-09-16,18.475,18.565,18.40,18.50,25500,18.50
2016-09-15,18.50,18.585,18.215,18.50,41800,18.50
2016-09-14,18.50,18.55,18.41,18.50,34200,18.50
2016-09-13,18.00,19.04,17.98,18.62,66000,18.62
2016-09-12,18.00,18.27,17.97,17.99,13800,17.99
2016-09-09,18.10,18.20,17.94,18.09,23500,18.09
2016-09-08,18.255,18.56,18.05,18.20,57300,18.20
2016-09-07,17.50,18.20,17.50,18.10,54700,18.10
2016-09-06,17.135,17.70,17.135,17.51,22900,17.51
2016-09-05,17.00,17.59,16.95,17.255,65600,17.255
2016-09-02,16.47,17.055,16.365,17.00,70100,17.00
2016-09-01,16.23,16.42,16.23,16.355,26100,16.355
2016-08-31,16.25,16.325,16.105,16.21,17800,16.21
2016-08-30,16.30,16.445,16.06,16.205,9500,16.205
2016-08-29,16.465,16.48,16.16,16.30,17200,16.30
2016-08-26,16.40,16.54,16.275,16.40,34900,16.40
2016-08-25,16.55,16.55,16.275,16.385,24300,16.385
2016-08-24,16.49,16.52,16.355,16.52,28300,16.52
2016-08-23,16.20,16.505,16.20,16.50,22400,16.50
2016-08-22,16.095,16.50,15.80,16.195,50500,16.195
2016-08-19,16.00,16.325,15.30,16.00,74800,16.00
2016-08-18,15.90,16.055,15.80,16.00,71500,16.00
2016-08-17,15.955,16.00,15.655,15.90,20500,15.90
2016-08-16,15.795,15.95,15.515,15.95,48800,15.95
2016-08-15,16.13,16.13,15.50,16.00,56200,16.00
2016-08-12,16.02,16.02,15.845,16.00,72400,16.00
2016-08-11,16.215,16.215,15.81,16.00,191200,16.00
2016-08-10,16.29,16.345,15.805,16.145,215500,16.145
2016-08-09,16.24,16.40,16.15,16.40,28100,16.40
2016-08-08,16.035,16.445,16.03,16.23,47100,16.23
2016-08-05,16.30,16.30,16.03,16.07,22200,16.07
2016-08-04,16.30,16.485,16.16,16.185,17400,16.185
2016-08-02,16.52,16.645,16.10,16.52,11900,16.52
2016-08-01,16.73,16.985,16.565,16.565,28200,16.565
2016-07-29,16.645,16.70,16.50,16.70,24200,16.70
2016-07-28,16.30,16.625,16.10,16.50,22700,16.50
2016-07-27,16.515,16.515,16.25,16.265,11800,16.265
2016-07-26,16.70,16.75,16.105,16.29,24900,16.29
2016-07-25,16.65,17.00,16.315,16.445,25200,16.445
2016-07-22,16.47,16.635,16.20,16.375,18200,16.375
2016-07-21,17.29,17.29,16.10,16.215,73700,16.215
2016-07-20,17.30,17.30,17.10,17.26,19400,17.26
2016-07-19,17.315,17.35,17.185,17.26,27000,17.26
2016-07-18,17.89,17.89,16.725,17.12,72800,17.12
2016-07-15,18.98,18.98,18.61,18.785,7000,18.785
2016-07-14,18.865,18.865,18.425,18.80,6400,18.80
2016-07-13,18.425,18.925,18.24,18.685,12200,18.685
2016-07-12,18.45,18.45,17.915,18.105,12900,18.105
2016-07-11,17.62,18.50,17.62,18.245,5300,18.245
2016-07-08,17.65,17.795,17.06,17.615,6900,17.615
2016-07-07,17.50,17.625,17.14,17.36,15600,17.36
2016-07-06,17.90,17.90,17.005,17.57,25800,17.57
2016-07-05,18.165,18.405,17.695,18.16,9700,18.16
2016-07-04,19.08,19.08,18.36,18.36,10900,18.36
2016-07-01,18.68,18.995,18.68,18.825,10200,18.825
2016-06-30,18.635,19.00,18.625,19.00,14600,19.00
2016-06-29,18.10,18.91,18.10,18.55,32200,18.55
2016-06-28,17.575,19.18,17.52,18.075,80200,18.075
2016-06-27,17.775,18.005,17.135,17.44,18000,17.44
2016-06-24,17.385,17.875,17.11,17.645,16000,17.645
2016-06-23,18.935,19.17,18.295,18.295,35900,18.295
2016-06-22,18.70,18.92,18.40,18.71,52100,18.71
2016-06-21,18.75,18.76,18.395,18.395,30400,18.395
2016-06-20,18.50,18.83,18.50,18.695,21400,18.695
2016-06-17,17.99,18.725,17.935,18.725,310500,18.725
2016-06-16,18.50,18.515,17.93,17.93,20600,17.93
2016-06-15,18.795,18.795,18.49,18.65,18900,18.65
2016-06-14,19.30,19.30,18.60,18.60,33000,18.60
2016-06-13,19.70,19.70,19.00,19.00,15900,19.00
2016-06-10,19.95,20.295,19.445,20.10,98700,20.10
2016-06-09,20.34,20.34,20.00,20.15,29700,20.15
2016-06-08,20.22,20.22,19.995,20.135,27900,20.135
2016-06-07,20.01,20.16,19.975,20.16,28700,20.16
2016-06-06,20.00,20.35,19.965,20.19,26200,20.19
2016-06-03,19.585,20.105,19.585,19.875,16900,19.875
2016-06-02,20.29,20.30,19.76,19.98,14500,19.98
2016-06-01,19.695,20.33,19.695,20.00,16500,20.00
2016-05-31,20.50,20.50,19.905,20.065,12000,20.065
2016-05-30,20.35,20.35,19.72,20.05,40200,20.05
2016-05-27,19.99,20.35,19.855,20.35,41600,20.35
2016-05-26,19.80,20.00,19.61,19.77,22100,19.77
2016-05-25,19.70,19.795,19.60,19.70,16700,19.70
