Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,75.25,75.25,71.10,72.00,31900,72.00
2016-10-26,78.00,78.00,75.02,75.66,25200,75.66
2016-10-25,80.20,80.20,77.25,77.25,21000,77.25
2016-10-24,80.49,80.49,77.77,80.19,22600,80.19
2016-10-21,81.31,82.76,79.10,79.48,18700,79.48
2016-10-20,81.18,81.71,80.40,81.07,6500,81.07
2016-10-19,82.46,82.80,80.67,81.21,10400,81.21
2016-10-18,80.50,83.74,80.50,82.69,25700,82.69
2016-10-17,79.88,80.77,79.38,79.70,10800,79.70
2016-10-14,77.10,79.38,77.10,78.84,16800,78.84
2016-10-13,78.06,78.31,77.06,77.06,14200,77.06
2016-10-12,80.50,80.82,78.38,78.38,13900,78.38
2016-10-11,82.30,82.36,80.13,80.60,15400,80.60
2016-10-10,82.53,83.15,81.23,82.78,10800,82.78
2016-10-07,83.76,83.76,81.23,82.30,11100,82.30
2016-10-06,83.15,83.75,82.50,82.95,7400,82.95
2016-10-05,83.50,83.88,83.02,83.45,17200,83.45
2016-10-04,83.00,84.96,82.08,84.45,46900,84.45
2016-10-03,83.80,83.80,83.80,83.80,000,83.80
2016-09-30,82.61,83.80,78.50,83.80,31500,83.80
2016-09-29,82.90,85.74,82.60,83.12,20800,83.12
2016-09-28,81.05,82.89,81.05,82.28,12600,82.28
2016-09-27,82.77,82.82,80.69,80.98,18400,80.98
2016-09-26,82.04,83.10,81.56,82.16,22600,82.16
2016-09-23,83.30,83.30,82.00,82.24,9800,82.24
2016-09-22,80.42,83.30,79.90,83.29,19900,83.29
2016-09-21,80.67,81.29,79.80,79.85,14900,79.85
2016-09-20,80.90,81.42,80.51,80.72,5500,80.72
2016-09-19,81.00,81.35,80.63,80.87,10000,80.87
2016-09-16,78.47,80.73,78.15,80.73,14000,80.73
2016-09-15,78.15,79.08,78.15,78.55,19400,78.55
2016-09-14,78.99,79.34,76.34,78.15,16200,78.15
2016-09-13,78.97,79.93,78.31,78.38,17100,78.38
2016-09-12,78.20,79.56,75.24,78.75,30700,78.75
2016-09-09,82.36,82.36,78.89,79.27,28000,79.27
2016-09-08,85.48,86.00,82.56,83.47,12300,83.47
2016-09-07,84.33,86.01,84.00,86.00,20500,86.00
2016-09-06,83.30,84.96,82.84,84.55,23700,84.55
2016-09-05,81.12,83.14,81.12,83.14,24500,83.14
2016-09-02,79.98,81.57,78.60,81.40,17800,81.40
2016-09-01,79.10,79.93,77.55,79.65,29400,79.65
2016-08-31,82.20,82.20,78.50,79.10,28900,79.10
2016-08-30,82.99,83.56,81.41,82.10,14500,82.10
2016-08-29,81.58,82.87,81.07,82.50,7600,82.50
2016-08-26,82.11,82.92,81.03,81.90,31200,81.90
2016-08-25,83.50,84.49,82.50,82.50,15300,82.50
2016-08-24,84.45,84.45,83.45,83.76,14300,83.76
2016-08-23,84.19,85.52,84.12,84.48,8600,84.48
2016-08-22,87.24,87.26,84.00,84.00,14900,84.00
2016-08-19,87.21,87.74,85.51,86.99,8500,86.99
2016-08-18,84.89,88.01,84.19,87.10,14500,87.10
2016-08-17,86.00,86.25,84.01,84.10,19300,84.10
2016-08-16,85.80,88.00,83.62,86.10,32900,86.10
2016-08-15,88.70,88.70,85.77,86.60,19100,86.60
2016-08-12,89.38,89.43,87.50,88.59,8800,88.59
2016-08-11,89.42,89.62,88.52,89.45,10800,89.45
2016-08-10,90.00,90.89,88.51,89.30,9600,89.30
2016-08-09,89.40,90.89,87.69,90.40,17800,90.40
2016-08-08,91.00,91.00,88.81,89.55,16200,89.55
2016-08-05,91.50,92.41,90.09,90.46,14300,90.46
2016-08-04,91.99,92.73,89.75,91.27,14300,91.27
2016-08-03,88.52,89.86,86.61,89.54,24700,89.54
2016-08-02,92.20,92.91,86.60,88.30,90600,88.30
2016-08-01,97.50,98.42,90.60,93.08,54700,93.08
2016-07-29,96.50,97.00,95.46,97.00,14300,97.00
2016-07-28,95.20,96.50,95.18,96.49,11500,96.49
2016-07-27,94.80,95.98,93.50,95.90,21300,95.90
2016-07-26,94.30,94.95,92.59,94.29,9900,94.29
2016-07-25,94.57,95.00,93.12,93.91,9900,93.91
2016-07-22,92.80,94.90,92.30,94.08,8200,94.08
2016-07-21,95.20,95.50,92.00,93.40,13500,93.40
2016-07-20,94.07,96.14,90.99,95.20,29100,95.20
2016-07-19,89.97,94.88,89.06,93.99,32300,93.99
2016-07-18,88.50,92.23,88.47,89.75,24200,89.75
2016-07-15,87.87,88.75,84.57,88.39,22700,88.39
2016-07-14,87.70,88.50,87.11,88.50,12100,88.50
2016-07-13,86.10,88.01,85.88,87.10,13800,87.10
2016-07-12,86.71,87.78,85.36,86.60,13800,86.60
2016-07-11,86.40,87.99,86.40,87.00,9000,87.00
2016-07-08,84.40,85.73,82.70,85.22,9500,85.22
2016-07-07,83.52,85.10,83.52,84.70,7900,84.70
2016-07-06,80.86,84.34,80.76,82.80,20800,82.80
2016-07-05,84.30,84.30,80.44,82.00,24100,82.00
2016-07-04,87.38,87.69,84.02,84.46,23100,84.46
2016-07-01,85.60,87.47,85.60,87.47,16500,87.47
2016-06-30,84.40,85.88,83.50,85.59,14500,85.59
2016-06-29,82.66,84.50,82.66,83.72,11600,83.72
2016-06-28,79.85,82.09,79.31,80.91,14300,80.91
2016-06-27,82.34,83.97,76.82,77.12,33100,77.12
2016-06-24,74.23,84.47,70.20,82.17,84100,82.17
2016-06-23,85.64,86.48,83.11,85.17,25800,85.17
2016-06-22,86.70,87.76,84.17,86.40,14600,86.40
2016-06-21,85.00,89.10,85.00,86.22,27900,86.22
2016-06-20,82.72,85.24,82.72,85.24,24700,85.24
2016-06-17,82.77,82.77,79.78,80.80,12800,80.80
2016-06-16,82.63,83.30,78.60,79.54,28100,79.54
2016-06-15,80.20,85.29,80.09,84.90,34500,84.90
2016-06-14,80.97,80.97,78.11,79.65,51200,79.65
2016-06-13,81.00,82.97,79.11,81.81,39600,81.81
2016-06-10,92.50,92.50,85.30,86.55,32400,86.55
2016-06-09,93.50,93.50,90.05,92.50,22500,92.50
2016-06-08,91.90,93.29,91.90,92.51,19000,92.51
2016-06-07,88.99,93.30,88.99,91.87,27400,91.87
2016-06-06,89.44,89.44,87.44,88.82,13000,88.82
2016-06-03,89.44,89.44,87.06,88.20,16400,88.20
2016-06-02,85.45,89.91,85.45,89.45,22800,89.45
2016-06-01,86.50,87.30,82.23,86.34,21200,86.34
2016-05-31,86.49,87.49,85.58,87.25,49200,87.25
2016-05-30,88.00,88.49,86.47,87.13,15700,87.13
2016-05-27,85.82,87.93,84.83,87.74,16700,87.74
2016-05-26,85.10,85.10,83.91,85.10,14200,85.10
2016-05-25,84.52,85.50,83.92,84.55,18200,84.55
2016-05-24,85.00,85.35,83.80,85.22,20200,85.22
2016-05-23,82.50,85.00,82.36,84.79,31900,84.79
2016-05-20,79.79,82.23,78.83,82.23,32900,82.23
2016-05-19,80.00,80.42,77.06,80.14,10200,80.14
2016-05-18,78.68,80.10,78.08,79.06,30100,79.06
2016-05-17,80.00,80.49,77.18,79.75,19600,79.75
2016-05-16,79.50,79.50,79.50,79.50,000,79.50
2016-05-13,78.00,80.05,76.78,79.50,38100,79.50
2016-05-12,75.85,78.56,75.85,77.63,19700,77.63
2016-05-11,77.90,78.32,75.25,77.00,24500,77.00
2016-05-10,78.50,79.00,75.00,78.40,25700,78.40
2016-05-09,79.15,79.76,78.18,78.18,36900,78.18
2016-05-06,77.30,81.00,76.07,78.63,54700,78.63
2016-05-05,75.49,76.95,75.11,76.95,12300,76.95
2016-05-04,72.40,77.12,72.20,76.76,49000,76.76
2016-05-03,71.00,72.38,70.50,71.69,34200,71.69
2016-05-02,69.68,71.75,69.65,70.90,26100,70.90
2016-04-29,69.69,69.69,68.09,69.10,10600,69.10
2016-04-28,69.88,69.95,67.30,69.13,17100,69.13
2016-04-27,64.91,69.95,64.53,69.95,33600,69.95
2016-04-26,61.21,65.62,60.96,65.20,27900,65.20
2016-04-25,61.26,61.66,60.58,60.58,6800,60.58
2016-04-22,62.60,62.60,60.91,60.91,9700,60.91
2016-04-21,63.39,63.39,62.17,63.05,6800,63.05
2016-04-20,62.00,63.20,61.20,63.08,24000,63.08
2016-04-19,63.30,63.49,61.80,62.44,18700,62.44
2016-04-18,61.50,64.00,61.50,63.02,15900,63.02
2016-04-15,60.95,62.91,59.10,62.84,20100,62.84
2016-04-14,60.95,61.18,60.00,60.00,9600,60.00
2016-04-13,58.39,61.12,58.28,60.45,15800,60.45
