Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,53.75,53.88,53.08,53.50,23200,53.50
2016-10-26,53.75,53.98,53.30,53.85,20700,53.85
2016-10-25,54.20,54.20,53.55,53.68,21800,53.68
2016-10-24,54.10,54.45,53.76,54.15,43200,54.15
2016-10-21,54.00,54.09,53.47,54.03,17800,54.03
2016-10-20,53.80,53.99,53.58,53.77,30300,53.77
2016-10-19,53.33,53.91,52.86,53.79,24200,53.79
2016-10-18,52.61,53.32,52.53,53.26,40600,53.26
2016-10-17,51.42,52.80,51.42,52.53,37600,52.53
2016-10-14,51.68,51.78,51.40,51.62,16800,51.62
2016-10-13,51.00,51.77,50.38,51.77,40100,51.77
2016-10-12,51.33,51.61,51.11,51.12,15500,51.12
2016-10-11,51.90,51.90,51.14,51.46,23600,51.46
2016-10-10,51.71,51.89,51.12,51.85,18200,51.85
2016-10-07,51.40,51.79,51.03,51.35,26200,51.35
2016-10-06,51.79,51.79,51.25,51.49,26400,51.49
2016-10-05,51.11,51.65,50.89,51.44,25300,51.44
2016-10-04,50.76,51.40,50.67,51.30,24400,51.30
2016-10-03,50.69,50.69,50.69,50.69,000,50.69
2016-09-30,49.99,50.69,49.98,50.69,35500,50.69
2016-09-29,50.12,50.45,49.97,50.40,29700,50.40
2016-09-28,49.80,50.12,49.80,50.05,19900,50.05
2016-09-27,50.00,50.00,49.21,49.46,19800,49.46
2016-09-26,50.01,50.01,49.255,49.725,22300,49.725
2016-09-23,50.25,50.36,49.86,50.19,19400,50.19
2016-09-22,49.90,50.49,49.635,50.20,29100,50.20
2016-09-21,49.89,50.00,49.59,49.715,25900,49.715
2016-09-20,49.695,49.85,49.295,49.725,21800,49.725
2016-09-19,49.18,49.70,48.905,49.70,30200,49.70
2016-09-16,49.10,49.535,48.75,48.75,40800,48.75
2016-09-15,48.80,49.40,48.80,49.40,16700,49.40
2016-09-14,49.00,49.15,48.775,48.775,18900,48.775
2016-09-13,48.94,49.375,48.89,49.11,17400,49.11
2016-09-12,48.10,48.965,47.605,48.685,51300,48.685
2016-09-09,49.765,49.775,48.595,48.875,33000,48.875
2016-09-08,49.70,49.76,49.405,49.76,28900,49.76
2016-09-07,49.73,49.895,49.275,49.70,26300,49.70
2016-09-06,49.635,49.80,49.425,49.51,28900,49.51
2016-09-05,49.39,49.635,49.225,49.425,20100,49.425
2016-09-02,48.725,49.605,48.38,49.535,25600,49.535
2016-09-01,48.66,49.30,47.965,48.425,24900,48.425
2016-08-31,48.685,49.00,47.97,48.355,44400,48.355
2016-08-30,48.27,48.785,48.205,48.33,20500,48.33
2016-08-29,48.00,48.265,47.905,48.10,12600,48.10
2016-08-26,48.195,48.48,47.825,48.36,22600,48.36
2016-08-25,48.20,48.90,47.80,48.20,46000,48.20
2016-08-24,48.10,48.89,47.895,48.335,23200,48.335
2016-08-23,48.60,48.89,47.715,48.145,34200,48.145
2016-08-22,47.50,48.855,47.365,48.245,61900,48.245
2016-08-19,47.395,48.14,47.15,47.845,71700,47.845
2016-08-18,46.50,47.80,46.50,47.065,48400,47.065
2016-08-17,45.59,46.685,45.50,46.62,49400,46.62
2016-08-16,46.445,46.445,45.08,45.155,63200,45.155
2016-08-15,45.43,45.70,45.00,45.245,22300,45.245
2016-08-12,44.95,45.40,44.55,45.215,33100,45.215
2016-08-11,44.69,44.995,44.40,44.995,21800,44.995
2016-08-10,44.34,44.695,44.00,44.42,18300,44.42
2016-08-09,44.095,44.895,44.095,44.895,13000,44.895
2016-08-08,44.25,44.62,44.19,44.19,8500,44.19
2016-08-05,43.475,44.22,43.475,44.14,21500,44.14
2016-08-04,43.12,44.02,43.075,43.49,19900,43.49
2016-08-03,42.795,42.90,42.21,42.805,20600,42.805
2016-08-02,43.70,43.835,42.70,42.71,25600,42.71
2016-08-01,44.40,44.635,43.70,43.82,10800,43.82
2016-07-29,44.02,44.35,43.73,44.325,13100,44.325
2016-07-28,44.49,44.65,43.75,43.75,24300,43.75
2016-07-27,43.415,44.375,43.415,44.375,19500,44.375
2016-07-26,43.90,43.90,43.105,43.215,10800,43.215
2016-07-25,43.265,44.235,43.155,43.765,10200,43.765
2016-07-22,43.355,43.55,42.91,43.14,17200,43.14
2016-07-21,43.605,43.755,43.075,43.30,23000,43.30
2016-07-20,42.99,43.55,42.99,43.39,8100,43.39
2016-07-19,43.375,43.375,42.51,42.975,10300,42.975
2016-07-18,43.115,43.475,43.05,43.135,13300,43.135
2016-07-15,42.465,43.265,42.325,42.88,19900,42.88
2016-07-14,42.805,43.075,42.64,42.70,16300,42.70
2016-07-13,42.90,42.945,42.445,42.57,15600,42.57
2016-07-12,42.78,43.375,42.67,42.88,16200,42.88
2016-07-11,42.25,42.805,42.015,42.70,20700,42.70
2016-07-08,41.475,42.045,41.115,41.905,23500,41.905
2016-07-07,40.84,41.70,40.84,41.35,23900,41.35
2016-07-06,41.05,41.315,40.57,40.59,36000,40.59
2016-07-05,42.275,42.305,41.015,41.05,26000,41.05
2016-07-04,43.55,43.595,42.30,42.42,25400,42.42
2016-07-01,42.10,43.385,41.80,43.325,40400,43.325
2016-06-30,42.075,42.275,41.56,41.80,37200,41.80
2016-06-29,42.475,42.495,42.095,42.11,16900,42.11
2016-06-28,41.87,42.35,41.555,41.86,32200,41.86
2016-06-27,43.11,43.11,40.91,40.91,65600,40.91
2016-06-24,42.12,43.54,39.10,43.31,122500,43.31
2016-06-23,44.17,44.80,44.05,44.745,28000,44.745
2016-06-22,44.40,44.695,43.85,44.03,34600,44.03
2016-06-21,44.31,44.54,43.99,44.045,12800,44.045
2016-06-20,43.50,44.68,43.50,44.505,24600,44.505
2016-06-17,42.90,43.475,42.82,42.895,35800,42.895
