Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,11.19,11.50,11.185,11.435,472100,11.435
2016-10-26,11.545,11.545,11.255,11.295,290100,11.295
2016-10-25,11.595,11.595,11.41,11.505,210300,11.505
2016-10-24,11.40,11.62,11.40,11.53,295600,11.53
2016-10-21,11.27,11.40,11.27,11.40,210900,11.40
2016-10-20,11.38,11.45,11.22,11.29,370900,11.29
2016-10-19,11.42,11.44,11.27,11.395,159700,11.395
2016-10-18,11.48,11.61,11.39,11.43,305600,11.43
2016-10-17,11.455,11.565,11.37,11.44,224900,11.44
2016-10-14,11.43,11.64,11.43,11.46,292300,11.46
2016-10-13,11.35,11.55,11.315,11.37,744900,11.37
2016-10-12,11.21,11.335,11.16,11.25,294200,11.25
2016-10-11,11.31,11.31,11.185,11.24,256700,11.24
2016-10-10,11.215,11.33,11.07,11.30,268500,11.30
2016-10-07,11.08,11.315,10.99,11.20,532500,11.20
2016-10-06,10.96,11.15,10.955,11.07,335600,11.07
2016-10-05,10.755,10.97,10.755,10.925,237600,10.925
2016-10-04,10.74,10.965,10.72,10.845,314400,10.845
2016-10-03,10.845,10.845,10.845,10.845,000,10.845
2016-09-30,11.045,11.185,10.705,10.845,737900,10.845
2016-09-29,11.17,11.275,11.14,11.18,267300,11.18
2016-09-28,10.995,11.275,10.995,11.09,244400,11.09
2016-09-27,11.21,11.21,10.80,10.93,310100,10.93
2016-09-26,11.185,11.24,11.005,11.165,285100,11.165
2016-09-23,11.305,11.32,11.10,11.16,416500,11.16
2016-09-22,11.09,11.34,11.09,11.34,426900,11.34
2016-09-21,11.055,11.17,10.98,11.035,225900,11.035
2016-09-20,11.00,11.18,10.94,11.04,327900,11.04
2016-09-19,10.705,11.205,10.66,11.115,463200,11.115
2016-09-16,11.175,11.225,10.86,10.895,869200,10.895
2016-09-15,11.12,11.235,11.08,11.185,363000,11.185
2016-09-14,11.245,11.355,11.05,11.125,275100,11.125
2016-09-13,11.245,11.43,11.12,11.16,370600,11.16
2016-09-12,11.21,11.31,11.13,11.28,397300,11.28
2016-09-09,11.605,11.685,11.345,11.435,399700,11.435
2016-09-08,11.84,11.875,11.54,11.65,507400,11.65
2016-09-07,11.85,12.00,11.83,11.88,511000,11.88
2016-09-06,11.995,12.07,11.615,11.86,524400,11.86
2016-09-05,11.83,11.995,11.83,11.955,453300,11.955
2016-09-02,11.785,11.955,11.685,11.755,780500,11.755
2016-09-01,12.35,12.35,11.37,11.79,2822000,11.79
2016-08-31,12.50,12.755,12.50,12.62,423100,12.62
2016-08-30,12.675,12.77,12.51,12.51,196500,12.51
2016-08-29,12.50,12.68,12.41,12.64,150600,12.64
2016-08-26,12.465,12.765,12.465,12.56,354900,12.56
2016-08-25,12.58,12.605,12.455,12.525,255200,12.525
2016-08-24,12.775,12.915,12.62,12.635,243200,12.635
2016-08-23,12.48,12.885,12.48,12.805,346300,12.805
2016-08-22,12.63,12.695,12.445,12.54,285900,12.54
2016-08-19,12.715,12.85,12.53,12.665,359300,12.665
2016-08-18,12.59,12.885,12.59,12.735,540800,12.735
2016-08-17,12.83,12.84,12.53,12.565,317700,12.565
2016-08-16,12.55,12.98,12.55,12.83,416200,12.83
2016-08-15,12.745,12.75,12.60,12.675,367000,12.675
2016-08-12,12.60,12.845,12.60,12.73,562400,12.73
2016-08-11,12.865,12.91,12.56,12.755,621000,12.755
2016-08-10,12.63,13.105,12.545,12.905,687500,12.905
2016-08-09,12.27,12.745,12.27,12.675,856100,12.675
2016-08-08,11.955,12.50,11.955,12.455,684000,12.455
2016-08-05,12.30,12.345,12.05,12.27,440900,12.27
2016-08-04,12.33,12.85,12.32,12.51,824400,12.51
2016-08-03,12.04,12.285,12.025,12.16,292600,12.16
2016-08-02,12.15,12.15,12.03,12.07,376100,12.07
2016-08-01,12.10,12.24,12.075,12.175,337400,12.175
2016-07-29,12.02,12.095,11.905,11.99,254900,11.99
2016-07-28,11.995,12.15,11.98,11.98,487800,11.98
2016-07-27,11.88,12.115,11.88,12.01,431000,12.01
2016-07-26,11.80,11.92,11.75,11.855,218500,11.855
2016-07-25,11.78,11.85,11.75,11.775,207900,11.775
2016-07-22,11.58,11.89,11.58,11.77,471300,11.77
2016-07-21,11.495,11.66,11.465,11.58,434100,11.58
2016-07-20,11.47,11.53,11.34,11.48,323400,11.48
2016-07-19,11.28,11.46,11.10,11.41,518100,11.41
2016-07-18,11.45,11.47,11.295,11.295,415700,11.295
2016-07-15,11.20,11.425,11.19,11.38,453500,11.38
2016-07-14,11.035,11.35,11.035,11.28,499300,11.28
2016-07-13,11.00,11.125,10.94,10.94,477800,10.94
2016-07-12,10.775,11.055,10.72,10.98,629400,10.98
2016-07-11,10.00,11.20,10.00,10.835,1420700,10.835
2016-07-08,9.687,9.912,9.634,9.875,310900,9.875
2016-07-07,9.459,9.827,9.459,9.675,256500,9.675
2016-07-06,9.455,9.688,9.366,9.431,388400,9.431
2016-07-05,9.88,9.891,9.487,9.515,305700,9.515
2016-07-04,9.953,10.115,9.903,9.904,308000,9.904
2016-07-01,9.699,10.06,9.69,10.06,436300,10.06
2016-06-30,9.859,9.961,9.688,9.922,616700,9.922
2016-06-29,10.00,10.10,9.78,9.839,585700,9.839
2016-06-28,9.997,10.155,9.634,9.956,1182700,9.956
2016-06-27,10.43,10.67,10.20,10.20,408000,10.20
2016-06-24,10.24,10.74,9.65,10.675,831000,10.675
