Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,282.90,288.25,282.20,286.35,2400,286.35
2016-10-26,284.00,285.65,282.10,285.00,1800,285.00
2016-10-25,290.00,291.00,282.05,285.00,5300,285.00
2016-10-24,289.50,289.80,288.30,289.50,2300,289.50
2016-10-21,289.00,290.00,288.30,289.40,5600,289.40
2016-10-20,290.50,291.00,289.05,289.30,1200,289.30
2016-10-19,293.00,293.75,290.70,290.90,1300,290.90
2016-10-18,294.00,296.30,292.00,294.25,2300,294.25
2016-10-17,297.00,298.90,293.10,293.10,2100,293.10
2016-10-14,298.00,300.15,297.10,297.10,2100,297.10
2016-10-13,297.15,300.30,297.05,300.20,1300,300.20
2016-10-12,298.05,301.00,297.00,298.55,1400,298.55
2016-10-11,298.05,300.00,298.05,300.00,1300,300.00
2016-10-10,297.00,299.85,297.00,299.85,2400,299.85
2016-10-07,297.55,300.00,297.55,298.80,1600,298.80
2016-10-06,297.85,300.00,297.55,299.00,1800,299.00
2016-10-05,300.60,300.60,297.50,300.00,3000,300.00
2016-10-04,301.00,301.00,297.70,300.05,1800,300.05
2016-10-03,299.85,299.85,299.85,299.85,000,299.85
2016-09-30,302.00,302.00,298.05,299.85,1200,299.85
2016-09-29,301.25,301.90,299.30,300.00,1000,300.00
2016-09-28,301.85,301.95,299.50,301.20,2000,301.20
2016-09-27,300.20,301.55,297.25,299.65,1100,299.65
2016-09-26,303.00,303.25,300.60,301.15,1900,301.15
2016-09-23,301.95,303.25,299.25,301.15,4000,301.15
2016-09-22,303.80,304.50,300.55,300.60,2300,300.60
2016-09-21,304.00,304.50,300.45,302.95,1100,302.95
2016-09-20,305.00,305.00,302.00,302.00,1100,302.00
2016-09-19,295.65,306.00,294.95,304.90,6000,304.90
2016-09-16,295.00,296.00,292.95,293.65,3800,293.65
2016-09-15,293.00,294.60,290.00,294.60,4500,294.60
2016-09-14,297.15,297.15,292.30,292.35,900,292.35
2016-09-13,295.70,297.10,293.30,295.00,1600,295.00
2016-09-12,296.20,297.95,292.65,293.55,3400,293.55
2016-09-09,296.35,297.50,294.00,295.10,3900,295.10
2016-09-08,293.10,296.35,292.00,294.20,2500,294.20
2016-09-07,298.75,298.75,292.95,292.95,1900,292.95
2016-09-06,294.00,298.75,292.55,298.75,5100,298.75
2016-09-05,285.10,297.15,285.10,295.00,5900,295.00
2016-09-02,287.90,290.00,285.45,286.95,1600,286.95
2016-09-01,287.30,287.40,285.05,286.55,100,286.55
2016-08-31,289.60,289.60,285.80,287.00,800,287.00
2016-08-30,282.35,289.30,282.35,287.65,4100,287.65
2016-08-29,279.00,283.55,279.00,280.85,5300,280.85
2016-08-26,282.00,282.00,279.00,280.50,1200,280.50
2016-08-25,281.20,283.40,280.10,280.10,700,280.10
2016-08-24,285.05,286.00,281.85,282.30,1500,282.30
2016-08-23,281.30,287.15,281.30,287.15,1200,287.15
2016-08-22,285.00,285.90,281.20,283.40,1900,283.40
2016-08-19,282.90,283.15,281.25,283.15,600,283.15
2016-08-18,280.10,283.00,280.10,282.95,700,282.95
2016-08-17,279.30,282.80,279.05,280.80,1800,280.80
2016-08-16,284.65,284.65,277.90,280.30,1500,280.30
2016-08-15,287.45,287.45,280.55,282.70,900,282.70
2016-08-12,287.90,287.90,283.70,285.40,2200,285.40
2016-08-11,285.15,287.65,280.55,285.80,2300,285.80
2016-08-10,278.00,286.00,278.00,284.15,2600,284.15
2016-08-09,282.75,285.80,276.30,277.95,2100,277.95
2016-08-08,283.55,287.20,278.95,281.65,1500,281.65
2016-08-05,287.05,288.80,284.60,285.15,1300,285.15
2016-08-04,284.70,286.95,284.50,286.10,800,286.10
2016-08-03,287.95,288.45,283.50,286.75,1700,286.75
2016-08-02,287.00,287.30,285.05,286.70,1000,286.70
2016-08-01,285.00,288.45,285.00,286.25,1300,286.25
2016-07-29,288.00,289.45,285.00,285.40,3300,285.40
2016-07-28,290.50,290.50,288.00,288.00,600,288.00
2016-07-27,289.95,289.95,288.00,288.50,700,288.50
2016-07-26,289.45,289.45,288.00,288.00,1000,288.00
2016-07-25,288.10,289.70,287.55,288.00,1400,288.00
2016-07-22,290.50,290.50,278.50,288.00,6000,288.00
2016-07-21,292.35,292.35,288.90,289.35,900,289.35
2016-07-20,291.55,296.60,290.40,291.50,1000,291.50
2016-07-19,295.55,297.25,289.40,293.70,1400,293.70
2016-07-18,293.35,296.35,292.55,293.55,600,293.55
2016-07-15,293.25,295.75,290.00,292.80,1300,292.80
2016-07-14,294.80,297.95,293.80,294.60,1000,294.60
2016-07-13,299.00,299.00,294.10,296.95,1800,296.95
2016-07-12,295.90,299.95,295.65,298.90,500,298.90
