Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,19.275,19.275,18.665,18.75,118000,18.75
2016-10-26,18.90,19.39,18.88,19.23,160400,19.23
2016-10-25,18.83,18.99,18.565,18.86,103600,18.86
2016-10-24,18.00,18.85,18.00,18.765,167500,18.765
2016-10-21,17.88,17.98,17.72,17.87,252000,17.87
2016-10-20,18.045,18.13,17.29,17.79,298400,17.79
2016-10-19,18.535,18.535,17.545,18.00,198400,18.00
2016-10-18,18.26,18.515,18.19,18.465,73000,18.465
2016-10-17,18.20,18.225,17.96,18.115,75500,18.115
2016-10-14,18.105,18.23,18.04,18.185,82500,18.185
2016-10-13,17.75,18.20,17.55,18.07,119100,18.07
2016-10-12,18.035,18.115,17.745,17.87,147500,17.87
2016-10-11,18.30,18.30,18.00,18.00,113700,18.00
2016-10-10,18.615,18.635,18.32,18.405,86700,18.405
2016-10-07,17.91,18.74,17.53,18.545,253100,18.545
2016-10-06,18.68,18.68,17.65,17.865,271500,17.865
2016-10-05,19.12,19.145,18.315,18.385,168700,18.385
2016-10-04,19.58,19.58,19.04,19.33,94900,19.33
2016-10-03,19.485,19.485,19.485,19.485,000,19.485
2016-09-30,19.155,19.50,18.78,19.485,128800,19.485
2016-09-29,20.15,20.15,19.205,19.40,70200,19.40
2016-09-28,19.83,20.00,19.69,19.99,102800,19.99
2016-09-27,19.595,19.665,19.02,19.665,56200,19.665
2016-09-26,19.575,19.685,19.31,19.51,47700,19.51
2016-09-23,19.80,19.82,19.15,19.65,115600,19.65
2016-09-22,19.41,19.82,19.395,19.82,81400,19.82
2016-09-21,19.77,19.815,19.105,19.29,89000,19.29
2016-09-20,19.78,19.81,19.57,19.57,45800,19.57
2016-09-19,19.70,19.82,19.50,19.705,56600,19.705
2016-09-16,20.045,20.045,19.36,19.525,123500,19.525
2016-09-15,19.90,20.14,19.80,20.10,53900,20.10
2016-09-14,19.93,20.15,19.785,19.96,99900,19.96
2016-09-13,20.455,20.55,19.80,19.92,86900,19.92
2016-09-12,20.01,20.545,19.75,20.455,78000,20.455
2016-09-09,21.00,21.095,20.20,20.255,117300,20.255
2016-09-08,21.31,21.52,21.045,21.085,87500,21.085
2016-09-07,21.30,21.35,21.07,21.32,69700,21.32
2016-09-06,21.215,21.30,21.00,21.29,60800,21.29
2016-09-05,21.34,21.645,21.005,21.10,57300,21.10
2016-09-02,21.22,21.53,20.975,21.46,44100,21.46
2016-09-01,21.39,21.67,21.10,21.18,63900,21.18
2016-08-31,21.725,21.79,21.305,21.39,82400,21.39
2016-08-30,21.86,22.355,21.65,21.70,117600,21.70
2016-08-29,21.02,21.955,20.72,21.755,179100,21.755
2016-08-26,23.155,23.215,22.68,22.765,130100,20.69545
2016-08-25,23.265,23.37,23.11,23.245,48200,21.13182
2016-08-24,23.345,23.575,23.195,23.43,86300,21.30
2016-08-23,23.445,23.69,22.98,23.47,90500,21.33636
2016-08-22,22.96,23.48,22.865,23.225,106300,21.11364
2016-08-19,22.465,23.20,22.335,22.86,78500,20.78182
2016-08-18,22.50,22.83,22.25,22.365,82400,20.33182
2016-08-17,24.97,25.212,24.365,24.475,79600,22.25
2016-08-16,25.52,25.52,24.9645,24.981,72800,22.71
2016-08-15,25.916,25.9545,25.465,25.531,51600,23.21
2016-08-12,25.4815,25.8335,25.432,25.729,52500,23.39
2016-08-11,25.575,25.575,25.267,25.41,98300,23.10
2016-08-10,25.41,25.5475,25.278,25.4155,103300,23.105
2016-08-09,25.74,25.74,24.849,25.52,165400,23.20
2016-08-08,26.345,26.345,25.4155,25.619,104800,23.29
2016-08-05,26.0205,26.3395,25.366,26.0535,120500,23.685
2016-08-04,24.717,25.905,24.673,25.8225,137100,23.475
2016-08-03,24.5575,24.75,24.3595,24.497,101100,22.27
2016-08-02,25.036,25.036,24.2935,24.5575,64800,22.325
2016-08-01,25.212,25.212,24.871,25.036,56300,22.76
2016-07-29,24.398,25.014,24.2055,24.838,124900,22.58
2016-07-28,24.1615,24.3485,23.936,24.3485,45000,22.135
2016-07-27,24.002,24.167,23.8315,24.09,78400,21.90
2016-07-26,23.606,24.068,23.54,23.76,77900,21.60
2016-07-25,23.287,23.628,23.2265,23.496,35600,21.36
2016-07-22,23.1935,23.4025,23.10,23.309,30600,21.19
2016-07-21,23.936,23.936,23.10,23.1935,51300,21.085
2016-07-20,23.518,23.8095,23.4025,23.738,41300,21.58
2016-07-19,23.397,23.551,23.0395,23.4575,49500,21.325
2016-07-18,23.65,23.7215,23.254,23.331,38000,21.21
2016-07-15,23.562,23.6885,22.8635,23.3145,95400,21.195
2016-07-14,23.452,23.9085,23.364,23.6555,68900,21.505
2016-07-13,23.562,23.628,22.9515,23.221,89000,21.11
2016-07-12,23.397,23.9855,23.397,23.518,103800,21.38
2016-07-11,21.89,23.2925,21.89,23.254,164200,21.14
2016-07-08,21.8295,21.857,21.483,21.7195,225800,19.745
2016-07-07,22.00,22.3355,21.67,21.8185,136800,19.835
2016-07-06,22.825,22.825,21.89,21.9835,126400,19.985
2016-07-05,23.562,23.5675,22.781,22.913,80700,20.83
2016-07-04,24.6785,24.6785,23.2925,23.529,53200,21.39
2016-07-01,23.9855,24.739,23.5015,24.5465,134100,22.315
2016-06-30,23.155,23.936,23.155,23.738,157300,21.58
2016-06-29,23.21,23.309,22.9295,23.2705,83500,21.155
2016-06-28,23.10,23.3035,22.594,22.7975,109000,20.725
2016-06-27,24.1065,24.1065,22.242,22.5555,162500,20.505
2016-06-24,23.65,24.3265,23.10,24.2055,127400,22.005
2016-06-23,25.234,25.4485,25.102,25.201,55000,22.91
2016-06-22,24.97,25.2725,24.97,25.091,59100,22.81
2016-06-21,25.1515,25.1515,24.64,24.8545,47800,22.595
2016-06-20,24.8435,25.0305,24.695,25.003,70100,22.73
2016-06-17,24.2385,24.6345,24.2275,24.3485,48000,22.135
2016-06-16,24.75,24.7995,24.057,24.156,113900,21.96
2016-06-15,25.245,25.4045,24.86,25.025,55100,22.75
2016-06-14,25.487,25.5255,24.827,25.1405,91300,22.855
2016-06-13,25.696,25.905,25.487,25.5255,84500,23.205
2016-06-10,26.785,26.8675,25.7895,26.004,125900,23.64
2016-06-09,27.335,27.3845,26.3395,26.928,121000,24.48
2016-06-08,27.401,27.456,27.203,27.28,74600,24.80
2016-06-07,27.50,27.566,27.3075,27.4615,72800,24.965
2016-06-06,27.3955,27.5825,27.2085,27.39,51200,24.90
2016-06-03,27.2745,27.753,27.225,27.5275,50700,25.025
2016-06-02,27.764,27.808,26.9995,27.3295,83800,24.845
2016-06-01,27.28,27.797,27.28,27.665,76300,25.15
2016-05-31,27.50,27.896,27.28,27.4835,118500,24.985
2016-05-30,27.61,27.9235,27.5385,27.5385,50500,25.035
2016-05-27,27.5605,27.7035,27.115,27.61,67200,25.10
2016-05-26,26.7465,27.5935,26.73,27.423,108100,24.93
2016-05-25,26.84,26.95,26.565,26.7355,107100,24.305
2016-05-24,26.477,26.785,26.2955,26.598,119100,24.18
2016-05-23,26.609,27.071,26.587,26.774,82800,24.34
2016-05-20,26.389,27.0325,26.3725,26.708,153600,24.28
2016-05-19,25.894,26.356,25.795,26.2735,145300,23.885
2016-05-18,26.0755,26.1635,25.6025,26.037,161800,23.67
2016-05-17,25.30,26.268,25.30,26.147,182800,23.77
2016-05-16,25.1845,25.1845,25.1845,25.1845,000,22.895
2016-05-13,23.705,25.4155,23.705,25.1845,266400,22.895
2016-05-12,23.815,24.101,23.5675,23.8315,144800,21.665
2016-05-11,23.815,24.552,23.683,23.7325,187800,21.575
2016-05-10,22.6325,23.6225,22.121,23.5125,216000,21.375
2016-05-09,21.4555,22.1815,21.3785,21.978,106100,19.98
2016-05-06,22.066,22.1815,21.5875,21.604,81800,19.64
2016-05-05,21.9615,22.297,21.725,22.275,71100,20.25
2016-05-04,22.2365,22.2365,21.67,21.8955,133500,19.905
2016-05-03,22.00,22.2035,21.791,22.1595,132800,20.145
2016-05-02,22.33,22.473,21.945,22.0495,113200,20.045
2016-04-29,22.66,22.66,22.0935,22.253,88400,20.23
2016-04-28,22.88,23.0395,22.44,22.605,59300,20.55
2016-04-27,23.078,23.1935,22.66,23.001,88200,20.91
2016-04-26,23.111,23.375,23.0505,23.133,71500,21.03
2016-04-25,23.0505,23.177,22.814,23.111,119700,21.01
2016-04-22,22.583,22.968,22.506,22.836,87200,20.76
2016-04-21,22.88,23.045,22.3575,22.605,149800,20.55
2016-04-20,23.309,23.386,22.7205,22.88,113800,20.80
2016-04-19,23.265,23.496,23.0175,23.375,155100,21.25
2016-04-18,22.8745,23.4135,22.2585,23.2595,162800,21.145
2016-04-15,23.375,23.375,22.7095,22.8965,150400,20.815
