Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,232.20,232.45,228.45,228.45,3000,228.45
2016-10-26,232.40,232.40,227.70,230.60,4100,230.60
2016-10-25,235.00,235.00,229.85,230.90,2600,230.90
2016-10-24,233.15,235.70,232.95,234.65,2700,234.65
2016-10-21,239.30,240.25,232.30,233.20,4600,233.20
2016-10-20,241.95,242.00,239.40,240.70,2800,240.70
2016-10-19,246.00,246.15,241.80,241.80,1900,241.80
2016-10-18,244.00,247.50,242.10,245.85,5000,245.85
2016-10-17,245.00,245.00,243.30,243.90,1900,243.90
2016-10-14,242.00,244.80,242.00,244.10,1800,244.10
2016-10-13,240.00,242.50,239.20,241.40,1700,241.40
2016-10-12,241.50,242.05,239.60,239.60,1800,239.60
2016-10-11,241.00,242.10,240.30,240.90,3100,240.90
2016-10-10,240.40,242.00,239.10,240.55,5200,240.55
2016-10-07,237.00,237.75,235.15,237.00,1400,237.00
2016-10-06,236.90,238.85,235.85,236.60,1200,236.60
2016-10-05,240.00,240.65,237.20,239.85,3900,239.85
2016-10-04,237.40,241.85,237.40,241.00,2200,241.00
2016-10-03,238.10,238.10,238.10,238.10,000,238.10
2016-09-30,232.50,239.10,231.05,238.10,2500,238.10
2016-09-29,240.90,240.90,236.90,237.90,1500,237.90
2016-09-28,237.25,238.15,234.95,237.00,3000,237.00
2016-09-27,239.35,240.30,236.00,236.15,2900,236.15
2016-09-26,245.10,245.10,241.35,241.35,2800,241.35
2016-09-23,242.70,246.00,242.70,245.00,1500,245.00
2016-09-22,247.30,248.00,245.05,246.95,2800,246.95
2016-09-21,245.00,248.55,243.20,248.55,7600,248.55
2016-09-20,243.30,244.85,243.00,244.00,2600,244.00
2016-09-19,247.30,248.75,241.50,245.00,4900,245.00
2016-09-16,225.00,247.05,225.00,245.60,15300,245.60
2016-09-15,224.15,226.00,223.50,226.00,2500,226.00
2016-09-14,224.70,225.25,222.05,225.15,1200,225.15
2016-09-13,222.00,225.45,222.00,224.75,2000,224.75
2016-09-12,220.65,222.75,218.35,222.00,2000,222.00
2016-09-09,225.70,225.70,221.60,222.00,2100,222.00
2016-09-08,228.00,229.40,225.70,226.35,2100,226.35
2016-09-07,225.15,228.75,225.15,228.20,4800,228.20
2016-09-06,223.55,226.15,223.00,225.50,1700,225.50
2016-09-05,222.15,224.65,222.15,224.30,1400,224.30
2016-09-02,222.95,224.45,221.00,223.10,2600,223.10
2016-09-01,224.05,225.15,219.50,221.50,4100,221.50
2016-08-31,224.75,225.15,224.00,224.00,3900,224.00
2016-08-30,225.60,227.40,224.10,224.10,1000,224.10
2016-08-29,226.15,226.50,222.50,225.95,1500,225.95
2016-08-26,222.10,228.20,222.10,226.00,2700,226.00
2016-08-25,227.85,227.85,225.00,226.00,1900,226.00
2016-08-24,226.00,227.95,225.55,226.00,2500,226.00
2016-08-23,225.50,228.80,225.40,226.00,2500,226.00
2016-08-22,228.65,228.65,225.35,227.05,4200,227.05
2016-08-19,227.95,228.40,225.40,227.05,2800,227.05
2016-08-18,224.65,227.80,224.65,226.00,1300,226.00
2016-08-17,227.30,227.30,224.65,225.30,1600,225.30
2016-08-16,226.00,229.15,222.60,226.60,2900,226.60
2016-08-15,228.55,230.00,227.65,228.80,2300,228.80
2016-08-12,228.50,229.75,226.60,227.00,2400,227.00
2016-08-11,223.60,229.00,223.60,229.00,2700,229.00
2016-08-10,221.00,225.45,221.00,225.30,1600,225.30
2016-08-09,221.05,223.35,221.00,223.35,1700,223.35
2016-08-08,223.50,223.50,220.70,221.85,800,221.85
2016-08-05,221.95,223.00,220.55,222.70,1400,222.70
2016-08-04,219.05,222.45,219.05,222.35,2400,222.35
2016-08-03,221.00,221.55,219.40,221.50,2000,221.50
2016-08-02,219.65,221.50,218.85,220.70,3700,220.70
2016-08-01,218.00,223.00,218.00,222.00,5200,222.00
2016-07-29,221.00,223.95,220.55,222.90,6500,222.90
2016-07-28,221.00,223.50,219.45,220.50,4100,220.50
2016-07-27,223.80,226.20,219.10,221.75,4600,221.75
2016-07-26,221.40,225.00,218.70,222.00,5000,222.00
2016-07-25,219.35,224.00,219.35,223.00,3800,223.00
2016-07-22,218.15,224.65,218.00,222.55,4200,222.55
2016-07-21,220.00,222.55,219.15,221.80,5500,221.80
2016-07-20,212.80,219.00,212.80,218.10,4800,218.10
2016-07-19,210.05,214.30,210.05,212.50,1500,212.50
2016-07-18,209.55,214.35,209.55,212.00,2600,212.00
2016-07-15,211.80,214.60,207.00,213.90,4300,213.90
2016-07-14,211.00,212.80,208.75,210.40,1700,210.40
2016-07-13,209.35,214.00,209.35,211.70,3400,211.70
2016-07-12,203.55,213.80,203.55,212.70,2400,212.70
2016-07-11,202.45,206.50,202.45,206.00,4200,206.00
2016-07-08,199.65,203.50,196.95,202.00,6000,202.00
2016-07-07,203.55,203.55,197.05,201.00,5400,201.00
2016-07-06,202.35,202.35,199.35,200.45,2100,200.45
2016-07-05,202.00,204.20,201.00,202.40,5200,202.40
2016-07-04,201.45,204.40,201.45,202.00,3400,202.00
2016-07-01,202.00,203.40,201.50,203.10,6100,203.10
2016-06-30,199.10,203.85,199.10,201.10,4000,201.10
2016-06-29,195.00,200.75,195.00,200.60,2800,200.60
2016-06-28,194.20,199.95,194.20,195.00,2200,195.00
2016-06-27,193.20,197.35,193.20,194.15,1600,194.15
2016-06-24,190.35,202.40,185.80,196.15,5200,196.15
2016-06-23,207.60,208.95,204.00,206.35,2000,206.35
2016-06-22,211.00,212.00,207.80,207.80,2200,207.80
2016-06-21,206.65,211.15,206.55,210.45,1800,210.45
2016-06-20,205.75,209.00,204.75,206.20,5700,206.20
2016-06-17,206.30,208.00,203.25,203.70,3200,203.70
2016-06-16,207.60,207.65,200.85,204.40,6100,204.40
2016-06-15,211.00,212.00,208.90,208.90,5200,208.90
2016-06-14,209.80,217.00,209.00,209.00,6600,209.00
2016-06-13,208.00,209.80,206.55,209.75,1900,209.75
2016-06-10,215.10,215.10,208.05,209.65,3200,209.65
2016-06-09,214.20,215.00,211.70,214.80,2700,214.80
2016-06-08,214.00,214.95,213.80,214.25,2600,214.25
2016-06-07,212.95,214.15,212.95,214.00,3600,214.00
2016-06-06,211.80,214.00,211.80,213.00,2200,213.00
2016-06-03,214.00,215.90,211.00,212.80,2900,212.80
2016-06-02,213.00,215.35,210.80,215.35,3000,215.35
2016-06-01,211.20,213.65,208.50,213.05,2800,213.05
2016-05-31,210.55,210.55,207.00,209.00,1600,209.00
2016-05-30,211.60,212.80,209.30,210.00,1400,210.00
2016-05-27,210.00,216.00,209.70,213.20,3100,213.20
2016-05-26,206.50,210.00,206.50,210.00,2000,210.00
2016-05-25,206.95,208.45,205.00,206.50,1700,206.50
2016-05-24,206.45,208.20,206.30,207.85,2300,207.85
2016-05-23,202.40,212.50,202.40,206.60,4500,206.60
2016-05-20,196.40,205.00,196.40,205.00,2300,205.00
2016-05-19,200.25,201.05,196.75,199.45,1900,199.45
2016-05-18,203.30,203.50,200.20,200.25,1600,200.25
2016-05-17,200.80,205.70,200.80,201.20,2400,201.20
2016-05-16,202.60,202.60,202.60,202.60,000,202.60
2016-05-13,202.00,203.80,201.00,202.60,4400,202.60
2016-05-12,199.70,206.90,199.70,204.60,6100,204.60
2016-05-11,202.00,203.50,199.85,200.20,5000,200.20
2016-05-10,196.35,203.65,196.00,201.90,2700,201.90
2016-05-09,199.00,199.05,194.75,195.15,1900,195.15
2016-05-06,199.00,199.45,198.55,198.60,3600,198.60
2016-05-05,199.00,199.15,197.65,197.85,1100,196.85
2016-05-04,198.90,199.50,197.60,198.20,5700,196.70
2016-05-03,199.65,200.00,198.05,198.05,2500,196.55
2016-05-02,199.95,199.95,198.35,199.40,1700,197.89
2016-04-29,205.00,205.95,197.65,199.00,3900,197.49
2016-04-28,200.80,207.05,198.30,206.60,3700,205.04
2016-04-27,198.10,201.00,197.80,198.55,3300,197.05
2016-04-26,197.10,198.20,194.60,196.50,1800,195.01
2016-04-25,194.00,195.95,194.00,194.75,2500,193.28
2016-04-22,195.00,200.00,193.25,195.00,4300,193.52
2016-04-21,192.90,194.25,190.00,193.50,4900,192.04
2016-04-20,194.00,194.20,192.80,194.00,4100,192.53
2016-04-19,192.75,194.20,192.75,193.65,2000,192.19
2016-04-18,187.55,192.35,187.55,191.25,800,189.80
2016-04-15,191.55,192.00,189.50,189.90,1900,188.46
2016-04-14,190.65,192.40,190.65,191.80,2200,190.35
2016-04-13,193.95,194.70,190.00,190.65,4100,189.21
2016-04-12,193.15,193.75,191.05,192.35,2300,190.90
2016-04-11,194.20,194.45,192.85,193.90,1600,192.43
2016-04-08,191.90,194.10,191.90,194.00,7600,192.53
2016-04-07,191.90,193.70,191.25,192.55,1700,191.09
2016-04-06,194.20,194.20,190.80,191.30,1200,189.85
2016-04-05,190.85,194.60,190.30,191.90,1100,190.45
2016-04-04,191.05,194.50,191.05,194.10,1200,192.63
2016-04-01,193.50,194.55,192.50,193.75,2300,192.28
2016-03-31,193.15,194.70,193.15,194.05,1500,192.58
2016-03-30,194.70,194.70,190.60,194.10,1100,192.63
2016-03-29,193.20,193.50,190.50,193.45,1400,191.99
2016-03-28,192.05,192.05,192.05,192.05,000,190.60
2016-03-25,192.05,192.05,192.05,192.05,000,190.60
2016-03-24,194.00,194.00,190.70,192.05,800,190.60
2016-03-23,194.30,194.85,192.35,194.25,2700,192.78
2016-03-22,191.80,192.40,189.90,191.20,900,189.75
2016-03-21,187.55,194.55,187.15,193.30,2900,191.84
2016-03-18,192.50,194.95,185.25,186.90,11100,185.49
2016-03-17,195.00,195.00,193.30,194.20,1200,192.73
2016-03-16,193.50,195.20,193.50,194.30,1100,192.83
2016-03-15,195.00,195.65,194.45,194.50,2200,193.03
2016-03-14,194.50,196.25,193.75,195.00,2200,193.52
2016-03-11,192.10,195.00,191.90,194.65,1800,193.18
2016-03-10,194.80,196.10,189.05,190.15,2100,188.71
2016-03-09,194.70,195.80,194.20,194.40,1100,192.93
2016-03-08,195.20,195.60,192.80,194.35,1800,192.88
2016-03-07,196.75,197.15,194.55,195.10,1600,193.62
2016-03-04,196.60,197.00,195.50,196.75,2700,195.26
2016-03-03,198.75,199.80,196.00,196.20,2400,194.72
2016-03-02,197.50,200.80,197.50,198.25,4200,196.75
2016-03-01,198.40,201.45,198.25,199.15,7200,197.64
2016-02-29,194.95,197.65,194.95,197.40,1600,195.91
2016-02-26,192.30,198.20,192.30,197.00,2200,195.51
2016-02-25,191.00,195.00,190.70,194.50,3100,193.03
2016-02-24,194.95,194.95,189.65,190.90,6900,189.46
2016-02-23,195.05,199.45,194.25,194.25,2900,192.78
2016-02-22,197.60,201.00,192.05,195.90,8700,194.42
2016-02-19,187.55,196.00,186.35,195.25,8900,193.77
2016-02-18,184.50,188.85,180.00,188.80,7700,187.37
2016-02-17,176.00,184.50,176.00,184.15,2100,182.76
2016-02-16,179.95,179.95,174.80,176.95,2900,175.61
2016-02-15,168.60,178.00,168.60,177.10,5200,175.76
2016-02-12,168.30,171.40,167.15,168.35,2500,167.08
2016-02-11,169.50,170.50,167.60,168.20,2700,166.93
2016-02-10,167.95,175.00,167.75,171.20,4700,169.90
2016-02-09,173.70,173.70,168.45,168.45,5500,167.18
2016-02-08,182.00,182.25,172.65,173.00,6500,171.69
2016-02-05,183.50,183.75,180.25,181.65,4300,180.28
2016-02-04,182.20,184.05,179.65,183.50,6200,182.11
2016-02-03,184.00,185.55,180.50,181.20,4600,179.83
2016-02-02,185.55,186.30,184.10,184.75,1300,183.35
2016-02-01,187.90,188.20,185.60,186.00,1900,184.59
2016-01-29,185.15,186.15,182.50,186.15,2000,184.74
2016-01-28,184.00,186.60,182.85,183.25,2000,181.86
2016-01-27,187.30,188.65,187.25,188.00,3400,186.58
2016-01-26,186.90,189.50,185.75,189.10,3400,187.67
2016-01-25,184.20,187.60,184.20,187.35,1400,185.93
2016-01-22,177.60,185.80,177.60,183.50,2400,182.11
2016-01-21,180.95,181.30,178.05,179.40,2800,178.04
2016-01-20,185.70,185.70,179.15,181.45,2800,180.08
2016-01-19,176.00,188.15,176.00,187.80,6500,186.38
2016-01-18,181.60,183.20,175.00,175.00,6300,173.68
2016-01-15,186.60,188.95,181.05,183.50,3500,182.11
2016-01-14,184.05,189.90,183.05,188.00,4000,186.58
2016-01-13,197.80,197.80,186.95,187.15,2800,185.73
2016-01-12,183.00,197.15,183.00,196.00,3700,194.52
2016-01-11,182.55,187.50,181.55,184.15,3900,182.76
2016-01-08,189.30,190.25,182.65,183.15,2500,181.76
2016-01-07,192.25,192.70,186.35,189.30,4900,187.87
2016-01-06,197.85,199.40,191.20,192.60,3000,191.14
2016-01-05,196.50,198.65,194.55,197.75,5200,196.25
2016-01-04,195.85,199.50,191.75,192.05,2600,190.60
2016-01-01,198.65,198.65,198.65,198.65,000,197.15
2015-12-31,198.65,198.65,198.65,198.65,000,197.15
2015-12-30,199.55,202.10,198.20,198.65,1100,197.15
2015-12-29,194.70,203.55,194.70,202.45,3200,200.92
2015-12-28,197.00,199.25,194.70,194.70,3100,193.23
2015-12-25,196.95,196.95,196.95,196.95,000,195.46
2015-12-24,196.95,196.95,196.95,196.95,000,195.46
2015-12-23,191.25,197.80,191.25,196.95,5500,195.46
2015-12-22,187.30,192.75,187.25,191.10,2600,189.65
2015-12-21,191.55,192.80,190.10,190.10,9200,188.66
2015-12-18,202.05,202.05,191.95,191.95,15100,190.50
2015-12-17,199.75,202.65,199.75,201.90,3600,200.37
2015-12-16,198.15,198.15,195.85,197.60,2900,196.11
2015-12-15,197.35,201.30,196.65,198.15,3100,196.65
2015-12-14,200.05,200.05,194.40,194.85,3500,193.38
2015-12-11,206.25,206.25,197.10,199.85,3900,198.34
2015-12-10,207.15,207.15,204.65,206.25,2800,204.69
2015-12-09,205.45,207.15,204.05,206.75,5000,205.19
2015-12-08,205.50,207.50,202.50,206.20,6900,204.64
2015-12-07,202.65,206.45,202.50,206.00,5500,204.44
2015-12-04,204.05,205.75,201.35,202.30,4200,200.77
2015-12-03,208.00,209.70,205.05,206.00,6300,204.44
2015-12-02,204.10,207.75,203.90,207.00,5100,205.43
2015-12-01,201.00,206.45,199.00,205.30,9800,203.75
2015-11-30,197.60,203.55,197.60,201.85,4100,200.32
2015-11-27,199.25,201.35,199.00,199.25,5900,197.74
2015-11-26,203.20,204.35,200.70,201.15,4200,199.63
2015-11-25,203.40,204.90,200.75,203.45,4100,201.91
2015-11-24,207.65,207.65,200.45,202.10,3300,200.57
2015-11-23,208.40,208.40,207.10,207.15,4300,205.58
2015-11-20,207.10,208.05,206.20,207.25,3500,205.68
2015-11-19,204.00,209.15,203.50,206.70,6500,205.14
2015-11-18,202.05,206.40,201.80,206.00,5500,204.44
2015-11-17,202.85,205.40,202.85,204.40,3300,202.85
2015-11-16,202.25,203.60,198.05,203.05,6400,201.51
2015-11-13,204.85,206.95,201.50,203.35,5200,201.81
2015-11-12,205.55,212.15,205.55,207.65,10300,206.08
2015-11-11,205.35,213.40,205.35,211.45,5600,209.85
2015-11-10,210.00,210.20,205.20,208.40,7700,206.82
2015-11-09,211.60,213.30,209.80,212.15,10600,210.55
2015-11-06,216.00,219.30,208.70,212.85,28300,211.24
2015-11-05,204.65,209.35,204.60,206.55,5200,204.99
2015-11-04,204.10,206.85,203.95,204.30,10100,202.75
2015-11-03,203.50,204.55,202.35,204.55,2800,203.00
2015-11-02,203.80,206.35,200.45,202.50,7200,200.97
2015-10-30,201.05,204.30,201.05,203.60,3500,202.06
2015-10-29,201.00,204.65,200.65,203.55,4100,202.01
2015-10-28,196.60,201.75,196.60,201.55,5700,200.03
2015-10-27,196.50,197.20,195.30,196.50,4500,195.01
2015-10-26,196.40,197.80,194.40,197.50,6200,196.01
2015-10-23,196.05,196.70,195.15,196.35,8100,194.86
2015-10-22,192.60,195.40,192.60,195.35,5400,193.87
2015-10-21,192.00,193.40,191.10,192.80,5700,191.34
2015-10-20,191.05,192.05,189.75,191.75,2900,190.30
2015-10-19,188.00,192.45,188.00,191.80,2800,190.35
2015-10-16,192.00,192.00,189.60,190.00,5000,188.56
2015-10-15,188.25,192.85,187.50,191.00,3200,189.56
2015-10-14,185.00,188.05,184.90,187.75,2700,186.33
2015-10-13,193.75,193.75,185.10,185.85,5500,184.44
2015-10-12,193.00,194.15,191.25,192.55,6200,191.09
2015-10-09,193.95,194.15,192.25,193.40,6400,191.94
2015-10-08,194.10,194.10,191.95,193.35,6100,191.89
2015-10-07,191.00,193.00,188.60,192.75,12400,191.29
