Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,480.65,481.90,478.40,479.75,4500,479.75
2016-10-26,480.00,482.25,477.85,480.45,4300,480.45
2016-10-25,481.80,481.95,476.00,480.00,5200,480.00
2016-10-24,478.10,480.75,475.10,480.00,14100,480.00
2016-10-21,478.90,481.65,472.10,475.25,6900,475.25
2016-10-20,461.95,476.40,458.00,473.55,12400,473.55
2016-10-19,450.75,451.35,447.80,451.35,3200,451.35
2016-10-18,447.65,452.60,447.65,450.10,3400,450.10
2016-10-17,442.90,449.80,442.90,446.15,5600,446.15
2016-10-14,446.40,449.00,443.10,445.20,3200,445.20
2016-10-13,438.95,447.35,438.00,443.75,5700,443.75
2016-10-12,442.95,446.45,439.25,441.85,9600,441.85
2016-10-11,444.35,449.40,442.25,443.45,5000,443.45
2016-10-10,445.00,449.20,442.85,444.00,3800,444.00
2016-10-07,452.15,452.60,444.70,444.70,3600,444.70
2016-10-06,452.90,455.20,451.25,451.55,3500,451.55
2016-10-05,445.35,455.00,445.35,452.75,7400,452.75
2016-10-04,445.90,449.00,443.85,448.45,9100,448.45
2016-10-03,446.00,446.00,446.00,446.00,000,446.00
2016-09-30,436.45,448.05,436.10,446.00,10200,446.00
2016-09-29,449.45,451.25,441.15,441.20,7400,441.20
2016-09-28,447.40,450.35,444.45,445.90,6900,445.90
2016-09-27,445.00,445.80,439.00,444.05,7700,444.05
2016-09-26,448.65,448.65,441.90,442.65,4600,442.65
2016-09-23,452.80,454.65,450.00,451.00,6300,451.00
2016-09-22,440.00,454.65,439.10,451.55,9000,451.55
2016-09-21,435.45,439.65,434.80,437.15,3500,437.15
2016-09-20,433.15,435.05,430.70,432.45,2100,432.45
2016-09-19,436.45,437.65,431.30,433.05,2800,433.05
2016-09-16,431.50,436.15,426.80,436.15,6800,436.15
2016-09-15,432.00,433.80,427.40,431.85,5400,431.85
2016-09-14,431.25,434.15,429.40,431.95,4900,431.95
2016-09-13,432.50,436.60,429.60,430.00,3400,430.00
2016-09-12,435.00,435.00,428.60,432.30,8900,432.30
2016-09-09,446.10,446.15,434.50,436.35,3000,436.35
2016-09-08,449.40,451.15,444.45,446.60,3900,446.60
