Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,12.265,12.40,12.17,12.325,85000,12.325
2016-10-26,12.20,12.305,12.12,12.26,166700,12.26
2016-10-25,12.26,12.31,12.14,12.255,122700,12.255
2016-10-24,12.35,12.40,12.25,12.29,153900,12.29
2016-10-21,12.20,12.33,12.155,12.285,233000,12.285
2016-10-20,11.85,12.195,11.705,12.195,386400,12.195
2016-10-19,11.435,11.55,11.30,11.54,151500,11.54
2016-10-18,11.15,11.47,11.07,11.39,108400,11.39
2016-10-17,11.06,11.125,11.01,11.075,36700,11.075
2016-10-14,11.00,11.13,11.00,11.085,90900,11.085
2016-10-13,11.20,11.205,10.935,11.02,75200,11.02
2016-10-12,11.325,11.365,11.215,11.255,36800,11.255
2016-10-11,11.505,11.555,11.285,11.305,66900,11.305
2016-10-10,11.49,11.565,11.44,11.495,118700,11.495
2016-10-07,11.49,11.54,11.335,11.495,179900,11.495
2016-10-06,11.49,11.535,11.35,11.475,76100,11.475
2016-10-05,11.28,11.535,11.205,11.405,110800,11.405
2016-10-04,11.50,11.66,11.26,11.34,193300,11.34
2016-10-03,11.50,11.50,11.50,11.50,000,11.50
2016-09-30,11.29,11.50,11.05,11.50,166500,11.50
2016-09-29,11.495,11.495,11.345,11.385,135900,11.385
2016-09-28,10.78,11.48,10.75,11.31,325200,11.31
2016-09-27,10.74,10.77,10.47,10.695,183700,10.695
2016-09-26,10.76,10.79,10.61,10.655,92200,10.655
2016-09-23,10.825,10.94,10.69,10.79,121600,10.79
2016-09-22,10.64,11.00,10.605,10.885,320900,10.885
2016-09-21,10.515,10.745,10.48,10.555,126500,10.555
2016-09-20,10.26,10.46,10.215,10.43,131100,10.43
2016-09-19,10.18,10.295,10.155,10.20,121800,10.20
2016-09-16,10.15,10.205,10.03,10.14,134600,10.14
2016-09-15,10.11,10.30,10.055,10.15,166800,10.15
2016-09-14,10.25,10.25,10.015,10.105,113100,10.105
2016-09-13,10.185,10.41,10.13,10.19,137400,10.19
2016-09-12,10.10,10.195,9.90,10.195,176300,10.195
2016-09-09,10.37,10.375,10.16,10.24,98300,10.24
2016-09-08,10.50,10.525,10.165,10.315,95100,10.315
2016-09-07,10.565,10.585,10.41,10.45,68300,10.45
2016-09-06,10.505,10.55,10.385,10.50,110600,10.50
2016-09-05,10.50,10.575,10.385,10.42,136800,10.42
2016-09-02,10.36,10.46,10.19,10.46,82200,10.46
2016-09-01,10.35,10.475,10.175,10.28,80700,10.28
2016-08-31,10.405,10.475,10.30,10.30,60800,10.30
2016-08-30,10.525,10.58,10.355,10.41,68900,10.41
2016-08-29,10.60,10.64,10.35,10.44,33200,10.44
2016-08-26,10.42,10.66,10.415,10.59,51300,10.59
2016-08-25,10.51,10.535,10.36,10.42,78800,10.42
2016-08-24,10.40,10.575,10.30,10.51,92100,10.51
2016-08-23,10.425,10.60,10.425,10.43,77700,10.43
2016-08-22,10.44,10.605,10.285,10.395,102100,10.395
2016-08-19,10.615,10.615,10.305,10.42,87000,10.42
2016-08-18,10.665,10.695,10.54,10.55,59200,10.55
2016-08-17,10.70,10.70,10.465,10.58,112100,10.58
2016-08-16,10.70,10.745,10.60,10.635,94800,10.635
2016-08-15,11.13,11.13,10.725,10.73,74000,10.73
2016-08-12,11.14,11.14,10.985,11.085,69200,11.085
2016-08-11,11.25,11.385,11.01,11.145,127900,11.145
2016-08-10,10.94,10.98,10.82,10.975,85200,10.975
2016-08-09,10.85,10.955,10.755,10.94,110500,10.94
2016-08-08,10.77,10.92,10.72,10.74,99500,10.74
2016-08-05,10.55,10.80,10.55,10.75,69100,10.75
2016-08-04,10.55,10.80,10.48,10.58,134800,10.58
2016-08-03,10.58,10.625,10.275,10.465,107400,10.465
2016-08-02,10.81,10.81,10.55,10.60,73800,10.60
2016-08-01,10.85,11.10,10.77,10.815,143800,10.815
2016-07-29,10.68,10.83,10.68,10.795,109400,10.795
2016-07-28,10.85,10.98,10.64,10.645,103900,10.645
2016-07-27,10.65,10.94,10.65,10.93,156300,10.93
2016-07-26,10.57,10.705,10.505,10.565,71000,10.565
2016-07-25,10.545,10.84,10.415,10.545,176200,10.545
2016-07-22,10.65,10.65,10.37,10.455,139400,10.455
2016-07-21,10.69,10.89,10.595,10.65,173200,10.65
2016-07-20,10.44,10.66,10.325,10.66,161400,10.66
2016-07-19,10.225,10.495,10.065,10.36,192000,10.36
2016-07-18,10.135,10.35,10.11,10.25,124700,10.25
2016-07-15,10.14,10.35,10.05,10.10,125500,10.10
2016-07-14,9.75,10.30,9.57,10.225,464400,10.225
2016-07-13,10.05,10.16,9.914,9.971,145800,9.971
2016-07-12,10.01,10.30,9.991,10.00,145300,10.00
2016-07-11,9.661,10.01,9.60,9.961,127900,9.961
2016-07-08,9.38,9.73,9.38,9.60,121100,9.60
2016-07-07,9.073,9.468,9.073,9.363,239400,9.363
2016-07-06,9.45,9.556,8.91,9.00,322300,9.00
2016-07-05,9.799,9.799,9.46,9.50,202000,9.50
2016-07-04,10.29,10.29,9.752,9.76,95100,9.76
2016-07-01,10.02,10.31,9.901,10.26,55100,10.26
2016-06-30,9.712,10.10,9.695,9.94,93300,9.94
2016-06-29,9.80,9.89,9.64,9.703,88000,9.703
2016-06-28,9.82,9.99,9.582,9.609,231900,9.609
2016-06-27,10.50,10.50,9.628,9.65,173000,9.65
2016-06-24,9.909,10.905,9.83,10.525,326700,10.525
2016-06-23,11.22,11.275,11.07,11.19,111500,11.19
2016-06-22,11.185,11.385,11.10,11.17,116700,11.17
2016-06-21,11.09,11.28,11.02,11.185,90700,11.185
2016-06-20,10.80,11.14,10.75,11.095,125100,11.095
2016-06-17,10.11,10.615,10.105,10.555,199500,10.555
2016-06-16,10.13,10.18,10.00,10.03,157200,10.03
2016-06-15,10.38,10.445,10.15,10.215,132700,10.215
2016-06-14,10.41,10.465,10.235,10.31,104600,10.31
2016-06-13,10.80,10.80,10.465,10.505,121800,10.505
2016-06-10,11.30,11.345,10.80,10.91,98700,10.91
2016-06-09,11.40,11.415,11.21,11.335,71800,11.335
2016-06-08,11.55,11.575,11.29,11.42,134400,11.42
2016-06-07,11.30,11.58,11.30,11.56,90500,11.56
2016-06-06,11.27,11.34,11.185,11.22,63100,11.22
2016-06-03,11.575,11.58,11.14,11.22,59600,11.22
2016-06-02,11.285,11.505,11.25,11.47,43600,11.47
2016-06-01,11.32,11.395,11.24,11.32,64200,11.32
2016-05-31,11.51,11.51,11.29,11.36,74600,11.36
2016-05-30,11.40,11.50,11.38,11.45,44100,11.45
2016-05-27,11.35,11.42,11.13,11.37,113100,11.37
2016-05-26,11.41,11.425,11.235,11.34,90800,11.34
2016-05-25,11.18,11.41,11.16,11.37,175100,11.37
2016-05-24,10.895,11.095,10.855,11.095,134800,11.095
2016-05-23,10.85,10.97,10.75,10.895,152900,10.895
2016-05-20,10.655,10.88,10.635,10.845,79200,10.845
2016-05-19,10.75,10.755,10.53,10.675,103000,10.675
2016-05-18,10.60,10.74,10.505,10.665,94500,10.665
2016-05-17,10.555,10.705,10.46,10.635,134900,10.635
2016-05-16,10.555,10.555,10.555,10.555,000,10.555
2016-05-13,10.315,10.555,10.285,10.555,74300,10.555
2016-05-12,10.40,10.625,10.35,10.40,145300,10.40
2016-05-11,10.49,10.54,10.355,10.45,114300,10.45
2016-05-10,10.07,10.555,10.07,10.55,253600,10.55
2016-05-09,10.345,10.345,10.015,10.055,193600,10.055
2016-05-06,9.965,10.315,9.881,10.265,153600,10.265
2016-05-05,10.05,10.075,9.954,10.00,60600,10.00
2016-05-04,10.00,10.065,9.762,10.05,214900,10.05
2016-05-03,10.35,10.35,9.963,10.00,173100,10.00
2016-05-02,10.355,10.37,10.275,10.30,55500,10.30
2016-04-29,10.44,10.545,10.28,10.28,142200,10.28
2016-04-28,10.92,10.92,10.52,10.755,128300,10.755
2016-04-27,10.91,11.03,10.82,10.85,188500,10.85
2016-04-26,10.98,10.99,10.85,10.975,85300,10.975
2016-04-25,11.02,11.08,10.86,10.895,104200,10.895
2016-04-22,10.90,11.085,10.875,11.06,146600,11.06
2016-04-21,10.835,10.96,10.76,10.94,100200,10.94
2016-04-20,10.82,10.83,10.705,10.75,50400,10.75
2016-04-19,10.90,10.935,10.725,10.795,118700,10.795
2016-04-18,10.38,10.895,10.25,10.815,150700,10.815
2016-04-15,10.72,10.72,10.365,10.40,93300,10.40
2016-04-14,10.875,10.92,10.635,10.635,100100,10.635
2016-04-13,10.83,11.065,10.73,10.795,246000,10.795
2016-04-12,10.70,10.80,10.585,10.80,103000,10.80
2016-04-11,10.45,10.685,10.32,10.66,93400,10.66
2016-04-08,10.28,10.455,10.255,10.44,75200,10.44
2016-04-07,10.415,10.42,10.11,10.22,137400,10.22
2016-04-06,10.12,10.415,10.12,10.415,205600,10.415
2016-04-05,10.50,10.51,10.08,10.175,181900,10.175
2016-04-04,10.625,10.935,10.525,10.555,137400,10.555
2016-04-01,10.855,10.90,10.625,10.695,115900,10.695
2016-03-31,11.00,11.125,10.80,10.845,112800,10.845
2016-03-30,10.565,11.165,10.55,11.065,160600,11.065
2016-03-29,10.68,10.68,10.35,10.48,107300,10.48
2016-03-28,10.60,10.60,10.60,10.60,000,10.60
2016-03-25,10.60,10.60,10.60,10.60,000,10.60
2016-03-24,11.00,11.00,10.50,10.60,127500,10.60
2016-03-23,11.00,11.10,10.855,10.965,182400,10.965
2016-03-22,10.745,10.95,10.615,10.95,152300,10.95
2016-03-21,11.00,11.04,10.64,10.725,260600,10.725
2016-03-18,10.85,11.115,10.81,11.00,108100,11.00
2016-03-17,11.185,11.185,10.74,10.86,160700,10.86
2016-03-16,11.08,11.21,11.04,11.095,146900,11.095
2016-03-15,11.20,11.275,10.955,11.07,103800,11.07
2016-03-14,11.50,11.575,11.14,11.16,212300,11.16
