Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,11.105,11.43,10.955,11.275,204600,11.275
2016-10-26,11.10,11.23,10.97,11.07,99900,11.07
2016-10-25,11.325,11.325,10.80,11.00,197000,11.00
2016-10-24,11.74,11.86,11.25,11.315,140900,11.315
2016-10-21,11.53,11.79,11.48,11.65,145300,11.65
2016-10-20,11.43,11.74,11.02,11.545,340500,11.545
2016-10-19,11.73,11.85,11.655,11.785,71600,11.785
2016-10-18,11.735,11.86,11.62,11.705,72000,11.705
2016-10-17,11.735,11.805,11.61,11.695,60900,11.695
2016-10-14,11.52,11.77,11.52,11.75,82600,11.75
2016-10-13,11.89,11.89,11.33,11.52,136000,11.52
2016-10-12,11.12,12.09,11.12,11.705,387100,11.705
2016-10-11,10.68,11.155,10.665,11.145,218800,11.145
2016-10-10,10.58,10.67,10.55,10.61,69600,10.61
2016-10-07,10.865,10.92,10.58,10.58,63500,10.58
2016-10-06,10.75,10.845,10.72,10.81,66000,10.81
2016-10-05,10.78,10.78,10.65,10.675,57600,10.675
2016-10-04,10.36,10.795,10.36,10.70,107400,10.70
2016-10-03,10.44,10.44,10.44,10.44,000,10.44
2016-09-30,10.415,10.50,10.25,10.44,99100,10.44
2016-09-29,10.66,10.66,10.365,10.59,89300,10.59
2016-09-28,10.765,10.775,10.325,10.42,94400,10.42
2016-09-27,10.825,10.83,10.54,10.635,59300,10.635
2016-09-26,10.99,10.99,10.76,10.88,55200,10.88
2016-09-23,11.00,11.02,10.84,10.975,47600,10.975
2016-09-22,10.65,11.00,10.51,10.92,111900,10.92
2016-09-21,10.515,10.61,10.405,10.54,52100,10.54
2016-09-20,10.40,10.55,10.355,10.405,57100,10.405
2016-09-19,10.32,10.425,10.245,10.39,72300,10.39
2016-09-16,10.35,10.395,10.20,10.295,75900,10.295
2016-09-15,10.20,10.385,10.20,10.30,83500,10.30
2016-09-14,10.47,10.63,10.22,10.22,60400,10.22
2016-09-13,10.685,10.91,10.355,10.415,138300,10.415
2016-09-12,10.95,10.955,10.435,10.62,150800,10.62
2016-09-09,11.22,11.22,10.865,10.965,82300,10.965
2016-09-08,11.35,11.35,10.975,11.02,66700,11.02
2016-09-07,11.05,11.30,10.975,11.265,82500,11.265
2016-09-06,11.18,11.185,10.945,10.965,132600,10.965
2016-09-05,11.15,11.19,10.98,11.045,111700,11.045
2016-09-02,11.22,11.235,11.01,11.065,143300,11.065
2016-09-01,11.52,11.575,11.135,11.195,79000,11.195
2016-08-31,11.44,11.815,11.41,11.54,124000,11.54
2016-08-30,11.38,11.56,11.33,11.44,70900,11.44
2016-08-29,11.20,11.44,11.135,11.34,79700,11.34
2016-08-26,11.18,11.395,11.01,11.37,68100,11.37
2016-08-25,11.39,11.40,10.98,10.98,122500,10.98
2016-08-24,11.695,11.75,11.405,11.485,69400,11.485
2016-08-23,11.30,11.665,11.24,11.495,96900,11.495
2016-08-22,11.30,11.53,11.21,11.285,78200,11.285
2016-08-19,11.42,11.485,11.25,11.305,67400,11.305
2016-08-18,11.275,11.63,11.26,11.44,71800,11.44
2016-08-17,11.20,11.32,11.06,11.16,69500,11.16
2016-08-16,11.20,11.505,11.185,11.20,117100,11.20
2016-08-15,11.60,11.65,11.245,11.28,85500,11.28
2016-08-12,11.65,11.77,11.495,11.515,77100,11.515
2016-08-11,11.35,11.72,11.28,11.67,164400,11.67
2016-08-10,11.51,11.60,11.30,11.395,105600,11.395
2016-08-09,11.40,11.665,11.35,11.51,134100,11.51
2016-08-08,11.14,11.34,11.12,11.25,76900,11.25
2016-08-05,10.84,11.105,10.84,11.065,54000,11.065
2016-08-04,11.03,11.275,10.905,10.97,100800,10.97
2016-08-03,10.64,11.25,10.62,11.175,71000,11.175
2016-08-02,11.02,11.035,10.58,10.69,94300,10.69
2016-08-01,10.99,11.12,10.92,10.995,81400,10.995
2016-07-29,10.78,10.945,10.655,10.895,84700,10.895
2016-07-28,10.89,10.91,10.745,10.78,57000,10.78
2016-07-27,10.80,11.135,10.77,10.88,104500,10.88
2016-07-26,10.735,10.83,10.58,10.775,57500,10.775
2016-07-25,10.80,10.885,10.65,10.70,61400,10.70
2016-07-22,10.77,10.855,10.595,10.705,80000,10.705
2016-07-21,10.65,10.915,10.625,10.915,99900,10.915
2016-07-20,10.62,10.695,10.315,10.58,95800,10.58
2016-07-19,10.56,10.76,10.395,10.525,57400,10.525
2016-07-18,10.71,10.895,10.58,10.585,81700,10.585
2016-07-15,10.64,10.77,10.49,10.705,65200,10.705
2016-07-14,10.48,10.72,10.32,10.625,97200,10.625
2016-07-13,10.68,10.80,10.365,10.375,82900,10.375
2016-07-12,10.245,10.855,10.20,10.675,255300,10.675
