Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,55.20,55.60,55.03,55.20,29500,55.20
2016-10-26,55.00,55.40,55.00,55.25,23200,55.25
2016-10-25,54.85,55.48,54.43,55.20,63100,55.20
2016-10-24,52.20,54.83,52.01,54.60,118000,54.60
2016-10-21,50.42,52.30,50.27,52.00,99100,52.00
2016-10-20,51.20,51.20,50.19,50.26,19200,50.26
2016-10-19,50.45,51.20,50.12,51.04,20800,51.04
2016-10-18,50.29,50.73,50.16,50.27,11400,50.27
2016-10-17,50.62,50.62,49.67,49.955,24900,49.955
2016-10-14,50.52,51.18,50.26,50.55,21800,50.55
2016-10-13,50.33,50.37,49.735,50.22,21500,50.22
2016-10-12,50.40,50.97,50.12,50.45,14800,50.45
2016-10-11,50.50,50.99,50.26,50.59,21800,50.59
2016-10-10,50.50,50.71,50.04,50.46,13500,50.46
2016-10-07,51.03,51.35,49.90,50.15,17900,50.15
2016-10-06,51.49,51.50,51.00,51.25,27400,51.25
2016-10-05,50.74,51.11,50.00,51.11,27900,51.11
2016-10-04,50.23,50.75,50.09,50.49,27400,50.49
2016-10-03,50.15,50.15,50.15,50.15,000,50.15
2016-09-30,50.30,50.39,49.68,50.15,34600,50.15
2016-09-29,50.60,51.42,50.08,50.27,15500,50.27
2016-09-28,50.44,50.79,50.31,50.49,26300,50.49
2016-09-27,51.17,51.21,50.04,50.60,24900,50.60
2016-09-26,51.00,51.02,50.36,50.79,28600,50.79
2016-09-23,50.95,51.17,50.33,50.89,18400,50.89
2016-09-22,50.66,51.28,50.45,50.88,15900,50.88
2016-09-21,50.45,50.72,49.98,49.995,10200,49.995
2016-09-20,50.43,50.70,49.775,50.14,15800,50.14
2016-09-19,49.05,50.47,48.31,50.34,24900,50.34
2016-09-16,50.68,50.69,49.11,49.32,41600,49.32
2016-09-15,50.39,50.56,49.505,49.995,20600,49.995
2016-09-14,50.20,50.63,49.91,50.27,20600,50.27
2016-09-13,50.75,50.94,49.79,49.97,8200,49.97
2016-09-12,50.30,50.54,49.505,50.39,15000,50.39
2016-09-09,51.91,51.91,50.49,50.98,15200,50.98
2016-09-08,51.42,51.85,50.85,51.84,26600,51.84
2016-09-07,51.25,51.96,51.11,51.74,39100,51.74
2016-09-06,51.00,51.49,50.94,51.20,22500,51.20
2016-09-05,51.19,51.30,50.79,51.05,16100,51.05
2016-09-02,51.27,51.27,50.59,51.02,20200,51.02
2016-09-01,50.55,51.66,50.55,50.99,43400,50.99
2016-08-31,51.20,51.50,50.47,50.85,26100,50.85
2016-08-30,51.19,51.79,51.00,51.00,31900,51.00
2016-08-29,52.00,52.30,49.41,50.80,79000,50.80
2016-08-26,51.90,52.40,51.69,52.04,15700,52.04
2016-08-25,52.59,52.60,51.33,52.15,33900,52.15
2016-08-24,51.70,52.84,51.35,52.46,41300,52.46
2016-08-23,51.30,52.00,51.14,51.71,41700,51.71
2016-08-22,50.18,51.34,50.18,51.04,52400,51.04
2016-08-19,49.735,50.25,49.515,50.02,49500,50.02
2016-08-18,49.345,50.23,48.505,50.02,69300,50.02
2016-08-17,48.60,48.60,47.645,48.26,41300,48.26
2016-08-16,48.83,48.995,48.25,48.275,14800,48.275
2016-08-15,49.50,49.655,48.79,49.275,20000,49.275
2016-08-12,49.33,49.67,48.88,49.35,22100,49.35
2016-08-11,48.585,49.37,48.315,49.37,27300,49.37
2016-08-10,48.90,48.925,48.07,48.505,26700,48.505
2016-08-09,48.495,48.95,48.23,48.88,23900,48.88
2016-08-08,47.965,49.12,47.965,48.38,25200,48.38
2016-08-05,48.26,48.435,47.805,48.255,24800,48.255
2016-08-04,48.09,48.38,47.865,48.06,38500,48.06
2016-08-03,48.24,48.24,47.25,47.56,24500,47.56
2016-08-02,48.505,48.505,47.60,47.815,28300,47.815
2016-08-01,48.00,49.005,48.00,48.745,60900,48.745
2016-07-29,48.26,48.26,47.52,47.89,25500,47.89
2016-07-28,46.95,48.215,46.53,48.215,50700,48.215
2016-07-27,46.10,46.47,46.07,46.35,36000,46.35
2016-07-26,46.80,46.81,45.505,45.99,57700,45.99
2016-07-25,46.10,46.94,46.10,46.57,38000,46.57
2016-07-22,46.50,46.65,46.05,46.36,40500,46.36
2016-07-21,46.665,46.82,46.00,46.435,34400,46.435
2016-07-20,46.575,46.975,46.035,46.235,35300,46.235
2016-07-19,46.51,46.66,45.01,46.16,29100,46.16
2016-07-18,45.56,46.935,45.56,46.545,64100,46.545
2016-07-15,45.80,45.91,45.215,45.615,31200,45.615
2016-07-14,46.20,46.535,45.82,46.14,63600,46.14
2016-07-13,46.00,46.215,45.68,45.775,38400,45.775
2016-07-12,45.78,46.155,45.60,45.88,46100,45.88
2016-07-11,44.34,45.675,44.03,45.60,51200,45.60
2016-07-08,43.635,44.285,43.24,43.85,55400,43.85
2016-07-07,43.68,44.415,43.68,43.85,69200,43.85
2016-07-06,44.07,44.20,42.805,43.19,72300,43.19
2016-07-05,46.01,46.025,44.10,44.24,65500,44.24
2016-07-04,46.44,46.60,45.83,46.18,46800,46.18
2016-07-01,46.385,46.40,45.80,46.20,56600,46.20
2016-06-30,46.00,46.50,45.845,45.975,49000,45.975
2016-06-29,46.84,47.18,45.75,45.96,51100,45.96
2016-06-28,46.10,46.60,45.71,45.955,70400,45.955
2016-06-27,47.00,47.02,44.00,44.075,60400,44.075
2016-06-24,43.80,47.245,43.80,46.945,96200,46.945
2016-06-23,47.125,47.88,46.54,47.43,48600,47.43
2016-06-22,47.495,47.495,46.65,46.85,37300,46.85
2016-06-21,47.46,47.535,46.925,46.98,35000,46.98
2016-06-20,48.00,48.01,47.20,47.475,47900,47.475
2016-06-17,46.38,46.58,45.60,46.34,73200,46.34
2016-06-16,46.63,46.735,45.20,45.23,76100,45.23
2016-06-15,47.025,47.355,46.29,46.685,62400,46.685
2016-06-14,46.085,47.075,45.385,46.90,87800,46.90
2016-06-13,49.025,49.21,46.195,46.63,112600,46.63
2016-06-10,51.61,51.73,49.50,49.985,52300,49.985
2016-06-09,52.15,52.50,51.74,51.85,37500,51.85
2016-06-08,51.75,52.23,51.75,52.21,34500,52.21
2016-06-07,51.60,52.15,51.60,51.80,29200,51.80
2016-06-06,52.20,52.51,51.50,51.50,43900,51.50
2016-06-03,51.49,52.30,51.16,51.89,44000,51.89
2016-06-02,52.16,52.89,51.83,52.26,25200,50.76
2016-06-01,52.90,53.34,52.21,52.41,54800,50.9057
2016-05-31,52.40,53.35,52.36,52.67,32400,51.1582
2016-05-30,53.30,53.73,52.35,52.62,36600,51.1097
2016-05-27,52.02,53.30,52.02,53.07,37400,51.5468
2016-05-26,52.90,53.19,52.25,52.40,36800,50.896
2016-05-25,52.25,53.01,52.25,52.55,35300,51.0417
2016-05-24,52.00,53.20,52.00,52.60,52200,51.0902
2016-05-23,52.52,53.00,51.82,51.84,49300,50.3521
2016-05-20,51.20,52.74,51.20,52.13,48500,50.6337
2016-05-19,51.86,52.18,50.91,50.98,59300,49.5167
2016-05-18,51.49,51.94,51.13,51.84,42600,50.3521
2016-05-17,51.57,52.40,50.91,51.28,59400,49.8081
2016-05-16,51.63,51.63,51.63,51.63,000,50.1481
2016-05-13,51.00,52.23,50.69,51.63,82800,50.1481
2016-05-12,48.60,51.35,48.60,50.17,72200,48.73
2016-05-11,49.30,49.66,48.805,49.43,51900,48.0112
2016-05-10,49.40,49.45,49.055,49.085,27100,47.6761
2016-05-09,49.28,49.40,48.83,49.145,51500,47.7344
2016-05-06,49.025,49.27,48.51,48.655,27800,47.2585
2016-05-05,49.00,49.29,48.60,48.90,16900,47.4964
2016-05-04,48.78,49.40,48.78,48.80,22600,47.3993
2016-05-03,49.985,49.985,48.435,48.775,40000,47.375
2016-05-02,50.89,51.11,49.495,49.585,31700,48.1618
2016-04-29,50.48,50.79,50.00,50.55,34800,49.0991
2016-04-28,50.65,51.16,49.75,50.93,47300,49.4682
2016-04-27,50.42,51.15,49.72,50.76,51500,49.3031
2016-04-26,49.74,51.17,49.675,50.65,71100,49.1962
2016-04-25,48.65,49.80,48.65,49.27,50600,47.8558
2016-04-22,47.81,49.10,47.81,48.63,41000,47.2342
2016-04-21,47.96,48.495,47.39,48.395,35500,47.0059
2016-04-20,47.90,48.075,47.375,47.75,16500,46.3795
2016-04-19,47.895,48.50,46.81,48.275,33600,46.8894
