Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,42.01,42.83,41.165,42.00,35100,42.00
2016-10-26,41.45,42.395,41.15,42.01,47700,42.01
2016-10-25,42.435,42.63,41.00,42.00,80800,42.00
2016-10-24,41.88,42.615,40.935,42.25,37400,42.25
2016-10-21,42.21,42.625,41.22,41.55,23000,41.55
2016-10-20,43.05,43.05,41.62,42.00,32900,42.00
2016-10-19,42.72,43.455,42.545,43.30,16300,43.30
2016-10-18,42.48,43.51,42.395,42.83,21700,42.83
2016-10-17,42.37,42.76,41.93,42.33,18700,42.33
2016-10-14,43.155,43.155,42.01,42.565,21800,42.565
2016-10-13,42.25,42.675,42.14,42.55,17900,42.55
2016-10-12,42.09,43.04,41.875,42.48,19100,42.48
2016-10-11,43.065,43.395,41.855,42.195,21700,42.195
2016-10-10,43.54,44.10,43.00,43.25,14400,43.25
2016-10-07,44.17,44.32,43.09,43.365,31300,43.365
2016-10-06,43.12,44.22,43.12,43.97,27400,43.97
2016-10-05,43.525,44.12,42.64,43.475,40400,43.475
2016-10-04,41.50,43.98,41.18,43.865,44800,43.865
2016-10-03,41.80,41.80,41.80,41.80,000,41.80
2016-09-30,41.77,42.20,41.30,41.80,19400,41.80
2016-09-29,42.50,43.765,42.26,42.345,28900,42.345
2016-09-28,42.76,43.125,41.70,42.515,30400,42.515
2016-09-27,42.585,42.905,40.935,42.24,31400,42.24
2016-09-26,42.30,42.755,41.71,42.47,33000,42.47
2016-09-23,43.81,43.85,43.08,43.335,20100,43.335
2016-09-22,43.15,44.34,42.775,43.485,15500,43.485
2016-09-21,43.18,43.18,42.255,42.855,28500,42.855
2016-09-20,43.04,43.40,42.82,42.85,15700,42.85
2016-09-19,43.10,43.785,42.77,43.15,10700,43.15
2016-09-16,43.60,44.03,43.045,43.17,24900,43.17
2016-09-15,43.30,43.845,43.045,43.845,14600,43.845
2016-09-14,42.80,44.25,42.705,43.465,26400,43.465
2016-09-13,42.81,43.72,42.17,42.80,37700,42.80
2016-09-12,41.85,42.815,40.76,42.515,50500,42.515
2016-09-09,44.32,44.32,42.20,42.585,42900,42.585
2016-09-08,44.05,44.465,43.81,44.39,24700,44.39
2016-09-07,45.355,45.49,44.05,44.205,12200,44.205
2016-09-06,44.385,45.485,44.385,45.24,23400,45.24
2016-09-05,43.23,45.00,42.65,44.50,42600,44.50
2016-09-02,44.765,44.765,43.72,44.335,23100,44.335
2016-09-01,43.72,44.90,43.72,44.50,34000,44.50
2016-08-31,45.16,45.265,43.615,44.08,47000,44.08
2016-08-30,45.00,46.33,45.00,45.38,17300,45.38
2016-08-29,45.40,45.40,43.21,45.095,32400,45.095
2016-08-26,46.00,46.00,44.805,45.555,18600,45.555
2016-08-25,45.75,46.465,45.27,45.86,23500,45.86
2016-08-24,46.935,46.935,45.925,46.285,17800,46.285
2016-08-23,46.90,47.585,46.155,46.74,19500,46.74
2016-08-22,47.14,48.65,46.80,47.12,19300,47.12
2016-08-19,48.865,48.865,46.935,47.70,32200,47.70
2016-08-18,46.805,49.25,46.80,48.675,29800,48.675
2016-08-17,47.74,47.74,45.815,46.40,37200,46.40
2016-08-16,48.36,49.125,46.76,47.465,30900,47.465
2016-08-15,49.60,50.10,47.355,48.46,41400,48.46
2016-08-12,48.57,49.90,48.05,49.755,36100,49.755
2016-08-11,49.50,49.50,47.35,48.57,51500,48.57
2016-08-10,49.175,49.40,47.82,49.36,32500,49.36
2016-08-09,49.725,49.95,48.755,49.15,40300,49.15
2016-08-08,49.215,50.25,49.05,49.635,27800,49.635
2016-08-05,49.205,49.995,48.93,49.25,19900,49.25
2016-08-04,48.095,49.155,47.705,49.00,15500,49.00
2016-08-03,48.90,48.90,47.125,47.65,51100,47.65
2016-08-02,49.605,50.40,48.50,48.595,24000,48.595
2016-08-01,49.84,51.07,48.75,49.515,59500,49.515
2016-07-29,49.99,51.31,49.22,49.485,46000,49.485
2016-07-28,50.18,51.09,49.405,49.60,32900,49.60
2016-07-27,49.78,50.30,49.36,49.99,30000,49.99
2016-07-26,49.705,50.20,48.915,49.01,23700,49.01
2016-07-25,48.915,50.09,48.42,49.86,31400,49.86
2016-07-22,47.60,48.70,47.22,48.335,38000,48.335
2016-07-21,49.01,49.275,46.675,47.335,49700,47.335
2016-07-20,49.80,50.19,48.40,48.82,48500,48.82
2016-07-19,44.395,48.30,44.315,48.11,67600,48.11
