Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,50.30,50.30,48.545,48.655,8700,48.655
2016-10-26,50.11,50.44,49.75,50.05,8000,50.05
2016-10-25,51.00,51.08,50.04,50.40,12700,50.40
2016-10-24,49.75,51.24,49.75,51.00,26700,51.00
2016-10-21,49.745,50.49,49.735,50.18,16500,50.18
2016-10-20,49.885,50.18,49.26,49.745,14600,49.745
2016-10-19,50.03,50.54,49.74,50.20,12700,50.20
2016-10-18,50.28,50.46,49.855,50.30,21200,50.30
2016-10-17,50.90,50.90,50.00,50.16,14900,50.16
2016-10-14,50.90,51.44,50.72,50.72,20000,50.72
2016-10-13,52.68,52.80,51.00,51.00,12500,51.00
2016-10-12,53.40,53.40,52.52,53.00,24200,53.00
2016-10-11,52.20,53.39,52.20,53.24,14800,53.24
2016-10-10,52.70,53.15,52.40,53.00,14500,53.00
2016-10-07,52.20,53.20,52.20,52.90,36100,52.90
2016-10-06,52.60,53.77,52.20,52.70,30200,52.70
2016-10-05,51.80,52.72,51.80,52.33,42400,52.33
2016-10-04,51.70,52.60,50.95,52.53,23500,52.53
2016-10-03,50.10,50.10,50.10,50.10,000,50.10
2016-09-30,49.075,50.10,48.37,50.10,9100,50.10
2016-09-29,48.00,50.33,47.60,49.56,13400,49.56
2016-09-28,47.755,48.22,47.525,47.99,12100,47.99
2016-09-27,48.00,48.00,47.10,47.71,12500,47.71
2016-09-26,48.575,48.58,47.63,48.00,29700,48.00
2016-09-23,48.75,49.38,48.23,49.14,6000,49.14
2016-09-22,48.49,49.48,47.625,49.125,14300,49.125
2016-09-21,48.72,48.88,47.62,47.92,10300,47.92
2016-09-20,49.00,49.18,48.18,48.645,5400,48.645
2016-09-19,48.495,49.00,47.505,49.00,29700,49.00
2016-09-16,47.825,49.305,47.81,47.81,18400,47.81
2016-09-15,49.225,49.225,47.72,48.38,7900,48.38
2016-09-14,47.91,48.70,47.485,48.505,5700,48.505
2016-09-13,48.20,48.34,47.50,47.54,11600,47.54
2016-09-12,50.23,50.23,47.95,48.20,13800,48.20
2016-09-09,49.20,50.09,48.25,50.09,22100,50.09
2016-09-08,49.21,49.56,48.66,49.00,29900,49.00
2016-09-07,48.60,49.79,48.155,49.65,13600,49.65
2016-09-06,48.315,48.69,48.215,48.50,19100,48.50
2016-09-05,49.00,49.00,48.29,48.50,16300,48.50
2016-09-02,48.00,48.90,48.00,48.84,12700,48.84
2016-09-01,47.95,48.99,47.95,48.08,10900,48.08
2016-08-31,48.00,48.65,47.70,48.165,18900,48.165
2016-08-30,47.415,48.875,47.415,48.25,17200,48.25
2016-08-29,49.015,49.015,47.805,48.495,11700,48.495
2016-08-26,48.25,49.17,47.675,48.935,9600,48.935
2016-08-25,49.00,49.00,48.465,48.785,5400,48.785
2016-08-24,48.74,49.20,48.50,49.01,10100,49.01
2016-08-23,48.985,49.15,48.305,48.74,13200,48.74
2016-08-22,47.765,48.465,47.75,48.285,19100,48.285
2016-08-19,48.01,48.78,48.01,48.085,15800,48.085
2016-08-18,48.52,49.72,47.82,48.40,18200,48.40
2016-08-17,51.50,51.70,49.405,50.48,20400,50.48
2016-08-16,51.30,52.25,50.43,51.73,21800,51.73
2016-08-15,49.50,51.65,49.30,51.17,19300,51.17
2016-08-12,48.825,49.30,48.44,48.95,15400,48.95
2016-08-11,49.22,49.51,48.005,49.10,9100,49.10
2016-08-10,48.70,49.385,48.485,49.075,16900,49.075
2016-08-09,47.98,48.62,47.405,48.50,8200,48.50
2016-08-08,48.25,48.50,46.865,47.705,11000,47.705
2016-08-05,45.705,47.39,45.655,47.39,33600,47.39
2016-08-04,46.40,46.775,45.61,45.995,10800,45.995
2016-08-02,46.38,46.855,45.65,46.405,10000,46.405
2016-08-01,46.81,47.51,45.65,46.16,17000,46.16
2016-07-29,46.13,47.00,45.15,46.81,16600,46.81
2016-07-28,46.295,46.515,45.725,45.84,1900,45.84
2016-07-27,45.51,46.30,45.51,46.045,7000,46.045
2016-07-26,45.605,46.00,44.89,45.645,8900,45.645
2016-07-25,44.70,45.88,44.70,45.35,10800,45.35
2016-07-22,46.00,46.00,44.68,44.90,17800,44.90
2016-07-21,46.385,46.44,45.40,45.65,3100,45.65
2016-07-20,45.50,46.505,45.33,45.70,14400,45.70
2016-07-19,45.635,45.825,45.60,45.755,6600,45.755
2016-07-18,45.67,45.87,45.005,45.70,24300,45.70
2016-07-15,45.16,45.615,44.50,45.395,12000,45.395
2016-07-14,45.245,45.245,44.30,44.715,10500,44.715
2016-07-13,45.20,45.20,44.485,44.705,12000,44.705
2016-07-12,43.93,45.80,43.85,45.00,41000,45.00
2016-07-11,44.53,44.53,43.555,43.735,21800,43.735
2016-07-08,42.95,44.00,42.875,43.905,23600,43.905
2016-07-07,42.00,43.115,41.77,42.85,40200,42.85
2016-07-06,40.50,42.00,40.30,42.00,77400,42.00
2016-07-05,42.50,43.155,41.245,41.445,16500,41.445
2016-07-04,43.41,43.555,42.22,42.425,23300,42.425
2016-07-01,42.30,43.58,41.21,42.55,43500,42.55
2016-06-30,43.05,43.245,41.605,42.70,32800,42.70
2016-06-29,43.00,43.35,42.55,42.995,25800,42.995
2016-06-28,43.55,44.40,42.40,42.60,30900,42.60
2016-06-27,46.70,46.795,42.62,43.255,27200,43.255
2016-06-24,44.00,46.78,41.67,46.59,21000,46.59
2016-06-23,47.45,48.23,47.45,47.94,5900,47.94
2016-06-22,48.50,48.50,47.255,47.255,7100,47.255
2016-06-21,47.85,48.905,47.67,48.32,6900,48.32
2016-06-20,46.57,48.48,46.115,47.50,15200,47.50
2016-06-17,43.75,46.51,43.75,46.00,16600,46.00
2016-06-16,46.50,46.60,44.205,44.205,19300,44.205
2016-06-15,45.85,46.83,45.62,46.19,10700,46.19
2016-06-14,46.45,46.45,45.50,46.00,19400,46.00
2016-06-13,47.00,47.46,45.82,46.70,16800,46.70
2016-06-10,47.53,47.765,47.35,47.50,12700,47.50
2016-06-09,48.39,48.52,47.57,47.80,14600,47.80
2016-06-08,47.085,48.515,47.085,48.42,8000,48.42
2016-06-07,48.00,48.00,46.505,47.52,12700,47.52
2016-06-06,48.50,48.50,47.55,47.80,7900,47.80
2016-06-03,49.85,49.85,47.805,48.84,7500,48.84
2016-06-02,47.865,49.405,46.75,49.05,14700,49.05
2016-06-01,49.50,49.50,47.55,48.35,17300,48.35
2016-05-31,47.80,49.135,47.595,48.585,11100,48.585
2016-05-30,47.80,47.995,47.605,47.62,6700,47.62
2016-05-27,47.50,47.80,47.375,47.76,8300,47.76
2016-05-26,47.00,47.40,46.815,47.40,8100,47.40
2016-05-25,47.50,47.865,46.815,47.00,27900,47.00
2016-05-24,47.50,47.50,46.98,47.50,13900,47.50
2016-05-23,48.40,48.40,47.00,47.435,12100,47.435
2016-05-20,46.145,48.59,45.55,47.35,14500,47.35
2016-05-19,45.90,47.00,45.00,46.57,9600,46.57
2016-05-18,46.50,47.015,44.57,44.57,25300,44.57
