Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,7.205,7.50,7.10,7.35,187100,7.35
2016-10-26,7.112,7.25,6.983,7.205,140400,7.205
2016-10-25,7.297,7.382,7.125,7.156,191900,7.156
2016-10-24,7.45,7.48,7.232,7.297,138500,7.297
2016-10-21,7.536,7.568,7.43,7.489,109300,7.489
2016-10-20,7.511,7.568,7.401,7.54,97200,7.54
2016-10-19,7.62,7.656,7.51,7.561,50500,7.561
2016-10-18,7.526,7.762,7.454,7.60,149400,7.60
2016-10-17,7.652,7.668,7.351,7.57,239100,7.57
2016-10-14,7.70,7.728,7.611,7.66,55800,7.66
2016-10-13,7.95,7.965,7.66,7.715,102000,7.715
2016-10-12,7.96,8.06,7.901,7.99,149500,7.99
2016-10-11,7.70,7.947,7.67,7.906,101600,7.906
2016-10-10,7.69,7.70,7.536,7.70,154300,7.70
2016-10-07,7.715,7.756,7.609,7.699,160600,7.699
2016-10-06,7.80,7.83,7.645,7.735,79800,7.735
2016-10-05,7.913,7.913,7.771,7.80,84100,7.80
2016-10-04,7.80,7.92,7.75,7.813,163500,7.813
2016-10-03,7.75,7.75,7.75,7.75,000,7.75
2016-09-30,7.89,7.89,7.701,7.75,231000,7.75
2016-09-29,7.92,7.97,7.80,7.809,81600,7.809
2016-09-28,7.99,8.005,7.82,7.82,83100,7.82
2016-09-27,7.95,7.95,7.83,7.907,67900,7.907
2016-09-26,8.08,8.096,7.91,7.91,34000,7.91
2016-09-23,8.106,8.106,7.945,7.945,44800,7.945
2016-09-22,8.008,8.183,7.984,8.046,52800,8.046
2016-09-21,8.06,8.109,8.015,8.015,49700,8.015
2016-09-20,8.00,8.072,7.96,8.05,28000,8.05
2016-09-19,8.136,8.136,7.933,8.05,37500,8.05
2016-09-16,8.15,8.15,7.952,8.10,1581300,8.10
2016-09-15,8.22,8.22,8.00,8.08,50900,8.08
2016-09-14,8.10,8.22,8.10,8.158,39300,8.158
2016-09-13,7.95,8.194,7.95,8.158,74900,8.158
2016-09-12,7.992,7.996,7.82,7.89,130800,7.89
2016-09-09,8.25,8.339,7.942,7.942,64900,7.942
2016-09-08,8.35,8.48,8.301,8.33,57700,8.33
2016-09-07,8.281,8.33,8.229,8.33,87000,8.33
2016-09-06,8.25,8.27,8.114,8.231,93700,8.231
2016-09-05,8.30,8.345,8.181,8.225,49400,8.225
2016-09-02,8.201,8.34,8.195,8.30,46600,8.30
2016-09-01,8.15,8.31,8.117,8.248,106600,8.248
2016-08-31,8.13,8.169,7.99,8.066,52900,8.066
2016-08-30,8.25,8.282,8.03,8.03,42000,8.03
