Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,31.135,31.15,29.895,30.315,19000,30.315
2016-10-26,30.345,30.855,29.57,30.855,34600,30.855
2016-10-25,30.40,30.505,30.10,30.10,22200,30.10
2016-10-24,30.37,31.145,30.235,30.50,31500,30.50
2016-10-21,30.52,30.75,29.75,30.00,31300,30.00
2016-10-20,29.98,30.76,29.70,30.315,27400,30.315
2016-10-19,29.90,30.14,29.57,29.73,23200,29.73
2016-10-18,30.00,30.155,29.55,30.00,21900,30.00
2016-10-17,29.985,30.44,29.65,30.00,11300,30.00
2016-10-14,29.395,30.14,28.68,29.615,24800,29.615
2016-10-13,29.80,29.80,28.65,29.15,42200,29.15
2016-10-12,29.88,29.995,29.70,29.805,12500,29.805
2016-10-11,30.24,30.39,29.315,29.835,34100,29.835
2016-10-10,31.06,31.225,29.90,30.21,35200,30.21
2016-10-07,31.30,31.30,30.72,31.07,21200,31.07
2016-10-06,31.00,31.43,30.61,30.90,14000,30.90
2016-10-05,30.75,31.505,30.52,30.86,20300,30.86
2016-10-04,30.815,31.225,30.40,31.00,28700,31.00
2016-10-03,31.465,31.465,31.465,31.465,000,31.465
2016-09-30,31.885,31.885,30.25,31.465,18300,31.465
2016-09-29,31.40,31.75,31.27,31.42,15000,30.72
2016-09-28,31.115,32.00,31.00,31.00,30300,30.309
2016-09-27,31.945,32.00,30.905,30.99,39000,30.30
2016-09-26,32.445,32.48,31.365,31.69,32300,30.984
2016-09-23,32.37,32.525,31.90,32.525,29400,31.80
2016-09-22,31.33,32.94,31.33,32.085,30900,31.37
2016-09-21,31.11,31.33,30.93,31.07,6800,30.378
2016-09-20,30.945,31.375,30.30,31.02,19100,30.329
2016-09-19,31.495,31.495,30.705,31.015,22100,30.324
2016-09-16,31.20,31.20,30.215,30.38,22800,29.703
2016-09-15,30.20,31.045,30.20,31.045,13000,30.353
2016-09-14,30.605,30.635,30.04,30.335,9400,29.659
2016-09-13,30.81,31.22,30.10,30.155,27300,29.483
2016-09-12,30.90,31.00,30.36,30.715,22300,30.031
2016-09-09,31.58,31.58,30.97,30.97,15100,30.28
2016-09-08,31.42,31.58,31.115,31.535,13900,30.832
2016-09-07,31.17,31.39,30.81,31.31,22700,30.612
2016-09-06,31.255,31.57,31.115,31.20,14600,30.505
2016-09-05,31.07,31.535,30.635,31.10,40200,30.407
2016-09-02,31.47,31.66,30.565,30.99,51100,30.30
2016-09-01,32.10,32.24,31.475,31.745,31400,31.038
2016-08-31,31.80,32.45,31.325,31.925,33300,31.214
2016-08-30,31.725,32.235,31.70,31.785,16500,31.077
2016-08-29,32.24,32.25,31.21,31.965,18900,31.253
2016-08-26,31.705,32.215,31.615,31.86,31200,31.15
2016-08-25,32.315,32.33,31.70,31.83,16700,31.121
2016-08-24,32.10,32.25,31.65,32.08,31600,31.365
2016-08-23,32.50,33.20,31.65,31.96,35200,31.248
2016-08-22,33.33,33.33,31.63,32.50,38200,31.776
2016-08-19,33.19,33.345,32.42,33.05,14000,32.314
2016-08-18,33.445,33.90,33.10,33.10,5200,32.363
2016-08-17,33.015,33.50,32.96,33.125,8500,32.387
2016-08-16,34.15,34.15,33.03,33.06,37300,32.323
2016-08-15,34.73,35.025,33.535,34.20,24800,33.438
2016-08-12,35.00,35.00,34.215,34.45,15500,33.682
2016-08-11,34.34,35.03,34.065,35.03,7300,34.25
2016-08-10,34.775,34.775,33.86,34.105,11600,33.345
2016-08-09,33.995,35.09,33.81,34.90,17300,34.122
2016-08-08,34.23,34.425,33.615,33.90,17000,33.145
2016-08-05,34.90,35.395,33.30,34.30,26300,33.536
2016-08-04,34.55,35.575,34.545,35.425,6200,34.636
2016-08-03,35.185,35.185,34.115,34.495,7700,33.726
2016-08-02,35.42,35.42,34.68,35.26,10300,34.474
2016-08-01,35.25,35.92,35.25,35.35,6600,34.562
2016-07-29,35.90,36.20,34.125,35.355,19800,34.567
2016-07-28,36.025,36.14,35.70,36.00,6400,35.198
2016-07-27,35.71,36.14,35.20,35.995,18800,35.193
2016-07-26,35.85,35.975,35.135,35.39,10000,34.602
2016-07-25,36.195,36.195,35.64,36.125,10000,35.32
2016-07-22,36.06,36.18,34.775,35.94,9700,35.139
2016-07-21,36.205,36.205,35.34,35.79,13700,34.993
2016-07-20,35.96,36.28,35.23,36.095,14500,35.291
2016-07-19,35.235,36.125,35.165,35.785,12200,34.988
2016-07-18,34.57,36.36,34.37,35.715,49300,34.919
2016-07-15,34.63,35.05,33.98,34.60,32000,33.829
2016-07-14,34.795,35.05,34.455,34.73,16400,33.956
2016-07-13,35.115,35.115,34.03,34.445,14500,33.678
2016-07-12,34.30,35.195,34.245,35.005,46600,34.225
2016-07-11,34.00,34.795,33.43,34.345,39200,33.58
2016-07-08,32.95,34.30,32.95,33.71,26000,32.959
2016-07-07,31.59,34.02,31.59,33.005,28000,32.27
2016-07-06,32.38,32.42,31.21,31.32,30100,30.622
2016-07-05,33.205,33.29,32.39,32.72,30500,31.991
2016-07-04,33.505,33.665,32.47,33.15,33000,32.411
2016-07-01,32.83,33.365,31.945,33.30,38700,32.558
2016-06-30,31.85,31.90,31.305,31.795,39300,31.087
2016-06-29,31.45,31.70,31.16,31.44,49400,30.055
2016-06-28,32.195,32.25,30.53,31.015,68100,29.649
2016-06-27,33.15,33.19,31.355,31.50,39300,30.113
2016-06-24,32.11,34.215,31.36,32.90,76800,31.451
2016-06-23,36.48,36.85,36.00,36.59,18200,34.978
2016-06-22,36.98,36.98,35.59,36.78,25700,35.16
2016-06-21,37.90,37.90,36.215,36.70,28600,35.083
2016-06-20,36.40,37.495,36.12,37.06,15300,35.428
2016-06-17,34.845,35.845,34.76,35.845,95900,34.266
