Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,19.135,19.395,18.81,18.915,71900,18.915
2016-10-26,19.675,19.695,19.23,19.30,50700,19.30
2016-10-25,19.415,19.645,19.40,19.645,156500,19.645
2016-10-24,19.365,19.49,19.245,19.415,105100,19.415
2016-10-21,19.415,19.42,19.155,19.325,62600,19.325
2016-10-20,19.10,19.50,19.095,19.37,120700,19.37
2016-10-19,19.35,19.445,18.87,19.195,106200,19.195
2016-10-18,19.30,19.48,19.27,19.40,127500,19.40
2016-10-17,19.10,19.245,18.88,19.13,84200,19.13
2016-10-14,19.045,19.19,18.855,19.085,72300,19.085
2016-10-13,18.71,19.085,18.635,19.00,66100,19.00
2016-10-12,18.84,18.865,18.71,18.815,72400,18.815
2016-10-11,18.60,18.995,18.50,18.75,198400,18.75
2016-10-10,18.49,18.615,18.405,18.555,45100,18.555
2016-10-07,18.38,18.575,18.205,18.455,88700,18.455
2016-10-06,18.765,18.835,18.38,18.415,112900,18.415
2016-10-05,19.24,19.24,18.76,18.80,137600,18.80
2016-10-04,20.045,20.055,19.20,19.295,117100,19.295
2016-10-03,20.095,20.095,20.095,20.095,000,20.095
2016-09-30,19.55,20.095,19.55,20.095,93800,20.095
2016-09-29,19.85,19.98,19.605,19.605,45000,19.605
2016-09-28,19.71,19.84,19.58,19.745,74000,19.745
2016-09-27,20.085,20.085,19.575,19.67,46300,19.67
2016-09-26,19.915,20.11,19.70,19.955,62400,19.955
2016-09-23,19.84,19.96,19.685,19.78,73400,19.78
2016-09-22,19.50,19.90,19.475,19.90,46800,19.90
2016-09-21,19.69,19.69,19.255,19.35,119700,19.35
2016-09-20,19.60,19.62,19.41,19.45,59800,19.45
2016-09-19,19.715,19.865,19.565,19.67,24300,19.67
2016-09-16,19.44,19.715,19.44,19.675,94300,19.675
2016-09-15,19.60,19.69,19.395,19.50,98600,19.50
2016-09-14,19.48,19.60,19.36,19.40,130000,19.40
2016-09-13,19.465,19.665,19.465,19.55,82100,19.55
2016-09-12,19.89,19.89,19.33,19.45,109900,19.45
2016-09-09,20.09,20.105,19.65,20.00,131200,20.00
2016-09-08,20.20,20.305,20.10,20.12,58800,20.12
2016-09-07,20.155,20.23,20.015,20.225,44600,20.225
2016-09-06,19.935,20.145,19.90,20.135,51500,20.135
2016-09-05,20.00,20.16,19.88,20.00,62500,20.00
2016-09-02,20.115,20.135,19.93,20.02,53900,20.02
2016-09-01,20.30,20.30,19.90,19.995,54400,19.995
