Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,20.985,21.08,20.755,21.02,31900,21.02
2016-10-26,21.78,21.78,20.99,20.99,27700,20.99
2016-10-25,21.75,21.75,21.60,21.60,15600,21.60
2016-10-24,21.735,21.885,21.655,21.79,16200,21.79
2016-10-21,21.80,21.89,21.385,21.56,30100,21.56
2016-10-20,21.835,21.90,21.53,21.795,25800,21.795
2016-10-19,21.00,21.92,20.995,21.735,35400,21.735
2016-10-18,21.015,21.695,20.86,21.00,48500,21.00
2016-10-17,20.25,20.985,20.25,20.885,28100,20.885
2016-10-14,19.955,20.475,19.955,20.345,14200,20.345
2016-10-13,20.15,20.24,20.07,20.125,12500,20.125
2016-10-12,20.10,20.40,20.10,20.16,31500,20.16
2016-10-11,20.175,20.30,20.03,20.16,16400,20.16
2016-10-10,20.25,20.25,20.00,20.21,26300,20.21
2016-10-07,19.985,20.30,19.985,20.255,18300,20.255
2016-10-06,20.045,20.17,19.91,20.165,12500,20.165
2016-10-05,20.24,20.24,19.875,19.985,23000,19.985
2016-10-04,20.13,20.27,20.095,20.095,15500,20.095
2016-10-03,19.96,19.96,19.96,19.96,000,19.96
2016-09-30,19.995,20.07,19.855,19.96,37000,19.96
2016-09-29,20.19,20.19,19.81,20.00,40100,20.00
2016-09-28,20.00,20.45,19.85,20.415,31900,20.415
2016-09-27,20.78,20.785,19.75,20.00,43800,20.00
2016-09-26,20.70,21.30,20.60,20.67,29700,20.67
2016-09-23,20.75,20.82,20.665,20.705,12300,20.705
2016-09-22,21.00,21.15,20.505,20.71,27400,20.71
2016-09-21,20.725,22.22,20.69,20.885,46900,20.885
2016-09-20,20.45,20.79,20.45,20.63,13400,20.63
2016-09-19,20.45,20.63,20.355,20.50,16800,20.50
2016-09-16,20.04,20.42,20.04,20.275,17300,20.275
2016-09-15,20.11,20.15,19.61,20.15,24000,20.15
2016-09-14,20.28,20.59,20.215,20.215,19100,20.215
2016-09-13,20.48,20.48,20.05,20.11,12400,20.11
2016-09-12,20.425,20.50,20.255,20.305,23200,20.305
2016-09-09,20.735,20.745,20.425,20.425,13800,20.425
2016-09-08,21.00,21.00,20.605,20.62,18100,20.62
2016-09-07,21.00,21.125,20.86,21.09,12500,21.09
2016-09-06,20.85,20.96,20.695,20.85,19000,20.85
2016-09-05,20.75,21.155,20.685,20.84,45200,20.84
2016-09-02,20.525,20.935,20.25,20.80,26700,20.80
2016-09-01,20.30,20.67,20.265,20.51,22900,20.51
2016-08-31,20.30,20.645,20.10,20.17,26800,20.17
2016-08-30,20.40,20.735,20.30,20.335,21700,20.335
2016-08-29,20.79,20.79,20.095,20.25,32200,20.25
2016-08-26,20.865,20.955,20.20,20.89,33800,20.89
2016-08-25,20.20,20.945,20.15,20.70,44100,20.70
2016-08-24,20.65,20.79,19.97,20.11,30700,20.11
2016-08-23,20.75,20.795,20.655,20.69,12500,20.69
2016-08-22,21.145,21.15,20.675,20.92,25100,20.92
2016-08-19,20.815,21.10,20.805,21.10,11100,21.10
2016-08-18,20.88,20.885,20.515,20.81,23400,20.81
2016-08-17,20.84,20.935,20.72,20.73,15000,20.73
2016-08-16,21.005,21.005,20.81,20.89,17000,20.89
2016-08-15,20.815,20.995,20.77,20.995,10000,20.995
2016-08-12,20.75,21.15,20.74,20.83,25700,20.83
2016-08-11,20.60,20.77,20.60,20.70,18700,20.70
2016-08-10,20.715,20.895,20.545,20.75,19600,20.75
2016-08-09,20.885,20.99,20.80,20.90,17200,20.90
2016-08-08,21.21,21.275,20.905,21.005,22000,21.005
2016-08-05,21.21,21.225,20.98,21.15,26900,21.15
2016-08-04,21.17,21.44,21.08,21.08,20500,21.08
2016-08-03,21.805,21.98,21.065,21.17,32300,21.17
2016-08-02,21.19,21.75,20.995,21.75,22800,21.75
2016-08-01,21.425,21.54,20.51,21.135,54900,21.135
2016-07-29,20.38,22.655,20.325,21.475,119000,21.475
2016-07-28,19.55,20.875,19.50,20.475,62100,20.475
2016-07-27,19.00,19.30,18.825,19.27,24000,19.27
2016-07-26,18.16,19.005,18.16,18.835,27500,18.835
2016-07-25,18.255,18.255,18.03,18.20,26600,18.20
2016-07-22,18.00,18.31,17.985,18.215,32000,18.215
2016-07-21,18.255,18.255,17.99,18.06,8600,18.06
2016-07-20,18.17,18.21,18.115,18.155,12200,18.155
2016-07-19,18.07,18.20,18.07,18.12,19500,18.12
2016-07-18,17.805,18.20,17.805,18.20,23500,18.20
2016-07-15,18.10,18.10,17.80,17.845,15800,17.845
2016-07-14,18.155,18.155,17.93,18.015,26300,18.015
2016-07-13,18.12,18.12,17.96,18.00,16300,18.00
2016-07-12,17.85,18.015,17.805,17.995,29400,17.995
2016-07-11,17.45,17.935,17.45,17.80,35300,17.80
2016-07-08,17.13,17.525,17.075,17.30,65600,17.30
2016-07-07,17.15,17.155,16.99,17.05,75500,17.05
2016-07-06,16.87,17.125,16.80,17.00,116200,17.00
2016-07-05,17.395,17.395,16.785,16.845,63900,16.845
2016-07-04,17.655,17.665,17.10,17.25,33700,17.25
2016-07-01,17.80,17.80,17.505,17.51,57000,17.51
2016-06-30,17.60,17.85,17.53,17.70,34600,17.70
2016-06-29,17.755,17.925,17.545,17.545,25400,17.545
2016-06-28,17.54,18.00,17.54,17.60,38900,17.60
2016-06-27,19.11,19.115,17.39,17.39,52800,17.39
2016-06-24,17.75,20.335,17.11,19.265,65600,19.265
2016-06-23,19.065,19.475,19.055,19.475,18100,19.475
2016-06-22,18.70,19.05,18.68,18.90,26800,18.90
2016-06-21,18.70,18.735,18.395,18.685,11700,18.685
2016-06-20,18.40,19.10,18.40,18.595,33300,18.595
2016-06-17,18.375,18.445,18.155,18.30,132400,18.30
2016-06-16,18.70,18.805,18.215,18.215,43800,18.215
2016-06-15,18.25,19.00,18.25,18.845,42000,18.845
2016-06-14,18.915,18.915,18.015,18.385,53700,18.385
2016-06-13,19.38,19.38,19.00,19.085,29600,19.085
2016-06-10,19.98,20.00,19.065,19.215,36700,19.215
2016-06-09,20.195,20.40,19.995,20.12,37800,20.12
