Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,54.81,55.58,54.50,55.58,13500,55.58
2016-10-26,54.37,54.77,54.31,54.77,6200,54.77
2016-10-25,54.20,54.73,54.20,54.50,8800,54.50
2016-10-24,54.60,54.99,54.34,54.39,10000,54.39
2016-10-21,54.11,54.69,54.10,54.54,5300,54.54
2016-10-20,54.75,54.75,54.00,54.20,9300,54.20
2016-10-19,53.80,54.19,53.70,53.99,17400,53.99
2016-10-18,53.16,54.91,53.15,54.00,25700,54.00
2016-10-17,53.05,53.65,52.55,53.23,7400,53.23
2016-10-14,53.50,53.75,53.00,53.09,9300,53.09
2016-10-13,54.41,54.50,53.50,53.50,6600,53.50
2016-10-12,54.90,54.90,54.10,54.61,6000,54.61
2016-10-11,54.11,54.74,54.11,54.50,11100,54.50
2016-10-10,54.50,54.90,54.50,54.50,10500,54.50
2016-10-07,54.90,54.90,54.20,54.62,9000,54.62
2016-10-06,54.26,54.78,54.25,54.60,5400,54.60
2016-10-05,54.41,54.90,54.30,54.40,7800,54.40
2016-10-04,53.80,54.90,52.83,54.90,12100,54.90
2016-10-03,52.93,52.93,52.93,52.93,000,52.93
2016-09-30,53.44,53.53,52.93,52.93,14900,52.93
2016-09-29,53.22,54.44,53.13,53.66,8600,53.66
2016-09-28,53.15,53.28,53.00,53.15,5000,53.15
2016-09-27,54.11,54.11,52.99,53.10,12500,53.10
2016-09-26,54.75,54.75,53.50,53.65,4500,53.65
2016-09-23,55.58,55.58,54.82,55.08,6800,55.08
2016-09-22,54.90,55.57,54.05,55.30,10700,55.30
2016-09-21,53.80,54.21,53.28,54.21,9600,54.21
2016-09-20,54.24,54.57,53.60,53.81,4200,53.81
2016-09-19,55.00,56.04,54.49,54.80,9700,54.80
2016-09-16,53.68,54.15,53.44,54.15,8000,54.15
2016-09-15,52.86,53.50,52.85,53.39,9200,53.39
2016-09-14,53.10,53.24,52.88,53.01,8600,53.01
2016-09-13,53.10,53.21,53.00,53.10,13700,53.10
2016-09-12,54.64,54.64,52.50,53.04,11500,53.04
2016-09-09,53.90,54.04,53.06,53.62,8700,53.62
2016-09-08,53.53,54.41,53.53,53.84,10200,53.84
2016-09-07,54.30,54.47,53.58,53.68,12300,53.68
2016-09-06,54.50,54.61,54.00,54.00,8500,54.00
2016-09-05,55.50,55.50,54.50,54.57,3600,54.57
2016-09-02,54.78,55.04,54.58,54.70,8700,54.70
2016-09-01,54.74,55.12,54.60,54.60,2900,54.60
2016-08-31,54.51,54.80,54.50,54.55,9500,54.55
2016-08-30,55.00,55.09,54.54,54.65,15200,54.65
2016-08-29,54.99,54.99,53.93,54.70,11100,54.70
2016-08-26,54.62,54.62,53.60,54.00,11500,54.00
2016-08-25,54.57,54.68,53.53,53.53,8600,53.53
2016-08-24,54.18,54.90,54.01,54.37,8700,54.37
2016-08-23,54.00,55.28,54.00,55.28,11300,55.28
2016-08-22,53.53,54.34,53.53,54.13,10700,54.13
2016-08-19,54.50,54.52,54.00,54.11,6300,54.11
2016-08-18,53.68,55.15,53.67,54.50,10100,54.50
2016-08-17,54.30,54.76,53.40,54.01,16600,54.01
2016-08-16,54.12,54.38,53.33,53.58,12900,53.58
2016-08-15,55.10,55.89,54.31,54.33,14600,54.33
2016-08-12,54.84,55.44,54.80,55.15,8300,55.15
2016-08-11,55.40,55.82,54.80,54.96,15100,54.96
2016-08-10,55.88,55.95,55.06,55.25,11000,55.25
2016-08-09,53.65,55.91,53.65,55.76,34300,55.76
2016-08-08,53.80,54.66,53.80,54.25,7900,54.25
2016-08-05,54.01,54.36,53.87,54.14,11600,54.14
2016-08-04,54.80,54.80,53.88,53.88,8200,53.88
2016-08-03,54.50,54.50,53.70,53.80,20100,53.80
2016-08-02,54.07,54.15,53.45,54.04,23900,54.04
2016-08-01,54.82,55.68,54.02,54.36,17200,54.36
2016-07-29,55.57,56.36,54.80,55.25,18100,55.25
2016-07-28,55.05,57.46,55.05,56.23,27600,56.23
2016-07-27,54.80,55.90,54.00,55.10,28900,55.10
2016-07-26,55.21,55.44,54.70,55.20,20900,55.20
2016-07-25,55.25,55.57,55.25,55.30,4700,55.30
2016-07-22,55.05,56.11,54.85,55.38,12100,55.38
2016-07-21,55.63,55.91,54.83,55.05,21500,55.05
2016-07-20,57.00,57.50,55.93,56.11,19800,56.11
2016-07-19,57.00,57.00,55.59,56.63,11400,56.63
2016-07-18,56.74,56.99,56.50,56.51,8200,56.51
2016-07-15,57.49,57.50,56.16,56.54,10200,56.54
2016-07-14,54.70,57.49,54.70,57.37,30200,57.37
2016-07-13,55.20,55.20,54.89,55.00,25000,55.00
2016-07-12,55.00,55.50,54.50,55.00,14700,55.00
2016-07-11,55.48,55.48,54.82,55.19,43300,55.19
2016-07-08,55.15,55.97,54.84,55.13,17000,55.13
2016-07-07,55.15,55.68,54.90,55.15,15400,55.15
2016-07-06,55.19,55.21,54.51,55.03,22700,55.03
2016-07-05,54.80,55.35,54.75,55.00,16400,55.00
2016-07-04,55.01,55.68,54.90,54.91,13200,54.91
2016-07-01,55.72,55.88,55.00,55.62,11400,55.62
2016-06-30,55.51,56.00,55.42,55.56,14400,55.56
2016-06-29,55.39,56.00,55.03,55.81,17900,55.81
2016-06-28,55.32,55.99,54.97,55.06,17900,55.06
2016-06-27,56.81,56.81,54.55,54.97,39800,54.97
2016-06-24,56.00,57.00,53.56,56.75,53100,56.75
2016-06-23,57.59,57.79,56.51,57.00,34800,57.00
2016-06-22,56.70,57.66,56.70,57.25,25200,57.25
2016-06-21,57.80,58.19,56.58,57.35,23700,57.35
2016-06-20,56.81,58.13,56.38,57.94,47700,57.94
2016-06-17,56.40,56.69,55.67,56.41,58600,56.41
2016-06-16,56.80,56.80,55.74,56.01,74800,56.01
2016-06-15,54.00,56.05,54.00,55.17,58600,55.17
2016-06-14,53.59,54.96,53.59,54.50,54300,54.50
2016-06-13,53.60,54.77,53.60,54.50,39400,54.50
2016-06-10,52.59,55.04,51.96,54.65,105600,54.65
2016-06-09,53.77,53.77,52.34,53.00,69100,53.00
2016-06-08,54.69,54.69,53.64,53.92,70600,53.92
2016-06-07,54.20,55.15,54.09,54.40,62700,54.40
2016-06-06,55.22,55.61,54.54,54.80,28500,54.80
2016-06-03,56.71,56.71,54.24,55.55,47700,55.55
2016-06-02,57.64,57.64,55.87,56.54,22400,56.54
2016-06-01,57.70,58.04,56.26,57.06,31700,57.06
2016-05-31,56.94,58.47,56.00,57.85,22900,57.85
2016-05-30,56.3094,57.1048,55.8729,56.775,13500,56.775
2016-05-27,56.5034,56.9981,56.2706,56.7071,17400,56.7071
2016-05-26,55.8729,57.0369,55.8729,56.5131,9100,56.5131
2016-05-25,55.7759,57.3473,55.0678,56.096,38800,56.096
2016-05-24,59.171,59.171,58.104,58.424,16300,58.424
2016-05-23,58.4047,58.4823,58.0457,58.4725,10200,58.4725
2016-05-20,58.201,58.395,57.91,58.298,15400,58.298
2016-05-19,58.201,58.201,57.0369,57.7062,11600,57.7062
2016-05-18,57.5025,58.201,57.5025,58.0748,5600,58.0748
2016-05-17,55.6013,58.1912,55.6013,57.8226,10500,57.8226
2016-05-16,56.2609,56.2609,56.2609,56.2609,000,56.2609
2016-05-13,56.7265,56.775,54.9417,56.2609,34000,56.2609
2016-05-12,56.3967,57.842,56.3967,56.9399,12900,56.9399
2016-05-11,56.581,56.9787,56.1542,56.8332,12900,56.8332
2016-05-10,57.1727,57.4055,56.3094,56.3288,11700,56.3288
2016-05-09,57.8712,57.8712,56.7071,56.9399,18700,56.9399
2016-05-06,56.7265,58.201,56.7168,57.26,6900,57.26
2016-05-05,56.1251,57.8129,55.7274,57.1824,6200,57.1824
2016-05-04,55.6789,57.2212,55.6789,56.8623,8900,56.8623
2016-05-03,57.4152,57.6771,55.6789,55.7371,16400,55.7371
2016-05-02,57.8129,58.395,57.454,57.5413,8800,57.5413
2016-04-29,59.3068,59.3068,58.2882,58.6375,6600,58.6375
2016-04-28,58.589,59.8112,58.5793,59.1322,11000,59.1322
2016-04-27,59.2486,59.2583,57.91,58.3368,18700,58.3368
2016-04-26,59.656,59.656,58.6181,59.074,4400,59.074
2016-04-25,59.0352,59.1807,58.2203,58.8218,14200,58.8218
2016-04-22,59.462,59.9955,59.0061,59.1807,10400,59.1807
2016-04-21,60.141,60.529,59.462,59.7336,9500,59.7336
2016-04-20,60.1022,60.1022,58.8897,59.6948,10200,59.6948
2016-04-19,57.5413,59.4426,57.5413,59.268,10800,59.268
2016-04-18,58.201,58.7733,56.8817,58.0263,13700,58.0263
2016-04-15,59.9761,59.9761,57.4928,57.5995,16400,57.5995
2016-04-14,58.3173,60.2283,58.3077,59.9761,17000,59.9761
2016-04-13,56.9981,58.686,56.9981,58.5017,15300,58.5017
2016-04-12,56.4646,57.4249,56.1251,57.3764,8600,57.3764
2016-04-11,56.5228,56.5228,56.0087,56.2609,8600,56.2609
2016-04-08,53.8359,56.6974,53.8359,56.0475,13700,56.0475
2016-04-07,56.4064,56.4064,54.3403,54.641,11800,54.641
2016-04-06,54.6507,55.9408,54.6507,55.514,14800,55.514
2016-04-05,55.7856,55.9311,54.6992,55.3006,11800,55.3006
