Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,27.19,27.75,26.825,27.495,47500,27.495
2016-10-26,26.85,27.05,26.20,26.80,71700,26.80
2016-10-25,26.10,26.81,25.95,26.81,33700,26.81
2016-10-24,26.05,26.10,25.705,26.10,43700,26.10
2016-10-21,25.70,26.035,25.50,25.91,29300,25.91
2016-10-20,26.00,26.00,25.70,25.825,22000,25.825
2016-10-19,26.00,26.075,25.725,25.80,21800,25.80
2016-10-18,25.71,26.44,25.71,25.95,42300,25.95
2016-10-17,27.00,27.02,25.50,25.60,103000,25.60
2016-10-14,26.80,27.25,26.14,26.91,90300,26.91
2016-10-13,24.91,27.72,24.50,27.165,122500,27.165
2016-10-12,24.40,25.14,24.25,24.965,37000,24.965
2016-10-11,24.30,24.57,24.11,24.30,42100,24.30
2016-10-10,24.80,24.80,24.37,24.46,40100,24.46
2016-10-07,24.90,25.00,24.615,24.62,35900,24.62
2016-10-06,25.15,25.24,24.90,25.05,22100,25.05
2016-10-05,25.18,25.27,24.80,25.00,95400,25.00
2016-10-04,25.10,25.64,25.10,25.20,34500,25.20
2016-10-03,25.25,25.25,25.25,25.25,000,25.25
2016-09-30,25.60,25.60,25.12,25.25,20000,25.25
2016-09-29,25.95,25.95,25.28,25.30,27700,25.30
2016-09-28,25.60,25.60,25.055,25.305,23500,25.305
2016-09-27,25.885,25.885,25.145,25.25,30100,25.25
2016-09-26,25.85,25.85,25.45,25.765,57400,25.765
2016-09-23,25.90,25.985,25.65,25.65,21200,25.65
2016-09-22,26.00,26.15,25.735,25.80,21300,25.80
2016-09-21,26.20,26.28,25.75,25.99,14100,25.99
2016-09-20,26.50,26.50,26.01,26.16,20800,26.16
2016-09-19,26.30,26.505,26.075,26.20,17200,26.20
2016-09-16,26.65,26.70,25.855,26.415,33200,26.415
2016-09-15,26.52,26.77,26.52,26.60,10000,26.60
2016-09-14,27.015,27.065,26.60,26.70,12600,26.70
2016-09-13,27.625,27.625,26.615,26.82,20000,26.82
2016-09-12,27.29,27.435,26.71,27.25,31300,27.25
2016-09-09,27.75,27.75,27.32,27.425,13100,27.425
2016-09-08,27.705,27.705,27.30,27.50,31400,27.50
2016-09-07,27.33,27.60,27.33,27.50,25000,27.50
2016-09-06,27.70,27.785,27.30,27.405,42600,27.405
2016-09-05,27.68,27.865,27.555,27.69,49200,27.69
2016-09-02,28.00,28.00,27.30,27.60,61900,27.60
2016-09-01,27.945,28.155,27.39,27.56,26900,27.56
2016-08-31,27.71,28.325,27.71,27.975,29400,27.975
2016-08-30,26.50,28.485,26.50,28.08,86700,28.08
2016-08-29,26.88,27.33,26.60,27.15,28200,27.15
2016-08-26,26.80,27.085,26.51,26.76,25000,26.76
2016-08-25,26.99,27.025,26.70,26.855,20000,26.855
2016-08-24,26.64,26.99,26.60,26.985,12700,26.985
2016-08-23,26.79,26.955,26.50,26.81,9100,26.81
2016-08-22,26.30,26.725,26.045,26.43,19600,26.43
2016-08-19,25.855,26.38,25.23,26.225,56900,26.225
2016-08-18,25.20,26.12,25.20,25.775,23500,25.775
2016-08-17,25.50,25.50,25.25,25.28,22000,25.28
2016-08-16,25.99,25.99,25.25,25.375,16900,25.375
2016-08-15,26.00,26.12,25.605,25.765,17500,25.765
2016-08-12,26.41,26.41,25.775,25.94,11300,25.94
2016-08-11,25.60,26.39,25.555,26.175,19600,26.175
2016-08-10,25.91,25.91,25.44,25.595,17100,25.595
2016-08-09,25.365,25.96,25.36,25.96,12600,25.96
2016-08-08,25.10,25.55,25.085,25.40,30000,25.40
2016-08-05,25.00,25.325,24.88,25.05,43100,25.05
2016-08-04,24.60,25.05,24.60,25.00,26200,25.00
2016-08-03,24.92,25.00,24.605,24.77,24800,24.77
2016-08-02,25.00,25.05,24.655,24.915,19200,24.915
2016-08-01,25.14,25.50,24.905,24.98,28500,24.98
2016-07-29,25.05,25.415,25.01,25.20,15600,25.20
2016-07-28,24.85,25.555,24.805,25.20,43200,25.20
2016-07-27,24.675,24.925,24.60,24.77,58800,24.77
2016-07-26,25.40,25.40,24.73,24.88,22100,24.88
2016-07-25,25.50,25.57,25.01,25.235,45600,25.235
2016-07-22,25.90,25.90,25.50,25.57,18000,25.57
2016-07-21,25.80,26.10,25.755,25.93,13700,25.93
2016-07-20,25.99,26.15,25.725,26.015,9400,26.015
2016-07-19,26.00,26.04,25.56,25.75,18300,25.75
2016-07-18,26.195,26.28,25.825,25.95,22100,25.95
2016-07-15,25.785,26.185,25.785,26.00,17700,26.00
2016-07-14,26.185,26.20,25.95,26.025,18900,26.025
2016-07-13,25.85,26.30,25.85,26.00,13300,26.00
2016-07-12,26.05,26.30,25.74,26.12,12600,26.12
2016-07-11,25.80,26.16,25.44,26.00,17800,26.00
2016-07-08,25.50,25.85,25.245,25.84,25400,25.84
2016-07-07,25.30,25.56,25.14,25.455,17400,25.455
2016-07-06,25.41,25.525,24.805,25.00,25700,25.00
2016-07-05,25.95,25.95,25.40,25.555,22100,25.555
2016-07-04,26.31,26.31,25.435,25.80,36800,25.80
2016-07-01,26.045,26.50,25.585,26.49,29800,26.49
2016-06-30,26.30,26.365,25.73,26.00,19000,26.00
2016-06-29,25.30,26.00,25.17,25.95,36300,25.95
2016-06-28,24.89,25.50,24.68,25.08,40600,25.08
2016-06-27,26.40,26.40,24.00,24.01,51300,24.01
2016-06-24,24.75,26.15,24.50,26.02,74900,26.02
2016-06-23,26.41,27.195,26.41,26.885,30200,26.885
2016-06-22,26.625,26.935,26.18,26.58,48200,26.58
2016-06-21,26.72,27.125,26.625,26.79,15100,26.79
2016-06-20,26.20,28.41,26.115,26.98,70900,26.98
2016-06-17,25.985,26.505,25.835,25.86,59100,25.86
2016-06-16,26.30,26.45,25.655,25.82,40600,25.82
2016-06-15,26.84,27.505,26.305,26.52,24600,26.52
2016-06-14,27.37,27.90,26.755,26.755,37700,26.755
2016-06-13,28.00,28.315,26.765,27.88,71700,27.88
2016-06-10,29.20,29.20,28.855,28.94,26600,28.94
2016-06-09,28.80,29.12,28.80,29.12,15500,29.12
2016-06-08,29.25,29.435,28.805,28.90,25400,28.90
2016-06-07,28.245,28.945,28.05,28.90,16900,28.90
2016-06-06,28.50,28.755,28.265,28.33,13100,28.33
2016-06-03,28.63,28.92,28.465,28.655,17400,28.655
2016-06-02,27.91,28.62,27.91,28.595,20400,28.595
2016-06-01,29.13,29.13,27.73,28.10,28100,28.10
2016-05-31,29.245,29.555,28.70,29.395,28800,28.895
2016-05-30,29.60,29.89,29.255,29.35,20200,28.851
2016-05-27,29.00,29.515,28.98,29.515,25800,29.013
2016-05-26,29.365,29.415,28.79,29.13,13900,28.635
2016-05-25,29.20,29.22,28.80,28.80,22400,28.31
2016-05-24,28.90,29.42,28.615,29.075,38500,28.58
2016-05-23,28.47,28.875,27.935,28.78,58200,28.29
