Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,12.735,12.735,12.415,12.69,27000,12.69
2016-10-26,12.55,12.755,12.335,12.70,28700,12.70
2016-10-25,12.815,12.85,12.51,12.66,32400,12.66
2016-10-24,12.595,12.875,12.59,12.84,22900,12.84
2016-10-21,12.52,12.58,12.45,12.58,18300,12.58
2016-10-20,12.485,12.595,12.34,12.52,29600,12.52
2016-10-19,12.60,12.60,12.395,12.60,10500,12.60
2016-10-18,12.60,12.65,12.50,12.575,48200,12.575
2016-10-17,12.50,12.79,12.50,12.76,12000,12.76
2016-10-14,12.40,12.67,12.40,12.58,38300,12.58
2016-10-13,12.65,12.65,12.35,12.50,35500,12.50
2016-10-12,12.645,12.65,12.48,12.565,36400,12.565
2016-10-11,12.75,12.75,12.50,12.53,34500,12.53
2016-10-10,12.80,12.80,12.60,12.675,31500,12.675
2016-10-07,12.655,12.83,12.59,12.72,46800,12.72
2016-10-06,12.985,12.985,12.56,12.56,39700,12.56
2016-10-05,13.00,13.14,12.835,12.865,44000,12.865
2016-10-04,13.09,13.265,12.93,12.93,47600,12.93
2016-10-03,12.97,12.97,12.97,12.97,000,12.97
2016-09-30,12.60,13.09,12.51,12.97,45200,12.97
2016-09-29,12.88,12.96,12.66,12.725,41800,12.725
2016-09-28,12.435,12.94,12.435,12.765,43700,12.765
2016-09-27,12.90,12.91,12.37,12.535,67600,12.535
2016-09-26,13.13,13.13,12.775,12.855,35900,12.855
2016-09-23,13.20,13.30,13.055,13.30,19000,13.30
2016-09-22,12.975,13.275,12.975,13.16,43400,13.16
2016-09-21,12.94,13.14,12.94,12.995,34500,12.995
2016-09-20,13.025,13.085,12.875,12.875,21100,12.875
2016-09-19,13.08,13.22,13.02,13.12,19800,13.12
2016-09-16,13.07,13.11,12.95,13.105,24100,13.105
2016-09-15,13.00,13.195,12.92,13.055,30000,13.055
2016-09-14,13.00,13.105,13.00,13.02,26700,13.02
2016-09-13,13.00,13.155,12.95,13.00,42600,13.00
2016-09-12,13.00,13.04,12.795,12.91,42100,12.91
2016-09-09,13.26,13.345,12.99,13.27,44300,13.27
2016-09-08,13.265,13.45,13.135,13.345,37500,13.345
2016-09-07,13.20,13.39,13.145,13.24,41100,13.24
2016-09-06,13.33,13.37,13.11,13.20,25100,13.20
2016-09-05,13.10,13.41,13.065,13.285,39700,13.285
2016-09-02,13.00,13.12,12.785,13.10,25900,13.10
2016-09-01,13.01,13.285,12.855,12.92,31200,12.92
2016-08-31,12.99,13.05,12.835,13.05,47100,13.05
2016-08-30,13.00,13.00,12.765,12.92,119600,12.92
2016-08-29,13.315,13.315,12.91,13.00,95700,13.00
2016-08-26,13.70,13.70,13.17,13.44,75000,13.44
2016-08-25,14.03,14.135,13.335,13.71,87000,13.71
2016-08-24,14.275,14.415,13.96,14.165,21600,14.165
2016-08-23,13.725,14.27,13.725,14.27,17600,14.27
2016-08-22,13.815,13.935,13.525,13.80,36000,13.80
2016-08-19,13.90,14.055,13.705,13.935,16800,13.935
2016-08-18,13.665,13.98,13.665,13.815,26000,13.815
2016-08-17,13.955,13.995,13.51,13.615,41100,13.615
2016-08-16,14.095,14.22,13.90,14.02,39900,14.02
2016-08-15,14.235,14.38,14.05,14.245,12400,14.245
2016-08-12,14.40,14.405,14.05,14.255,22100,14.255
2016-08-11,14.01,14.605,14.01,14.40,39500,14.40
2016-08-10,14.05,14.235,13.90,14.235,33900,14.235
2016-08-09,13.94,14.14,13.72,14.04,43800,14.04
2016-08-08,13.72,13.915,13.615,13.785,61800,13.785
2016-08-05,13.745,13.75,13.50,13.615,72300,13.615
2016-08-04,13.49,14.20,13.09,13.71,197000,13.71
2016-08-03,15.13,15.13,14.855,15.035,30100,15.035
2016-08-02,15.495,15.495,15.05,15.20,69400,15.20
2016-08-01,16.00,16.00,15.44,15.635,36200,15.635
2016-07-29,15.425,15.975,15.395,15.975,35300,15.975
2016-07-28,15.70,15.82,15.41,15.52,35500,15.52
2016-07-27,15.50,15.835,15.385,15.795,35000,15.795
2016-07-26,15.50,15.555,15.245,15.43,32000,15.43
2016-07-25,15.24,15.645,15.10,15.445,36800,15.445
2016-07-22,15.32,15.38,15.045,15.07,27800,15.07
2016-07-21,15.08,15.31,14.89,15.15,31800,15.15
2016-07-20,15.045,15.31,15.005,15.145,43600,15.145
2016-07-19,14.735,15.245,14.59,15.185,51500,15.185
2016-07-18,14.86,15.135,14.715,14.815,19600,14.815
2016-07-15,15.03,15.11,14.835,14.995,34900,14.995
2016-07-14,14.84,15.125,14.67,14.92,64400,14.92
2016-07-13,14.83,15.20,14.53,14.835,38800,14.835
2016-07-12,14.53,14.99,14.53,14.77,26100,14.77
2016-07-11,14.385,14.63,14.26,14.59,65000,14.59
2016-07-08,13.735,14.315,13.63,14.255,25400,14.255
2016-07-07,13.39,13.775,13.37,13.645,47200,13.645
2016-07-06,13.575,13.575,13.09,13.33,65800,13.33
2016-07-05,14.30,14.305,13.60,13.765,49800,13.765
2016-07-04,14.265,14.325,13.955,14.27,29900,14.27
2016-07-01,14.01,14.395,13.845,14.37,45700,14.37
2016-06-30,13.50,14.05,13.50,13.925,53000,13.925
2016-06-29,13.41,13.685,13.275,13.685,62400,13.685
2016-06-28,13.67,13.79,13.055,13.365,117100,13.365
2016-06-27,14.15,14.33,13.495,13.495,60800,13.495
2016-06-24,13.85,14.735,13.62,14.375,128600,14.375
2016-06-23,14.665,14.96,14.34,14.80,32300,14.80
2016-06-22,14.515,14.87,14.395,14.51,37900,14.51
2016-06-21,14.73,14.77,14.485,14.69,23200,14.69
2016-06-20,14.305,14.865,14.305,14.595,55700,14.595
2016-06-17,13.65,14.215,13.65,14.215,63200,14.215
2016-06-16,13.60,13.825,13.45,13.50,64400,13.50
2016-06-15,13.765,14.13,13.71,13.75,56800,13.75
2016-06-14,14.325,14.445,13.695,13.87,96400,13.87
2016-06-13,14.70,14.79,14.22,14.355,69800,14.355
2016-06-10,15.19,15.27,14.755,14.755,57700,14.755
2016-06-09,15.40,15.40,15.10,15.36,37800,15.36
2016-06-08,15.11,15.435,15.11,15.40,53100,15.40
2016-06-07,15.20,15.35,15.165,15.25,50200,15.25
2016-06-06,14.99,15.35,14.99,15.165,34200,15.165
2016-06-03,15.29,15.35,14.785,14.865,48800,14.865
2016-06-02,14.87,15.345,14.87,15.20,33800,15.20
2016-06-01,15.47,15.47,14.81,14.97,49600,14.97
2016-05-31,15.49,16.00,15.36,15.795,105800,15.295
2016-05-30,15.53,15.56,15.30,15.44,30300,14.951
2016-05-27,15.15,15.545,15.15,15.455,25900,14.966
2016-05-26,15.305,15.60,15.17,15.245,31600,14.762
2016-05-25,15.405,15.625,15.315,15.39,75000,14.903
2016-05-24,15.165,15.565,14.965,15.49,76800,15.00
2016-05-23,15.115,15.135,14.85,14.995,31000,14.52
2016-05-20,14.59,15.04,14.59,15.00,28500,14.525
2016-05-19,14.89,14.89,14.515,14.70,33500,14.235
2016-05-18,14.54,14.85,14.38,14.83,42500,14.361
2016-05-17,14.345,14.72,14.31,14.70,31100,14.235
2016-05-16,14.16,14.16,14.16,14.16,000,13.712
2016-05-13,14.215,14.315,14.00,14.16,37800,13.712
2016-05-12,14.55,14.955,14.255,14.345,56900,13.891
2016-05-11,14.235,14.735,14.235,14.72,44800,14.254
2016-05-10,14.375,14.725,14.245,14.315,40100,13.862
2016-05-09,14.515,14.835,14.415,14.43,42300,13.973
2016-05-06,14.575,14.855,14.255,14.575,25400,14.114
2016-05-05,14.30,14.605,14.30,14.40,25100,13.944
2016-05-04,14.10,14.41,14.06,14.195,50600,13.746
2016-05-03,14.62,14.635,14.075,14.145,59500,13.697
2016-05-02,14.78,14.825,14.35,14.55,56600,14.089
2016-04-29,15.00,15.02,14.72,14.78,56300,14.312
2016-04-28,15.085,15.085,14.72,15.00,40500,14.525
2016-04-27,15.03,15.115,14.88,14.975,55400,14.501
2016-04-26,14.925,15.025,14.73,14.975,35600,14.501
2016-04-25,15.17,15.17,14.59,14.79,56000,14.322
2016-04-22,14.91,15.335,14.775,15.105,56400,14.627
2016-04-21,14.89,14.945,14.435,14.865,71600,14.394
2016-04-20,14.675,15.295,14.675,14.84,215800,14.37
2016-04-19,14.345,14.755,14.23,14.75,77200,14.283
2016-04-18,14.20,14.51,14.11,14.40,56200,13.944
2016-04-15,14.385,14.465,14.17,14.365,59000,13.91
2016-04-14,14.40,14.52,13.94,14.445,56700,13.988
2016-04-13,14.20,14.835,14.195,14.37,129300,13.915
2016-04-12,14.00,14.11,13.81,14.095,49900,13.649
2016-04-11,14.00,14.08,13.775,13.965,26600,13.523
2016-04-08,13.39,14.035,13.24,13.99,50300,13.547
2016-04-07,13.555,13.84,13.225,13.37,65000,12.947
2016-04-06,13.265,13.59,13.15,13.575,35200,13.145
2016-04-05,13.45,13.45,13.07,13.29,60300,12.869
2016-04-04,13.635,13.905,13.53,13.575,52600,13.145
2016-04-01,13.82,13.885,13.555,13.715,33400,13.281
2016-03-31,13.78,14.055,13.475,13.98,82600,13.537
2016-03-30,13.38,13.965,13.28,13.845,96500,13.407
2016-03-29,13.265,13.58,13.02,13.305,66000,12.884
2016-03-28,13.245,13.245,13.245,13.245,000,12.826
2016-03-25,13.245,13.245,13.245,13.245,000,12.826
2016-03-24,13.31,13.385,13.065,13.245,48500,12.826
2016-03-23,13.50,13.87,13.185,13.385,159400,12.961
2016-03-22,13.225,13.485,12.815,13.485,130100,13.058
2016-03-21,13.75,14.005,12.96,13.255,296800,12.835
2016-03-18,14.285,14.50,14.21,14.41,87700,13.954
2016-03-17,15.155,15.25,14.21,14.37,116700,13.915
2016-03-16,14.525,15.375,14.525,15.23,150900,14.748
2016-03-15,15.10,15.245,14.60,14.67,111100,14.206
2016-03-14,14.89,15.785,14.89,15.14,180800,14.661
2016-03-11,14.61,15.125,14.61,14.87,96300,14.399
2016-03-10,14.78,15.195,14.42,14.475,109200,14.017
2016-03-09,14.705,14.96,14.54,14.67,62400,14.206
2016-03-08,15.265,15.265,14.71,14.775,85000,14.307
2016-03-07,15.33,15.565,14.84,15.465,63600,14.975
2016-03-04,15.28,15.65,14.98,15.57,87300,15.077
2016-03-03,14.50,15.355,14.455,15.295,141300,14.811
2016-03-02,14.10,14.50,14.015,14.50,101000,14.041
2016-03-01,14.085,14.24,13.91,14.17,69500,13.721
2016-02-29,13.735,14.21,13.60,14.21,81200,13.76
2016-02-26,13.285,13.915,13.285,13.86,58000,13.421
2016-02-25,13.21,13.325,12.93,13.17,51800,12.753
2016-02-24,13.49,13.49,12.875,13.095,68800,12.68
2016-02-23,14.065,14.065,13.40,13.485,69000,13.058
2016-02-22,13.345,14.195,13.345,13.99,79900,13.547
2016-02-19,13.66,13.80,13.15,13.23,52000,12.811
2016-02-18,13.39,13.83,13.365,13.545,43800,13.116
2016-02-17,12.72,13.51,12.695,13.465,65000,13.039
2016-02-16,12.78,12.98,12.395,12.68,82800,12.279
2016-02-15,12.215,12.955,12.21,12.825,76200,12.419
2016-02-12,11.98,12.15,11.75,12.00,72800,11.62
2016-02-11,12.435,12.435,11.88,11.88,79700,11.504
2016-02-10,12.25,12.805,12.235,12.345,77900,11.954
2016-02-09,12.285,12.475,12.015,12.36,86200,11.969
2016-02-08,13.20,13.325,12.20,12.20,65500,11.814
2016-02-05,12.985,13.465,12.905,13.30,49200,12.879
2016-02-04,12.76,13.06,12.39,12.92,61800,12.511
2016-02-03,12.90,13.095,12.32,12.65,97900,12.25
2016-02-02,13.02,13.075,12.88,12.975,78500,12.564
2016-02-01,12.92,13.13,12.90,13.13,101300,12.714
2016-01-29,12.60,13.015,12.40,13.015,50900,12.603
2016-01-28,12.65,12.935,12.43,12.48,55600,12.085
2016-01-27,12.80,12.80,12.32,12.62,55900,12.221
2016-01-26,12.15,12.89,11.98,12.79,54600,12.385
2016-01-25,12.18,12.295,11.815,12.26,101500,11.872
2016-01-22,12.24,12.60,12.045,12.075,135900,11.693
2016-01-21,11.535,12.24,11.30,12.00,132500,11.62
2016-01-20,11.715,11.92,11.25,11.435,88300,11.073
2016-01-19,11.715,12.215,11.715,11.97,80500,11.591
2016-01-18,12.03,12.095,11.585,11.585,48200,11.218
2016-01-15,12.555,12.65,11.835,11.945,107600,11.567
2016-01-14,12.55,12.805,12.26,12.665,103500,12.264
2016-01-13,12.70,13.05,12.585,12.66,91400,12.259
2016-01-12,12.45,13.02,12.405,12.575,78100,12.177
2016-01-11,12.705,13.04,12.43,12.43,83600,12.037
2016-01-08,13.015,13.395,12.76,12.765,76300,12.361
2016-01-07,13.07,13.145,12.60,13.09,135900,12.676
2016-01-06,13.82,13.82,13.17,13.35,130900,12.927
2016-01-05,13.50,14.07,13.40,13.915,87700,13.475
2016-01-04,14.10,14.10,13.45,13.45,94000,13.024
2016-01-01,14.225,14.225,14.225,14.225,000,13.775
2015-12-31,14.225,14.225,14.225,14.225,000,13.775
2015-12-30,14.165,14.31,14.08,14.225,17800,13.775
2015-12-29,14.22,14.45,14.13,14.29,37700,13.838
2015-12-28,14.14,14.45,14.05,14.325,76200,13.872
2015-12-25,14.135,14.135,14.135,14.135,000,13.688
2015-12-24,14.135,14.135,14.135,14.135,000,13.688
2015-12-23,13.54,14.135,13.53,14.135,128900,13.688
2015-12-22,13.545,13.61,13.30,13.42,53200,12.995
2015-12-21,13.46,13.75,13.40,13.455,61600,13.029
2015-12-18,13.27,13.58,13.20,13.58,111800,13.15
2015-12-17,13.70,13.87,13.25,13.34,108200,12.918
2015-12-16,13.25,13.70,12.865,13.40,127900,12.976
2015-12-15,12.275,12.85,12.275,12.785,59100,12.38
