Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,2.792,2.814,2.711,2.738,293700,2.738
2016-10-26,2.86,2.871,2.785,2.82,195800,2.82
2016-10-25,2.843,2.871,2.836,2.86,132900,2.86
2016-10-24,2.852,2.88,2.813,2.83,150400,2.83
2016-10-21,2.819,2.83,2.801,2.819,110900,2.819
2016-10-20,2.84,2.874,2.805,2.805,155200,2.805
2016-10-19,2.79,2.855,2.785,2.84,136700,2.84
2016-10-18,2.755,2.82,2.755,2.785,196400,2.785
2016-10-17,2.816,2.82,2.758,2.76,204400,2.76
2016-10-14,2.847,2.86,2.784,2.784,218400,2.784
2016-10-13,2.80,2.846,2.757,2.846,463300,2.846
2016-10-12,2.799,2.817,2.761,2.80,183800,2.80
2016-10-11,2.74,2.826,2.68,2.802,605700,2.802
2016-10-10,2.83,2.842,2.77,2.79,408300,2.79
2016-10-07,2.848,2.848,2.795,2.846,339600,2.846
2016-10-06,2.953,2.959,2.789,2.905,696300,2.905
2016-10-05,3.00,3.00,2.91,2.948,443900,2.948
2016-10-04,3.00,3.027,2.93,3.014,336900,3.014
2016-10-03,2.968,2.968,2.968,2.968,000,2.968
2016-09-30,2.95,3.00,2.91,2.968,347400,2.968
2016-09-29,3.01,3.016,2.91,2.994,502800,2.994
2016-09-28,3.032,3.058,2.986,3.028,282200,3.028
2016-09-27,3.05,3.069,3.001,3.007,251500,3.007
2016-09-26,3.04,3.055,3.019,3.041,137400,3.041
2016-09-23,3.03,3.058,3.012,3.058,205400,3.058
2016-09-22,3.07,3.07,3.03,3.04,151900,3.04
2016-09-21,3.05,3.08,3.026,3.07,167100,3.07
2016-09-20,3.045,3.073,3.04,3.05,152100,3.05
2016-09-19,3.052,3.073,3.02,3.067,181200,3.067
2016-09-16,3.05,3.108,3.027,3.108,1376800,3.108
2016-09-15,3.003,3.133,3.003,3.098,276100,3.098
2016-09-14,3.015,3.05,3.01,3.026,234400,3.026
2016-09-13,3.026,3.09,3.015,3.02,378600,3.02
2016-09-12,3.046,3.05,3.025,3.031,232700,3.031
2016-09-09,3.09,3.106,3.036,3.069,269200,3.069
2016-09-08,3.075,3.133,3.075,3.10,312400,3.10
2016-09-07,3.062,3.099,3.031,3.07,411800,3.07
2016-09-06,3.13,3.13,3.062,3.075,915600,3.075
2016-09-05,3.187,3.198,3.162,3.164,129600,3.164
2016-09-02,3.16,3.20,3.135,3.18,192900,3.18
2016-09-01,3.198,3.208,3.133,3.133,192800,3.133
2016-08-31,3.18,3.21,3.16,3.189,312000,3.189
2016-08-30,3.14,3.174,3.099,3.174,246000,3.174
2016-08-29,3.056,3.139,3.056,3.12,137800,3.12
2016-08-26,3.033,3.098,3.03,3.05,230400,3.05
2016-08-25,3.05,3.09,3.026,3.064,201100,3.064
2016-08-24,3.08,3.09,3.025,3.029,341300,3.029
2016-08-23,3.173,3.183,3.082,3.09,184200,3.09
2016-08-22,3.104,3.20,3.10,3.16,357600,3.16
2016-08-19,3.111,3.115,3.09,3.095,192000,3.095
2016-08-18,3.108,3.111,3.087,3.111,184500,3.111
2016-08-17,3.117,3.121,3.08,3.107,292100,3.107
2016-08-16,3.118,3.127,3.101,3.11,197300,3.11
2016-08-15,3.10,3.124,3.10,3.12,61600,3.12
2016-08-12,3.109,3.15,3.10,3.102,144900,3.102
2016-08-11,3.072,3.118,3.072,3.11,139100,3.11
2016-08-10,3.085,3.10,3.071,3.091,134200,3.091
2016-08-09,3.093,3.12,3.089,3.11,233800,3.11
2016-08-08,3.11,3.125,3.074,3.099,223400,3.099
2016-08-05,3.10,3.118,3.081,3.099,140200,3.099
2016-08-04,3.10,3.10,3.07,3.098,75800,3.098
2016-08-02,3.10,3.10,3.04,3.06,325800,3.06
2016-08-01,3.092,3.11,3.08,3.091,139500,3.091
2016-07-29,3.129,3.152,3.082,3.098,226500,3.098
2016-07-28,3.13,3.156,3.113,3.131,98400,3.131
2016-07-27,3.16,3.16,3.061,3.149,533300,3.149
2016-07-26,3.235,3.24,3.14,3.16,192100,3.16
2016-07-25,3.244,3.244,3.166,3.185,251600,3.185
2016-07-22,3.202,3.254,3.202,3.22,99200,3.22
2016-07-21,3.251,3.258,3.216,3.246,255200,3.246
2016-07-20,3.27,3.294,3.22,3.294,200700,3.294
2016-07-19,3.23,3.277,3.201,3.275,203700,3.275
2016-07-18,3.241,3.241,3.17,3.23,242700,3.23
2016-07-15,3.18,3.25,3.161,3.192,191700,3.192
2016-07-14,3.22,3.225,3.186,3.186,180200,3.186
2016-07-13,3.211,3.229,3.18,3.209,213100,3.209
2016-07-12,3.21,3.249,3.189,3.20,203800,3.20
2016-07-11,3.21,3.26,3.163,3.21,398800,3.21
2016-07-08,3.15,3.195,3.11,3.194,185400,3.194
2016-07-07,3.195,3.20,3.129,3.157,235300,3.157
2016-07-06,3.19,3.228,3.154,3.154,120000,3.154
2016-07-05,3.22,3.239,3.195,3.20,147500,3.20
2016-07-04,3.30,3.305,3.20,3.25,203900,3.25
2016-07-01,3.278,3.30,3.25,3.30,314800,3.30
2016-06-30,3.15,3.24,3.135,3.24,581200,3.24
2016-06-29,3.08,3.153,3.06,3.15,320400,3.15
2016-06-28,3.022,3.077,3.022,3.045,225600,3.045
2016-06-27,3.08,3.088,2.99,3.00,574400,3.00
2016-06-24,2.91,3.099,2.89,3.045,603300,3.045
2016-06-23,3.12,3.17,3.04,3.164,603000,3.164
2016-06-22,3.071,3.16,3.071,3.13,459900,3.13
2016-06-21,3.09,3.12,3.067,3.083,378700,3.083
2016-06-20,3.06,3.071,2.95,3.052,783900,3.052
2016-06-17,3.00,3.101,3.00,3.031,2789400,3.031
2016-06-16,3.046,3.046,3.001,3.016,715100,3.016
2016-06-15,3.031,3.094,3.031,3.09,317800,3.09
2016-06-14,3.051,3.087,2.98,3.087,504900,3.087
2016-06-13,3.08,3.114,3.054,3.114,496500,3.114
2016-06-10,3.173,3.191,3.112,3.154,377600,3.154
2016-06-09,3.17,3.19,3.137,3.19,279700,3.19
2016-06-08,3.17,3.184,3.118,3.184,302600,3.184
2016-06-07,3.11,3.19,3.09,3.19,664700,3.19
2016-06-06,3.10,3.139,3.085,3.11,183100,3.11
2016-06-03,3.055,3.157,3.055,3.13,393000,3.13
2016-06-02,3.075,3.095,3.025,3.078,237500,3.078
2016-06-01,3.102,3.102,3.014,3.068,174500,3.068
2016-05-31,2.99,3.12,2.953,3.11,1639900,3.11
2016-05-30,3.01,3.048,2.99,3.00,322300,3.00
2016-05-27,3.117,3.133,2.975,3.05,439400,3.05
2016-05-26,3.145,3.15,3.086,3.137,165000,3.137
2016-05-25,3.135,3.16,3.06,3.099,253900,3.099
2016-05-24,3.006,3.128,3.00,3.128,393500,3.128
2016-05-23,3.026,3.06,3.001,3.05,117500,3.05
2016-05-20,2.959,3.069,2.932,3.06,360300,3.06
2016-05-19,2.855,2.966,2.85,2.966,364000,2.966
2016-05-18,2.93,2.96,2.877,2.89,245700,2.89
2016-05-17,2.931,2.987,2.929,2.98,227500,2.98
2016-05-16,2.98,2.98,2.98,2.98,000,2.98
2016-05-13,2.869,2.98,2.863,2.98,412400,2.98
2016-05-12,2.851,2.885,2.82,2.85,231600,2.85
2016-05-11,2.866,2.90,2.858,2.858,111800,2.858
2016-05-10,2.898,2.899,2.862,2.899,220600,2.899
2016-05-09,2.836,2.883,2.808,2.883,270900,2.883
2016-05-06,2.87,2.887,2.802,2.825,153300,2.825
2016-05-05,2.865,2.865,2.821,2.841,76500,2.841
2016-05-04,2.841,2.879,2.808,2.826,231600,2.826
2016-05-03,2.908,2.908,2.856,2.856,232300,2.856
2016-05-02,2.875,2.925,2.825,2.92,247800,2.92
2016-04-29,2.95,2.973,2.843,2.843,388700,2.843
2016-04-28,2.95,2.987,2.925,2.97,268100,2.97
2016-04-27,2.962,2.989,2.939,2.95,248800,2.95
2016-04-26,2.99,2.99,2.914,2.937,271700,2.937
2016-04-25,2.94,3.012,2.939,2.944,432300,2.944
2016-04-22,2.67,2.90,2.67,2.90,673700,2.90
2016-04-21,2.87,2.916,2.605,2.65,1373500,2.65
2016-04-20,2.91,2.925,2.84,2.903,393000,2.903
2016-04-19,2.942,2.956,2.90,2.92,159900,2.92
2016-04-18,2.939,2.942,2.90,2.932,194800,2.932
2016-04-15,2.908,2.964,2.904,2.951,78300,2.951
2016-04-14,2.938,2.973,2.88,2.921,261900,2.921
2016-04-13,3.069,3.069,2.911,2.943,371500,2.943
2016-04-12,3.10,3.112,2.985,3.032,257600,3.032
2016-04-11,3.03,3.139,3.00,3.07,293600,3.07
2016-04-08,3.00,3.103,2.99,3.06,211900,3.06
2016-04-07,3.019,3.079,2.961,3.004,281800,3.004
2016-04-06,2.912,3.04,2.912,3.009,248600,3.009
2016-04-05,3.15,3.15,2.837,2.92,955600,2.92
2016-04-04,3.15,3.185,3.083,3.083,248200,3.083
2016-04-01,3.20,3.20,3.132,3.175,238000,3.175
2016-03-31,3.091,3.239,3.091,3.217,208800,3.217
2016-03-30,3.117,3.13,3.078,3.111,194200,3.111
2016-03-29,3.25,3.277,3.041,3.113,629600,3.113
2016-03-28,3.212,3.212,3.212,3.212,000,3.212
2016-03-25,3.212,3.212,3.212,3.212,000,3.212
2016-03-24,3.30,3.30,3.212,3.212,381400,3.212
2016-03-23,3.279,3.349,3.262,3.282,763900,3.282
2016-03-22,3.178,3.25,3.155,3.25,471800,3.25
2016-03-21,3.166,3.22,3.12,3.144,471400,3.144
2016-03-18,3.10,3.167,3.10,3.12,334200,3.12
2016-03-17,3.149,3.197,3.005,3.10,669100,3.10
2016-03-16,3.096,3.135,3.05,3.135,457300,3.135
2016-03-15,3.07,3.07,3.00,3.036,296600,3.036
2016-03-14,2.891,3.10,2.891,3.052,1101100,3.052
2016-03-11,2.85,2.852,2.803,2.833,279200,2.833
2016-03-10,2.871,2.90,2.785,2.785,315800,2.785
2016-03-09,2.825,2.897,2.817,2.841,434700,2.841
2016-03-08,2.73,2.79,2.723,2.78,619600,2.78
2016-03-07,2.693,2.721,2.691,2.721,156100,2.721
2016-03-04,2.74,2.74,2.68,2.688,248100,2.688
