Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,66.43,67.09,66.36,66.36,20300,66.36
2016-10-26,66.50,66.93,66.45,66.60,12500,66.60
2016-10-25,66.50,66.99,66.36,66.60,11800,66.60
2016-10-24,67.11,67.34,66.50,66.50,22700,66.50
2016-10-21,67.15,67.38,67.03,67.11,8300,67.11
2016-10-20,67.90,67.90,67.01,67.08,15600,67.08
2016-10-19,67.62,67.80,66.94,67.57,15400,67.57
2016-10-18,67.48,67.92,67.36,67.62,16800,67.62
2016-10-17,67.00,67.57,67.00,67.29,9400,67.29
2016-10-14,67.16,67.33,67.03,67.05,9300,67.05
2016-10-13,67.10,67.36,67.00,67.10,13500,67.10
2016-10-12,67.80,67.92,67.12,67.12,19700,67.12
2016-10-11,68.39,68.39,67.85,67.99,18600,67.99
2016-10-10,67.20,69.00,67.04,68.06,82600,68.06
2016-10-07,66.60,66.60,66.07,66.58,12400,66.58
2016-10-06,67.25,67.25,66.60,66.68,14200,66.68
2016-10-05,66.38,67.35,66.38,67.23,24200,67.23
2016-10-04,66.83,67.57,66.71,66.99,37700,66.99
2016-10-03,66.54,66.54,66.54,66.54,000,66.54
2016-09-30,66.00,66.65,66.00,66.54,30500,66.54
2016-09-29,66.44,66.44,66.00,66.10,27100,66.10
2016-09-28,66.39,66.40,66.01,66.12,22700,66.12
2016-09-27,66.18,66.33,66.00,66.10,20500,66.10
2016-09-26,66.20,66.66,65.55,66.15,26300,66.15
2016-09-23,66.39,66.39,65.99,66.05,11300,66.05
2016-09-22,66.49,66.78,65.94,66.19,23800,66.19
2016-09-21,66.30,66.48,65.91,65.95,28500,65.95
2016-09-20,66.15,66.15,66.00,66.01,32000,66.01
2016-09-19,66.85,66.96,65.99,66.10,31200,66.10
2016-09-16,66.77,66.77,66.16,66.70,57100,66.70
2016-09-15,65.84,66.45,65.71,66.30,20000,66.30
2016-09-14,66.40,66.40,65.85,65.85,36900,65.85
2016-09-13,64.90,66.50,64.90,66.03,62300,66.03
2016-09-12,64.49,65.01,64.30,65.00,57300,65.00
2016-09-09,64.48,65.06,64.23,64.60,78900,64.60
