Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,44.30,44.475,43.80,44.475,7500,44.475
2016-10-26,44.00,44.30,43.955,44.225,5400,44.225
2016-10-25,44.30,44.30,43.60,44.30,5100,44.30
2016-10-24,44.47,44.47,43.96,44.30,8800,44.30
2016-10-21,44.35,44.99,43.80,44.30,8300,44.30
2016-10-20,45.00,45.00,44.50,44.98,5300,44.98
2016-10-19,43.80,45.00,43.80,44.98,30500,44.98
2016-10-18,43.91,44.00,43.63,43.775,9700,43.775
2016-10-17,44.82,44.82,42.69,43.95,17100,43.95
2016-10-14,45.00,45.00,43.85,44.35,10300,44.35
2016-10-13,44.905,44.905,43.60,44.74,8000,44.74
2016-10-12,44.99,44.99,44.05,44.35,8400,44.35
2016-10-11,44.30,45.00,44.20,44.99,24200,44.99
2016-10-10,44.44,44.44,43.40,44.00,20300,44.00
2016-10-07,42.45,44.18,42.45,43.45,15000,43.45
2016-10-06,43.835,43.835,42.91,42.91,7600,42.91
2016-10-05,42.60,43.66,42.15,43.20,11900,43.20
2016-10-04,42.57,42.70,41.76,42.70,21200,42.70
2016-10-03,42.20,42.20,42.20,42.20,000,42.20
2016-09-30,41.20,42.265,40.305,42.20,20500,42.20
2016-09-29,42.735,42.735,41.205,41.35,5600,41.35
2016-09-28,41.90,42.00,41.44,42.00,6100,42.00
2016-09-27,42.58,42.685,40.98,41.18,10800,41.18
2016-09-26,41.85,42.60,41.55,42.57,6400,42.57
2016-09-23,41.80,41.80,40.75,41.70,6600,41.70
2016-09-22,41.52,41.90,40.955,41.10,7600,41.10
2016-09-21,41.05,41.415,40.68,40.935,9000,40.935
2016-09-20,41.00,41.295,40.20,40.645,7600,40.645
2016-09-19,40.98,42.00,40.905,41.30,7900,41.30
2016-09-16,40.84,40.84,39.795,40.62,13800,40.62
2016-09-15,39.78,40.635,39.455,40.635,2800,40.635
2016-09-14,39.55,39.90,39.45,39.55,2700,39.55
2016-09-13,38.99,40.27,38.605,39.70,5900,39.70
2016-09-12,39.80,39.80,37.77,38.66,14100,38.66
2016-09-09,40.10,40.625,39.90,40.00,11200,40.00
2016-09-08,40.77,40.96,40.105,40.40,7400,40.40
2016-09-07,41.00,41.105,40.10,40.42,7300,40.42
2016-09-06,40.91,41.30,40.525,41.00,8200,41.00
2016-09-05,39.70,40.86,39.70,40.805,4100,40.805
2016-09-02,39.80,40.20,39.70,40.20,2300,40.20
2016-09-01,39.80,40.225,39.71,39.715,5000,39.715
2016-08-31,39.515,40.34,39.085,39.685,9400,39.685
2016-08-30,39.07,39.995,38.50,39.995,6400,39.995
2016-08-29,39.74,39.74,38.25,39.35,8000,39.35
2016-08-26,39.40,39.955,39.40,39.54,2400,39.54
2016-08-25,39.50,39.86,39.405,39.45,1300,39.45
2016-08-24,39.43,39.96,39.41,39.58,3500,39.58
2016-08-23,39.30,40.00,39.30,39.50,13000,39.50
2016-08-22,40.75,40.75,39.405,39.83,8600,39.83
2016-08-19,40.04,40.95,39.40,40.175,15500,40.175
2016-08-18,38.45,39.99,38.45,39.99,20500,39.99
2016-08-17,39.40,39.40,38.295,38.60,15300,38.60
2016-08-16,39.30,39.30,38.55,38.99,4800,38.99
2016-08-15,39.15,39.30,38.565,39.00,5800,39.00
2016-08-12,38.85,39.335,38.365,38.95,13700,38.95
2016-08-11,37.35,39.13,36.95,39.00,10100,39.00
2016-08-10,38.685,38.685,37.50,37.505,9200,37.505
2016-08-09,37.21,39.375,37.21,38.70,50000,38.70
2016-08-08,35.79,37.10,35.79,37.09,7300,37.09
2016-08-05,35.805,36.20,35.805,36.01,2800,36.01
2016-08-04,34.995,36.36,34.995,36.195,6700,36.195
2016-08-03,36.19,36.48,34.57,34.995,19500,34.995
2016-08-02,36.95,37.185,36.50,36.50,8100,36.50
2016-08-01,36.95,37.19,36.06,36.50,22100,36.50
2016-07-29,37.19,37.19,35.63,36.49,12600,36.49
2016-07-28,36.64,37.19,36.39,37.14,6500,37.14
2016-07-27,36.20,36.97,36.005,36.895,7800,36.895
2016-07-26,35.99,36.19,35.715,36.19,1800,36.19
2016-07-25,35.75,35.90,35.595,35.80,700,35.80
2016-07-22,35.195,36.00,34.91,36.00,4500,36.00
2016-07-21,35.11,35.40,34.70,34.70,12200,34.70
2016-07-20,34.50,35.345,34.465,34.465,11300,34.465
2016-07-19,34.50,34.60,34.06,34.48,12700,34.48
2016-07-18,33.85,34.75,33.505,34.27,12500,34.27
2016-07-15,34.50,34.92,34.26,34.445,6100,34.445
2016-07-14,34.74,34.74,33.90,34.25,10100,34.25
2016-07-13,32.55,34.875,32.535,34.79,34800,34.79
2016-07-12,30.70,31.95,30.695,31.95,9600,31.95
2016-07-11,30.87,31.89,30.87,31.115,12400,31.115
2016-07-08,30.60,31.575,30.60,31.15,6700,31.15
