Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,18.07,18.16,18.05,18.105,35200,18.105
2016-10-26,17.995,18.115,17.905,18.025,40500,18.025
2016-10-25,18.00,18.07,17.98,18.01,37700,18.01
2016-10-24,18.00,18.02,17.92,18.005,21300,18.005
2016-10-21,18.00,18.00,17.91,17.93,8100,17.93
2016-10-20,17.99,18.02,17.92,17.995,24900,17.995
2016-10-19,18.00,18.01,17.95,18.00,22800,18.00
2016-10-18,17.95,18.00,17.92,18.00,9400,18.00
2016-10-17,18.00,18.05,17.90,17.95,23300,17.95
2016-10-14,18.00,18.02,17.945,18.00,16300,18.00
2016-10-13,17.86,18.00,17.83,18.00,14200,18.00
2016-10-12,18.00,18.00,17.845,18.00,23000,18.00
2016-10-11,17.99,18.02,17.925,18.00,19000,18.00
2016-10-10,18.01,18.01,17.85,18.00,11900,18.00
2016-10-07,18.05,18.05,17.95,18.01,26300,18.01
2016-10-06,18.00,18.03,17.95,18.00,11100,18.00
2016-10-05,17.90,18.095,17.90,17.93,22000,17.93
2016-10-04,17.95,18.15,17.755,18.15,33600,18.15
2016-10-03,17.865,17.865,17.865,17.865,000,17.865
2016-09-30,17.65,17.89,17.56,17.865,32600,17.865
2016-09-29,17.82,18.01,17.615,17.91,45600,17.91
2016-09-28,17.90,17.90,17.62,17.70,33800,17.70
2016-09-27,17.90,17.90,17.33,17.89,38800,17.89
2016-09-26,17.76,17.895,17.76,17.84,31500,17.84
2016-09-23,18.00,18.00,17.785,17.90,9100,17.90
2016-09-22,17.70,18.00,17.70,18.00,18500,18.00
2016-09-21,17.995,18.00,17.63,17.63,24000,17.63
2016-09-20,18.03,18.03,17.70,17.995,11900,17.995
2016-09-19,17.95,18.03,17.785,18.03,10500,18.03
2016-09-16,17.995,17.995,17.63,17.90,388000,17.90
2016-09-15,17.955,18.00,17.88,18.00,19700,18.00
2016-09-14,17.80,18.005,17.74,17.95,24100,17.95
2016-09-13,17.73,17.90,17.58,17.895,12500,17.895
2016-09-12,17.65,17.75,17.54,17.68,16900,17.68
2016-09-09,18.01,18.135,17.985,18.065,21600,18.065
2016-09-08,17.86,18.18,17.86,18.05,17400,18.05
2016-09-07,18.10,18.225,17.905,18.095,33300,18.095
2016-09-06,18.035,18.13,17.74,18.13,24800,18.13
2016-09-05,18.10,18.10,17.90,18.06,18200,18.06
2016-09-02,18.02,18.10,17.895,18.025,37000,18.025
2016-09-01,18.00,18.05,17.80,18.025,36700,18.025
2016-08-31,17.34,18.05,17.26,18.05,38400,18.05
2016-08-30,17.37,17.40,17.07,17.385,8300,17.385
2016-08-29,17.44,17.45,17.085,17.225,19500,17.225
2016-08-26,17.38,17.595,17.13,17.52,8900,17.52
2016-08-25,17.665,17.715,17.145,17.145,19800,17.145
2016-08-24,17.605,17.75,17.505,17.71,11900,17.71
2016-08-23,17.735,17.83,17.50,17.74,19500,17.74
2016-08-22,17.315,17.55,17.24,17.55,23300,17.55
2016-08-19,17.225,17.405,17.105,17.325,14000,17.325
2016-08-18,17.27,17.50,17.255,17.27,11800,17.27
2016-08-17,17.68,17.75,17.205,17.205,21100,17.205
2016-08-16,17.94,17.945,17.555,17.745,13700,17.745
2016-08-15,17.74,17.99,17.44,17.99,27700,17.99
2016-08-12,18.00,18.00,17.315,17.75,40500,17.75
2016-08-11,18.00,18.05,17.50,18.05,40600,18.05
2016-08-10,17.90,18.00,17.71,18.00,21100,18.00
2016-08-09,17.655,17.94,17.545,17.87,11600,17.87
2016-08-08,17.99,17.99,17.45,17.695,16200,17.695
2016-08-05,17.39,17.82,17.205,17.82,53800,17.82
2016-08-04,17.40,17.40,17.195,17.35,23300,17.35
2016-08-03,17.20,17.30,16.91,17.30,19300,17.30
2016-08-02,17.415,17.415,16.855,17.00,20600,17.00
2016-08-01,17.50,17.59,17.40,17.47,33600,17.47
2016-07-29,17.49,17.57,17.335,17.515,14600,17.515
2016-07-28,17.425,17.55,17.32,17.55,17300,17.55
2016-07-27,17.23,17.50,17.03,17.50,37700,17.50
2016-07-26,17.11,17.27,16.98,17.27,27100,17.27
2016-07-25,17.045,17.12,16.955,17.12,21200,17.12
2016-07-22,16.81,17.205,16.78,17.03,43500,17.03
2016-07-21,16.90,16.97,16.58,16.97,30600,16.97
2016-07-20,16.66,16.84,16.535,16.84,24300,16.84
2016-07-19,16.825,16.825,16.57,16.82,14500,16.82
2016-07-18,17.085,17.18,16.84,16.90,37000,16.90
2016-07-15,16.59,17.03,16.585,17.03,25900,17.03
2016-07-14,16.405,16.665,16.405,16.665,26200,16.665
2016-07-13,16.47,16.75,16.37,16.54,33500,16.54
2016-07-12,16.485,16.50,16.35,16.43,23300,16.43
2016-07-11,16.36,16.53,16.31,16.47,42300,16.47
2016-07-08,16.01,16.31,15.83,16.15,42900,16.15
2016-07-07,15.70,16.175,15.70,16.055,33000,16.055
2016-07-06,16.09,16.09,15.65,15.735,61100,15.735
2016-07-05,16.51,16.51,15.87,15.945,33000,15.945
2016-07-04,16.96,16.96,16.45,16.455,31500,16.455
2016-07-01,16.16,16.835,16.16,16.805,30900,16.805
2016-06-30,16.15,16.345,16.06,16.25,53900,16.25
2016-06-29,16.20,16.36,16.11,16.265,26400,16.265
2016-06-28,15.87,16.50,15.83,15.93,44400,15.93
