Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,15.00,15.13,14.78,14.89,265400,14.89
2016-10-26,14.945,15.025,14.80,15.01,160800,15.01
2016-10-25,15.165,15.165,14.885,14.92,173500,14.92
2016-10-24,15.085,15.19,14.98,15.045,146300,15.045
2016-10-21,15.05,15.15,14.97,15.015,178800,15.015
2016-10-20,15.095,15.175,14.94,14.98,197000,14.98
2016-10-19,15.17,15.17,14.97,15.05,157300,15.05
2016-10-18,15.225,15.27,15.10,15.165,187500,15.165
2016-10-17,15.02,15.24,14.905,15.175,194200,15.175
2016-10-14,15.07,15.155,14.89,15.00,257500,15.00
2016-10-13,15.34,15.355,14.72,15.015,553800,15.015
2016-10-12,15.47,15.59,15.32,15.45,124700,15.45
2016-10-11,15.74,15.78,15.485,15.515,195900,15.515
2016-10-10,15.64,15.81,15.465,15.72,186800,15.72
2016-10-07,15.815,15.815,15.50,15.65,184000,15.65
2016-10-06,16.00,16.06,15.695,15.785,147800,15.785
2016-10-05,15.82,16.025,15.82,15.895,174100,15.895
2016-10-04,15.70,16.00,15.68,15.855,259100,15.855
2016-10-03,15.79,15.79,15.79,15.79,000,15.79
2016-09-30,15.30,15.90,15.04,15.79,356000,15.79
2016-09-29,15.615,15.865,15.44,15.47,179900,15.47
2016-09-28,15.18,15.675,15.18,15.46,188400,15.46
2016-09-27,15.445,15.48,15.02,15.22,265300,15.22
2016-09-26,15.84,15.84,15.22,15.35,233600,15.35
2016-09-23,15.92,16.02,15.70,15.785,158300,15.785
2016-09-22,16.06,16.24,15.955,15.955,266300,15.955
2016-09-21,15.625,16.13,15.625,15.96,342000,15.96
2016-09-20,15.545,15.69,15.44,15.495,129600,15.495
2016-09-19,15.19,15.675,15.19,15.53,209900,15.53
2016-09-16,15.38,15.455,15.055,15.10,265100,15.10
2016-09-15,15.49,15.53,15.19,15.40,198700,15.40
2016-09-14,15.405,15.625,15.32,15.395,168700,15.395
2016-09-13,15.56,15.605,15.22,15.385,253200,15.385
2016-09-12,15.62,15.62,15.105,15.445,368900,15.445
2016-09-09,15.89,16.165,15.705,15.755,260600,15.755
2016-09-08,16.06,16.075,15.62,15.90,257800,15.90
2016-09-07,16.025,16.065,15.81,16.015,166200,16.015
2016-09-06,15.94,15.995,15.515,15.955,300900,15.955
2016-09-05,15.88,16.05,15.84,15.90,182000,15.90
2016-09-02,15.685,15.89,15.355,15.875,189600,15.875
2016-09-01,15.55,15.975,15.395,15.56,291100,15.56
2016-08-31,15.47,15.595,15.395,15.435,134300,15.435
2016-08-30,15.28,15.655,15.28,15.54,257800,15.54
2016-08-29,15.50,15.53,15.155,15.205,306500,15.205
