Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,128.50,129.95,128.50,129.50,5400,129.50
2016-10-26,128.00,128.95,128.00,128.95,5700,128.95
2016-10-25,128.00,129.00,127.70,128.05,4500,128.05
2016-10-24,130.00,130.45,128.00,128.20,5500,128.20
2016-10-21,130.00,130.40,129.25,129.70,5900,129.70
2016-10-20,129.50,130.05,129.00,130.00,6200,130.00
2016-10-19,128.45,129.50,128.05,129.50,3100,129.50
2016-10-18,128.00,129.10,127.50,128.00,7200,128.00
2016-10-17,128.00,128.65,127.55,127.65,2300,127.65
2016-10-14,129.10,129.65,128.00,128.00,2800,128.00
2016-10-13,127.50,127.60,127.00,127.10,4600,127.10
2016-10-12,129.85,130.00,127.85,127.85,5300,127.85
2016-10-11,130.50,130.70,129.10,130.25,3400,130.25
2016-10-10,129.75,131.05,129.75,130.35,10800,130.35
2016-10-07,128.00,129.45,127.50,129.45,9000,129.45
2016-10-06,128.95,128.95,127.55,128.05,6300,128.05
2016-10-05,129.35,129.35,127.50,128.95,6700,128.95
2016-10-04,128.30,128.90,127.60,128.90,4900,128.90
2016-10-03,129.00,129.00,129.00,129.00,000,129.00
2016-09-30,126.05,129.00,126.05,129.00,19800,129.00
2016-09-29,129.05,129.05,126.55,127.35,9000,127.35
2016-09-28,127.00,128.70,125.30,127.90,7300,127.90
2016-09-27,126.80,126.80,123.80,126.20,13700,126.20
2016-09-26,129.90,129.90,126.50,127.05,6200,127.05
2016-09-23,131.00,131.80,128.55,129.20,4100,129.20
2016-09-22,127.65,131.95,126.95,131.70,13300,131.70
2016-09-21,129.00,129.00,127.75,128.50,4700,128.50
2016-09-20,129.00,129.20,127.80,127.80,3800,127.80
2016-09-19,129.00,129.30,128.45,128.60,1000,128.60
2016-09-16,128.90,130.30,127.20,129.30,4800,129.30
2016-09-15,129.00,129.45,128.05,129.45,6200,129.45
2016-09-14,125.50,128.80,125.45,128.45,7500,128.45
2016-09-13,127.00,128.25,125.50,125.50,3000,125.50
2016-09-12,125.50,128.05,125.25,127.00,3000,127.00
2016-09-09,129.05,129.05,128.00,128.05,5200,128.05
2016-09-08,130.15,131.25,129.10,129.60,7200,129.60
2016-09-07,129.70,131.20,128.40,130.10,11400,130.10
2016-09-06,128.10,129.55,128.10,128.85,1700,128.85
2016-09-05,129.65,129.65,128.05,128.75,3200,128.75
2016-09-02,127.15,129.15,126.75,128.65,3700,128.65
2016-09-01,126.30,130.00,126.30,126.55,9100,126.55
2016-08-31,126.00,127.15,125.00,126.20,9500,126.20
2016-08-30,126.90,127.00,125.30,126.55,5900,126.55
2016-08-29,124.50,126.00,123.70,126.00,4500,126.00
2016-08-26,125.50,125.50,123.65,125.00,5500,125.00
2016-08-25,124.60,125.25,124.35,125.00,14800,125.00
2016-08-24,124.25,126.00,124.25,125.30,6100,125.30
