Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,7.95,8.15,7.188,7.34,1620000,7.34
2016-10-26,7.86,7.979,7.776,7.95,720900,7.95
2016-10-25,8.113,8.186,8.01,8.027,565800,8.027
2016-10-24,8.635,8.645,8.04,8.122,1263200,8.122
2016-10-21,8.879,8.949,8.576,8.612,265400,8.612
2016-10-20,8.837,8.919,8.755,8.893,288600,8.893
2016-10-19,8.723,8.915,8.58,8.834,335000,8.834
2016-10-18,8.736,8.811,8.677,8.71,246000,8.71
2016-10-17,8.803,8.803,8.603,8.668,345300,8.668
2016-10-14,8.63,8.93,8.61,8.801,351700,8.801
2016-10-13,8.81,8.812,8.541,8.59,366100,8.59
2016-10-12,9.03,9.151,8.772,8.816,591300,8.816
2016-10-11,9.309,9.33,9.251,9.262,118400,9.262
2016-10-10,9.175,9.324,9.103,9.298,187300,9.298
2016-10-07,9.204,9.204,8.994,9.135,269700,9.135
2016-10-06,9.344,9.349,9.113,9.193,235700,9.193
2016-10-05,9.201,9.32,9.025,9.284,344900,9.284
2016-10-04,9.05,9.279,9.005,9.24,472500,9.24
2016-10-03,8.96,8.96,8.96,8.96,000,8.96
2016-09-30,8.767,8.96,8.67,8.96,292400,8.96
2016-09-29,8.983,8.999,8.655,8.88,361600,8.88
2016-09-28,8.49,8.93,8.477,8.909,522500,8.909
2016-09-27,8.608,8.608,8.32,8.44,259200,8.44
2016-09-26,8.643,8.643,8.45,8.508,175800,8.508
2016-09-23,8.65,8.68,8.522,8.62,201100,8.62
2016-09-22,8.328,8.687,8.328,8.646,398000,8.646
2016-09-21,8.172,8.341,8.172,8.273,278800,8.273
2016-09-20,8.227,8.315,8.106,8.152,236300,8.152
2016-09-19,8.299,8.368,8.22,8.306,160200,8.306
2016-09-16,8.32,8.338,8.155,8.27,294700,8.27
2016-09-15,8.249,8.329,8.18,8.30,202500,8.30
2016-09-14,8.27,8.305,8.146,8.204,198500,8.204
2016-09-13,8.247,8.34,8.174,8.198,337600,8.198
2016-09-12,7.99,8.195,7.909,8.182,395800,8.182
2016-09-09,8.09,8.176,8.055,8.12,307200,8.12
2016-09-08,8.192,8.24,7.996,8.10,370100,8.10
2016-09-07,8.14,8.195,8.07,8.151,194100,8.151
2016-09-06,8.027,8.316,8.021,8.092,515100,8.092
2016-09-05,7.972,8.034,7.881,8.006,444300,8.006
2016-09-02,7.907,7.907,7.776,7.884,117000,7.884
2016-09-01,7.752,7.945,7.667,7.861,469700,7.861
2016-08-31,7.811,7.85,7.645,7.67,268600,7.67
2016-08-30,7.818,7.887,7.766,7.815,175500,7.815
2016-08-29,7.762,7.84,7.711,7.801,107200,7.801
2016-08-26,7.717,7.833,7.56,7.815,239400,7.815
2016-08-25,7.885,7.885,7.708,7.753,230900,7.753
2016-08-24,7.887,7.977,7.772,7.907,239600,7.907
2016-08-23,7.723,7.929,7.673,7.91,238900,7.91
2016-08-22,7.788,7.976,7.656,7.685,365000,7.685
2016-08-19,7.866,7.88,7.75,7.78,89900,7.78
2016-08-18,7.825,7.902,7.771,7.848,265300,7.848
2016-08-17,7.961,7.999,7.735,7.76,281600,7.76
2016-08-16,7.966,8.10,7.95,7.987,247000,7.987
2016-08-15,8.072,8.185,7.999,8.043,206700,8.043
2016-08-12,7.954,8.125,7.953,8.048,268700,8.048
2016-08-11,8.056,8.11,7.814,8.018,493000,8.018
2016-08-10,7.945,8.155,7.871,8.004,394000,8.004
2016-08-09,7.87,7.999,7.775,7.99,221700,7.99
2016-08-08,7.92,8.029,7.762,7.855,355900,7.855
2016-08-05,7.566,7.894,7.52,7.879,351600,7.879
2016-08-04,7.542,7.647,7.435,7.538,265200,7.538
2016-08-02,7.81,7.847,7.55,7.639,256200,7.639
2016-08-01,8.108,8.108,7.801,7.853,302300,7.853
2016-07-29,8.033,8.151,7.98,8.01,283000,8.01
2016-07-28,8.331,8.331,7.945,7.98,623600,7.98
2016-07-27,8.239,8.45,8.19,8.328,496100,8.328
2016-07-26,7.751,8.30,7.633,8.152,1000700,8.152
2016-07-25,7.353,7.79,7.257,7.79,802100,7.79
2016-07-22,7.50,7.50,7.151,7.307,914000,7.307
2016-07-21,8.23,8.30,7.365,7.535,1212000,7.535
2016-07-20,7.346,7.769,7.272,7.721,786600,7.721
2016-07-19,7.262,7.346,7.182,7.329,376300,7.329
2016-07-18,7.211,7.289,7.06,7.262,308200,7.262
2016-07-15,7.261,7.358,7.10,7.15,578700,7.15
2016-07-14,7.44,7.457,7.224,7.34,358500,7.34
2016-07-13,7.366,7.586,7.314,7.324,535500,7.324
2016-07-12,7.51,7.613,7.302,7.335,592100,7.335
2016-07-11,7.464,7.527,7.358,7.508,277100,7.508
2016-07-08,7.221,7.414,7.16,7.349,261500,7.349
2016-07-07,7.122,7.458,7.122,7.228,435900,7.228
2016-07-06,7.291,7.291,6.96,7.066,593400,7.066
2016-07-05,7.573,7.639,7.291,7.361,317900,7.361
2016-07-04,7.81,7.85,7.54,7.59,200200,7.59
2016-07-01,7.778,7.81,7.563,7.78,307600,7.78
2016-06-30,7.422,7.709,7.38,7.678,370900,7.678
2016-06-29,7.491,7.508,7.305,7.41,400600,7.41
2016-06-28,7.50,7.522,7.311,7.344,445900,7.344
2016-06-27,7.80,7.94,7.242,7.30,727700,7.30
2016-06-24,7.60,7.868,7.36,7.791,1245100,7.791
2016-06-23,8.45,8.637,8.40,8.489,394600,8.489
2016-06-22,8.338,8.521,8.217,8.427,318300,8.427
2016-06-21,8.529,8.529,8.26,8.263,188000,8.263
